time,Miami,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. H. Whiteside (K. Bazemore gains possession),,,,Jump ball: D. Howard vs. H. Whiteside (K. Bazemore gains possession)
11:47.0,Violation by H. Whiteside (kicked ball),,0-0,,
11:44.0,,,0-0,,T. Hardaway misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by L. Babbitt,,0-0,,
11:28.0,D. Waiters misses 2-pt shot from 21 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by K. Bazemore
11:22.0,,,0-2,2,K. Bazemore makes 2-pt shot from 1 ft
11:09.0,L. Babbitt misses 3-pt shot from 25 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by D. Howard
10:52.0,,,0-2,,Turnover by K. Bazemore (bad pass; steal by H. Whiteside)
10:47.0,G. Dragic makes 2-pt shot from 1 ft (assist by H. Whiteside),2,2-2,,
10:32.0,,,2-2,,T. Hardaway misses 2-pt shot from 18 ft
10:31.0,Defensive rebound by H. Whiteside,,2-2,,
10:21.0,Turnover by D. Waiters (bad pass; steal by D. Howard),,2-2,,
10:05.0,,,2-2,,P. Millsap misses 2-pt shot from 8 ft
10:03.0,Defensive rebound by G. Dragic,,2-2,,
9:59.0,D. Waiters misses 2-pt shot from 6 ft,,2-2,,
9:57.0,,,2-2,,Defensive rebound by K. Bazemore
9:51.0,,,2-4,2,D. Howard makes 2-pt shot from 1 ft (assist by M. Delaney)
9:51.0,,,2-4,,Shooting foul by H. Whiteside (drawn by D. Howard)
9:51.0,,,2-4,,D. Howard misses free throw 1 of 1
9:50.0,Defensive rebound by H. Whiteside,,2-4,,
9:32.0,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Waiters),3,5-4,,
9:21.0,Personal foul by R. McGruder (drawn by T. Hardaway),,5-4,,
9:15.0,,,5-4,,D. Howard misses 2-pt shot from 16 ft
9:13.0,Defensive rebound by L. Babbitt,,5-4,,
9:01.0,L. Babbitt makes 3-pt shot from 24 ft (assist by D. Waiters),3,8-4,,
8:41.0,,,8-4,,M. Delaney misses 2-pt shot from 9 ft
8:40.0,,,8-4,,Offensive rebound by D. Howard
8:40.0,,,8-4,,Shooting foul by L. Babbitt (drawn by D. Howard)
8:40.0,,,8-4,,D. Howard misses free throw 1 of 2
8:40.0,,,8-4,,Offensive rebound by Team
8:40.0,,,8-4,,D. Howard misses free throw 2 of 2
8:38.0,Defensive rebound by H. Whiteside,,8-4,,
8:24.0,H. Whiteside misses 2-pt shot from 7 ft,,8-4,,
8:22.0,,,8-4,,Defensive rebound by D. Howard
8:12.0,,,8-6,2,K. Bazemore makes 2-pt shot from 18 ft
7:46.0,,,8-6,,T. Sefolosha enters the game for M. Delaney
7:42.0,L. Babbitt misses 2-pt shot from 17 ft,,8-6,,
7:40.0,,,8-6,,Defensive rebound by T. Sefolosha
7:32.0,,,8-6,,Shooting foul by L. Babbitt (drawn by P. Millsap)
7:32.0,,,8-7,1,P. Millsap makes free throw 1 of 2
7:32.0,,,8-7,,P. Millsap misses free throw 2 of 2
7:30.0,Defensive rebound by L. Babbitt,,8-7,,
7:11.0,L. Babbitt misses 3-pt shot from 24 ft,,8-7,,
7:09.0,,,8-7,,Defensive rebound by T. Sefolosha
6:58.0,,,8-7,,T. Hardaway misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by Team,,8-7,,
6:51.0,Shooting foul by T. Sefolosha (drawn by G. Dragic),,8-7,,
6:51.0,G. Dragic makes free throw 1 of 3,1,9-7,,
6:51.0,G. Dragic makes free throw 2 of 3,1,10-7,,
6:51.0,G. Dragic makes free throw 3 of 3,1,11-7,,
6:51.0,J. Johnson enters the game for L. Babbitt,,10-7,,
6:38.0,,,11-7,,K. Bazemore misses 2-pt shot from 6 ft
6:35.0,Defensive rebound by R. McGruder,,11-7,,
6:31.0,G. Dragic misses 3-pt shot from 24 ft,,11-7,,
6:30.0,,,11-7,,Defensive rebound by P. Millsap
6:21.0,,,11-7,,T. Hardaway misses 2-pt shot from 8 ft (block by G. Dragic)
6:21.0,Defensive rebound by Team,,11-7,,
6:21.0,T. Johnson enters the game for G. Dragic,,11-7,,
6:04.0,H. Whiteside misses 2-pt shot from 18 ft,,11-7,,
6:02.0,Offensive rebound by J. Johnson,,11-7,,
5:50.0,R. McGruder makes 2-pt shot at rim (assist by J. Johnson),2,13-7,,
5:43.0,,,13-7,,Atlanta full timeout
5:41.0,Personal foul by J. Johnson (drawn by P. Millsap),,13-7,,
5:41.0,,,13-8,1,P. Millsap makes free throw 1 of 2
5:41.0,,,13-9,1,P. Millsap makes free throw 2 of 2
