time,Washington,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Okafor (M. Morris gains possession),,,,Jump ball: M. Gortat vs. J. Okafor (M. Morris gains possession)
11:43.0,M. Gortat misses 2-pt shot from 16 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by D. Saric
11:37.0,,,0-0,,Turnover by T. McConnell (bad pass; steal by O. Porter)
11:33.0,Turnover by J. Wall (lost ball; steal by R. Covington),,0-0,,
11:32.0,Personal foul by J. Wall (drawn by R. Covington),,0-0,,
11:13.0,,,0-0,,G. Henderson misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by J. Wall,,0-0,,
11:05.0,B. Beal makes 2-pt shot from 3 ft (assist by J. Wall),2,2-0,,
10:52.0,,,2-0,,D. Saric misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by M. Morris,,2-0,,
10:43.0,M. Morris makes 2-pt shot from 16 ft (assist by B. Beal),2,4-0,,
10:21.0,,,4-2,2,T. McConnell makes 2-pt shot from 15 ft
10:15.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,6-2,,
10:03.0,,,6-4,2,J. Okafor makes 2-pt shot from 2 ft (assist by D. Saric)
9:57.0,O. Porter misses 3-pt shot from 26 ft,,6-4,,
9:55.0,,,6-4,,Defensive rebound by D. Saric
9:50.0,,,6-4,,D. Saric misses 2-pt shot from 17 ft
9:48.0,,,6-4,,Offensive rebound by T. McConnell
9:45.0,,,6-7,3,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric)
9:23.0,O. Porter misses 3-pt shot from 25 ft,,6-7,,
9:22.0,,,6-7,,Defensive rebound by G. Henderson
9:17.0,,,6-7,,G. Henderson misses 2-pt shot from 4 ft
9:15.0,Defensive rebound by J. Wall,,6-7,,
9:11.0,Turnover by J. Wall (bad pass),,6-7,,
8:58.0,Violation by M. Morris (kicked ball),,6-7,,
8:49.0,,,6-7,,Shooting foul by M. Gortat (drawn by J. Okafor)
8:49.0,,,6-7,,J. Okafor misses free throw 1 of 2
8:49.0,,,6-7,,Offensive rebound by Team
8:49.0,,,6-8,1,J. Okafor makes free throw 2 of 2
8:31.0,J. Wall makes 2-pt shot from 12 ft,2,8-8,,
8:09.0,,,8-8,,T. McConnell misses 2-pt shot from 2 ft
8:08.0,Defensive rebound by M. Gortat,,8-8,,
8:06.0,Turnover by M. Gortat (bad pass; steal by D. Saric),,8-8,,
8:04.0,,,8-10,2,D. Saric makes 2-pt shot from 1 ft
7:48.0,Offensive foul by M. Morris,,8-10,,
7:48.0,Turnover by M. Morris (offensive foul),,8-10,,
7:32.0,,,8-10,,D. Saric misses 2-pt shot from 19 ft
7:31.0,Defensive rebound by M. Morris,,8-10,,
7:25.0,J. Wall makes 2-pt shot from 18 ft,2,10-10,,
7:08.0,,,10-12,2,R. Covington makes 2-pt shot from 1 ft (assist by D. Saric)
6:55.0,,,10-12,,Personal foul by J. Okafor (drawn by M. Gortat)
6:49.0,B. Beal misses 2-pt shot from 18 ft,,10-12,,
6:48.0,Offensive rebound by M. Gortat,,10-12,,
6:46.0,M. Gortat makes 2-pt shot at rim,2,12-12,,
6:36.0,,,12-12,,R. Covington misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by J. Wall,,12-12,,
6:31.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,14-12,,
6:30.0,,,14-12,,Philadelphia full timeout
6:06.0,,,14-14,2,G. Henderson makes 2-pt shot from 10 ft (assist by D. Saric)
6:01.0,Shooting foul by T. McConnell (drawn by J. Wall),,14-14,,
6:01.0,J. Wall makes free throw 1 of 2,1,15-14,,
6:01.0,J. Wall makes free throw 2 of 2,1,16-14,,
6:01.0,,,15-14,,R. Holmes enters the game for J. Okafor
5:49.0,,,16-16,2,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell)
5:29.0,M. Morris misses 2-pt shot from 11 ft,,16-16,,
5:28.0,,,16-16,,Defensive rebound by D. Saric
5:23.0,,,16-16,,D. Saric misses 2-pt shot from 2 ft (block by J. Wall)
5:20.0,,,16-16,,Offensive rebound by T. McConnell
5:18.0,,,16-19,3,G. Henderson makes 3-pt shot from 25 ft (assist by T. McConnell)
4:57.0,O. Porter misses 2-pt shot from 5 ft,,16-19,,
4:53.0,Offensive rebound by M. Morris,,16-19,,
4:53.0,M. Morris misses 2-pt shot from 1 ft,,16-19,,
4:51.0,,,16-19,,Defensive rebound by D. Saric
4:51.0,,,16-19,,Turnover by T. McConnell (bad pass; steal by O. Porter)
4:45.0,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall),2,18-19,,
4:32.0,,,18-19,,R. Covington misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by M. Gortat,,18-19,,
4:29.0,Turnover by M. Gortat (bad pass; steal by T. McConnell),,18-19,,
4:24.0,,,18-19,,T. McConnell misses 2-pt shot from 21 ft
4:20.0,Defensive rebound by J. Wall,,18-19,,
4:14.0,M. Gortat misses 2-pt shot from 2 ft,,18-19,,
4:12.0,,,18-19,,Defensive rebound by R. Holmes
3:56.0,,,18-19,,R. Holmes misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by M. Morris,,18-19,,
3:48.0,Shooting foul by G. Henderson (drawn by B. Beal),,18-19,,
3:48.0,B. Beal makes free throw 1 of 2,1,19-19,,
3:48.0,B. Beal makes free throw 2 of 2,1,20-19,,
3:48.0,B. Bogdanovic enters the game for M. Morris,,19-19,,
3:48.0,I. Mahinmi enters the game for M. Gortat,,19-19,,
3:48.0,,,19-19,,S. Rodriguez enters the game for R. Covington
3:48.0,,,19-19,,N. Stauskas enters the game for G. Henderson
3:48.0,,,19-19,,T. Luwawu-Cabarrot enters the game for T. McConnell
3:27.0,,,20-19,,S. Rodriguez misses 3-pt shot from 26 ft
3:26.0,Defensive rebound by B. Beal,,20-19,,
3:20.0,Shooting foul by T. Luwawu-Cabarrot (drawn by I. Mahinmi),,20-19,,
3:20.0,I. Mahinmi misses free throw 1 of 2,,20-19,,
3:20.0,Offensive rebound by Team,,20-19,,
3:20.0,I. Mahinmi misses free throw 2 of 2,,20-19,,
3:18.0,,,20-19,,Defensive rebound by D. Saric
3:03.0,,,20-19,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft (block by J. Wall)
3:01.0,Defensive rebound by B. Bogdanovic,,20-19,,
3:00.0,,,20-19,,Personal foul by R. Holmes (drawn by I. Mahinmi)
3:00.0,I. Mahinmi makes free throw 1 of 2,1,21-19,,
3:00.0,I. Mahinmi misses free throw 2 of 2,,21-19,,
3:00.0,K. Oubre enters the game for O. Porter,,21-19,,
2:59.0,,,21-19,,Defensive rebound by N. Stauskas
2:47.0,,,21-21,2,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas)
2:31.0,B. Bogdanovic misses 2-pt shot from 9 ft,,21-21,,
2:28.0,,,21-21,,Defensive rebound by R. Holmes
2:09.0,,,21-21,,N. Stauskas misses 2-pt shot from 20 ft
2:06.0,Defensive rebound by I. Mahinmi,,21-21,,
1:59.0,J. Wall misses 2-pt shot from 16 ft,,21-21,,
1:58.0,,,21-21,,Defensive rebound by D. Saric
1:51.0,,,21-21,,Turnover by D. Saric (bad pass)
1:51.0,Washington full timeout,,21-21,,
1:51.0,,,21-21,,R. Covington enters the game for D. Saric
1:51.0,T. Burke enters the game for B. Beal,,21-21,,
1:41.0,J. Wall makes 2-pt shot at rim,2,23-21,,
1:41.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Wall),,23-21,,
1:41.0,J. Wall makes free throw 1 of 1,1,24-21,,
1:26.0,,,24-24,3,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by S. Rodriguez)
1:08.0,,,24-24,,Def 3 sec tech foul by R. Holmes
1:08.0,J. Wall makes technical free throw,1,25-24,,
0:59.0,T. Burke misses 2-pt shot from 15 ft,,25-24,,
0:58.0,,,25-24,,Defensive rebound by R. Covington
0:52.0,Personal foul by I. Mahinmi (drawn by S. Rodriguez),,25-24,,
0:43.0,Shooting block foul by T. Burke (drawn by N. Stauskas),,25-24,,
0:43.0,,,25-25,1,N. Stauskas makes free throw 1 of 2
0:43.0,,,25-26,1,N. Stauskas makes free throw 2 of 2
0:32.0,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall),3,28-26,,
0:09.0,,,28-26,,N. Stauskas misses 3-pt shot from 24 ft
0:08.0,,,28-26,,Offensive rebound by R. Holmes
0:05.0,,,28-26,,S. Rodriguez misses 3-pt shot from 24 ft
