time,Indiana,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Turner (R. Anderson gains possession),,,,Jump ball: C. Capela vs. M. Turner (R. Anderson gains possession)
11:47.0,,,0-0,,Turnover by C. Capela (bad pass; steal by P. George)
11:41.0,,,0-0,,Personal foul by C. Capela (drawn by P. George)
11:41.0,Turnover by J. Teague (bad pass),,0-0,,
11:31.0,,,0-0,,P. Beverley misses 3-pt shot from 23 ft
11:30.0,,,0-0,,Offensive rebound by J. Harden
11:26.0,,,0-0,,T. Ariza misses 3-pt shot from 24 ft
11:25.0,,,0-0,,Offensive rebound by Team
11:16.0,,,0-2,2,C. Capela makes 2-pt shot from 3 ft (assist by P. Beverley)
11:07.0,Turnover by J. Teague (bad pass),,0-2,,
10:55.0,,,0-2,,Shooting foul by T. Young (drawn by R. Anderson)
10:55.0,,,0-3,1,R. Anderson makes free throw 1 of 2
10:55.0,,,0-4,1,R. Anderson makes free throw 2 of 2
10:34.0,T. Young misses 2-pt shot from 7 ft,,0-4,,
10:33.0,,,0-4,,Defensive rebound by C. Capela
10:24.0,,,0-7,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden)
9:59.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,2-7,,
9:35.0,,,2-7,,Turnover by Team (shot clock)
9:25.0,Turnover by P. George (lost ball; steal by C. Capela),,2-7,,
9:20.0,,,2-9,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
9:09.0,C. Miles misses 3-pt shot from 25 ft,,2-9,,
9:08.0,,,2-9,,Defensive rebound by P. Beverley
8:59.0,,,2-11,2,R. Anderson makes 2-pt shot from 20 ft (assist by J. Harden)
8:59.0,Indiana full timeout,,2-11,,
8:46.0,J. Teague misses 2-pt shot from 22 ft,,2-11,,
8:45.0,,,2-11,,Defensive rebound by R. Anderson
8:41.0,,,2-11,,Shooting foul by P. George (drawn by J. Harden)
8:41.0,,,2-12,1,J. Harden makes free throw 1 of 3
8:41.0,,,2-13,1,J. Harden makes free throw 2 of 3
8:41.0,,,2-14,1,J. Harden makes free throw 3 of 3
8:25.0,T. Young misses 2-pt shot from 10 ft,,2-14,,
8:23.0,,,2-14,,Defensive rebound by P. Beverley
8:20.0,,,2-14,,Turnover by C. Capela (lost ball; steal by T. Young)
8:10.0,T. Young misses 2-pt shot from 2 ft,,2-14,,
8:09.0,,,2-14,,Defensive rebound by C. Capela
8:01.0,,,2-14,,J. Harden misses 3-pt shot from 26 ft
8:00.0,Defensive rebound by P. George,,2-14,,
7:57.0,Turnover by P. George (bad pass),,2-14,,
7:44.0,,,2-14,,R. Anderson misses 2-pt shot from 20 ft
7:43.0,Defensive rebound by T. Young,,2-14,,
7:36.0,C. Miles misses 2-pt shot at rim,,2-14,,
7:35.0,,,2-14,,Defensive rebound by C. Capela
7:24.0,,,2-14,,Shooting foul by C. Miles (drawn by J. Harden)
7:24.0,,,2-15,1,J. Harden makes free throw 1 of 2
7:24.0,,,2-16,1,J. Harden makes free throw 2 of 2
7:14.0,P. George misses 2-pt shot from 17 ft,,2-16,,
7:13.0,,,2-16,,Defensive rebound by P. Beverley
7:06.0,,,2-16,,T. Ariza misses 3-pt shot from 25 ft
7:05.0,,,2-16,,Offensive rebound by R. Anderson
7:03.0,,,2-18,2,R. Anderson makes 2-pt shot from 2 ft
6:53.0,J. Teague misses 2-pt shot from 2 ft,,2-18,,
6:51.0,,,2-18,,Defensive rebound by C. Capela
6:37.0,,,2-18,,P. Beverley misses 3-pt shot from 23 ft
6:36.0,Defensive rebound by J. Teague,,2-18,,
6:18.0,T. Young misses 2-pt shot from 6 ft,,2-18,,
6:17.0,Offensive rebound by T. Young,,2-18,,
6:12.0,Turnover by T. Young (lost ball; steal by P. Beverley),,2-18,,
6:05.0,,,2-18,,J. Harden misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by M. Turner,,2-18,,
6:02.0,,,2-18,,Personal foul by J. Harden (drawn by J. Teague)
6:02.0,,,2-18,,N. Hilario enters the game for C. Capela
6:02.0,,,2-18,,E. Gordon enters the game for P. Beverley
5:53.0,,,2-18,,Violation by T. Ariza (kicked ball)
5:53.0,L. Allen enters the game for T. Young,,2-18,,
5:53.0,M. Ellis enters the game for C. Miles,,2-18,,
5:43.0,M. Ellis misses 2-pt shot from 20 ft,,2-18,,
5:41.0,Offensive rebound by L. Allen,,2-18,,
5:40.0,L. Allen makes 2-pt shot from 1 ft,2,4-18,,
5:24.0,,,4-20,2,N. Hilario makes 2-pt shot from 3 ft (assist by J. Harden)
5:05.0,J. Teague misses 3-pt shot from 23 ft,,4-20,,
5:04.0,,,4-20,,Defensive rebound by T. Ariza
4:57.0,,,4-20,,R. Anderson misses 3-pt shot from 28 ft
4:56.0,Defensive rebound by M. Turner,,4-20,,
4:47.0,P. George makes 3-pt shot from 25 ft (assist by M. Ellis),3,7-20,,
4:37.0,Personal foul by P. George (drawn by J. Harden),,7-20,,
4:37.0,R. Christmas enters the game for M. Turner,,7-20,,
4:37.0,,,7-20,,L. Williams enters the game for R. Anderson
4:37.0,G. Robinson enters the game for P. George,,7-20,,
4:26.0,,,7-20,,L. Williams misses 3-pt shot from 26 ft
4:25.0,Defensive rebound by M. Ellis,,7-20,,
4:19.0,G. Robinson makes 3-pt shot from 25 ft (assist by M. Ellis),3,10-20,,
4:00.0,,,10-22,2,E. Gordon makes 2-pt shot from 2 ft (assist by J. Harden)
3:43.0,L. Allen misses 2-pt shot from 21 ft,,10-22,,
3:43.0,Offensive rebound by Team,,10-22,,
3:43.0,,,10-22,,Personal foul by N. Hilario (drawn by R. Christmas)
3:43.0,R. Stuckey enters the game for J. Teague,,10-22,,
3:33.0,L. Allen makes 2-pt shot from 1 ft (assist by M. Ellis),2,12-22,,
3:20.0,,,12-22,,N. Hilario misses 2-pt shot at rim
3:17.0,Defensive rebound by L. Allen,,12-22,,
3:13.0,R. Stuckey makes 2-pt shot at rim,2,14-22,,
3:00.0,,,14-24,2,J. Harden makes 2-pt shot from 2 ft
2:46.0,M. Ellis makes 2-pt shot from 1 ft (assist by L. Allen),2,16-24,,
2:29.0,,,16-24,,Turnover by J. Harden (bad pass; steal by R. Stuckey)
2:26.0,R. Stuckey makes 2-pt shot from 2 ft,2,18-24,,
2:26.0,,,18-24,,Houston full timeout
2:26.0,,,18-24,,S. Dekker enters the game for T. Ariza
2:17.0,,,18-24,,E. Gordon misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by G. Robinson,,18-24,,
2:05.0,R. Stuckey misses 3-pt shot from 23 ft,,18-24,,
2:04.0,Offensive rebound by L. Allen,,18-24,,
1:54.0,R. Christmas makes 2-pt shot from 1 ft (assist by M. Ellis),2,20-24,,
1:30.0,,,20-26,2,N. Hilario makes 2-pt shot from 1 ft (assist by L. Williams)
1:15.0,L. Allen misses 2-pt shot from 7 ft,,20-26,,
1:14.0,,,20-26,,Defensive rebound by N. Hilario
1:06.0,,,20-26,,N. Hilario misses 2-pt shot from 17 ft
1:05.0,Defensive rebound by R. Stuckey,,20-26,,
0:59.0,R. Stuckey misses 2-pt shot from 5 ft (block by N. Hilario),,20-26,,
0:58.0,,,20-26,,Defensive rebound by Team
0:49.0,,,20-26,,J. Harden misses 2-pt shot from 4 ft
0:49.0,,,20-26,,Offensive rebound by Team
0:44.0,,,20-26,,Shooting foul by R. Christmas (drawn by N. Hilario)
0:44.0,,,20-27,1,N. Hilario makes free throw 1 of 2
0:44.0,,,20-28,1,N. Hilario makes free throw 2 of 2
0:28.0,Turnover by R. Stuckey (bad pass),,20-28,,
0:10.0,,,20-28,,J. Harden misses 2-pt shot from 3 ft
0:09.0,,,20-28,,Offensive rebound by N. Hilario
0:08.0,,,20-28,,N. Hilario misses 2-pt shot at rim
0:08.0,,,20-28,,Offensive rebound by N. Hilario
0:08.0,,,20-30,2,N. Hilario makes 2-pt shot at rim
0:08.0,,,20-30,,Shooting foul by L. Allen (drawn by N. Hilario)
0:08.0,,,20-31,1,N. Hilario makes free throw 1 of 1
0:02.0,R. Stuckey misses 2-pt shot from 1 ft,,20-31,,
0:02.0,Offensive rebound by L. Allen,,20-31,,
0:01.0,L. Allen misses 2-pt shot from 1 ft,,20-31,,
0:01.0,Offensive rebound by Team,,20-31,,
0:01.0,L. Allen misses 2-pt shot from 1 ft,,20-31,,
0:00.0,Offensive rebound by Team,,20-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Stuckey misses 3-pt shot from 23 ft,,20-31,,
11:43.0,,,20-31,,Defensive rebound by L. Williams
11:39.0,,,20-31,,Shooting foul by G. Robinson
11:39.0,,,20-33,2,L. Williams makes 2-pt shot from 16 ft
