time,Golden State,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Okafor vs. Z. Pachulia (T. McConnell gains possession),,,,Jump ball: J. Okafor vs. Z. Pachulia (T. McConnell gains possession)
11:48.0,,,0-0,,D. Saric misses 2-pt shot at rim
11:47.0,Defensive rebound by D. Green,,0-0,,
11:40.0,K. Thompson misses 3-pt shot from 25 ft,,0-0,,
11:37.0,Offensive rebound by S. Curry,,0-0,,
11:32.0,Shooting foul by T. McConnell (drawn by S. Curry),,0-0,,
11:32.0,S. Curry makes free throw 1 of 3,1,1-0,,
11:32.0,S. Curry makes free throw 2 of 3,1,2-0,,
11:32.0,S. Curry makes free throw 3 of 3,1,3-0,,
11:15.0,,,3-0,,Turnover by J. Okafor (lost ball; steal by Z. Pachulia)
11:05.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,5-0,,
10:51.0,,,5-3,3,R. Covington makes 3-pt shot from 26 ft (assist by D. Saric)
10:31.0,Shooting foul by R. Covington (drawn by Z. Pachulia),,5-3,,
10:31.0,Z. Pachulia makes free throw 1 of 2,1,6-3,,
10:31.0,Z. Pachulia makes free throw 2 of 2,1,7-3,,
10:16.0,,,7-6,3,G. Henderson makes 3-pt shot from 23 ft (assist by D. Saric)
10:16.0,,,7-6,,Shooting foul by D. Green (drawn by G. Henderson)
10:16.0,,,7-7,1,G. Henderson makes free throw 1 of 1
10:10.0,S. Curry misses 3-pt shot from 25 ft,,7-7,,
10:09.0,,,7-7,,Defensive rebound by Team
9:47.0,,,7-7,,Offensive foul by J. Okafor
9:47.0,,,7-7,,Turnover by J. Okafor (offensive foul)
9:29.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,9-7,,
9:10.0,,,9-7,,D. Saric misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by K. Durant,,9-7,,
9:02.0,Turnover by K. Durant (lost ball; steal by R. Covington),,9-7,,
8:57.0,,,9-9,2,J. Okafor makes 2-pt shot from 1 ft (assist by G. Henderson)
8:44.0,K. Thompson makes 2-pt shot from 21 ft (assist by Z. Pachulia),2,11-9,,
8:26.0,,,11-11,2,D. Saric makes 2-pt shot from 1 ft (assist by J. Okafor)
8:12.0,Z. Pachulia makes 2-pt shot from 4 ft (assist by K. Thompson),2,13-11,,
7:54.0,,,13-11,,T. McConnell misses 2-pt shot from 17 ft
7:53.0,Defensive rebound by Z. Pachulia,,13-11,,
7:47.0,K. Durant makes 2-pt shot from 4 ft,2,15-11,,
7:32.0,,,15-13,2,T. McConnell makes 2-pt shot from 8 ft
7:21.0,Shooting foul by T. McConnell (drawn by D. Green),,15-13,,
7:21.0,D. Green makes free throw 1 of 2,1,16-13,,
7:21.0,D. Green makes free throw 2 of 2,1,17-13,,
7:21.0,,,16-13,,S. Rodriguez enters the game for T. McConnell
7:21.0,,,16-13,,N. Stauskas enters the game for G. Henderson
7:05.0,,,17-15,2,J. Okafor makes 2-pt shot at rim
6:54.0,Z. Pachulia makes 2-pt shot at rim (assist by K. Durant),2,19-15,,
6:31.0,,,19-18,3,N. Stauskas makes 3-pt shot from 24 ft (assist by R. Covington)
6:13.0,Shooting foul by J. Okafor (drawn by Z. Pachulia),,19-18,,
6:13.0,Z. Pachulia makes free throw 1 of 2,1,20-18,,
6:13.0,Z. Pachulia misses free throw 2 of 2,,20-18,,
6:13.0,,,20-18,,R. Holmes enters the game for J. Okafor
6:11.0,Offensive rebound by K. Durant,,20-18,,
6:07.0,D. Green misses 3-pt shot from 26 ft,,20-18,,
6:04.0,Offensive rebound by K. Thompson,,20-18,,
5:58.0,K. Thompson misses 3-pt shot from 25 ft,,20-18,,
5:57.0,,,20-18,,Defensive rebound by R. Covington
5:47.0,,,20-21,3,S. Rodriguez makes 3-pt shot from 25 ft (assist by D. Saric)
5:36.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,22-21,,
5:36.0,,,22-21,,Philadelphia full timeout
