time,Portland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Nurkic (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. J. Nurkic (R. Jackson gains possession)
11:39.0,,,0-0,,A. Drummond misses 2-pt shot from 8 ft
11:37.0,Defensive rebound by D. Lillard,,0-0,,
11:18.0,M. Harkless misses 2-pt shot at rim,,0-0,,
11:18.0,,,0-0,,Defensive rebound by M. Morris
11:10.0,,,0-0,,J. Leuer misses 2-pt shot from 7 ft
11:09.0,Defensive rebound by J. Nurkic,,0-0,,
11:01.0,Turnover by C. McCollum (lost ball),,0-0,,
10:41.0,,,0-2,2,M. Morris makes 2-pt shot from 13 ft
10:22.0,N. Vonleh makes 2-pt shot from 5 ft,2,2-2,,
10:04.0,,,2-2,,M. Morris misses 3-pt shot from 26 ft
10:04.0,Defensive rebound by N. Vonleh,,2-2,,
9:54.0,Offensive foul by J. Nurkic,,2-2,,
9:54.0,Turnover by J. Nurkic (offensive foul),,2-2,,
9:44.0,,,2-2,,R. Jackson misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by M. Harkless,,2-2,,
9:31.0,Shooting foul by J. Leuer (drawn by N. Vonleh),,2-2,,
9:31.0,N. Vonleh makes free throw 1 of 2,1,3-2,,
9:31.0,N. Vonleh misses free throw 2 of 2,,3-2,,
9:30.0,Offensive rebound by J. Nurkic,,3-2,,
9:23.0,D. Lillard misses 3-pt shot from 26 ft,,3-2,,
9:23.0,,,3-2,,Defensive rebound by M. Morris
9:20.0,,,3-2,,Offensive foul by A. Drummond
9:20.0,,,3-2,,Turnover by A. Drummond (offensive foul)
9:08.0,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard),2,5-2,,
8:47.0,,,5-2,,A. Drummond misses 2-pt shot at rim
8:45.0,Defensive rebound by M. Harkless,,5-2,,
8:41.0,M. Harkless makes 2-pt shot from 1 ft,2,7-2,,
8:26.0,,,7-2,,A. Drummond misses 2-pt shot from 3 ft (block by J. Nurkic)
8:24.0,Defensive rebound by D. Lillard,,7-2,,
8:12.0,M. Harkless misses 3-pt shot from 26 ft,,7-2,,
8:12.0,Offensive rebound by N. Vonleh,,7-2,,
8:05.0,J. Nurkic makes 2-pt shot from 21 ft (assist by N. Vonleh),2,9-2,,
7:47.0,,,9-2,,A. Drummond misses 2-pt shot from 9 ft
7:46.0,Defensive rebound by C. McCollum,,9-2,,
7:30.0,J. Nurkic misses 2-pt shot from 17 ft,,9-2,,
7:30.0,,,9-2,,Defensive rebound by J. Leuer
7:16.0,,,9-2,,R. Jackson misses 2-pt shot at rim
7:14.0,Defensive rebound by M. Harkless,,9-2,,
7:06.0,J. Nurkic misses 2-pt shot from 1 ft,,9-2,,
7:06.0,,,9-2,,Defensive rebound by A. Drummond
6:52.0,,,9-2,,M. Morris misses 2-pt shot from 17 ft
6:51.0,,,9-2,,Offensive rebound by A. Drummond
6:48.0,,,9-4,2,A. Drummond makes 2-pt shot from 5 ft
6:30.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,12-4,,
6:11.0,,,12-4,,A. Drummond misses 2-pt shot from 7 ft
6:09.0,Defensive rebound by D. Lillard,,12-4,,
5:58.0,D. Lillard makes 2-pt shot from 14 ft,2,14-4,,
5:58.0,,,14-4,,Detroit full timeout
5:58.0,,,14-4,,T. Harris enters the game for J. Leuer
5:46.0,,,14-6,2,A. Drummond makes 2-pt shot at rim
5:23.0,Shooting foul by T. Harris (drawn by J. Nurkic),,14-6,,
5:23.0,J. Nurkic makes free throw 1 of 2,1,15-6,,
5:23.0,J. Nurkic misses free throw 2 of 2,,15-6,,
5:23.0,A. Crabbe enters the game for C. McCollum,,15-6,,
5:22.0,,,15-6,,Defensive rebound by A. Drummond
5:06.0,,,15-6,,Turnover by R. Jackson (lost ball; steal by D. Lillard)
4:58.0,Shooting foul by A. Drummond (drawn by M. Harkless),,15-6,,
4:58.0,M. Harkless misses free throw 1 of 2,,15-6,,
4:58.0,Offensive rebound by Team,,15-6,,
4:58.0,M. Harkless misses free throw 2 of 2,,15-6,,
4:58.0,M. Leonard enters the game for J. Nurkic,,15-6,,
4:58.0,,,15-6,,A. Baynes enters the game for A. Drummond
4:57.0,,,15-6,,Defensive rebound by K. Caldwell-Pope
4:45.0,,,15-6,,Turnover by R. Jackson (bad pass; steal by A. Crabbe)
4:35.0,D. Lillard misses 2-pt shot from 7 ft,,15-6,,
4:33.0,Offensive rebound by D. Lillard,,15-6,,
4:28.0,M. Leonard makes 3-pt shot from 26 ft (assist by D. Lillard),3,18-6,,
4:15.0,,,18-6,,Shooting foul by N. Vonleh (drawn by M. Morris)
4:15.0,,,18-6,,M. Morris misses free throw 1 of 2
4:15.0,,,18-6,,Offensive rebound by Team
4:15.0,,,18-7,1,M. Morris makes free throw 2 of 2
4:15.0,,,18-6,,I. Smith enters the game for R. Jackson
3:59.0,M. Leonard makes 2-pt shot from 15 ft (assist by D. Lillard),2,20-7,,
3:48.0,,,20-7,,K. Caldwell-Pope misses 3-pt shot from 27 ft
3:47.0,Defensive rebound by D. Lillard,,20-7,,
3:38.0,D. Lillard misses 2-pt shot from 19 ft,,20-7,,
3:35.0,,,20-7,,Defensive rebound by M. Morris
3:29.0,,,20-10,3,M. Morris makes 3-pt shot from 25 ft (assist by I. Smith)
3:08.0,D. Lillard makes 2-pt shot from 5 ft,2,22-10,,
2:58.0,Personal foul by A. Crabbe (drawn by K. Caldwell-Pope),,22-10,,
2:58.0,Portland full timeout,,22-10,,
2:58.0,,,22-10,,S. Johnson enters the game for K. Caldwell-Pope
2:58.0,A. Aminu enters the game for N. Vonleh,,22-10,,
2:58.0,C. McCollum enters the game for M. Harkless,,22-10,,
2:58.0,S. Napier enters the game for D. Lillard,,22-10,,
2:48.0,,,22-10,,T. Harris misses 2-pt shot at rim
2:48.0,Defensive rebound by A. Aminu,,22-10,,
2:35.0,C. McCollum makes 2-pt shot from 19 ft,2,24-10,,
2:22.0,,,24-10,,T. Harris misses 3-pt shot from 26 ft
2:21.0,Defensive rebound by M. Leonard,,24-10,,
2:08.0,Turnover by A. Aminu (back court),,24-10,,
1:53.0,,,24-10,,I. Smith misses 2-pt shot from 18 ft
1:53.0,Defensive rebound by M. Leonard,,24-10,,
1:34.0,S. Napier misses 3-pt shot from 24 ft,,24-10,,
1:34.0,,,24-10,,Defensive rebound by M. Morris
1:29.0,,,24-12,2,A. Baynes makes 2-pt shot from 1 ft (assist by I. Smith)
1:29.0,,,24-12,,Shooting foul by M. Leonard (drawn by A. Baynes)
1:29.0,,,24-12,,A. Baynes misses free throw 1 of 1
1:29.0,,,24-12,,Offensive rebound by M. Morris
1:27.0,,,24-14,2,M. Morris makes 2-pt shot from 1 ft
1:17.0,,,24-14,,Personal foul by A. Baynes (drawn by M. Leonard)
1:09.0,C. McCollum makes 3-pt shot from 26 ft (assist by A. Aminu),3,27-14,,
0:54.0,,,27-14,,S. Johnson misses 2-pt shot from 13 ft
0:53.0,Defensive rebound by A. Aminu,,27-14,,
0:37.0,Turnover by A. Aminu (bad pass; steal by I. Smith),,27-14,,
0:30.0,,,27-14,,T. Harris misses 2-pt shot from 1 ft (block by A. Aminu)
0:30.0,,,27-14,,Offensive rebound by M. Morris
0:30.0,,,27-16,2,M. Morris makes 2-pt shot from 1 ft
0:12.0,C. McCollum misses 2-pt shot from 2 ft (block by A. Baynes),,27-16,,
0:11.0,,,27-16,,Defensive rebound by A. Baynes
0:07.0,,,27-19,3,S. Johnson makes 3-pt shot from 24 ft (assist by T. Harris)
0:00.0,Turnover by C. McCollum (traveling),,27-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by C. McCollum (bad pass; steal by I. Smith),,27-19,,
11:24.0,,,27-19,,J. Leuer misses 2-pt shot from 18 ft
11:22.0,Defensive rebound by S. Napier,,27-19,,
11:16.0,Turnover by S. Napier (lost ball),,27-19,,
11:02.0,,,27-19,,I. Smith misses 2-pt shot from 17 ft
11:02.0,Defensive rebound by S. Napier,,27-19,,
10:49.0,Turnover by M. Leonard (step out of bounds),,27-19,,
10:43.0,Personal foul by C. McCollum (drawn by J. Leuer),,27-19,,
10:32.0,,,27-19,,S. Johnson misses 2-pt shot from 17 ft
10:32.0,Defensive rebound by S. Napier,,27-19,,
10:14.0,C. McCollum misses 2-pt shot from 15 ft,,27-19,,
10:13.0,,,27-19,,Defensive rebound by J. Leuer
10:01.0,,,27-21,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by I. Smith)
9:48.0,C. McCollum makes 2-pt shot from 1 ft (assist by M. Leonard),2,29-21,,
9:32.0,,,29-21,,J. Leuer misses 2-pt shot from 11 ft (block by M. Leonard)
9:31.0,Defensive rebound by M. Leonard,,29-21,,
9:18.0,A. Aminu misses 3-pt shot from 24 ft,,29-21,,
9:17.0,,,29-21,,Defensive rebound by J. Leuer
9:04.0,,,29-23,2,A. Baynes makes 2-pt shot from 17 ft (assist by S. Johnson)
9:03.0,Portland full timeout,,29-23,,
8:53.0,C. McCollum makes 2-pt shot from 1 ft,2,31-23,,
