time,Utah,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Gobert (A. Abrines gains possession),,,,Jump ball: S. Adams vs. R. Gobert (A. Abrines gains possession)
11:47.0,,,0-3,3,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook)
11:21.0,R. Hood makes 3-pt shot from 25 ft,3,3-3,,
11:06.0,,,3-3,,Turnover by S. Adams (lost ball)
10:50.0,R. Gobert misses 2-pt shot from 2 ft,,3-3,,
10:50.0,,,3-3,,Defensive rebound by Team
10:37.0,,,3-3,,D. Sabonis misses 2-pt shot from 16 ft
10:37.0,Defensive rebound by R. Gobert,,3-3,,
10:23.0,R. Hood misses 2-pt shot from 1 ft (block by S. Adams),,3-3,,
10:23.0,Offensive rebound by Team,,3-3,,
10:17.0,,,3-3,,Personal foul by A. Abrines (drawn by R. Gobert)
10:06.0,G. Hayward misses 3-pt shot from 25 ft,,3-3,,
10:06.0,,,3-3,,Defensive rebound by R. Westbrook
9:54.0,,,3-6,3,R. Westbrook makes 3-pt shot from 25 ft
9:28.0,D. Favors misses 2-pt shot from 5 ft,,3-6,,
9:27.0,Offensive rebound by R. Gobert,,3-6,,
9:27.0,R. Gobert makes 2-pt shot from 1 ft,2,5-6,,
9:12.0,Violation by D. Favors (kicked ball),,5-6,,
9:03.0,,,5-6,,R. Westbrook misses 2-pt shot from 16 ft
9:02.0,Defensive rebound by R. Hood,,5-6,,
8:52.0,R. Hood misses 2-pt shot from 12 ft,,5-6,,
8:52.0,,,5-6,,Defensive rebound by S. Adams
8:44.0,,,5-9,3,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook)
8:19.0,G. Hill makes 2-pt shot from 1 ft (assist by D. Favors),2,7-9,,
8:00.0,,,7-11,2,D. Sabonis makes 2-pt shot from 8 ft (assist by R. Westbrook)
7:46.0,G. Hill misses 2-pt shot from 13 ft,,7-11,,
7:46.0,,,7-11,,Defensive rebound by A. Roberson
7:32.0,,,7-14,3,A. Roberson makes 3-pt shot from 25 ft (assist by S. Adams)
7:05.0,R. Hood makes 3-pt shot from 26 ft,3,10-14,,
6:39.0,,,10-16,2,R. Westbrook makes 2-pt shot from 10 ft
6:38.0,Utah full timeout,,10-16,,
6:38.0,,,10-16,,E. Kanter enters the game for D. Sabonis
6:38.0,J. Johnson enters the game for D. Favors,,10-16,,
6:20.0,J. Johnson makes 2-pt shot from 18 ft,2,12-16,,
5:59.0,,,12-19,3,R. Westbrook makes 3-pt shot from 25 ft (assist by S. Adams)
5:38.0,R. Gobert makes 2-pt shot from 3 ft (assist by G. Hayward),2,14-19,,
5:17.0,,,14-19,,Turnover by A. Roberson (bad pass; steal by G. Hayward)
5:11.0,G. Hayward makes 2-pt shot from 5 ft,2,16-19,,
4:52.0,,,16-19,,E. Kanter misses 2-pt shot from 5 ft
4:52.0,,,16-19,,Offensive rebound by Team
4:52.0,Loose ball foul by J. Johnson (drawn by S. Adams),,16-19,,
