time,Denver,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. T. Maker (M. Brogdon gains possession),,,,Jump ball: N. Jokic vs. T. Maker (M. Brogdon gains possession)
11:40.0,,,0-0,,T. Maker misses 2-pt shot from 6 ft
11:39.0,Defensive rebound by N. Jokic,,0-0,,
11:23.0,G. Harris makes 2-pt shot at rim,2,2-0,,
10:59.0,,,2-0,,T. Snell misses 2-pt shot from 2 ft
10:57.0,Defensive rebound by D. Gallinari,,2-0,,
10:41.0,N. Jokic makes 2-pt shot at rim (assist by J. Murray),2,4-0,,
10:19.0,,,4-3,3,T. Maker makes 3-pt shot from 26 ft (assist by T. Snell)
10:02.0,D. Gallinari makes 2-pt shot from 1 ft (assist by N. Jokic),2,6-3,,
9:41.0,,,6-3,,R. Vaughn misses 2-pt shot from 19 ft
9:40.0,Defensive rebound by W. Chandler,,6-3,,
9:26.0,J. Murray makes 3-pt shot from 27 ft (assist by G. Harris),3,9-3,,
9:09.0,,,9-5,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
8:54.0,G. Harris misses 2-pt shot from 2 ft,,9-5,,
8:52.0,,,9-5,,Defensive rebound by T. Maker
8:45.0,,,9-5,,M. Brogdon misses 2-pt shot from 3 ft
8:43.0,Defensive rebound by D. Gallinari,,9-5,,
8:38.0,D. Gallinari makes 2-pt shot from 1 ft (assist by G. Harris),2,11-5,,
8:21.0,,,11-5,,M. Brogdon misses 2-pt shot at rim
8:19.0,Defensive rebound by N. Jokic,,11-5,,
8:13.0,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Murray),3,14-5,,
8:13.0,,,14-5,,Milwaukee full timeout
7:52.0,,,14-5,,M. Brogdon misses 2-pt shot from 1 ft (block by J. Murray)
7:50.0,,,14-5,,Offensive rebound by M. Brogdon
7:49.0,,,14-5,,M. Brogdon misses 2-pt shot from 2 ft
7:49.0,,,14-5,,Offensive rebound by Team
7:44.0,,,14-5,,G. Antetokounmpo misses 2-pt shot from 6 ft
7:43.0,Defensive rebound by N. Jokic,,14-5,,
7:36.0,J. Murray makes 2-pt shot from 1 ft,2,16-5,,
7:26.0,,,16-5,,T. Snell misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by G. Harris,,16-5,,
7:18.0,,,16-5,,Personal block foul by T. Snell (drawn by D. Gallinari)
7:18.0,,,16-5,,M. Dellavedova enters the game for M. Brogdon
7:18.0,,,16-5,,G. Monroe enters the game for T. Maker
7:13.0,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic),2,18-5,,
