time,Detroit,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:37.0,,,0-0,,J. Holiday misses 3-pt shot from 27 ft
12:00.0,Jump ball: A. Davis vs. A. Drummond (H. Thompson gains possession),,,,Jump ball: A. Davis vs. A. Drummond (H. Thompson gains possession)
11:36.0,Defensive rebound by A. Drummond,,0-0,,
11:19.0,R. Jackson misses 2-pt shot from 15 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by H. Thompson
11:04.0,,,0-0,,Turnover by S. Hill (bad pass; steal by K. Caldwell-Pope)
11:02.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,2-0,,
10:53.0,,,2-0,,Turnover by S. Hill (bad pass; steal by A. Drummond)
10:46.0,J. Leuer makes 2-pt shot from 2 ft (assist by R. Jackson),2,4-0,,
10:24.0,,,4-0,,Turnover by J. Holiday (bad pass; steal by M. Morris)
10:07.0,A. Drummond misses 2-pt shot from 13 ft,,4-0,,
10:06.0,,,4-0,,Defensive rebound by S. Hill
9:56.0,,,4-2,2,J. Holiday makes 2-pt shot from 2 ft
9:37.0,J. Leuer makes 2-pt shot from 12 ft (assist by R. Jackson),2,6-2,,
9:21.0,Personal foul by M. Morris (drawn by H. Thompson),,6-2,,
9:15.0,,,6-4,2,J. Holiday makes 2-pt shot from 16 ft
9:00.0,R. Jackson makes 2-pt shot from 12 ft,2,8-4,,
8:52.0,,,8-4,,A. Davis misses 2-pt shot from 19 ft
8:50.0,Defensive rebound by M. Morris,,8-4,,
8:43.0,Shooting foul by A. Davis (drawn by A. Drummond),,8-4,,
8:43.0,A. Drummond misses free throw 1 of 2,,8-4,,
8:43.0,Offensive rebound by Team,,8-4,,
8:43.0,A. Drummond misses free throw 2 of 2,,8-4,,
8:43.0,,,8-4,,A. Ajinca enters the game for D. Cunningham
8:42.0,,,8-4,,Defensive rebound by A. Davis
8:35.0,,,8-6,2,A. Davis makes 2-pt shot from 5 ft
8:22.0,M. Morris misses 2-pt shot from 17 ft,,8-6,,
8:20.0,,,8-6,,Defensive rebound by A. Davis
8:06.0,,,8-6,,J. Holiday misses 2-pt shot from 19 ft
8:04.0,Defensive rebound by A. Drummond,,8-6,,
7:59.0,J. Leuer makes 2-pt shot from 16 ft (assist by R. Jackson),2,10-6,,
7:44.0,,,10-6,,Shooting foul by A. Drummond (drawn by A. Ajinca)
7:44.0,,,10-7,1,A. Ajinca makes free throw 1 of 2
7:44.0,,,10-8,1,A. Ajinca makes free throw 2 of 2
7:21.0,R. Jackson misses 2-pt shot from 12 ft,,10-8,,
7:20.0,Offensive rebound by A. Drummond,,10-8,,
7:19.0,A. Drummond makes 2-pt shot from 1 ft,2,12-8,,
7:03.0,,,12-8,,Shooting foul by J. Leuer (drawn by A. Davis)
7:03.0,,,12-9,1,A. Davis makes free throw 1 of 2
7:03.0,,,12-10,1,A. Davis makes free throw 2 of 2
6:50.0,R. Jackson misses 2-pt shot from 11 ft,,12-10,,
6:49.0,,,12-10,,Defensive rebound by A. Ajinca
6:39.0,,,12-10,,S. Hill misses 2-pt shot from 2 ft
6:37.0,Defensive rebound by J. Leuer,,12-10,,
6:31.0,J. Leuer misses 2-pt shot from 2 ft,,12-10,,
6:28.0,,,12-10,,Defensive rebound by S. Hill
6:24.0,,,12-10,,Shooting foul by R. Jackson (drawn by A. Davis)
6:24.0,,,12-11,1,A. Davis makes free throw 1 of 2
6:24.0,,,12-12,1,A. Davis makes free throw 2 of 2
6:10.0,K. Caldwell-Pope misses 2-pt shot from 22 ft,,12-12,,
6:06.0,,,12-12,,Defensive rebound by A. Ajinca
5:52.0,,,12-12,,Shooting foul by R. Jackson (drawn by A. Davis)
5:52.0,,,12-12,,New Orleans full timeout
5:52.0,,,12-13,1,A. Davis makes free throw 1 of 2
5:52.0,,,12-14,1,A. Davis makes free throw 2 of 2
5:52.0,I. Smith enters the game for R. Jackson,,12-12,,
5:38.0,J. Leuer misses 3-pt shot from 24 ft,,12-14,,
5:32.0,,,12-14,,Defensive rebound by Team
5:19.0,,,12-14,,A. Ajinca misses 2-pt shot from 16 ft
5:16.0,,,12-14,,Offensive rebound by J. Holiday
5:11.0,,,12-16,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday)
5:03.0,Detroit full timeout,,12-16,,
5:03.0,,,12-16,,E. Moore enters the game for H. Thompson
