time,Utah,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. R. Gobert (J. Johnson gains possession),,,,Jump ball: C. Capela vs. R. Gobert (J. Johnson gains possession)
11:43.0,R. Hood makes 2-pt shot from 17 ft,2,2-0,,
11:26.0,,,2-0,,Turnover by J. Harden (bad pass)
11:12.0,J. Johnson makes 3-pt shot from 24 ft (assist by G. Hayward),3,5-0,,
10:56.0,,,5-2,2,C. Capela makes 2-pt shot from 1 ft (assist by T. Ariza)
10:34.0,J. Johnson makes 2-pt shot from 10 ft,2,7-2,,
10:18.0,,,7-2,,T. Ariza misses 3-pt shot from 24 ft
10:16.0,,,7-2,,Offensive rebound by P. Beverley
10:06.0,,,7-4,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
9:40.0,R. Hood misses 3-pt shot from 24 ft,,7-4,,
9:38.0,,,7-4,,Defensive rebound by T. Ariza
9:26.0,,,7-6,2,J. Harden makes 2-pt shot from 1 ft
9:06.0,Turnover by D. Exum (bad pass; steal by E. Gordon),,7-6,,
9:05.0,Personal foul by G. Hayward (drawn by E. Gordon),,7-6,,
8:58.0,,,7-6,,Shooting foul by R. Gobert (drawn by T. Ariza)
8:58.0,,,7-7,1,T. Ariza makes free throw 1 of 2
8:58.0,,,7-8,1,T. Ariza makes free throw 2 of 2
8:49.0,,,7-8,,Personal foul by E. Gordon (drawn by G. Hayward)
8:39.0,D. Exum misses 3-pt shot from 25 ft,,7-8,,
8:37.0,Offensive rebound by R. Hood,,7-8,,
8:27.0,R. Hood misses 3-pt shot from 25 ft,,7-8,,
8:26.0,,,7-8,,Defensive rebound by J. Harden
8:17.0,,,7-8,,Turnover by J. Harden (bad pass; steal by R. Hood)
8:12.0,J. Johnson makes 2-pt shot from 1 ft (assist by R. Gobert),2,9-8,,
8:02.0,,,9-8,,P. Beverley misses 2-pt shot from 4 ft
8:01.0,Defensive rebound by R. Gobert,,9-8,,
7:57.0,Shooting foul by P. Beverley (drawn by D. Exum),,9-8,,
7:57.0,D. Exum makes free throw 1 of 2,1,10-8,,
7:57.0,D. Exum makes free throw 2 of 2,1,11-8,,
7:33.0,,,11-8,,P. Beverley misses 2-pt shot from 1 ft
7:32.0,,,11-8,,Offensive rebound by C. Capela
7:30.0,,,11-8,,C. Capela misses 2-pt shot from 1 ft
7:29.0,Defensive rebound by R. Gobert,,11-8,,
7:10.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,13-8,,
6:52.0,,,13-10,2,J. Harden makes 2-pt shot from 17 ft
6:32.0,J. Johnson misses 3-pt shot from 25 ft,,13-10,,
6:32.0,Offensive rebound by Team,,13-10,,
6:32.0,,,13-10,,Loose ball foul by C. Capela (drawn by R. Gobert)
6:32.0,R. Neto enters the game for D. Exum,,13-10,,
6:13.0,R. Neto misses 3-pt shot from 25 ft,,13-10,,
6:12.0,,,13-10,,Defensive rebound by C. Capela
6:06.0,,,13-12,2,E. Gordon makes 2-pt shot at rim
6:06.0,Utah full timeout,,13-12,,
6:06.0,,,13-12,,L. Williams enters the game for P. Beverley
5:48.0,Turnover by J. Johnson (bad pass; steal by J. Harden),,13-12,,
5:30.0,,,13-12,,J. Harden misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by G. Hayward,,13-12,,
5:23.0,R. Hood makes 2-pt shot from 1 ft (assist by G. Hayward),2,15-12,,
