time,LA Clippers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. K. Towns (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. K. Towns (B. Griffin gains possession)
11:48.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,2-0,,
11:21.0,,,2-0,,Turnover by Team (shot clock)
11:08.0,J. Redick misses 2-pt shot from 21 ft,,2-0,,
11:07.0,,,2-0,,Defensive rebound by S. Muhammad
10:49.0,,,2-0,,K. Towns misses 2-pt shot from 15 ft
10:48.0,,,2-0,,Offensive rebound by G. Dieng
10:48.0,,,2-2,2,G. Dieng makes 2-pt shot from 1 ft
10:33.0,J. Redick misses 2-pt shot from 5 ft,,2-2,,
10:32.0,,,2-2,,Defensive rebound by K. Towns
10:26.0,,,2-4,2,S. Muhammad makes 2-pt shot from 1 ft (assist by R. Rubio)
10:18.0,B. Griffin misses 2-pt shot from 20 ft,,2-4,,
10:17.0,,,2-4,,Defensive rebound by K. Towns
10:07.0,,,2-4,,G. Dieng misses 2-pt shot from 4 ft
10:05.0,Defensive rebound by C. Paul,,2-4,,
9:59.0,L. Mbah a Moute misses 2-pt shot from 19 ft,,2-4,,
9:57.0,,,2-4,,Defensive rebound by R. Rubio
9:48.0,,,2-6,2,R. Rubio makes 2-pt shot from 9 ft
9:48.0,,,2-6,,Shooting foul by C. Paul (drawn by R. Rubio)
9:48.0,,,2-7,1,R. Rubio makes free throw 1 of 1
9:36.0,J. Redick misses 2-pt shot from 17 ft,,2-7,,
9:35.0,,,2-7,,Defensive rebound by R. Rubio
9:29.0,,,2-9,2,R. Rubio makes 2-pt shot from 2 ft
9:28.0,LA Clippers full timeout,,2-9,,
9:10.0,Turnover by C. Paul (bad pass; steal by G. Dieng),,2-9,,
9:06.0,,,2-11,2,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio)
8:54.0,D. Jordan misses 2-pt shot from 2 ft,,2-11,,
8:53.0,,,2-11,,Defensive rebound by K. Towns
8:33.0,,,2-13,2,K. Towns makes 2-pt shot from 18 ft (assist by A. Wiggins)
8:11.0,C. Paul misses 2-pt shot from 19 ft,,2-13,,
8:10.0,,,2-13,,Defensive rebound by K. Towns
8:05.0,,,2-15,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
7:46.0,D. Jordan misses 2-pt shot from 3 ft,,2-15,,
7:45.0,Offensive rebound by D. Jordan,,2-15,,
7:43.0,D. Jordan makes 2-pt shot from 1 ft,2,4-15,,
7:25.0,,,4-17,2,K. Towns makes 2-pt shot from 4 ft (assist by R. Rubio)
7:05.0,B. Griffin makes 2-pt shot from 7 ft,2,6-17,,
6:52.0,,,6-17,,K. Towns misses 2-pt shot from 19 ft
6:51.0,Defensive rebound by B. Griffin,,6-17,,
6:38.0,J. Redick misses 2-pt shot from 20 ft,,6-17,,
6:37.0,,,6-17,,Defensive rebound by G. Dieng
6:28.0,,,6-17,,A. Wiggins misses 2-pt shot from 14 ft
6:27.0,,,6-17,,Offensive rebound by S. Muhammad
6:19.0,,,6-17,,S. Muhammad misses 2-pt shot from 2 ft
6:17.0,,,6-17,,Offensive rebound by K. Towns
6:17.0,,,6-19,2,K. Towns makes 2-pt shot at rim
6:13.0,Turnover by B. Griffin (lost ball; steal by R. Rubio),,6-19,,
6:08.0,,,6-21,2,R. Rubio makes 2-pt shot from 17 ft
5:51.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,8-21,,
5:34.0,,,8-21,,R. Rubio misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by Team,,8-21,,
5:32.0,A. Rivers enters the game for L. Mbah a Moute,,8-21,,
5:32.0,J. Crawford enters the game for J. Redick,,8-21,,
5:32.0,M. Speights enters the game for D. Jordan,,8-21,,
5:21.0,M. Speights misses 3-pt shot from 24 ft,,8-21,,
5:20.0,Offensive rebound by C. Paul,,8-21,,
5:09.0,B. Griffin misses 3-pt shot from 25 ft,,8-21,,
5:08.0,,,8-21,,Defensive rebound by K. Towns
4:56.0,,,8-21,,Turnover by R. Rubio (bad pass; steal by J. Crawford)
4:53.0,Turnover by J. Crawford (bad pass; steal by S. Muhammad),,8-21,,
4:48.0,,,8-21,,Minnesota full timeout
4:48.0,,,8-21,,N. Bjelica enters the game for K. Towns
4:34.0,,,8-23,2,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio)
4:17.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,10-23,,
3:52.0,,,10-23,,Shooting foul by J. Crawford (drawn by A. Wiggins)
3:52.0,,,10-24,1,A. Wiggins makes free throw 1 of 2
3:52.0,,,10-25,1,A. Wiggins makes free throw 2 of 2
3:38.0,,,10-25,,Personal foul by S. Muhammad (drawn by A. Rivers)
3:31.0,,,10-25,,Def 3 sec tech foul by N. Bjelica
3:31.0,C. Paul misses technical free throw,,10-25,,
3:31.0,Offensive rebound by Team,,10-25,,
3:22.0,M. Speights makes 2-pt shot from 1 ft (assist by C. Paul),2,12-25,,
3:01.0,,,12-25,,A. Wiggins misses 2-pt shot from 14 ft
3:00.0,,,12-25,,Offensive rebound by G. Dieng
2:58.0,,,12-25,,R. Rubio misses 2-pt shot from 14 ft
2:57.0,,,12-25,,Offensive rebound by Team
