time,Denver,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. K. Koufos (W. Chandler gains possession),,,,Jump ball: N. Jokic vs. K. Koufos (W. Chandler gains possession)
11:49.0,Turnover by N. Jokic (bad pass),,0-0,,
11:33.0,,,0-0,,K. Koufos misses 2-pt shot from 10 ft
11:32.0,Defensive rebound by J. Nelson,,0-0,,
11:21.0,D. Gallinari makes 2-pt shot from 17 ft,2,2-0,,
10:58.0,,,2-0,,A. Afflalo misses 2-pt shot from 16 ft
10:57.0,Defensive rebound by N. Jokic,,2-0,,
10:42.0,N. Jokic misses 2-pt shot from 11 ft,,2-0,,
10:41.0,,,2-0,,Defensive rebound by D. Collison
10:34.0,,,2-3,3,B. Hield makes 3-pt shot from 24 ft (assist by D. Collison)
10:20.0,J. Nelson makes 3-pt shot from 25 ft (assist by G. Harris),3,5-3,,
10:08.0,,,5-3,,A. Afflalo misses 2-pt shot from 12 ft
10:08.0,Defensive rebound by N. Jokic,,5-3,,
9:58.0,W. Chandler misses 3-pt shot from 25 ft,,5-3,,
9:58.0,,,5-3,,Defensive rebound by B. Hield
9:48.0,,,5-5,2,B. Hield makes 2-pt shot from 3 ft (assist by D. Collison)
9:38.0,G. Harris makes 2-pt shot from 4 ft,2,7-5,,
9:22.0,,,7-5,,W. Cauley-Stein misses 2-pt shot from 6 ft
9:22.0,Defensive rebound by N. Jokic,,7-5,,
9:05.0,G. Harris makes 2-pt shot from 19 ft,2,9-5,,
8:46.0,,,9-5,,Shooting foul by J. Nelson (drawn by W. Cauley-Stein)
8:46.0,,,9-6,1,W. Cauley-Stein makes free throw 1 of 2
8:46.0,,,9-6,,W. Cauley-Stein misses free throw 2 of 2
8:46.0,Defensive rebound by G. Harris,,9-6,,
8:29.0,W. Chandler misses 2-pt shot from 16 ft,,9-6,,
8:28.0,,,9-6,,Defensive rebound by K. Koufos
8:16.0,,,9-6,,B. Hield misses 3-pt shot from 26 ft
8:15.0,Defensive rebound by N. Jokic,,9-6,,
7:58.0,N. Jokic misses 2-pt shot from 12 ft,,9-6,,
7:56.0,Offensive rebound by W. Chandler,,9-6,,
7:56.0,W. Chandler makes 2-pt shot at rim,2,11-6,,
7:42.0,,,11-8,2,K. Koufos makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
7:27.0,G. Harris misses 2-pt shot from 2 ft,,11-8,,
7:26.0,,,11-8,,Defensive rebound by K. Koufos
7:13.0,,,11-8,,W. Cauley-Stein misses 2-pt shot from 6 ft
7:12.0,Defensive rebound by N. Jokic,,11-8,,
7:05.0,Turnover by N. Jokic (palming),,11-8,,
6:50.0,,,11-8,,W. Cauley-Stein misses 2-pt shot from 17 ft
6:50.0,Defensive rebound by J. Nelson,,11-8,,
6:41.0,W. Chandler makes 2-pt shot from 2 ft (assist by J. Nelson),2,13-8,,
6:29.0,,,13-8,,Shooting foul by W. Chandler (drawn by W. Cauley-Stein)
6:29.0,,,13-9,1,W. Cauley-Stein makes free throw 1 of 2
6:29.0,,,13-10,1,W. Cauley-Stein makes free throw 2 of 2
6:12.0,Turnover by G. Harris (bad pass; steal by K. Koufos),,13-10,,
6:02.0,,,13-10,,Turnover by W. Cauley-Stein (bad pass)
5:47.0,G. Harris makes 2-pt shot from 17 ft (assist by D. Gallinari),2,15-10,,
5:26.0,,,15-13,3,A. Afflalo makes 3-pt shot from 26 ft (assist by D. Collison)
5:15.0,,,15-13,,Personal foul by A. Afflalo (drawn by D. Gallinari)
5:15.0,,,15-13,,Sacramento full timeout
5:15.0,,,15-13,,A. Tolliver enters the game for K. Koufos
5:05.0,J. Nelson misses 3-pt shot from 24 ft,,15-13,,
5:05.0,,,15-13,,Defensive rebound by W. Cauley-Stein
4:41.0,,,15-15,2,A. Afflalo makes 2-pt shot from 21 ft
4:17.0,D. Gallinari misses 2-pt shot from 16 ft,,15-15,,
4:17.0,Offensive rebound by N. Jokic,,15-15,,
4:15.0,N. Jokic makes 2-pt shot from 3 ft,2,17-15,,
3:55.0,,,17-15,,A. Tolliver misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by N. Jokic,,17-15,,
3:33.0,N. Jokic makes 2-pt shot from 3 ft (assist by W. Chandler),2,19-15,,
3:21.0,,,19-15,,A. Afflalo misses 3-pt shot from 26 ft
3:20.0,Defensive rebound by N. Jokic,,19-15,,
3:10.0,D. Gallinari makes 2-pt shot from 1 ft,2,21-15,,
2:43.0,,,21-15,,A. Tolliver misses 3-pt shot from 23 ft
2:43.0,Defensive rebound by N. Jokic,,21-15,,
2:29.0,G. Harris misses 3-pt shot from 25 ft,,21-15,,
2:28.0,,,21-15,,Defensive rebound by W. Cauley-Stein
2:15.0,,,21-15,,Turnover by W. Cauley-Stein (bad pass)
2:15.0,Denver full timeout,,21-15,,
2:15.0,W. Barton enters the game for D. Gallinari,,21-15,,
2:15.0,M. Plumlee enters the game for G. Harris,,21-15,,
2:15.0,J. Murray enters the game for N. Jokic,,21-15,,
2:15.0,,,21-15,,T. Lawson enters the game for D. Collison
2:15.0,,,21-15,,G. Temple enters the game for A. Afflalo
2:15.0,,,21-15,,T. Evans enters the game for B. Hield
2:00.0,W. Barton misses 3-pt shot from 23 ft,,21-15,,
1:58.0,Offensive rebound by M. Plumlee,,21-15,,
1:57.0,J. Nelson makes 2-pt shot from 2 ft (assist by M. Plumlee),2,23-15,,
1:32.0,,,23-15,,T. Lawson misses 2-pt shot from 8 ft
1:27.0,,,23-15,,Offensive rebound by T. Lawson
1:22.0,,,23-17,2,T. Evans makes 2-pt shot from 2 ft
1:12.0,W. Chandler makes 2-pt shot from 9 ft,2,25-17,,
0:59.0,,,25-17,,Shooting foul by M. Plumlee (drawn by W. Cauley-Stein)
0:59.0,,,25-18,1,W. Cauley-Stein makes free throw 1 of 2
0:59.0,,,25-19,1,W. Cauley-Stein makes free throw 2 of 2
0:46.0,J. Murray misses 3-pt shot from 23 ft,,25-19,,
0:43.0,,,25-19,,Defensive rebound by A. Tolliver
0:35.0,,,25-19,,T. Evans misses 2-pt shot from 15 ft
0:34.0,Defensive rebound by M. Plumlee,,25-19,,
0:28.0,Turnover by M. Plumlee (traveling),,25-19,,
0:03.0,,,25-19,,T. Evans misses 2-pt shot from 5 ft (block by J. Nelson)
0:03.0,Defensive rebound by M. Plumlee,,25-19,,
0:01.0,Turnover by M. Plumlee (bad pass; steal by T. Lawson),,25-19,,
0:00.0,,,25-19,,T. Lawson misses 2-pt shot from 22 ft (block by W. Barton)
0:00.0,,,25-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Personal foul by J. Murray (drawn by T. Lawson),,25-19,,
11:34.0,,,25-19,,Turnover by T. Lawson (bad pass; steal by J. Murray)
11:31.0,,,25-19,,Personal foul by T. Lawson (drawn by J. Murray)
11:26.0,W. Barton misses 3-pt shot from 25 ft,,25-19,,
11:25.0,Offensive rebound by J. Murray,,25-19,,
11:17.0,W. Barton makes 2-pt shot from 12 ft,2,27-19,,
11:07.0,,,27-19,,S. Labissiere misses 2-pt shot from 13 ft
11:07.0,Defensive rebound by J. Hernangomez,,27-19,,
