time,Philadelphia,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Okafor vs. Z. Pachulia,,,,Jump ball: J. Okafor vs. Z. Pachulia
11:49.0,,,0-0,,S. Curry misses 3-pt shot from 25 ft
11:48.0,Defensive rebound by D. Saric,,0-0,,
11:27.0,J. Okafor makes 2-pt shot from 4 ft (assist by D. Saric),2,2-0,,
11:21.0,,,2-0,,Turnover by S. Curry (bad pass; steal by T. McConnell)
11:16.0,D. Saric makes 2-pt shot at rim (assist by T. McConnell),2,4-0,,
11:08.0,,,4-0,,K. Thompson misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by T. McConnell,,4-0,,
10:51.0,T. McConnell makes 2-pt shot from 12 ft (assist by D. Saric),2,6-0,,
10:35.0,,,6-2,2,S. Curry makes 2-pt shot from 14 ft (assist by Z. Pachulia)
10:26.0,Turnover by T. McConnell (bad pass; steal by S. Curry),,6-2,,
10:19.0,,,6-2,,Turnover by P. McCaw (bad pass; steal by R. Covington)
10:12.0,D. Saric makes 2-pt shot from 2 ft (assist by R. Covington),2,8-2,,
10:02.0,Personal foul by T. Luwawu-Cabarrot (drawn by K. Thompson),,8-2,,
9:58.0,,,8-2,,K. Thompson misses 2-pt shot from 9 ft
9:57.0,Defensive rebound by J. Okafor,,8-2,,
9:43.0,T. McConnell misses 2-pt shot from 7 ft,,8-2,,
9:43.0,,,8-2,,Defensive rebound by Z. Pachulia
9:38.0,,,8-2,,Turnover by Z. Pachulia (bad pass; steal by R. Covington)
9:25.0,D. Saric misses 2-pt shot from 7 ft,,8-2,,
9:24.0,,,8-2,,Defensive rebound by Z. Pachulia
9:10.0,,,8-2,,Z. Pachulia misses 2-pt shot from 3 ft (block by D. Saric)
9:10.0,Defensive rebound by Team,,8-2,,
8:54.0,J. Okafor misses 2-pt shot from 4 ft (block by D. Green),,8-2,,
8:53.0,Offensive rebound by J. Okafor,,8-2,,
8:51.0,Turnover by J. Okafor (lost ball; steal by Z. Pachulia),,8-2,,
8:45.0,,,8-2,,Shooting foul by J. Okafor (drawn by S. Curry)
8:45.0,,,8-3,1,S. Curry makes free throw 1 of 2
8:45.0,,,8-4,1,S. Curry makes free throw 2 of 2
8:35.0,T. Luwawu-Cabarrot misses 2-pt shot from 4 ft (block by Z. Pachulia),,8-4,,
8:33.0,Offensive rebound by Team,,8-4,,
8:24.0,D. Saric misses 3-pt shot from 26 ft,,8-4,,
8:23.0,Offensive rebound by J. Okafor,,8-4,,
8:23.0,Shooting foul by K. Thompson (drawn by J. Okafor),,8-4,,
8:23.0,J. Okafor makes free throw 1 of 2,1,9-4,,
8:23.0,J. Okafor makes free throw 2 of 2,1,10-4,,
8:13.0,,,10-6,2,P. McCaw makes 2-pt shot from 13 ft (assist by D. Green)
8:07.0,J. Okafor makes 2-pt shot from 2 ft (assist by T. Luwawu-Cabarrot),2,12-6,,
8:07.0,Shooting foul by Z. Pachulia (drawn by J. Okafor),,12-6,,
8:07.0,J. Okafor makes free throw 1 of 1,1,13-6,,
7:56.0,,,13-6,,Z. Pachulia misses 2-pt shot from 3 ft (block by J. Okafor)
7:55.0,,,13-6,,Offensive rebound by D. Green
7:51.0,,,13-6,,S. Curry misses 3-pt shot from 27 ft
7:51.0,,,13-6,,Offensive rebound by Z. Pachulia
7:46.0,,,13-6,,D. Green misses 3-pt shot from 26 ft
7:44.0,,,13-6,,Offensive rebound by S. Curry
7:44.0,,,13-6,,S. Curry misses 2-pt shot from 2 ft
7:43.0,Defensive rebound by R. Covington,,13-6,,
7:31.0,T. McConnell misses 2-pt shot from 17 ft,,13-6,,
7:30.0,,,13-6,,Defensive rebound by K. Thompson
7:21.0,,,13-8,2,K. Thompson makes 2-pt shot from 8 ft
7:11.0,Turnover by J. Okafor (lost ball; steal by Z. Pachulia),,13-8,,
7:08.0,,,13-8,,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Green)
7:08.0,,,13-9,1,D. Green makes free throw 1 of 2
7:08.0,,,13-9,,D. Green misses free throw 2 of 2
7:08.0,,,13-9,,Offensive rebound by Team
7:08.0,Loose ball foul by J. Okafor (drawn by Z. Pachulia),,13-9,,
7:08.0,G. Henderson enters the game for T. Luwawu-Cabarrot,,13-9,,
7:00.0,,,13-12,3,K. Thompson makes 3-pt shot from 24 ft (assist by P. McCaw)
6:41.0,R. Covington misses 2-pt shot from 3 ft,,13-12,,
6:40.0,Offensive rebound by R. Covington,,13-12,,
6:40.0,R. Covington misses 2-pt shot from 3 ft,,13-12,,
6:39.0,Offensive rebound by Team,,13-12,,
6:39.0,R. Holmes enters the game for D. Saric,,13-12,,
6:39.0,N. Stauskas enters the game for J. Okafor,,13-12,,
6:29.0,G. Henderson makes 2-pt shot from 10 ft (assist by R. Covington),2,15-12,,
6:13.0,,,15-15,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
5:48.0,G. Henderson misses 2-pt shot from 9 ft,,15-15,,
5:46.0,,,15-15,,Defensive rebound by Z. Pachulia
5:41.0,,,15-18,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
5:41.0,Philadelphia full timeout,,15-18,,
5:41.0,,,15-18,,A. Iguodala enters the game for D. Green
5:26.0,Turnover by R. Covington (bad pass; steal by S. Curry),,15-18,,
5:21.0,,,15-20,2,S. Curry makes 2-pt shot from 2 ft (assist by P. McCaw)
5:12.0,R. Holmes makes 2-pt shot from 7 ft (assist by T. McConnell),2,17-20,,
4:45.0,,,17-20,,Z. Pachulia misses 2-pt shot from 13 ft
4:44.0,Defensive rebound by G. Henderson,,17-20,,
4:34.0,G. Henderson makes 2-pt shot from 17 ft,2,19-20,,
4:14.0,,,19-20,,Shooting foul by G. Henderson (drawn by Z. Pachulia)
4:14.0,,,19-21,1,Z. Pachulia makes free throw 1 of 2
4:14.0,,,19-22,1,Z. Pachulia makes free throw 2 of 2
4:14.0,,,19-21,,S. Livingston enters the game for K. Thompson
4:14.0,D. Saric enters the game for R. Covington,,19-21,,
4:14.0,S. Rodriguez enters the game for T. McConnell,,19-21,,
4:01.0,N. Stauskas makes 3-pt shot from 25 ft (assist by R. Holmes),3,22-22,,
3:50.0,,,22-22,,Turnover by Z. Pachulia (lost ball; steal by R. Holmes)
3:33.0,N. Stauskas makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,24-22,,
3:33.0,,,24-22,,Golden State full timeout
3:33.0,,,24-22,,J. McGee enters the game for Z. Pachulia
3:33.0,,,24-22,,D. Green enters the game for P. McCaw
3:13.0,,,24-25,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Green)
2:51.0,D. Saric makes 3-pt shot from 26 ft,3,27-25,,
2:24.0,,,27-25,,D. Green misses 2-pt shot from 14 ft
2:24.0,Defensive rebound by Team,,27-25,,
2:24.0,,,27-25,,Loose ball foul by J. McGee (drawn by N. Stauskas)
2:00.0,N. Stauskas misses 3-pt shot from 25 ft,,27-25,,
2:00.0,Offensive rebound by Team,,27-25,,
2:00.0,Turnover by Team (shot clock),,27-25,,
1:51.0,,,27-25,,Shooting foul by N. Stauskas (drawn by S. Curry)
