time,Memphis,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Lopez (B. Portis gains possession),,,,Jump ball: M. Gasol vs. R. Lopez (B. Portis gains possession)
11:40.0,,,0-2,2,R. Rondo makes 2-pt shot from 2 ft (assist by D. Wade)
11:20.0,V. Carter makes 2-pt shot from 18 ft (assist by T. Allen),2,2-2,,
10:55.0,,,2-2,,R. Rondo misses 2-pt shot from 2 ft
10:54.0,Defensive rebound by M. Conley,,2-2,,
10:39.0,M. Gasol misses 3-pt shot from 24 ft,,2-2,,
10:38.0,,,2-2,,Defensive rebound by J. Butler
10:27.0,,,2-2,,J. Butler misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by M. Gasol,,2-2,,
10:17.0,T. Allen misses 2-pt shot from 2 ft,,2-2,,
10:12.0,Offensive rebound by T. Allen,,2-2,,
10:02.0,T. Allen makes 2-pt shot from 2 ft (assist by J. Green),2,4-2,,
9:53.0,,,4-2,,R. Rondo misses 2-pt shot from 7 ft
9:52.0,Defensive rebound by M. Gasol,,4-2,,
9:50.0,Shooting foul by B. Portis (drawn by T. Allen),,4-2,,
9:50.0,T. Allen makes free throw 1 of 2,1,5-2,,
9:50.0,T. Allen makes free throw 2 of 2,1,6-2,,
9:37.0,,,6-4,2,R. Lopez makes 2-pt shot from 19 ft (assist by R. Rondo)
9:24.0,M. Conley makes 2-pt shot from 21 ft (assist by T. Allen),2,8-4,,
9:16.0,,,8-6,2,D. Wade makes 2-pt shot from 3 ft
9:07.0,T. Allen makes 2-pt shot from 2 ft,2,10-6,,
8:51.0,,,10-6,,J. Butler misses 2-pt shot from 5 ft
8:50.0,Defensive rebound by M. Conley,,10-6,,
8:38.0,V. Carter misses 2-pt shot from 3 ft (block by J. Butler),,10-6,,
8:36.0,,,10-6,,Defensive rebound by D. Wade
8:33.0,,,10-6,,Turnover by D. Wade (lost ball; steal by J. Green)
8:20.0,M. Gasol misses 2-pt shot from 10 ft,,10-6,,
8:19.0,,,10-6,,Defensive rebound by R. Rondo
8:06.0,,,10-9,3,D. Wade makes 3-pt shot from 23 ft (assist by R. Rondo)
7:45.0,V. Carter makes 3-pt shot from 25 ft (assist by M. Gasol),3,13-9,,
7:28.0,,,13-11,2,B. Portis makes 2-pt shot from 17 ft (assist by R. Rondo)
7:06.0,M. Gasol misses 2-pt shot from 21 ft,,13-11,,
7:04.0,,,13-11,,Defensive rebound by B. Portis
6:58.0,Violation by V. Carter (kicked ball),,13-11,,
6:51.0,,,13-11,,R. Lopez misses 2-pt shot from 7 ft
6:50.0,Defensive rebound by M. Gasol,,13-11,,
6:43.0,M. Conley misses 2-pt shot from 2 ft,,13-11,,
6:42.0,,,13-11,,Defensive rebound by B. Portis
6:38.0,,,13-13,2,D. Wade makes 2-pt shot from 2 ft (assist by R. Rondo)
6:28.0,Memphis full timeout,,13-13,,
6:20.0,T. Allen misses 2-pt shot from 2 ft,,13-13,,
6:19.0,,,13-13,,Defensive rebound by R. Rondo
6:07.0,,,13-13,,R. Rondo misses 2-pt shot from 1 ft (block by M. Gasol)
6:06.0,Defensive rebound by M. Conley,,13-13,,
6:02.0,Turnover by J. Green (bad pass),,13-13,,
5:44.0,,,13-13,,B. Portis misses 3-pt shot from 23 ft
5:43.0,Defensive rebound by J. Green,,13-13,,
5:32.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,15-13,,
5:15.0,,,15-13,,D. Wade misses 2-pt shot from 13 ft
5:13.0,Defensive rebound by J. Green,,15-13,,
5:13.0,,,15-13,,Personal foul by R. Lopez (drawn by J. Green)
5:13.0,,,15-13,,N. Mirotic enters the game for B. Portis
5:13.0,,,15-13,,D. Valentine enters the game for D. Wade
5:13.0,A. Harrison enters the game for J. Green,,15-13,,
5:13.0,Z. Randolph enters the game for M. Conley,,15-13,,
5:03.0,,,15-13,,Personal foul by N. Mirotic (drawn by V. Carter)
4:58.0,Z. Randolph misses 2-pt shot from 3 ft,,15-13,,
4:57.0,,,15-13,,Defensive rebound by R. Lopez
4:47.0,,,15-13,,Shooting foul by T. Allen (drawn by N. Mirotic)
4:47.0,,,15-14,1,N. Mirotic makes free throw 1 of 2
4:47.0,,,15-15,1,N. Mirotic makes free throw 2 of 2
4:47.0,J. Ennis enters the game for V. Carter,,15-14,,
4:47.0,T. Daniels enters the game for T. Allen,,15-14,,
4:31.0,Shooting foul by R. Lopez (drawn by M. Gasol),,15-15,,
4:31.0,M. Gasol makes free throw 1 of 2,1,16-15,,
4:31.0,M. Gasol makes free throw 2 of 2,1,17-15,,
4:31.0,,,16-15,,C. Felicio enters the game for R. Lopez
4:15.0,,,17-15,,R. Rondo misses 2-pt shot from 8 ft
4:14.0,Defensive rebound by J. Ennis,,17-15,,
4:09.0,,,17-15,,Personal foul by R. Rondo (drawn by J. Ennis)
4:09.0,J. Ennis misses free throw 1 of 2,,17-15,,
4:09.0,Offensive rebound by Team,,17-15,,
4:09.0,J. Ennis makes free throw 2 of 2,1,18-15,,
4:00.0,,,18-15,,Shooting foul by J. Ennis (drawn by J. Butler)
4:00.0,,,18-15,,J. Butler misses free throw 1 of 2
4:00.0,,,18-15,,Offensive rebound by Team
4:00.0,,,18-16,1,J. Butler makes free throw 2 of 2
3:49.0,Turnover by A. Harrison (bad pass; steal by R. Rondo),,18-16,,
3:45.0,,,18-18,2,R. Rondo makes 2-pt shot from 1 ft
3:27.0,Z. Randolph misses 2-pt shot from 3 ft,,18-18,,
3:26.0,Offensive rebound by Z. Randolph,,18-18,,
3:25.0,Z. Randolph makes 2-pt shot from 2 ft,2,20-18,,
3:11.0,,,20-18,,D. Valentine misses 3-pt shot from 24 ft
3:11.0,,,20-18,,Offensive rebound by Team
3:11.0,Loose ball foul by A. Harrison (drawn by C. Felicio),,20-18,,
3:02.0,,,20-20,2,J. Butler makes 2-pt shot from 18 ft
2:50.0,Shooting foul by N. Mirotic (drawn by J. Ennis),,20-20,,
2:50.0,,,20-20,,Chicago full timeout
2:50.0,J. Ennis makes free throw 1 of 2,1,21-20,,
2:50.0,J. Ennis makes free throw 2 of 2,1,22-20,,
2:41.0,Personal foul by A. Harrison (drawn by J. Butler),,22-20,,
2:28.0,,,22-20,,J. Butler misses 2-pt shot from 12 ft
2:27.0,Defensive rebound by J. Ennis,,22-20,,
2:13.0,T. Daniels misses 3-pt shot from 22 ft,,22-20,,
2:12.0,,,22-20,,Defensive rebound by N. Mirotic
2:08.0,,,22-20,,Shooting foul by J. Ennis (drawn by J. Butler)
2:08.0,,,22-21,1,J. Butler makes free throw 1 of 2
2:08.0,,,22-22,1,J. Butler makes free throw 2 of 2
2:08.0,M. Conley enters the game for A. Harrison,,22-21,,
1:55.0,M. Gasol misses 2-pt shot from 5 ft,,22-22,,
1:55.0,Offensive rebound by Team,,22-22,,
1:49.0,Z. Randolph makes 2-pt shot from 6 ft,2,24-22,,
1:40.0,,,24-22,,N. Mirotic misses 3-pt shot from 26 ft
1:39.0,,,24-22,,Offensive rebound by R. Rondo
1:36.0,,,24-24,2,C. Felicio makes 2-pt shot at rim (assist by N. Mirotic)
1:04.0,M. Gasol misses 2-pt shot from 18 ft,,24-24,,
1:03.0,,,24-24,,Defensive rebound by C. Felicio
0:53.0,,,24-24,,D. Valentine misses 3-pt shot from 23 ft
0:52.0,Defensive rebound by M. Conley,,24-24,,
0:42.0,Z. Randolph misses 2-pt shot from 1 ft (block by N. Mirotic),,24-24,,
0:40.0,,,24-24,,Defensive rebound by D. Valentine
0:35.0,,,24-24,,R. Rondo misses 2-pt shot from 2 ft
0:33.0,Defensive rebound by Z. Randolph,,24-24,,
0:09.0,J. Ennis misses 3-pt shot from 26 ft,,24-24,,
0:08.0,,,24-24,,Defensive rebound by N. Mirotic
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,Z. Randolph misses 2-pt shot from 6 ft,,24-24,,
11:37.0,,,24-24,,Defensive rebound by M. Carter-Williams
11:33.0,,,24-26,2,M. Carter-Williams makes 2-pt shot from 2 ft
11:16.0,M. Conley makes 2-pt shot from 7 ft,2,26-26,,
11:00.0,,,26-26,,Shooting foul by B. Wright (drawn by N. Mirotic)
11:00.0,,,26-27,1,N. Mirotic makes free throw 1 of 3
11:00.0,,,26-28,1,N. Mirotic makes free throw 2 of 3
11:00.0,,,26-29,1,N. Mirotic makes free throw 3 of 3
10:50.0,T. Daniels makes 3-pt shot from 26 ft (assist by M. Conley),3,29-29,,
10:33.0,,,29-29,,D. Wade misses 2-pt shot from 11 ft
10:32.0,Defensive rebound by T. Daniels,,29-29,,
