time,Milwaukee,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:34.0,,,0-0,,B. Griffin misses 3-pt shot from 29 ft
12:00.0,Jump ball: D. Jordan vs. T. Maker (C. Paul gains possession),,,,Jump ball: D. Jordan vs. T. Maker (C. Paul gains possession)
11:33.0,Defensive rebound by M. Brogdon,,0-0,,
11:13.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,2-0,,
11:02.0,,,2-0,,Shooting foul by G. Antetokounmpo (drawn by J. Redick)
11:02.0,,,2-1,1,J. Redick makes free throw 1 of 3
11:02.0,,,2-2,1,J. Redick makes free throw 2 of 3
11:02.0,,,2-2,,J. Redick misses free throw 3 of 3
11:01.0,Defensive rebound by T. Snell,,2-2,,
10:39.0,T. Snell makes 2-pt shot from 19 ft (assist by G. Antetokounmpo),2,4-2,,
10:29.0,,,4-4,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
10:16.0,T. Snell misses 3-pt shot from 25 ft,,4-4,,
10:16.0,,,4-4,,Defensive rebound by D. Jordan
10:04.0,,,4-6,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Redick)
10:04.0,,,4-6,,Shooting foul by K. Middleton (drawn by L. Mbah a Moute)
10:04.0,,,4-7,1,L. Mbah a Moute makes free throw 1 of 1
9:48.0,M. Brogdon misses 3-pt shot from 25 ft,,4-7,,
9:48.0,,,4-7,,Defensive rebound by B. Griffin
9:31.0,,,4-9,2,D. Jordan makes 2-pt shot from 2 ft (assist by L. Mbah a Moute)
9:15.0,,,4-9,,Personal foul by C. Paul (drawn by G. Antetokounmpo)
8:58.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Brogdon),3,7-9,,
8:33.0,,,7-12,3,B. Griffin makes 3-pt shot from 23 ft (assist by C. Paul)
8:17.0,T. Snell misses 3-pt shot from 23 ft,,7-12,,
8:16.0,,,7-12,,Defensive rebound by C. Paul
8:02.0,,,7-12,,Turnover by J. Redick (traveling)
8:02.0,G. Monroe enters the game for T. Maker,,7-12,,
7:47.0,K. Middleton makes 2-pt shot from 2 ft (assist by G. Monroe),2,9-12,,
7:32.0,,,9-12,,Turnover by B. Griffin (bad pass; steal by T. Snell)
7:27.0,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,11-12,,
7:09.0,,,11-12,,Shooting foul by T. Snell (drawn by J. Redick)
7:09.0,,,11-13,1,J. Redick makes free throw 1 of 2
7:09.0,,,11-13,,J. Redick misses free throw 2 of 2
7:08.0,Defensive rebound by G. Monroe,,11-13,,
6:53.0,T. Snell misses 3-pt shot from 23 ft,,11-13,,
6:53.0,,,11-13,,Defensive rebound by C. Paul
6:47.0,,,11-16,3,C. Paul makes 3-pt shot from 24 ft
6:27.0,G. Antetokounmpo makes 2-pt shot from 7 ft (assist by M. Brogdon),2,13-16,,
6:19.0,,,13-16,,C. Paul misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by K. Middleton,,13-16,,
6:11.0,K. Middleton misses 2-pt shot from 9 ft,,13-16,,
6:08.0,,,13-16,,Defensive rebound by J. Redick
6:07.0,,,13-16,,LA Clippers full timeout
6:07.0,M. Dellavedova enters the game for K. Middleton,,13-16,,
6:07.0,J. Terry enters the game for M. Brogdon,,13-16,,
6:00.0,,,13-16,,C. Paul misses 2-pt shot from 1 ft
5:59.0,,,13-16,,Offensive rebound by C. Paul
5:56.0,,,13-16,,J. Redick misses 2-pt shot from 19 ft
5:54.0,Defensive rebound by T. Snell,,13-16,,
5:43.0,G. Antetokounmpo makes 2-pt shot from 19 ft,2,15-16,,
5:15.0,,,15-16,,C. Paul misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by G. Antetokounmpo,,15-16,,
5:06.0,J. Terry misses 3-pt shot from 22 ft,,15-16,,
5:06.0,,,15-16,,Defensive rebound by C. Paul
4:52.0,,,15-16,,B. Griffin misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by G. Monroe,,15-16,,
4:34.0,Offensive charge foul by G. Antetokounmpo,,15-16,,
4:34.0,Turnover by G. Antetokounmpo (offensive foul),,15-16,,
4:34.0,,,15-16,,J. Crawford enters the game for J. Redick
4:34.0,M. Teletovic enters the game for G. Antetokounmpo,,15-16,,
4:28.0,,,15-16,,Turnover by L. Mbah a Moute (lost ball)
4:16.0,M. Teletovic misses 3-pt shot from 25 ft,,15-16,,
4:15.0,,,15-16,,Defensive rebound by D. Jordan
4:14.0,Personal foul by M. Teletovic (drawn by B. Griffin),,15-16,,
4:14.0,,,15-16,,A. Rivers enters the game for L. Mbah a Moute
4:06.0,,,15-18,2,C. Paul makes 2-pt shot from 19 ft
3:43.0,G. Monroe makes 2-pt shot from 4 ft (assist by J. Terry),2,17-18,,
3:17.0,,,17-18,,J. Crawford misses 3-pt shot from 23 ft
3:17.0,,,17-18,,Offensive rebound by B. Griffin
3:07.0,,,17-20,2,B. Griffin makes 2-pt shot from 1 ft
2:49.0,G. Monroe makes 2-pt shot from 15 ft,2,19-20,,
2:32.0,,,19-20,,B. Griffin misses 2-pt shot from 17 ft
2:32.0,Defensive rebound by J. Terry,,19-20,,
2:28.0,Offensive foul by G. Monroe,,19-20,,
2:28.0,Turnover by G. Monroe (offensive foul),,19-20,,
2:28.0,Milwaukee full timeout,,19-20,,
2:28.0,,,19-20,,M. Speights enters the game for D. Jordan
2:28.0,K. Middleton enters the game for T. Snell,,19-20,,
2:11.0,,,19-20,,M. Speights misses 3-pt shot from 25 ft
2:10.0,,,19-20,,Offensive rebound by B. Griffin
2:06.0,,,19-20,,A. Rivers misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by J. Terry,,19-20,,
1:53.0,M. Teletovic makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,22-20,,
1:37.0,,,22-20,,Turnover by A. Rivers (traveling)
1:37.0,,,22-20,,R. Felton enters the game for C. Paul
1:26.0,K. Middleton makes 2-pt shot from 2 ft (assist by G. Monroe),2,24-20,,
1:12.0,,,24-20,,Turnover by J. Crawford (bad pass; steal by G. Monroe)
1:07.0,J. Terry makes 2-pt shot from 1 ft (assist by G. Monroe),2,26-20,,
0:46.0,,,26-20,,R. Felton misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by G. Monroe,,26-20,,
0:37.0,K. Middleton makes 2-pt shot from 8 ft,2,28-20,,
0:16.0,,,28-20,,J. Crawford misses 3-pt shot from 25 ft
0:15.0,Defensive rebound by K. Middleton,,28-20,,
0:03.0,,,28-20,,Personal foul by A. Rivers (drawn by K. Middleton)
0:02.0,M. Teletovic misses 3-pt shot from 28 ft,,28-20,,
0:00.0,Offensive rebound by Team,,28-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,G. Monroe misses 2-pt shot from 4 ft,,28-20,,
11:34.0,,,28-20,,Defensive rebound by R. Felton
11:19.0,,,28-20,,A. Rivers misses 2-pt shot from 2 ft
11:18.0,Defensive rebound by M. Teletovic,,28-20,,
11:12.0,Turnover by G. Monroe (bad pass; steal by R. Felton),,28-20,,
11:08.0,,,28-20,,R. Felton misses 2-pt shot from 1 ft (block by M. Teletovic)
11:07.0,Defensive rebound by K. Middleton,,28-20,,
11:01.0,M. Teletovic misses 3-pt shot from 25 ft,,28-20,,
10:57.0,,,28-20,,Defensive rebound by J. Crawford
10:55.0,Shooting block foul by M. Dellavedova (drawn by M. Speights),,28-20,,
10:55.0,,,28-20,,M. Speights misses free throw 1 of 2
10:55.0,,,28-20,,Offensive rebound by Team
10:55.0,,,28-21,1,M. Speights makes free throw 2 of 2
10:47.0,,,28-21,,Personal foul by M. Speights (drawn by G. Monroe)
10:37.0,Turnover by K. Middleton (traveling),,28-21,,
10:20.0,,,28-21,,Turnover by J. Crawford (lost ball; steal by G. Monroe)
10:10.0,G. Monroe misses 2-pt shot from 4 ft,,28-21,,
10:07.0,,,28-21,,Defensive rebound by M. Speights
9:55.0,,,28-21,,A. Rivers misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by G. Monroe,,28-21,,
9:39.0,G. Monroe misses 2-pt shot from 2 ft,,28-21,,
9:37.0,,,28-21,,Defensive rebound by A. Rivers
9:33.0,,,28-23,2,A. Rivers makes 2-pt shot from 2 ft
9:25.0,,,28-23,,Personal foul by A. Rivers (drawn by M. Dellavedova)
9:25.0,J. Henson enters the game for G. Monroe,,28-23,,
9:09.0,J. Terry misses 3-pt shot from 24 ft,,28-23,,
9:08.0,,,28-23,,Defensive rebound by M. Speights
8:56.0,,,28-25,2,W. Johnson makes 2-pt shot from 20 ft
8:42.0,Turnover by M. Dellavedova (bad pass; steal by A. Rivers),,28-25,,
8:36.0,,,28-25,,R. Felton misses 3-pt shot from 26 ft
8:32.0,Defensive rebound by K. Middleton,,28-25,,
8:29.0,Milwaukee full timeout,,28-25,,
8:29.0,M. Brogdon enters the game for K. Middleton,,28-25,,
8:29.0,G. Antetokounmpo enters the game for M. Teletovic,,28-25,,
8:18.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by M. Brogdon),3,31-25,,
8:01.0,,,31-25,,W. Johnson misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
8:01.0,,,31-25,,Offensive rebound by Team
8:01.0,,,31-25,,D. Jordan enters the game for M. Speights
7:53.0,,,31-25,,R. Felton misses 2-pt shot from 12 ft
7:52.0,Defensive rebound by M. Dellavedova,,31-25,,
7:47.0,M. Brogdon makes 2-pt shot at rim (assist by M. Dellavedova),2,33-25,,
7:25.0,,,33-27,2,J. Crawford makes 2-pt shot from 19 ft (assist by D. Jordan)
7:15.0,,,33-27,,Personal foul by R. Felton (drawn by M. Dellavedova)
7:15.0,,,33-27,,J. Redick enters the game for A. Rivers
7:15.0,,,33-27,,C. Paul enters the game for R. Felton
7:06.0,M. Dellavedova misses 2-pt shot from 9 ft,,33-27,,
7:04.0,Offensive rebound by J. Henson,,33-27,,
7:00.0,J. Henson makes 2-pt shot from 9 ft,2,35-27,,
6:44.0,,,35-29,2,J. Crawford makes 2-pt shot from 6 ft
6:21.0,M. Dellavedova misses 2-pt shot from 6 ft (block by W. Johnson),,35-29,,
6:19.0,,,35-29,,Defensive rebound by D. Jordan
6:19.0,Personal block foul by J. Terry (drawn by J. Crawford),,35-29,,
6:19.0,,,35-29,,B. Griffin enters the game for W. Johnson
6:19.0,T. Snell enters the game for J. Terry,,35-29,,
6:12.0,Personal foul by M. Brogdon (drawn by J. Crawford),,35-29,,
6:01.0,Personal foul by M. Dellavedova (drawn by C. Paul),,35-29,,
5:52.0,,,35-32,3,J. Redick makes 3-pt shot from 25 ft (assist by J. Crawford)
5:37.0,M. Brogdon makes 2-pt shot from 11 ft,2,37-32,,
5:23.0,Personal block foul by J. Henson (drawn by J. Redick),,37-32,,
5:23.0,Official timeout,,37-32,,
5:23.0,,,37-33,1,J. Redick makes free throw 1 of 2
5:23.0,,,37-34,1,J. Redick makes free throw 2 of 2
5:06.0,Turnover by G. Antetokounmpo (step out of bounds),,37-34,,
4:56.0,,,37-34,,Shooting foul by M. Brogdon (drawn by D. Jordan)
4:56.0,,,37-35,1,D. Jordan makes free throw 1 of 2
4:56.0,,,37-35,,D. Jordan misses free throw 2 of 2
4:54.0,Defensive rebound by J. Henson,,37-35,,
4:29.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,37-35,,
4:29.0,,,37-35,,Defensive rebound by Team
4:20.0,,,37-37,2,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul)
4:09.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,37-37,,
4:08.0,,,37-37,,Defensive rebound by D. Jordan
4:05.0,Personal foul by G. Antetokounmpo (drawn by B. Griffin),,37-37,,
4:05.0,,,37-38,1,B. Griffin makes free throw 1 of 2
4:05.0,,,37-38,,B. Griffin misses free throw 2 of 2
4:05.0,K. Middleton enters the game for M. Dellavedova,,37-38,,
4:05.0,M. Teletovic enters the game for G. Antetokounmpo,,37-38,,
4:04.0,Defensive rebound by J. Henson,,37-38,,
3:51.0,M. Teletovic misses 3-pt shot from 24 ft,,37-38,,
3:51.0,,,37-38,,Defensive rebound by D. Jordan
3:40.0,,,37-40,2,J. Redick makes 2-pt shot from 16 ft (assist by C. Paul)
3:14.0,T. Snell makes 2-pt shot from 1 ft (assist by M. Teletovic),2,39-40,,
3:00.0,,,39-40,,Turnover by C. Paul (bad pass; steal by K. Middleton)
2:55.0,M. Brogdon makes 2-pt shot at rim (assist by K. Middleton),2,41-40,,
2:47.0,,,41-40,,LA Clippers full timeout
2:47.0,G. Monroe enters the game for J. Henson,,41-40,,
2:35.0,Def 3 sec tech foul by G. Monroe,,41-40,,
2:35.0,,,41-41,1,C. Paul makes technical free throw
2:22.0,,,41-41,,C. Paul misses 2-pt shot from 22 ft
2:22.0,Defensive rebound by K. Middleton,,41-41,,
2:07.0,T. Snell misses 3-pt shot from 24 ft,,41-41,,
2:04.0,,,41-41,,Defensive rebound by D. Jordan
2:01.0,,,41-41,,Turnover by C. Paul (lost ball; steal by M. Brogdon)
1:40.0,,,41-41,,Personal foul by D. Jordan (drawn by G. Monroe)
1:35.0,M. Brogdon misses 2-pt shot from 11 ft,,41-41,,
1:35.0,Offensive rebound by Team,,41-41,,
1:22.0,M. Teletovic makes 3-pt shot from 24 ft (assist by M. Brogdon),3,44-41,,
1:14.0,,,44-43,2,J. Crawford makes 2-pt shot from 2 ft
0:58.0,M. Brogdon misses 2-pt shot from 1 ft,,44-43,,
0:57.0,,,44-43,,Defensive rebound by D. Jordan
0:50.0,,,44-43,,J. Redick misses 2-pt shot from 20 ft
0:49.0,Defensive rebound by Team,,44-43,,
0:37.0,K. Middleton misses 2-pt shot from 19 ft,,44-43,,
0:35.0,,,44-43,,Defensive rebound by D. Jordan
0:28.0,,,44-46,3,J. Crawford makes 3-pt shot from 25 ft (assist by B. Griffin)
0:05.0,G. Monroe makes 2-pt shot from 7 ft (assist by M. Brogdon),2,46-46,,
0:05.0,,,46-46,,LA Clippers full timeout
0:05.0,,,46-46,,A. Rivers enters the game for D. Jordan
0:05.0,J. Terry enters the game for M. Teletovic,,46-46,,
0:01.0,,,46-46,,B. Griffin misses 3-pt shot from 25 ft
0:00.0,,,46-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,46-46,,Def 3 sec tech foul by D. Jordan
11:46.0,K. Middleton makes technical free throw,1,47-46,,
11:42.0,Turnover by K. Middleton (bad pass),,47-46,,
11:22.0,,,47-46,,D. Jordan misses 2-pt shot from 3 ft
11:20.0,Defensive rebound by K. Middleton,,47-46,,
11:15.0,Shooting foul by L. Mbah a Moute (drawn by G. Antetokounmpo),,47-46,,
11:15.0,G. Antetokounmpo makes free throw 1 of 2,1,48-46,,
11:15.0,G. Antetokounmpo makes free throw 2 of 2,1,49-46,,
10:58.0,Personal foul by K. Middleton (drawn by B. Griffin),,49-46,,
10:49.0,,,49-46,,D. Jordan misses 2-pt shot from 1 ft
10:48.0,,,49-46,,Offensive rebound by D. Jordan
10:48.0,,,49-46,,D. Jordan misses 2-pt shot at rim
10:44.0,Defensive rebound by G. Antetokounmpo,,49-46,,
10:26.0,M. Brogdon makes 3-pt shot from 24 ft (assist by T. Maker),3,52-46,,
10:13.0,,,52-46,,Shooting foul by T. Maker (drawn by B. Griffin)
10:13.0,,,52-47,1,B. Griffin makes free throw 1 of 2
10:13.0,,,52-48,1,B. Griffin makes free throw 2 of 2
10:00.0,T. Maker makes 3-pt shot from 24 ft (assist by K. Middleton),3,55-48,,
10:00.0,,,55-48,,LA Clippers full timeout
9:45.0,,,55-50,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
9:31.0,T. Maker misses 3-pt shot from 25 ft,,55-50,,
9:30.0,,,55-50,,Defensive rebound by D. Jordan
9:22.0,,,55-50,,J. Redick misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by T. Snell,,55-50,,
9:05.0,T. Maker misses 3-pt shot from 22 ft,,55-50,,
9:05.0,,,55-50,,Defensive rebound by B. Griffin
8:47.0,,,55-52,2,B. Griffin makes 2-pt shot from 2 ft
8:31.0,G. Monroe enters the game for T. Maker,,55-52,,
8:29.0,Turnover by K. Middleton (bad pass; steal by C. Paul),,55-52,,
8:23.0,,,55-52,,J. Redick misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by G. Antetokounmpo,,55-52,,
8:13.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,55-52,,
8:12.0,,,55-52,,Defensive rebound by D. Jordan
7:53.0,,,55-54,2,B. Griffin makes 2-pt shot from 19 ft (assist by D. Jordan)
7:32.0,T. Snell makes 3-pt shot from 24 ft (assist by G. Monroe),3,58-54,,
7:10.0,,,58-56,2,L. Mbah a Moute makes 2-pt shot from 13 ft (assist by J. Redick)
6:47.0,G. Antetokounmpo makes 2-pt shot from 6 ft,2,60-56,,
6:22.0,,,60-58,2,L. Mbah a Moute makes 2-pt shot from 17 ft (assist by B. Griffin)
