time,Brooklyn,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Hernangomez vs. B. Lopez (J. Lin gains possession),,,,Jump ball: W. Hernangomez vs. B. Lopez (J. Lin gains possession)
11:34.0,J. Lin misses 2-pt shot from 16 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by L. Thomas
11:14.0,,,0-0,,C. Anthony misses 2-pt shot from 15 ft
11:13.0,Defensive rebound by J. Lin,,0-0,,
11:05.0,C. LeVert makes 2-pt shot from 18 ft,2,2-0,,
10:47.0,,,2-0,,D. Rose misses 2-pt shot from 5 ft
10:45.0,Defensive rebound by B. Lopez,,2-0,,
10:40.0,R. Hollis-Jefferson makes 2-pt shot from 12 ft,2,4-0,,
10:17.0,,,4-0,,Turnover by W. Hernangomez (offensive foul)
10:17.0,,,4-0,,Offensive foul by W. Hernangomez
10:09.0,Shooting foul by D. Rose (drawn by J. Lin),,4-0,,
10:09.0,J. Lin makes free throw 1 of 2,1,5-0,,
10:09.0,J. Lin makes free throw 2 of 2,1,6-0,,
9:53.0,,,6-2,2,W. Hernangomez makes 2-pt shot from 6 ft (assist by C. Lee)
9:29.0,J. Lin makes 2-pt shot from 1 ft,2,8-2,,
9:17.0,,,8-4,2,C. Lee makes 2-pt shot from 6 ft (assist by D. Rose)
9:05.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Lin),2,10-4,,
8:51.0,,,10-6,2,C. Anthony makes 2-pt shot from 12 ft
8:40.0,J. Lin misses 3-pt shot from 26 ft,,10-6,,
8:38.0,Offensive rebound by R. Hollis-Jefferson,,10-6,,
8:36.0,J. Lin misses 3-pt shot from 26 ft,,10-6,,
8:33.0,,,10-6,,Defensive rebound by W. Hernangomez
8:23.0,,,10-8,2,C. Lee makes 2-pt shot from 9 ft (assist by D. Rose)
8:04.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft,,10-8,,
8:02.0,Offensive rebound by R. Hollis-Jefferson,,10-8,,
8:02.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,10-8,,
8:01.0,,,10-8,,Defensive rebound by C. Anthony
7:52.0,,,10-8,,Shooting foul by R. Hollis-Jefferson (drawn by C. Anthony)
7:52.0,,,10-9,1,C. Anthony makes free throw 1 of 3
7:52.0,,,10-10,1,C. Anthony makes free throw 2 of 3
7:52.0,,,10-11,1,C. Anthony makes free throw 3 of 3
7:39.0,R. Foye misses 3-pt shot from 25 ft,,10-11,,
7:37.0,,,10-11,,Defensive rebound by L. Thomas
7:23.0,,,10-11,,Shooting foul by R. Foye (drawn by C. Anthony)
7:23.0,,,10-12,1,C. Anthony makes free throw 1 of 2
7:23.0,,,10-13,1,C. Anthony makes free throw 2 of 2
7:12.0,R. Hollis-Jefferson misses 3-pt shot from 24 ft,,10-13,,
7:10.0,,,10-13,,Defensive rebound by L. Thomas
7:05.0,,,10-15,2,D. Rose makes 2-pt shot from 3 ft
6:48.0,B. Lopez makes 2-pt shot at rim,2,12-15,,
6:30.0,,,12-17,2,D. Rose makes 2-pt shot from 16 ft (assist by C. Anthony)
6:29.0,Brooklyn full timeout,,12-17,,
6:29.0,I. Whitehead enters the game for C. LeVert,,12-17,,
6:29.0,K. McDaniels enters the game for R. Foye,,12-17,,
6:14.0,B. Lopez misses 2-pt shot from 24 ft,,12-17,,
6:12.0,Offensive rebound by R. Hollis-Jefferson,,12-17,,
6:12.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,14-17,,
5:55.0,,,14-17,,W. Hernangomez misses 2-pt shot from 3 ft
5:52.0,,,14-17,,Offensive rebound by L. Thomas
5:45.0,,,14-17,,C. Anthony misses 3-pt shot from 22 ft
5:43.0,Defensive rebound by R. Hollis-Jefferson,,14-17,,
5:38.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by B. Lopez),2,16-17,,
5:22.0,,,16-19,2,D. Rose makes 2-pt shot from 16 ft
