time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Gasol (M. Conley gains possession),,,,Jump ball: D. Dedmon vs. M. Gasol (M. Conley gains possession)
11:42.0,,,0-0,,Turnover by V. Carter (bad pass; steal by D. Green)
11:26.0,Turnover by L. Aldridge (lost ball; steal by M. Conley),,0-0,,
11:22.0,,,0-0,,T. Allen misses 2-pt shot from 1 ft (block by K. Leonard)
11:22.0,,,0-0,,Offensive rebound by Team
11:09.0,,,0-0,,M. Gasol misses 2-pt shot from 7 ft
11:07.0,Defensive rebound by L. Aldridge,,0-0,,
10:56.0,,,0-0,,Personal foul by J. Green (drawn by T. Parker)
10:48.0,K. Leonard makes 2-pt shot from 1 ft (assist by T. Parker),2,2-0,,
10:33.0,,,2-3,3,M. Conley makes 3-pt shot from 26 ft
10:21.0,,,2-3,,Violation by J. Green (def goaltending)
10:21.0,T. Parker makes 2-pt shot from 2 ft,2,4-3,,
10:05.0,,,4-3,,T. Allen misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by D. Green,,4-3,,
9:47.0,L. Aldridge misses 2-pt shot from 7 ft,,4-3,,
9:45.0,,,4-3,,Defensive rebound by M. Gasol
9:33.0,,,4-3,,Turnover by M. Conley (bad pass)
9:16.0,L. Aldridge misses 2-pt shot from 10 ft,,4-3,,
9:15.0,,,4-3,,Defensive rebound by T. Allen
9:02.0,,,4-5,2,V. Carter makes 2-pt shot from 2 ft
8:40.0,Shooting foul by V. Carter (drawn by D. Green),,4-5,,
8:40.0,D. Green makes free throw 1 of 2,1,5-5,,
8:40.0,D. Green makes free throw 2 of 2,1,6-5,,
8:23.0,,,6-5,,V. Carter misses 2-pt shot from 13 ft
8:20.0,Defensive rebound by K. Leonard,,6-5,,
8:16.0,K. Leonard misses 3-pt shot from 25 ft,,6-5,,
8:14.0,,,6-5,,Defensive rebound by M. Conley
8:00.0,,,6-5,,M. Gasol misses 2-pt shot from 13 ft
7:59.0,Defensive rebound by L. Aldridge,,6-5,,
7:41.0,K. Leonard misses 2-pt shot from 16 ft,,6-5,,
7:41.0,,,6-5,,Defensive rebound by Team
7:31.0,Personal foul by D. Dedmon (drawn by M. Gasol),,6-5,,
7:19.0,,,6-8,3,M. Conley makes 3-pt shot from 25 ft
7:00.0,L. Aldridge makes 2-pt shot from 6 ft (assist by K. Leonard),2,8-8,,
6:38.0,,,8-8,,M. Gasol misses 2-pt shot from 5 ft
6:38.0,,,8-8,,Offensive rebound by Team
6:38.0,P. Mills enters the game for T. Parker,,8-8,,
6:30.0,,,8-8,,J. Green misses 2-pt shot from 16 ft
6:30.0,Defensive rebound by D. Dedmon,,8-8,,
6:15.0,K. Leonard misses 2-pt shot from 1 ft,,8-8,,
6:13.0,Offensive rebound by D. Dedmon,,8-8,,
6:10.0,P. Mills misses 3-pt shot from 27 ft,,8-8,,
6:09.0,Offensive rebound by D. Green,,8-8,,
6:06.0,D. Green misses 3-pt shot from 25 ft,,8-8,,
6:06.0,Offensive rebound by K. Leonard,,8-8,,
6:03.0,K. Leonard makes 2-pt shot from 12 ft,2,10-8,,
5:56.0,,,10-8,,Memphis full timeout
5:56.0,,,10-8,,Z. Randolph enters the game for J. Green
5:56.0,,,10-8,,A. Harrison enters the game for M. Conley
5:39.0,,,10-8,,A. Harrison misses 3-pt shot from 23 ft
5:38.0,Defensive rebound by L. Aldridge,,10-8,,
5:22.0,L. Aldridge makes 2-pt shot from 18 ft (assist by P. Mills),2,12-8,,
4:56.0,,,12-10,2,M. Gasol makes 2-pt shot from 22 ft (assist by Z. Randolph)
4:39.0,L. Aldridge makes 2-pt shot from 14 ft,2,14-10,,
4:29.0,,,14-10,,Shooting foul by P. Mills (drawn by A. Harrison)
4:29.0,,,14-11,1,A. Harrison makes free throw 1 of 3
4:29.0,,,14-12,1,A. Harrison makes free throw 2 of 3
4:29.0,,,14-13,1,A. Harrison makes free throw 3 of 3
4:29.0,,,14-12,,J. Ennis enters the game for T. Allen
4:29.0,P. Gasol enters the game for D. Green,,14-12,,
4:29.0,M. Ginobili enters the game for D. Dedmon,,14-12,,
4:15.0,L. Aldridge misses 2-pt shot from 16 ft,,14-13,,
4:14.0,,,14-13,,Defensive rebound by V. Carter
4:02.0,,,14-16,3,V. Carter makes 3-pt shot from 27 ft (assist by M. Gasol)
4:02.0,San Antonio full timeout,,14-16,,
3:40.0,P. Mills misses 3-pt shot from 26 ft,,14-16,,
3:40.0,,,14-16,,Defensive rebound by J. Ennis
3:25.0,,,14-18,2,Z. Randolph makes 2-pt shot from 2 ft (assist by V. Carter)
3:13.0,P. Gasol misses 3-pt shot from 26 ft,,14-18,,
3:13.0,,,14-18,,Defensive rebound by V. Carter
3:08.0,,,14-20,2,M. Gasol makes 2-pt shot from 1 ft (assist by V. Carter)
2:52.0,K. Leonard misses 3-pt shot from 25 ft,,14-20,,
2:52.0,,,14-20,,Defensive rebound by Z. Randolph
2:39.0,J. Simmons enters the game for K. Leonard,,14-20,,
2:39.0,,,14-20,,T. Daniels enters the game for V. Carter
2:32.0,,,14-22,2,Z. Randolph makes 2-pt shot from 21 ft (assist by A. Harrison)
2:10.0,M. Ginobili misses 2-pt shot from 19 ft,,14-22,,
2:09.0,Offensive rebound by P. Gasol,,14-22,,
2:02.0,P. Mills misses 3-pt shot from 25 ft,,14-22,,
2:02.0,,,14-22,,Defensive rebound by Z. Randolph
1:54.0,,,14-22,,M. Gasol misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by L. Aldridge,,14-22,,
1:43.0,L. Aldridge makes 2-pt shot from 20 ft (assist by P. Mills),2,16-22,,
1:17.0,,,16-22,,A. Harrison misses 2-pt shot from 1 ft
1:16.0,,,16-22,,Offensive rebound by Z. Randolph
1:16.0,,,16-22,,Z. Randolph misses 2-pt shot from 1 ft (block by M. Ginobili)
1:16.0,,,16-22,,Offensive rebound by Team
1:16.0,,,16-22,,M. Conley enters the game for A. Harrison
1:16.0,,,16-22,,B. Wright enters the game for M. Gasol
1:16.0,D. Bertans enters the game for L. Aldridge,,16-22,,
1:08.0,,,16-24,2,Z. Randolph makes 2-pt shot from 12 ft
0:57.0,D. Bertans misses 3-pt shot from 25 ft,,16-24,,
0:56.0,,,16-24,,Defensive rebound by Z. Randolph
0:45.0,,,16-27,3,Z. Randolph makes 3-pt shot from 26 ft (assist by M. Conley)
0:30.0,P. Gasol makes 2-pt shot from 1 ft,2,18-27,,
0:08.0,,,18-27,,M. Conley misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by D. Bertans,,18-27,,
0:06.0,Turnover by D. Bertans (lost ball; steal by J. Ennis),,18-27,,
0:05.0,,,18-27,,Shooting foul by D. Bertans (drawn by J. Ennis)
0:05.0,,,18-28,1,J. Ennis makes free throw 1 of 2
0:05.0,,,18-29,1,J. Ennis makes free throw 2 of 2
0:05.0,,,18-28,,A. Harrison enters the game for T. Daniels
0:05.0,,,18-28,,J. Green enters the game for Z. Randolph
0:05.0,,,18-28,,T. Allen enters the game for M. Conley
0:01.0,M. Ginobili misses 3-pt shot from 23 ft,,18-29,,
0:00.0,Offensive rebound by Team,,18-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili),3,21-29,,
11:24.0,,,21-29,,J. Ennis misses 2-pt shot from 2 ft
11:22.0,Defensive rebound by P. Gasol,,21-29,,
11:07.0,P. Gasol makes 2-pt shot from 20 ft (assist by J. Simmons),2,23-29,,
10:38.0,,,23-29,,T. Daniels misses 2-pt shot from 14 ft
10:37.0,Defensive rebound by P. Mills,,23-29,,
10:28.0,Turnover by M. Ginobili (bad pass; steal by B. Wright),,23-29,,
10:25.0,Personal take foul by J. Simmons (drawn by M. Conley),,23-29,,
10:25.0,T. Parker enters the game for P. Mills,,23-29,,
10:09.0,,,23-29,,Shooting foul by D. Bertans (drawn by Z. Randolph)
10:09.0,,,23-29,,Z. Randolph misses free throw 1 of 2
10:09.0,,,23-29,,Offensive rebound by Team
10:09.0,,,23-29,,Z. Randolph misses free throw 2 of 2
10:09.0,D. Green enters the game for M. Ginobili,,23-29,,
10:09.0,D. Dedmon enters the game for D. Bertans,,23-29,,
10:09.0,D. Lee enters the game for P. Gasol,,23-29,,
10:08.0,Defensive rebound by D. Dedmon,,23-29,,
9:56.0,T. Parker makes 2-pt shot from 19 ft,2,25-29,,
9:39.0,,,25-29,,T. Daniels misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by D. Green,,25-29,,
9:34.0,J. Simmons makes 2-pt shot from 2 ft (assist by D. Green),2,27-29,,
9:34.0,,,27-29,,Memphis full timeout
9:19.0,,,27-29,,Z. Randolph misses 2-pt shot from 7 ft
9:18.0,Defensive rebound by D. Green,,27-29,,
9:12.0,D. Dedmon makes 2-pt shot at rim (assist by T. Parker),2,29-29,,
9:02.0,,,29-29,,Shooting foul by D. Dedmon (drawn by M. Conley)
9:02.0,,,29-29,,M. Conley misses free throw 1 of 2
9:02.0,,,29-29,,Offensive rebound by Team
9:02.0,,,29-30,1,M. Conley makes free throw 2 of 2
9:02.0,,,29-29,,V. Carter enters the game for J. Ennis
9:02.0,,,29-29,,M. Gasol enters the game for Z. Randolph
8:41.0,J. Simmons makes 2-pt shot from 14 ft,2,31-30,,
8:25.0,,,31-30,,V. Carter misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by D. Lee,,31-30,,
8:15.0,T. Parker misses 2-pt shot from 22 ft,,31-30,,
8:15.0,,,31-30,,Defensive rebound by V. Carter
8:00.0,,,31-33,3,V. Carter makes 3-pt shot from 24 ft
7:34.0,T. Parker misses 2-pt shot at rim (block by M. Conley),,31-33,,
7:33.0,,,31-33,,Defensive rebound by M. Conley
7:33.0,,,31-33,,Turnover by M. Conley (bad pass)
7:33.0,,,31-33,,J. Green enters the game for B. Wright
7:33.0,K. Leonard enters the game for J. Simmons,,31-33,,
7:12.0,D. Lee misses 2-pt shot from 8 ft,,31-33,,
7:11.0,,,31-33,,Defensive rebound by M. Conley
6:55.0,,,31-33,,Turnover by V. Carter (traveling)
6:55.0,,,31-33,,T. Allen enters the game for T. Daniels
6:55.0,San Antonio full timeout,,31-33,,
6:55.0,L. Aldridge enters the game for D. Dedmon,,31-33,,
6:45.0,Turnover by K. Leonard (bad pass),,31-33,,
6:33.0,,,31-33,,T. Allen misses 2-pt shot from 21 ft
6:32.0,Defensive rebound by D. Green,,31-33,,
6:15.0,Turnover by D. Lee (bad pass),,31-33,,
5:57.0,Personal foul by T. Parker (drawn by V. Carter),,31-33,,
5:48.0,,,31-33,,Turnover by M. Gasol (bad pass)
5:24.0,T. Parker misses 3-pt shot from 27 ft,,31-33,,
5:23.0,,,31-33,,Defensive rebound by T. Allen
5:05.0,,,31-33,,V. Carter misses 3-pt shot from 24 ft
5:04.0,Defensive rebound by L. Aldridge,,31-33,,
4:53.0,K. Leonard misses 2-pt shot from 2 ft (block by T. Allen),,31-33,,
4:53.0,Offensive rebound by Team,,31-33,,
4:53.0,,,31-33,,A. Harrison enters the game for M. Conley
4:53.0,P. Mills enters the game for T. Parker,,31-33,,
4:46.0,P. Mills makes 3-pt shot from 24 ft (assist by L. Aldridge),3,34-33,,
4:20.0,,,34-36,3,J. Green makes 3-pt shot from 24 ft (assist by M. Gasol)
4:04.0,D. Lee makes 2-pt shot from 1 ft (assist by K. Leonard),2,36-36,,
3:49.0,,,36-36,,T. Allen misses 3-pt shot from 24 ft
3:48.0,Defensive rebound by D. Lee,,36-36,,
3:47.0,,,36-36,,Personal foul by V. Carter
3:47.0,M. Ginobili enters the game for D. Green,,36-36,,
3:47.0,P. Gasol enters the game for D. Lee,,36-36,,
3:36.0,Shooting foul by J. Green (drawn by K. Leonard),,36-36,,
3:36.0,K. Leonard makes free throw 1 of 2,1,37-36,,
3:36.0,K. Leonard makes free throw 2 of 2,1,38-36,,
3:17.0,,,38-36,,V. Carter misses 3-pt shot from 26 ft
3:17.0,Defensive rebound by P. Gasol,,38-36,,
3:17.0,,,38-36,,Loose ball foul by T. Allen (drawn by M. Ginobili)
3:17.0,,,38-36,,Z. Randolph enters the game for J. Green
3:01.0,Offensive charge foul by M. Ginobili,,38-36,,
3:01.0,Turnover by M. Ginobili (offensive foul),,38-36,,
2:54.0,Personal foul by K. Leonard (drawn by V. Carter),,38-36,,
2:54.0,,,38-36,,Memphis full timeout
2:54.0,,,38-37,1,V. Carter makes free throw 1 of 2
2:54.0,,,38-38,1,V. Carter makes free throw 2 of 2
2:44.0,Turnover by P. Gasol (bad pass),,38-38,,
2:32.0,Personal foul by M. Ginobili (drawn by M. Gasol),,38-38,,
2:32.0,,,38-39,1,M. Gasol makes free throw 1 of 2
2:32.0,,,38-40,1,M. Gasol makes free throw 2 of 2
2:32.0,,,38-39,,M. Conley enters the game for A. Harrison
2:09.0,Turnover by K. Leonard (traveling),,38-40,,
1:48.0,,,38-40,,M. Conley misses 2-pt shot from 8 ft
1:46.0,,,38-40,,Offensive rebound by Z. Randolph
1:46.0,,,38-40,,Z. Randolph misses 2-pt shot from 2 ft
1:45.0,,,38-40,,Offensive rebound by T. Allen
1:45.0,,,38-42,2,T. Allen makes 2-pt shot from 2 ft
1:17.0,P. Mills misses 3-pt shot from 24 ft,,38-42,,
1:15.0,,,38-42,,Defensive rebound by Team
0:52.0,,,38-42,,V. Carter misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by L. Aldridge,,38-42,,
0:32.0,K. Leonard makes 3-pt shot from 27 ft (assist by L. Aldridge),3,41-42,,
0:30.0,,,41-42,,Memphis full timeout
0:30.0,,,41-42,,T. Daniels enters the game for T. Allen
0:30.0,D. Dedmon enters the game for P. Mills,,41-42,,
0:30.0,J. Simmons enters the game for P. Gasol,,41-42,,
0:13.0,,,41-44,2,M. Conley makes 2-pt shot from 7 ft
0:02.0,K. Leonard makes 2-pt shot from 19 ft,2,43-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,L. Aldridge makes 2-pt shot from 12 ft,2,45-44,,
11:19.0,,,45-44,,M. Conley misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by K. Leonard,,45-44,,
11:07.0,L. Aldridge misses 2-pt shot from 19 ft,,45-44,,
11:06.0,,,45-44,,Defensive rebound by M. Conley
10:54.0,,,45-47,3,M. Gasol makes 3-pt shot from 26 ft (assist by V. Carter)
10:28.0,L. Aldridge misses 2-pt shot from 8 ft,,45-47,,
10:27.0,,,45-47,,Defensive rebound by M. Conley
10:15.0,,,45-47,,Turnover by M. Gasol (palming)
9:50.0,T. Parker misses 2-pt shot from 12 ft,,45-47,,
9:48.0,,,45-47,,Defensive rebound by M. Gasol
9:40.0,,,45-47,,V. Carter misses 3-pt shot from 27 ft
9:40.0,Defensive rebound by K. Leonard,,45-47,,
9:37.0,Turnover by K. Leonard (bad pass; steal by V. Carter),,45-47,,
9:23.0,,,45-49,2,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley)
9:09.0,L. Aldridge makes 2-pt shot from 6 ft,2,47-49,,
9:09.0,Shooting foul by J. Green (drawn by L. Aldridge),,47-49,,
9:09.0,L. Aldridge makes free throw 1 of 1,1,48-49,,
8:52.0,,,48-49,,M. Conley misses 2-pt shot from 3 ft
8:50.0,,,48-49,,Offensive rebound by T. Allen
8:44.0,,,48-51,2,J. Green makes 2-pt shot from 23 ft (assist by M. Conley)
8:31.0,Shooting foul by T. Allen (drawn by K. Leonard),,48-51,,
8:31.0,K. Leonard makes free throw 1 of 2,1,49-51,,
8:31.0,K. Leonard makes free throw 2 of 2,1,50-51,,
8:10.0,,,50-51,,M. Gasol misses 2-pt shot from 12 ft
8:08.0,,,50-51,,Offensive rebound by T. Allen
8:06.0,,,50-51,,T. Allen misses 2-pt shot from 1 ft
8:05.0,,,50-51,,Offensive rebound by Team
8:02.0,,,50-51,,J. Green misses 2-pt shot from 4 ft (block by D. Dedmon)
8:02.0,,,50-51,,Offensive rebound by J. Green
8:02.0,,,50-53,2,J. Green makes 2-pt shot from 4 ft
8:02.0,,,50-53,,Shooting foul by D. Dedmon (drawn by J. Green)
8:02.0,,,50-54,1,J. Green makes free throw 1 of 1
7:50.0,Offensive foul by L. Aldridge,,50-54,,
7:50.0,Turnover by L. Aldridge (offensive foul),,50-54,,
7:32.0,,,50-57,3,J. Green makes 3-pt shot from 23 ft (assist by M. Conley)
7:29.0,San Antonio full timeout,,50-57,,
7:29.0,P. Gasol enters the game for D. Dedmon,,50-57,,
7:15.0,L. Aldridge makes 2-pt shot from 20 ft,2,52-57,,
6:47.0,,,52-57,,T. Allen misses 2-pt shot from 1 ft (block by L. Aldridge)
6:45.0,Defensive rebound by T. Parker,,52-57,,
6:31.0,P. Gasol makes 2-pt shot from 10 ft,2,54-57,,
6:10.0,,,54-57,,Shooting foul by D. Green (drawn by M. Conley)
6:10.0,,,54-58,1,M. Conley makes free throw 1 of 2
6:10.0,,,54-59,1,M. Conley makes free throw 2 of 2
6:10.0,P. Mills enters the game for T. Parker,,54-58,,
5:51.0,Shooting foul by V. Carter (drawn by D. Green),,54-59,,
5:51.0,,,54-59,,Technical foul by V. Carter (drawn by D. Green)
5:51.0,K. Leonard makes technical free throw,1,55-59,,
5:51.0,D. Green makes free throw 1 of 2,1,56-59,,
5:51.0,D. Green makes free throw 2 of 2,1,57-59,,
5:51.0,,,56-59,,T. Daniels enters the game for V. Carter
5:33.0,,,57-61,2,T. Allen makes 2-pt shot from 2 ft
5:18.0,P. Mills misses 3-pt shot from 24 ft,,57-61,,
5:17.0,Offensive rebound by P. Gasol,,57-61,,
5:13.0,L. Aldridge makes 2-pt shot from 8 ft (assist by P. Gasol),2,59-61,,
5:01.0,,,59-61,,M. Gasol misses 2-pt shot from 11 ft
5:00.0,Defensive rebound by P. Gasol,,59-61,,
4:51.0,L. Aldridge misses 2-pt shot from 18 ft,,59-61,,
