time,Cleveland,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. I. Zubac (K. Love gains possession),,,,Jump ball: T. Thompson vs. I. Zubac (K. Love gains possession)
11:43.0,K. Irving makes 2-pt shot from 15 ft (assist by T. Thompson),2,2-0,,
11:23.0,,,2-3,3,J. Clarkson makes 3-pt shot from 25 ft (assist by I. Zubac)
11:11.0,K. Irving misses 2-pt shot from 21 ft,,2-3,,
11:10.0,,,2-3,,Defensive rebound by B. Ingram
11:01.0,,,2-3,,B. Ingram misses 2-pt shot from 17 ft
11:00.0,Defensive rebound by K. Love,,2-3,,
10:44.0,L. James makes 3-pt shot from 25 ft,3,5-3,,
10:25.0,,,5-5,2,I. Zubac makes 2-pt shot from 1 ft (assist by D. Russell)
10:01.0,K. Irving misses 3-pt shot from 24 ft,,5-5,,
9:59.0,,,5-5,,Defensive rebound by I. Zubac
9:54.0,,,5-8,3,J. Clarkson makes 3-pt shot from 25 ft (assist by D. Russell)
9:35.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,8-8,,
9:25.0,Violation by K. Irving (kicked ball),,8-8,,
9:19.0,,,8-11,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Randle)
8:58.0,K. Love misses 2-pt shot from 12 ft,,8-11,,
8:56.0,,,8-11,,Defensive rebound by B. Ingram
8:50.0,,,8-11,,B. Ingram misses 2-pt shot from 12 ft
8:47.0,Defensive rebound by K. Love,,8-11,,
8:43.0,Turnover by K. Irving (bad pass),,8-11,,
8:33.0,,,8-13,2,D. Russell makes 2-pt shot from 12 ft
8:14.0,Shooting foul by J. Randle (drawn by K. Love),,8-13,,
8:14.0,K. Love makes 2-pt shot from 2 ft (assist by I. Shumpert),2,10-13,,
8:14.0,K. Love makes free throw 1 of 1,1,11-13,,
8:01.0,,,11-13,,J. Randle misses 3-pt shot from 26 ft
8:00.0,Defensive rebound by K. Love,,11-13,,
7:51.0,L. James misses 2-pt shot from 1 ft (block by I. Zubac),,11-13,,
7:50.0,Offensive rebound by T. Thompson,,11-13,,
7:37.0,K. Love misses 2-pt shot from 7 ft,,11-13,,
7:35.0,,,11-13,,Defensive rebound by I. Zubac
7:28.0,,,11-15,2,D. Russell makes 2-pt shot from 19 ft
7:12.0,K. Irving makes 2-pt shot from 14 ft,2,13-15,,
6:59.0,,,13-15,,J. Clarkson misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by I. Shumpert,,13-15,,
6:40.0,I. Shumpert misses 2-pt shot from 2 ft,,13-15,,
6:39.0,,,13-15,,Defensive rebound by J. Randle
6:34.0,,,13-17,2,B. Ingram makes 2-pt shot from 1 ft (assist by J. Randle)
6:12.0,K. Love misses 3-pt shot from 24 ft,,13-17,,
6:11.0,,,13-17,,Defensive rebound by I. Zubac
5:56.0,,,13-17,,Turnover by J. Randle (bad pass; steal by L. James)
5:50.0,L. James makes 2-pt shot from 1 ft,2,15-17,,
5:44.0,,,15-17,,B. Ingram misses 2-pt shot from 11 ft
5:41.0,Defensive rebound by K. Love,,15-17,,
5:36.0,L. James misses 2-pt shot from 2 ft,,15-17,,
5:35.0,Offensive rebound by T. Thompson,,15-17,,
5:32.0,T. Thompson makes 2-pt shot from 3 ft,2,17-17,,
5:10.0,,,17-20,3,D. Russell makes 3-pt shot from 25 ft (assist by J. Clarkson)
5:08.0,Cleveland full timeout,,17-20,,
4:57.0,L. James makes 2-pt shot from 1 ft,2,19-20,,
4:29.0,,,19-20,,B. Ingram misses 3-pt shot from 24 ft
4:28.0,Defensive rebound by T. Thompson,,19-20,,
4:17.0,K. Love makes 2-pt shot from 21 ft (assist by K. Irving),2,21-20,,
4:17.0,Shooting foul by B. Ingram (drawn by K. Love),,21-20,,
4:17.0,K. Love makes free throw 1 of 1,1,22-20,,
4:17.0,J. Smith enters the game for I. Shumpert,,21-20,,
4:07.0,,,22-20,,J. Clarkson misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by K. Love,,22-20,,
3:55.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,24-20,,
3:39.0,,,24-20,,Shooting foul by K. Love (drawn by D. Russell)
3:39.0,,,24-21,1,D. Russell makes free throw 1 of 2
3:39.0,,,24-22,1,D. Russell makes free throw 2 of 2
3:39.0,,,24-21,,D. Nwaba enters the game for J. Clarkson
3:39.0,,,24-21,,L. Nance enters the game for I. Zubac
3:30.0,K. Irving makes 2-pt shot from 2 ft,2,26-22,,
3:30.0,Shooting foul by D. Nwaba (drawn by K. Irving),,26-22,,
3:30.0,K. Irving makes free throw 1 of 1,1,27-22,,
3:30.0,R. Jefferson enters the game for L. James,,26-22,,
3:30.0,D. Williams enters the game for K. Love,,26-22,,
3:08.0,,,27-22,,L. Nance misses 2-pt shot from 18 ft
3:05.0,Defensive rebound by J. Smith,,27-22,,
2:49.0,K. Irving makes 2-pt shot from 20 ft,2,29-22,,
2:48.0,,,29-22,,LA Lakers full timeout
2:35.0,,,29-22,,D. Nwaba misses 2-pt shot from 2 ft
2:32.0,,,29-22,,Offensive rebound by J. Randle
2:32.0,,,29-22,,J. Randle misses 2-pt shot at rim
2:31.0,Defensive rebound by K. Irving,,29-22,,
2:26.0,K. Irving makes 2-pt shot from 2 ft,2,31-22,,
2:15.0,,,31-22,,D. Russell misses 2-pt shot from 6 ft
2:12.0,,,31-22,,Offensive rebound by L. Nance
2:09.0,,,31-25,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Randle)
1:53.0,J. Smith misses 3-pt shot from 26 ft,,31-25,,
1:52.0,,,31-25,,Defensive rebound by D. Nwaba
1:43.0,,,31-28,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Randle)
1:23.0,R. Jefferson misses 3-pt shot from 25 ft,,31-28,,
1:21.0,,,31-28,,Defensive rebound by J. Randle
1:21.0,Personal foul by R. Jefferson (drawn by D. Nwaba),,31-28,,
1:21.0,,,31-28,,Violation by Team (jump ball)
1:16.0,,,31-28,,C. Brewer enters the game for B. Ingram
1:12.0,,,31-28,,D. Russell misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by R. Jefferson,,31-28,,
1:01.0,Turnover by K. Irving (bad pass; steal by D. Nwaba),,31-28,,
0:54.0,,,31-28,,L. Nance misses 2-pt shot from 2 ft
0:53.0,Defensive rebound by J. Smith,,31-28,,
0:43.0,J. Smith misses 2-pt shot from 24 ft,,31-28,,
0:42.0,,,31-28,,Defensive rebound by L. Nance
0:18.0,,,31-28,,C. Brewer misses 3-pt shot from 25 ft
0:17.0,Defensive rebound by T. Thompson,,31-28,,
0:05.0,,,31-28,,Personal foul by D. Nwaba (drawn by K. Irving)
0:05.0,,,31-28,,B. Ingram enters the game for J. Randle
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,31-28,,L. Nance misses 2-pt shot from 12 ft
11:44.0,Defensive rebound by L. James,,31-28,,
11:27.0,L. James makes 3-pt shot from 27 ft (assist by D. Williams),3,34-28,,
11:05.0,,,34-30,2,J. Clarkson makes 2-pt shot from 8 ft
10:48.0,C. Frye makes 3-pt shot from 23 ft (assist by L. James),3,37-30,,
10:36.0,,,37-30,,J. Clarkson misses 2-pt shot from 4 ft
10:34.0,Defensive rebound by L. James,,37-30,,
10:20.0,L. James misses 3-pt shot from 25 ft,,37-30,,
10:19.0,,,37-30,,Defensive rebound by C. Brewer
10:14.0,,,37-32,2,C. Brewer makes 2-pt shot from 2 ft
10:02.0,J. Smith misses 3-pt shot from 24 ft,,37-32,,
10:01.0,,,37-32,,Defensive rebound by D. Nwaba
9:45.0,,,37-34,2,T. Ennis makes 2-pt shot from 2 ft
9:27.0,Turnover by L. James (bad pass),,37-34,,
9:19.0,,,37-34,,T. Ennis misses 2-pt shot from 2 ft (block by D. Williams)
9:19.0,,,37-34,,Offensive rebound by Team
9:11.0,,,37-36,2,L. Nance makes 2-pt shot from 11 ft (assist by J. Clarkson)
9:00.0,,,37-36,,Personal foul by T. Ennis (drawn by D. Williams)
8:52.0,Turnover by L. James (traveling),,37-36,,
8:52.0,Official timeout,,37-36,,
8:41.0,,,37-36,,D. Nwaba misses 2-pt shot from 1 ft
8:39.0,,,37-36,,Offensive rebound by D. Nwaba
8:39.0,,,37-38,2,D. Nwaba makes 2-pt shot at rim
8:26.0,,,37-38,,Personal foul by D. Nwaba (drawn by L. James)
8:25.0,Turnover by C. Frye (bad pass; steal by T. Ennis),,37-38,,
8:19.0,,,37-40,2,D. Nwaba makes 2-pt shot from 2 ft (assist by T. Ennis)
7:55.0,,,37-40,,Personal foul by T. Ennis (drawn by C. Frye)
7:55.0,,,37-40,,B. Ingram enters the game for D. Nwaba
7:50.0,D. Williams misses 2-pt shot from 21 ft,,37-40,,
7:48.0,,,37-40,,Defensive rebound by C. Brewer
7:39.0,,,37-42,2,J. Clarkson makes 2-pt shot from 4 ft
7:21.0,,,37-42,,Personal foul by C. Brewer (drawn by J. Smith)
7:06.0,L. James misses 2-pt shot from 21 ft,,37-42,,
7:05.0,,,37-42,,Defensive rebound by C. Brewer
6:56.0,Def 3 sec tech foul by R. Jefferson,,37-42,,
6:56.0,,,37-43,1,J. Clarkson makes technical free throw
6:56.0,K. Irving enters the game for R. Jefferson,,37-43,,
6:56.0,,,37-43,,D. Russell enters the game for T. Ennis
6:46.0,,,37-43,,B. Ingram misses 2-pt shot from 14 ft
6:44.0,Defensive rebound by L. James,,37-43,,
6:39.0,,,37-43,,Violation by J. Clarkson (def goaltending)
6:39.0,D. Williams makes 2-pt shot from 2 ft,2,39-43,,
6:24.0,,,39-43,,J. Randle enters the game for C. Brewer
6:24.0,K. Love enters the game for C. Frye,,39-43,,
6:24.0,I. Shumpert enters the game for D. Williams,,39-43,,
6:15.0,,,39-46,3,L. Nance makes 3-pt shot from 25 ft (assist by J. Randle)
5:57.0,K. Love misses 2-pt shot from 2 ft,,39-46,,
5:57.0,Offensive rebound by K. Love,,39-46,,
5:57.0,Shooting foul by L. Nance (drawn by K. Love),,39-46,,
5:57.0,,,39-46,,LA Lakers full timeout
5:57.0,K. Love misses free throw 1 of 2,,39-46,,
5:57.0,Offensive rebound by Team,,39-46,,
5:57.0,K. Love makes free throw 2 of 2,1,40-46,,
5:57.0,,,39-46,,I. Zubac enters the game for L. Nance
5:57.0,T. Thompson enters the game for J. Smith,,39-46,,
5:43.0,,,40-48,2,B. Ingram makes 2-pt shot from 20 ft
5:24.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,43-48,,
5:11.0,Personal foul by K. Irving (drawn by B. Ingram),,43-48,,
5:11.0,R. Jefferson enters the game for L. James,,43-48,,
5:07.0,,,43-50,2,D. Russell makes 2-pt shot from 17 ft
4:52.0,Turnover by K. Irving (bad pass; steal by D. Russell),,43-50,,
4:48.0,,,43-52,2,D. Russell makes 2-pt shot from 1 ft
4:35.0,K. Love misses 2-pt shot from 1 ft (block by B. Ingram),,43-52,,
4:33.0,Offensive rebound by K. Love,,43-52,,
4:31.0,K. Love misses 2-pt shot from 1 ft,,43-52,,
4:29.0,Offensive rebound by K. Love,,43-52,,
4:29.0,K. Love makes 2-pt shot from 1 ft,2,45-52,,
