time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Gasol (L. Aldridge gains possession),,,,Jump ball: D. Dedmon vs. M. Gasol (L. Aldridge gains possession)
11:43.0,,,0-2,2,D. Dedmon makes 2-pt shot from 2 ft (assist by K. Leonard)
11:31.0,,,0-2,,Personal foul by D. Dedmon (drawn by M. Gasol)
11:18.0,M. Conley misses 3-pt shot from 25 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by D. Dedmon
11:04.0,,,0-2,,L. Aldridge misses 2-pt shot from 17 ft
11:03.0,Defensive rebound by M. Gasol,,0-2,,
10:57.0,V. Carter makes 3-pt shot from 26 ft (assist by T. Allen),3,3-2,,
10:50.0,,,3-2,,San Antonio full timeout
10:43.0,,,3-4,2,D. Green makes 2-pt shot from 12 ft (assist by K. Leonard)
10:30.0,V. Carter misses 3-pt shot from 25 ft,,3-4,,
10:29.0,,,3-4,,Defensive rebound by Team
10:12.0,Personal foul by T. Allen (drawn by L. Aldridge),,3-4,,
10:02.0,,,3-7,3,L. Aldridge makes 3-pt shot from 23 ft (assist by K. Leonard)
9:40.0,T. Allen misses 3-pt shot from 25 ft,,3-7,,
9:38.0,Offensive rebound by J. Green,,3-7,,
9:31.0,Turnover by M. Gasol (lost ball),,3-7,,
9:04.0,,,3-9,2,D. Dedmon makes 2-pt shot from 11 ft (assist by L. Aldridge)
8:49.0,V. Carter misses 3-pt shot from 26 ft,,3-9,,
8:48.0,,,3-9,,Defensive rebound by T. Parker
8:34.0,,,3-9,,L. Aldridge misses 2-pt shot from 17 ft
8:33.0,Defensive rebound by T. Allen,,3-9,,
8:18.0,M. Conley makes 2-pt shot from 17 ft,2,5-9,,
7:57.0,,,5-11,2,K. Leonard makes 2-pt shot from 19 ft
7:43.0,M. Gasol misses 2-pt shot from 18 ft,,5-11,,
7:42.0,Offensive rebound by J. Green,,5-11,,
7:42.0,,,5-11,,Loose ball foul by K. Leonard (drawn by J. Green)
7:32.0,M. Gasol misses 2-pt shot from 6 ft,,5-11,,
7:30.0,,,5-11,,Defensive rebound by D. Dedmon
7:23.0,,,5-11,,K. Leonard misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by M. Gasol,,5-11,,
7:09.0,,,5-11,,Personal foul by D. Dedmon (drawn by M. Gasol)
7:09.0,,,5-11,,P. Gasol enters the game for D. Dedmon
7:01.0,Turnover by M. Conley (bad pass),,5-11,,
6:45.0,,,5-11,,L. Aldridge misses 2-pt shot from 6 ft
6:45.0,Defensive rebound by Team,,5-11,,
6:22.0,M. Conley misses 2-pt shot from 19 ft,,5-11,,
6:21.0,,,5-11,,Defensive rebound by K. Leonard
6:12.0,,,5-11,,P. Gasol misses 3-pt shot from 24 ft
6:10.0,,,5-11,,Offensive rebound by K. Leonard
6:03.0,,,5-13,2,K. Leonard makes 2-pt shot from 24 ft (assist by T. Parker)
5:56.0,Memphis full timeout,,5-13,,
5:45.0,J. Green makes 3-pt shot from 26 ft (assist by M. Gasol),3,8-13,,
5:28.0,,,8-13,,T. Parker misses 2-pt shot from 21 ft
5:26.0,Defensive rebound by T. Allen,,8-13,,
5:14.0,T. Allen misses 2-pt shot from 3 ft (block by P. Gasol),,8-13,,
5:12.0,Offensive rebound by Team,,8-13,,
5:12.0,,,8-13,,P. Mills enters the game for T. Parker
5:12.0,,,8-13,,M. Ginobili enters the game for D. Green
5:12.0,Z. Randolph enters the game for J. Green,,8-13,,
5:12.0,T. Daniels enters the game for T. Allen,,8-13,,
5:06.0,M. Conley makes 2-pt shot from 2 ft (assist by M. Gasol),2,10-13,,
4:51.0,,,10-15,2,P. Gasol makes 2-pt shot at rim (assist by P. Mills)
4:27.0,Shooting foul by M. Ginobili (drawn by Z. Randolph),,10-15,,
4:27.0,Z. Randolph makes free throw 1 of 2,1,11-15,,
4:27.0,Z. Randolph makes free throw 2 of 2,1,12-15,,
