time,Miami,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. H. Whiteside (L. Babbitt gains possession),,,,Jump ball: A. Johnson vs. H. Whiteside (L. Babbitt gains possession)
11:40.0,L. Babbitt misses 3-pt shot from 26 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by J. Crowder
11:24.0,,,0-2,2,J. Crowder makes 2-pt shot from 2 ft (assist by A. Horford)
11:13.0,G. Dragic misses 2-pt shot from 9 ft,,0-2,,
11:12.0,Offensive rebound by H. Whiteside,,0-2,,
11:12.0,H. Whiteside makes 2-pt shot at rim,2,2-2,,
10:56.0,,,2-2,,J. Crowder misses 2-pt shot from 22 ft
10:55.0,Defensive rebound by L. Babbitt,,2-2,,
10:46.0,L. Babbitt misses 3-pt shot from 27 ft,,2-2,,
10:45.0,Offensive rebound by G. Dragic,,2-2,,
10:41.0,R. McGruder misses 3-pt shot from 26 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by A. Johnson
10:19.0,,,2-2,,A. Bradley misses 3-pt shot from 26 ft
10:18.0,Defensive rebound by L. Babbitt,,2-2,,
9:58.0,G. Dragic misses 3-pt shot from 26 ft,,2-2,,
9:57.0,,,2-2,,Defensive rebound by A. Johnson
9:48.0,,,2-2,,I. Thomas misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by R. McGruder,,2-2,,
9:34.0,Shooting foul by I. Thomas (drawn by R. McGruder),,2-2,,
9:34.0,R. McGruder makes free throw 1 of 2,1,3-2,,
9:34.0,R. McGruder misses free throw 2 of 2,,3-2,,
9:34.0,,,3-2,,Defensive rebound by A. Horford
9:20.0,,,3-2,,A. Horford misses 2-pt shot from 15 ft
9:16.0,Defensive rebound by H. Whiteside,,3-2,,
9:00.0,H. Whiteside makes 2-pt shot from 12 ft,2,5-2,,
9:00.0,Shooting foul by A. Johnson (drawn by H. Whiteside),,5-2,,
9:00.0,H. Whiteside makes free throw 1 of 1,1,6-2,,
8:49.0,,,6-2,,Shooting foul by G. Dragic (drawn by J. Crowder)
8:49.0,,,6-2,,J. Crowder misses free throw 1 of 2
8:49.0,,,6-2,,Offensive rebound by Team
8:49.0,,,6-3,1,J. Crowder makes free throw 2 of 2
