time,Sacramento,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. D. Jordan (T. Evans gains possession),,,,Jump ball: W. Cauley-Stein vs. D. Jordan (T. Evans gains possession)
11:41.0,S. Labissiere makes 2-pt shot from 19 ft,2,2-0,,
11:28.0,Personal foul by S. Labissiere (drawn by B. Griffin),,2-0,,
11:22.0,,,2-0,,B. Griffin misses 2-pt shot from 3 ft (block by W. Cauley-Stein)
11:19.0,Defensive rebound by S. Labissiere,,2-0,,
11:00.0,S. Labissiere misses 2-pt shot from 17 ft,,2-0,,
10:57.0,,,2-0,,Defensive rebound by C. Paul
10:53.0,,,2-3,3,A. Rivers makes 3-pt shot from 26 ft (assist by C. Paul)
10:32.0,W. Cauley-Stein misses 2-pt shot from 19 ft,,2-3,,
10:31.0,,,2-3,,Defensive rebound by D. Jordan
10:11.0,,,2-3,,L. Mbah a Moute misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by S. Labissiere,,2-3,,
10:00.0,B. Hield misses 3-pt shot from 25 ft,,2-3,,
9:59.0,,,2-3,,Defensive rebound by D. Jordan
9:49.0,,,2-6,3,A. Rivers makes 3-pt shot from 25 ft
9:49.0,Sacramento full timeout,,2-6,,
9:28.0,T. Evans makes 2-pt shot from 5 ft,2,4-6,,
9:25.0,,,4-6,,Offensive foul by B. Griffin
9:25.0,,,4-6,,Turnover by B. Griffin (offensive foul)
9:14.0,D. Collison makes 2-pt shot from 17 ft,2,6-6,,
8:53.0,,,6-6,,Turnover by B. Griffin (bad pass; steal by W. Cauley-Stein)
8:48.0,B. Hield misses 3-pt shot from 28 ft,,6-6,,
8:48.0,Offensive rebound by Team,,6-6,,
8:48.0,,,6-6,,Loose ball foul by L. Mbah a Moute (drawn by S. Labissiere)
8:35.0,T. Evans misses 2-pt shot from 2 ft,,6-6,,
8:33.0,,,6-6,,Defensive rebound by L. Mbah a Moute
8:27.0,,,6-9,3,C. Paul makes 3-pt shot from 25 ft
8:13.0,D. Collison makes 2-pt shot from 18 ft (assist by S. Labissiere),2,8-9,,
7:55.0,,,8-9,,B. Griffin misses 2-pt shot from 2 ft
7:54.0,Defensive rebound by W. Cauley-Stein,,8-9,,
7:41.0,S. Labissiere misses 2-pt shot from 7 ft,,8-9,,
7:38.0,,,8-9,,Defensive rebound by D. Jordan
7:19.0,,,8-9,,A. Rivers misses 3-pt shot from 23 ft
7:18.0,Defensive rebound by S. Labissiere,,8-9,,
7:05.0,D. Collison makes 2-pt shot from 2 ft,2,10-9,,
6:50.0,,,10-11,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
6:25.0,T. Evans misses 3-pt shot from 26 ft,,10-11,,
6:24.0,,,10-11,,Defensive rebound by B. Griffin
6:16.0,Personal foul by T. Evans (drawn by L. Mbah a Moute),,10-11,,
6:09.0,,,10-13,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
5:50.0,W. Cauley-Stein misses 2-pt shot from 6 ft,,10-13,,
5:47.0,,,10-13,,Defensive rebound by A. Rivers
5:36.0,,,10-15,2,B. Griffin makes 2-pt shot from 2 ft
5:19.0,B. Hield makes 2-pt shot from 18 ft,2,12-15,,
4:58.0,,,12-15,,A. Rivers misses 3-pt shot from 27 ft
4:56.0,Defensive rebound by T. Evans,,12-15,,
4:50.0,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Evans),2,14-15,,
4:31.0,,,14-18,3,B. Griffin makes 3-pt shot from 27 ft (assist by C. Paul)
4:06.0,T. Evans misses 2-pt shot from 5 ft (block by D. Jordan),,14-18,,
4:04.0,,,14-18,,Defensive rebound by B. Griffin
4:01.0,,,14-18,,Turnover by L. Mbah a Moute (lost ball; steal by D. Collison)
3:55.0,T. Evans makes 3-pt shot from 25 ft (assist by B. Hield),3,17-18,,
3:54.0,,,17-18,,LA Clippers full timeout
3:54.0,G. Papagiannis enters the game for W. Cauley-Stein,,17-18,,
3:40.0,,,17-18,,A. Rivers misses 2-pt shot from 12 ft
3:34.0,Defensive rebound by S. Labissiere,,17-18,,
3:24.0,Turnover by D. Collison (lost ball; steal by L. Mbah a Moute),,17-18,,
3:15.0,,,17-18,,L. Mbah a Moute misses 2-pt shot from 18 ft
3:13.0,Defensive rebound by T. Evans,,17-18,,
3:10.0,Turnover by T. Evans (bad pass),,17-18,,
3:10.0,,,17-18,,J. Crawford enters the game for L. Mbah a Moute
3:10.0,G. Temple enters the game for B. Hield,,17-18,,
3:10.0,Violation by Team (delay of game),,17-18,,
3:01.0,,,17-20,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
2:39.0,T. Evans misses 2-pt shot from 21 ft,,17-20,,
2:35.0,,,17-20,,Defensive rebound by B. Griffin
2:27.0,,,17-23,3,C. Paul makes 3-pt shot from 26 ft
2:10.0,G. Papagiannis misses 2-pt shot from 14 ft,,17-23,,
2:07.0,,,17-23,,Defensive rebound by D. Jordan
2:01.0,Sacramento full timeout,,17-23,,
2:01.0,,,17-23,,P. Pierce enters the game for B. Griffin
2:01.0,,,17-23,,R. Felton enters the game for A. Rivers
2:01.0,B. McLemore enters the game for T. Evans,,17-23,,
1:52.0,Personal foul by B. McLemore (drawn by R. Felton),,17-23,,
1:52.0,A. Tolliver enters the game for S. Labissiere,,17-23,,
1:38.0,,,17-23,,R. Felton misses 3-pt shot from 27 ft
1:37.0,Defensive rebound by A. Tolliver,,17-23,,
1:15.0,A. Tolliver makes 3-pt shot from 25 ft (assist by G. Temple),3,20-23,,
1:15.0,Shooting foul by P. Pierce (drawn by A. Tolliver),,20-23,,
1:15.0,A. Tolliver misses free throw 1 of 1,,20-23,,
1:15.0,,,20-23,,A. Rivers enters the game for C. Paul
1:15.0,,,20-23,,M. Speights enters the game for D. Jordan
1:14.0,,,20-23,,Defensive rebound by P. Pierce
1:03.0,Personal foul by G. Temple (drawn by J. Crawford),,20-23,,
1:03.0,,,20-24,1,J. Crawford makes free throw 1 of 2
1:03.0,,,20-24,,J. Crawford misses free throw 2 of 2
1:01.0,Defensive rebound by G. Papagiannis,,20-24,,
0:51.0,D. Collison makes 2-pt shot from 14 ft,2,22-24,,
0:30.0,,,22-24,,M. Speights misses 2-pt shot from 18 ft
0:27.0,Defensive rebound by G. Temple,,22-24,,
0:06.0,G. Papagiannis makes 2-pt shot from 3 ft (assist by D. Collison),2,24-24,,
0:01.0,,,24-24,,J. Crawford misses 3-pt shot from 28 ft
0:00.0,,,24-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,24-24,,Turnover by A. Rivers (traveling)
11:32.0,G. Papagiannis makes 2-pt shot from 3 ft,2,26-24,,
11:32.0,,,26-24,,LA Clippers full timeout
11:17.0,,,26-24,,M. Speights misses 3-pt shot from 23 ft
11:16.0,Defensive rebound by G. Temple,,26-24,,
10:54.0,G. Temple makes 3-pt shot from 26 ft (assist by G. Papagiannis),3,29-24,,
10:36.0,,,29-24,,J. Crawford misses 3-pt shot from 27 ft
10:35.0,Defensive rebound by G. Papagiannis,,29-24,,
10:24.0,G. Papagiannis misses 2-pt shot from 8 ft,,29-24,,
10:21.0,,,29-24,,Defensive rebound by P. Pierce
10:14.0,,,29-24,,Shooting foul by G. Papagiannis (drawn by J. Crawford)
10:14.0,,,29-25,1,J. Crawford makes free throw 1 of 2
10:14.0,,,29-26,1,J. Crawford makes free throw 2 of 2
9:52.0,Turnover by G. Temple (lost ball; steal by M. Speights),,29-26,,
9:38.0,,,29-26,,J. Crawford misses 2-pt shot from 4 ft
9:35.0,Defensive rebound by G. Papagiannis,,29-26,,
9:31.0,Offensive charge foul by B. McLemore,,29-26,,
9:31.0,Turnover by B. McLemore (offensive foul),,29-26,,
9:31.0,W. Cauley-Stein enters the game for G. Papagiannis,,29-26,,
9:19.0,,,29-26,,Turnover by A. Rivers (bad pass; steal by W. Cauley-Stein)
9:13.0,B. McLemore misses 3-pt shot from 27 ft,,29-26,,
9:09.0,,,29-26,,Defensive rebound by J. Crawford
8:56.0,Official timeout,,29-26,,
8:56.0,,,29-26,,B. Griffin enters the game for P. Pierce
8:52.0,Jump ball: R. Felton vs. L. Galloway (G. Temple gains possession),,,,Jump ball: R. Felton vs. L. Galloway (G. Temple gains possession)
8:52.0,,,29-26,,Turnover by R. Felton (lost ball; steal by L. Galloway)
8:40.0,L. Galloway misses 2-pt shot from 20 ft,,29-26,,
8:37.0,,,29-26,,Defensive rebound by A. Rivers
8:21.0,,,29-26,,J. Crawford misses 3-pt shot from 27 ft
8:19.0,Defensive rebound by W. Cauley-Stein,,29-26,,
8:13.0,,,29-26,,Personal foul by J. Crawford (drawn by A. Tolliver)
7:58.0,G. Temple misses 2-pt shot from 5 ft,,29-26,,
7:55.0,,,29-26,,Defensive rebound by A. Rivers
7:52.0,,,29-28,2,M. Speights makes 2-pt shot at rim (assist by J. Crawford)
7:41.0,Offensive charge foul by G. Temple,,29-28,,
7:41.0,Turnover by G. Temple (offensive foul),,29-28,,
7:25.0,,,29-28,,J. Crawford misses 2-pt shot from 15 ft
7:23.0,Defensive rebound by W. Cauley-Stein,,29-28,,
7:15.0,B. McLemore makes 2-pt shot from 5 ft,2,31-28,,
7:15.0,Shooting foul by M. Speights (drawn by B. McLemore),,31-28,,
7:15.0,B. McLemore makes free throw 1 of 1,1,32-28,,
7:15.0,,,31-28,,D. Jordan enters the game for M. Speights
7:15.0,,,31-28,,C. Paul enters the game for R. Felton
6:53.0,,,32-30,2,B. Griffin makes 2-pt shot from 21 ft
6:38.0,L. Galloway misses 3-pt shot from 26 ft,,32-30,,
6:36.0,,,32-30,,Defensive rebound by C. Paul
6:30.0,,,32-33,3,C. Paul makes 3-pt shot from 26 ft
6:09.0,A. Tolliver makes 3-pt shot from 27 ft (assist by B. McLemore),3,35-33,,
5:48.0,,,35-33,,Turnover by C. Paul (bad pass)
5:48.0,,,35-33,,LA Clippers full timeout
5:36.0,B. McLemore makes 2-pt shot from 19 ft (assist by W. Cauley-Stein),2,37-33,,
5:11.0,,,37-33,,B. Griffin misses 2-pt shot from 11 ft
5:08.0,Defensive rebound by W. Cauley-Stein,,37-33,,
4:51.0,A. Tolliver makes 3-pt shot from 28 ft (assist by G. Temple),3,40-33,,
4:25.0,,,40-33,,B. Griffin misses 3-pt shot from 27 ft
4:24.0,Defensive rebound by B. McLemore,,40-33,,
4:19.0,Turnover by W. Cauley-Stein (lost ball; steal by B. Griffin),,40-33,,
4:08.0,,,40-33,,C. Paul misses 2-pt shot from 13 ft
4:06.0,Defensive rebound by W. Cauley-Stein,,40-33,,
4:06.0,Sacramento full timeout,,40-33,,
4:06.0,D. Collison enters the game for L. Galloway,,40-33,,
4:06.0,T. Evans enters the game for B. McLemore,,40-33,,
4:06.0,,,40-33,,R. Felton enters the game for J. Crawford
3:53.0,G. Temple misses 2-pt shot from 6 ft (block by C. Paul),,40-33,,
3:53.0,,,40-33,,Defensive rebound by Team
3:34.0,,,40-35,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
3:16.0,Turnover by A. Tolliver (bad pass; steal by R. Felton),,40-35,,
3:03.0,Loose ball foul by G. Temple (drawn by R. Felton),,40-35,,
3:03.0,S. Labissiere enters the game for A. Tolliver,,40-35,,
3:03.0,B. Hield enters the game for G. Temple,,40-35,,
2:51.0,,,40-38,3,B. Griffin makes 3-pt shot from 26 ft (assist by A. Rivers)
2:38.0,B. Hield misses 3-pt shot from 25 ft,,40-38,,
2:37.0,,,40-38,,Defensive rebound by A. Rivers
2:30.0,,,40-40,2,R. Felton makes 2-pt shot from 3 ft (assist by A. Rivers)
2:11.0,T. Evans misses 3-pt shot from 28 ft,,40-40,,
2:09.0,,,40-40,,Defensive rebound by B. Griffin
1:56.0,,,40-40,,R. Felton misses 2-pt shot from 11 ft
1:50.0,Defensive rebound by T. Evans,,40-40,,
1:48.0,T. Evans misses 2-pt shot from 2 ft,,40-40,,
1:46.0,Offensive rebound by B. Hield,,40-40,,
1:46.0,B. Hield misses 2-pt shot from 2 ft,,40-40,,
1:39.0,,,40-40,,Defensive rebound by C. Paul
1:27.0,,,40-40,,D. Jordan misses 2-pt shot from 2 ft
1:26.0,Defensive rebound by W. Cauley-Stein,,40-40,,
1:09.0,S. Labissiere misses 2-pt shot from 3 ft,,40-40,,
1:02.0,,,40-40,,Defensive rebound by A. Rivers
1:00.0,,,40-40,,A. Rivers misses 2-pt shot from 1 ft
0:56.0,Defensive rebound by B. Hield,,40-40,,
0:46.0,Turnover by D. Collison (bad pass; steal by D. Jordan),,40-40,,
0:39.0,Shooting block foul by S. Labissiere (drawn by C. Paul),,40-40,,
0:39.0,,,40-41,1,C. Paul makes free throw 1 of 2
0:39.0,,,40-42,1,C. Paul makes free throw 2 of 2
0:39.0,G. Papagiannis enters the game for W. Cauley-Stein,,40-41,,
0:26.0,G. Papagiannis makes 2-pt shot from 5 ft (assist by D. Collison),2,42-42,,
0:04.0,,,42-44,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
0:01.0,T. Evans misses 3-pt shot from 28 ft,,42-44,,
0:00.0,Offensive rebound by Team,,42-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:31.0,,,42-46,2,C. Paul makes 2-pt shot from 13 ft (assist by A. Rivers)
11:13.0,Shooting foul by A. Rivers (drawn by B. Hield),,42-46,,
11:13.0,B. Hield makes free throw 1 of 2,1,43-46,,
11:13.0,B. Hield makes free throw 2 of 2,1,44-46,,
11:02.0,Personal foul by S. Labissiere (drawn by D. Jordan),,44-46,,
10:52.0,,,44-48,2,A. Rivers makes 2-pt shot from 19 ft
10:30.0,B. Hield misses 3-pt shot from 25 ft,,44-48,,
10:29.0,,,44-48,,Defensive rebound by D. Jordan
10:23.0,,,44-48,,A. Rivers misses 3-pt shot from 27 ft
10:19.0,Defensive rebound by D. Collison,,44-48,,
10:16.0,B. Hield misses 3-pt shot from 26 ft,,44-48,,
10:15.0,,,44-48,,Defensive rebound by D. Jordan
10:08.0,,,44-50,2,B. Griffin makes 2-pt shot from 15 ft (assist by C. Paul)
9:53.0,S. Labissiere misses 2-pt shot from 10 ft,,44-50,,
9:52.0,,,44-50,,Defensive rebound by D. Jordan
9:47.0,,,44-50,,C. Paul misses 3-pt shot from 24 ft
9:44.0,,,44-50,,Offensive rebound by C. Paul
9:42.0,,,44-50,,A. Rivers misses 3-pt shot from 26 ft
9:38.0,Defensive rebound by W. Cauley-Stein,,44-50,,
9:30.0,T. Evans misses 2-pt shot from 19 ft,,44-50,,
9:29.0,,,44-50,,Defensive rebound by A. Rivers
9:17.0,,,44-50,,Shooting foul by S. Labissiere (drawn by D. Jordan)
9:17.0,,,44-51,1,D. Jordan makes free throw 1 of 2
9:17.0,,,44-52,1,D. Jordan makes free throw 2 of 2
8:55.0,S. Labissiere misses 2-pt shot from 6 ft,,44-52,,
8:53.0,,,44-52,,Defensive rebound by B. Griffin
8:47.0,,,44-54,2,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin)
8:17.0,T. Evans makes 3-pt shot from 26 ft (assist by B. Hield),3,47-54,,
8:08.0,Personal foul by S. Labissiere (drawn by B. Griffin),,47-54,,
8:08.0,G. Papagiannis enters the game for S. Labissiere,,47-54,,
7:59.0,,,47-57,3,L. Mbah a Moute makes 3-pt shot from 27 ft (assist by B. Griffin)
7:53.0,Sacramento full timeout,,47-57,,
7:37.0,D. Collison makes 2-pt shot from 20 ft,2,49-57,,
7:27.0,,,49-59,2,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul)
7:08.0,D. Collison makes 2-pt shot from 14 ft (assist by G. Papagiannis),2,51-59,,
6:44.0,,,51-61,2,D. Jordan makes 2-pt shot at rim
6:44.0,,,51-61,,Shooting foul by G. Papagiannis (drawn by D. Jordan)
6:44.0,,,51-61,,D. Jordan misses free throw 1 of 1
6:44.0,G. Temple enters the game for B. Hield,,51-61,,
6:41.0,Defensive rebound by W. Cauley-Stein,,51-61,,
6:30.0,G. Papagiannis misses 2-pt shot from 17 ft,,51-61,,
6:29.0,,,51-61,,Defensive rebound by D. Jordan
6:17.0,Personal foul by T. Evans (drawn by D. Jordan),,51-61,,
6:17.0,,,51-62,1,D. Jordan makes free throw 1 of 2
6:17.0,,,51-62,,D. Jordan misses free throw 2 of 2
6:16.0,Defensive rebound by W. Cauley-Stein,,51-62,,
5:52.0,T. Evans misses 3-pt shot from 26 ft,,51-62,,
5:52.0,Offensive rebound by Team,,51-62,,
5:52.0,,,51-62,,Loose ball foul by D. Jordan (drawn by G. Papagiannis)
5:44.0,D. Collison makes 2-pt shot from 5 ft (assist by G. Temple),2,53-62,,
5:24.0,,,53-62,,D. Jordan misses 2-pt shot from 4 ft (block by G. Papagiannis)
5:22.0,Defensive rebound by T. Evans,,53-62,,
5:22.0,,,53-62,,Personal take foul by L. Mbah a Moute (drawn by T. Evans)
5:22.0,L. Galloway enters the game for T. Evans,,53-62,,
5:19.0,D. Collison makes 2-pt shot from 20 ft,2,55-62,,
5:19.0,Shooting foul by A. Rivers (drawn by D. Collison),,55-62,,
5:19.0,D. Collison makes free throw 1 of 1,1,56-62,,
5:19.0,,,55-62,,J. Crawford enters the game for L. Mbah a Moute
5:07.0,,,56-62,,B. Griffin misses 3-pt shot from 27 ft
5:04.0,,,56-62,,Offensive rebound by D. Jordan
5:04.0,,,56-64,2,D. Jordan makes 2-pt shot at rim
4:50.0,W. Cauley-Stein makes 2-pt shot from 8 ft (assist by G. Papagiannis),2,58-64,,
4:38.0,Personal foul by D. Collison (drawn by C. Paul),,58-64,,
4:38.0,,,58-65,1,C. Paul makes free throw 1 of 2
4:38.0,,,58-66,1,C. Paul makes free throw 2 of 2
4:38.0,,,58-65,,R. Felton enters the game for A. Rivers
4:38.0,A. Tolliver enters the game for G. Papagiannis,,58-65,,
4:26.0,D. Collison misses 2-pt shot from 17 ft,,58-66,,
4:23.0,,,58-66,,Defensive rebound by D. Jordan
4:12.0,Personal foul by L. Galloway (drawn by C. Paul),,58-66,,
4:12.0,,,58-67,1,C. Paul makes free throw 1 of 2
4:12.0,,,58-68,1,C. Paul makes free throw 2 of 2
4:02.0,Turnover by A. Tolliver (lost ball; steal by C. Paul),,58-68,,
4:02.0,Clear path foul by A. Tolliver,,58-68,,
4:02.0,,,58-69,1,B. Griffin makes clear path free throw 1 of 2
4:02.0,,,58-70,1,B. Griffin makes clear path free throw 2 of 2
3:39.0,,,58-70,,C. Paul misses 3-pt shot from 25 ft
3:39.0,,,58-70,,Offensive rebound by Team
3:39.0,Loose ball foul by A. Tolliver (drawn by D. Jordan),,58-70,,
3:39.0,,,58-70,,D. Jordan misses free throw 1 of 2
3:39.0,,,58-70,,Offensive rebound by Team
3:39.0,,,58-71,1,D. Jordan makes free throw 2 of 2
3:24.0,G. Temple misses 2-pt shot from 15 ft,,58-71,,
3:21.0,,,58-71,,Defensive rebound by B. Griffin
3:11.0,,,58-73,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
2:55.0,,,58-73,,Personal foul by C. Paul (drawn by D. Collison)
2:55.0,,,58-73,,LA Clippers full timeout
2:55.0,D. Collison makes free throw 1 of 2,1,59-73,,
2:55.0,D. Collison misses free throw 2 of 2,,59-73,,
