time,Cleveland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Thompson (N. Mirotic gains possession),,,,Jump ball: R. Lopez vs. T. Thompson (N. Mirotic gains possession)
11:38.0,,,0-0,,R. Lopez misses 2-pt shot from 5 ft
11:37.0,Defensive rebound by L. James,,0-0,,
11:28.0,L. James misses 2-pt shot from 2 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by R. Lopez
11:21.0,,,0-0,,R. Rondo misses 2-pt shot from 2 ft
11:20.0,,,0-0,,Offensive rebound by J. Butler
11:20.0,,,0-2,2,J. Butler makes 2-pt shot from 1 ft
11:03.0,K. Love makes 2-pt shot from 8 ft (assist by L. James),2,2-2,,
10:43.0,,,2-4,2,N. Mirotic makes 2-pt shot from 8 ft (assist by J. Butler)
10:31.0,K. Love misses 2-pt shot from 3 ft,,2-4,,
10:30.0,,,2-4,,Defensive rebound by R. Rondo
10:17.0,,,2-4,,R. Rondo misses 2-pt shot from 12 ft
10:16.0,,,2-4,,Offensive rebound by R. Lopez
10:16.0,,,2-4,,Shooting foul by K. Love (drawn by N. Mirotic)
10:16.0,,,2-5,1,N. Mirotic makes free throw 1 of 2
10:16.0,,,2-6,1,N. Mirotic makes free throw 2 of 2
10:04.0,Turnover by L. James (bad pass; steal by J. Butler),,2-6,,
10:01.0,,,2-8,2,J. Butler makes 2-pt shot at rim
9:44.0,K. Irving misses 2-pt shot from 22 ft,,2-8,,
9:44.0,Offensive rebound by Team,,2-8,,
9:44.0,,,2-8,,Loose ball foul by R. Lopez (drawn by L. James)
9:33.0,Shooting foul by N. Mirotic (drawn by K. Love),,2-8,,
9:33.0,K. Love makes free throw 1 of 2,1,3-8,,
9:33.0,K. Love makes free throw 2 of 2,1,4-8,,
9:19.0,,,4-11,3,N. Mirotic makes 3-pt shot from 25 ft (assist by R. Rondo)
9:02.0,T. Thompson misses 2-pt shot from 6 ft,,4-11,,
9:01.0,,,4-11,,Defensive rebound by R. Rondo
8:48.0,,,4-11,,Turnover by P. Zipser (bad pass; steal by T. Thompson)
8:33.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Love),3,7-11,,
8:13.0,,,7-11,,J. Butler misses 2-pt shot from 16 ft
8:12.0,Defensive rebound by K. Love,,7-11,,
8:02.0,T. Thompson makes 2-pt shot from 1 ft (assist by J. Smith),2,9-11,,
7:51.0,,,9-14,3,N. Mirotic makes 3-pt shot from 25 ft (assist by R. Rondo)
7:29.0,T. Thompson makes 2-pt shot at rim (assist by J. Smith),2,11-14,,
7:13.0,,,11-14,,N. Mirotic misses 3-pt shot from 25 ft
7:13.0,,,11-14,,Offensive rebound by Team
7:13.0,Loose ball foul by K. Love (drawn by R. Rondo),,11-14,,
7:13.0,C. Frye enters the game for K. Love,,11-14,,
7:06.0,,,11-14,,R. Lopez misses 2-pt shot from 17 ft
7:05.0,Defensive rebound by L. James,,11-14,,
6:57.0,T. Thompson misses 2-pt shot from 6 ft,,11-14,,
6:55.0,,,11-14,,Defensive rebound by N. Mirotic
6:42.0,,,11-14,,R. Lopez misses 2-pt shot from 8 ft
6:41.0,Defensive rebound by T. Thompson,,11-14,,
6:33.0,L. James misses 3-pt shot from 24 ft,,11-14,,
6:32.0,,,11-14,,Defensive rebound by N. Mirotic
6:28.0,,,11-14,,J. Butler misses 2-pt shot from 17 ft
6:27.0,Defensive rebound by C. Frye,,11-14,,
6:11.0,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving),3,14-14,,
5:50.0,,,14-14,,P. Zipser misses 2-pt shot from 8 ft
5:49.0,Defensive rebound by L. James,,14-14,,
5:44.0,L. James makes 2-pt shot from 2 ft,2,16-14,,
5:44.0,,,16-14,,Chicago full timeout
5:44.0,,,16-14,,D. Valentine enters the game for P. Zipser
5:22.0,,,16-17,3,N. Mirotic makes 3-pt shot from 25 ft
5:06.0,L. James makes 2-pt shot at rim,2,18-17,,
4:37.0,,,18-17,,Turnover by Team (shot clock)
4:16.0,J. Smith misses 3-pt shot from 25 ft,,18-17,,
4:15.0,,,18-17,,Defensive rebound by R. Rondo
4:08.0,,,18-17,,N. Mirotic misses 3-pt shot from 24 ft
4:07.0,Defensive rebound by C. Frye,,18-17,,
3:55.0,K. Irving misses 2-pt shot from 16 ft,,18-17,,
3:54.0,,,18-17,,Defensive rebound by R. Lopez
3:46.0,,,18-17,,D. Valentine misses 3-pt shot from 22 ft
3:45.0,,,18-17,,Offensive rebound by R. Rondo
3:42.0,,,18-20,3,D. Valentine makes 3-pt shot from 25 ft (assist by R. Rondo)
3:20.0,Turnover by J. Smith (bad pass; steal by R. Lopez),,18-20,,
3:14.0,,,18-20,,D. Valentine misses 2-pt shot from 6 ft
3:13.0,Defensive rebound by T. Thompson,,18-20,,
3:08.0,L. James makes 2-pt shot from 1 ft,2,20-20,,
2:40.0,,,20-20,,Turnover by Team (shot clock)
2:40.0,Cleveland full timeout,,20-20,,
2:40.0,D. Williams enters the game for L. James,,20-20,,
2:40.0,I. Shumpert enters the game for J. Smith,,20-20,,
2:40.0,,,20-20,,B. Portis enters the game for N. Mirotic
2:27.0,K. Irving makes 2-pt shot from 4 ft,2,22-20,,
2:09.0,,,22-22,2,J. Butler makes 2-pt shot from 7 ft
1:54.0,C. Frye makes 3-pt shot from 25 ft (assist by K. Irving),3,25-22,,
