time,Boston,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. K. Porzingis (A. Horford gains possession),,,,Jump ball: A. Johnson vs. K. Porzingis (A. Horford gains possession)
11:44.0,Turnover by J. Crowder (lost ball; steal by K. Porzingis),,0-0,,
11:39.0,,,0-0,,S. Vujacic misses 2-pt shot from 14 ft
11:38.0,Defensive rebound by Team,,0-0,,
11:26.0,I. Thomas misses 3-pt shot from 25 ft,,0-0,,
11:24.0,Offensive rebound by A. Horford,,0-0,,
11:16.0,A. Johnson makes 3-pt shot from 24 ft (assist by I. Thomas),3,3-0,,
11:00.0,,,3-0,,K. Porzingis misses 2-pt shot from 12 ft
10:58.0,Defensive rebound by A. Horford,,3-0,,
10:50.0,Offensive foul by A. Johnson,,3-0,,
10:50.0,Turnover by A. Johnson (offensive foul),,3-0,,
10:50.0,M. Smart enters the game for J. Brown,,3-0,,
10:30.0,,,3-0,,S. Vujacic misses 3-pt shot from 23 ft
10:28.0,Defensive rebound by M. Smart,,3-0,,
10:24.0,J. Crowder makes 2-pt shot from 2 ft (assist by M. Smart),2,5-0,,
10:11.0,Personal foul by J. Crowder (drawn by R. Baker),,5-0,,
10:04.0,,,5-2,2,C. Lee makes 2-pt shot from 8 ft (assist by W. Hernangomez)
9:46.0,Turnover by A. Horford (bad pass; steal by R. Baker),,5-2,,
9:42.0,,,5-4,2,R. Baker makes 2-pt shot from 2 ft
9:34.0,I. Thomas makes 2-pt shot from 2 ft,2,7-4,,
9:17.0,,,7-4,,W. Hernangomez misses 2-pt shot from 5 ft
9:15.0,Defensive rebound by J. Crowder,,7-4,,
9:03.0,Shooting foul by W. Hernangomez (drawn by A. Horford),,7-4,,
9:03.0,A. Horford makes 2-pt shot from 2 ft,2,9-4,,
9:03.0,A. Horford makes free throw 1 of 1,1,10-4,,
8:41.0,,,10-6,2,W. Hernangomez makes 2-pt shot at rim (assist by S. Vujacic)
8:35.0,Violation by Team (jump ball),,10-6,,
8:20.0,M. Smart misses 3-pt shot from 24 ft,,10-6,,
8:18.0,,,10-6,,Defensive rebound by W. Hernangomez
8:10.0,,,10-8,2,R. Baker makes 2-pt shot from 17 ft
7:59.0,Shooting foul by R. Baker (drawn by I. Thomas),,10-8,,
7:59.0,I. Thomas makes free throw 1 of 3,1,11-8,,
7:59.0,I. Thomas makes free throw 2 of 3,1,12-8,,
7:59.0,I. Thomas makes free throw 3 of 3,1,13-8,,
7:41.0,,,13-8,,C. Lee misses 2-pt shot from 21 ft
7:39.0,Defensive rebound by Team,,13-8,,
7:26.0,J. Crowder misses 3-pt shot from 25 ft,,13-8,,
7:25.0,,,13-8,,Defensive rebound by Team
7:04.0,,,13-8,,S. Vujacic misses 2-pt shot from 22 ft
7:03.0,Defensive rebound by I. Thomas,,13-8,,
6:50.0,A. Johnson misses 2-pt shot from 1 ft,,13-8,,
6:48.0,Offensive rebound by A. Johnson,,13-8,,
6:45.0,Turnover by A. Johnson (bad pass; steal by W. Hernangomez),,13-8,,
6:36.0,,,13-8,,S. Vujacic misses 3-pt shot from 22 ft
6:34.0,Defensive rebound by J. Crowder,,13-8,,
6:31.0,Shooting foul by R. Baker (drawn by J. Crowder),,13-8,,
6:31.0,J. Crowder misses free throw 1 of 2,,13-8,,
6:31.0,Offensive rebound by Team,,13-8,,
6:31.0,Technical foul by Team,,13-8,,
6:31.0,,,13-9,1,S. Vujacic makes technical free throw
6:31.0,J. Crowder makes free throw 2 of 2,1,14-9,,
6:31.0,,,13-8,,C. Randle enters the game for R. Baker
6:31.0,,,13-9,,J. Holiday enters the game for S. Vujacic
6:18.0,Personal foul by A. Johnson (drawn by W. Hernangomez),,14-9,,
6:18.0,,,14-9,,New York full timeout
6:03.0,,,14-9,,C. Lee misses 3-pt shot from 23 ft
6:01.0,Defensive rebound by A. Johnson,,14-9,,
5:46.0,A. Johnson makes 2-pt shot from 4 ft (assist by I. Thomas),2,16-9,,
5:31.0,,,16-9,,W. Hernangomez misses 2-pt shot from 5 ft
5:30.0,Defensive rebound by A. Horford,,16-9,,
5:19.0,M. Smart makes 2-pt shot from 14 ft,2,18-9,,
5:01.0,,,18-9,,C. Randle misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by J. Crowder,,18-9,,
4:50.0,I. Thomas makes 2-pt shot from 1 ft,2,20-9,,
4:28.0,,,20-11,2,W. Hernangomez makes 2-pt shot from 17 ft (assist by C. Lee)
4:08.0,I. Thomas misses 3-pt shot from 24 ft,,20-11,,
4:06.0,,,20-11,,Defensive rebound by W. Hernangomez
