time,Brooklyn,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. B. Lopez (J. Anderson gains possession),,,,Jump ball: R. Holmes vs. B. Lopez (J. Anderson gains possession)
11:41.0,,,0-0,,Turnover by D. Saric (bad pass; steal by R. Foye)
11:30.0,B. Lopez makes 3-pt shot from 25 ft (assist by C. LeVert),3,3-0,,
11:07.0,,,3-2,2,R. Holmes makes 2-pt shot from 18 ft (assist by T. Luwawu-Cabarrot)
10:47.0,J. Lin misses 2-pt shot from 3 ft,,3-2,,
10:45.0,,,3-2,,Defensive rebound by R. Holmes
10:36.0,,,3-5,3,R. Holmes makes 3-pt shot from 25 ft (assist by D. Saric)
10:20.0,J. Lin misses 2-pt shot from 2 ft (block by R. Holmes),,3-5,,
10:19.0,Offensive rebound by Team,,3-5,,
10:12.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Lin),2,5-5,,
9:56.0,,,5-5,,Shooting foul by B. Lopez (drawn by D. Saric)
9:56.0,,,5-6,1,D. Saric makes free throw 1 of 2
9:56.0,,,5-6,,D. Saric misses free throw 2 of 2
9:55.0,Defensive rebound by J. Lin,,5-6,,
9:39.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Lin),2,7-6,,
9:17.0,,,7-6,,R. Holmes misses 2-pt shot from 2 ft (block by B. Lopez)
9:15.0,Defensive rebound by C. LeVert,,7-6,,
9:07.0,C. LeVert misses 3-pt shot from 25 ft,,7-6,,
9:06.0,,,7-6,,Defensive rebound by R. Holmes
8:57.0,,,7-6,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
8:56.0,Defensive rebound by J. Lin,,7-6,,
8:51.0,Turnover by J. Lin (bad pass; steal by R. Holmes),,7-6,,
8:43.0,,,7-6,,T. McConnell misses 2-pt shot from 7 ft
8:42.0,Defensive rebound by Team,,7-6,,
8:27.0,B. Lopez makes 2-pt shot from 4 ft (assist by C. LeVert),2,9-6,,
8:17.0,,,9-6,,D. Saric misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by R. Foye,,9-6,,
8:01.0,Shooting foul by R. Holmes (drawn by B. Lopez),,9-6,,
8:01.0,B. Lopez makes free throw 1 of 2,1,10-6,,
8:01.0,B. Lopez makes free throw 2 of 2,1,11-6,,
7:52.0,,,11-8,2,D. Saric makes 2-pt shot from 1 ft (assist by R. Holmes)
7:41.0,R. Foye makes 3-pt shot from 25 ft (assist by J. Lin),3,14-8,,
7:31.0,,,14-8,,D. Saric misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by C. LeVert,,14-8,,
7:24.0,R. Hollis-Jefferson makes 2-pt shot from 13 ft (assist by C. LeVert),2,16-8,,
7:06.0,,,16-8,,J. Anderson misses 3-pt shot from 25 ft
7:05.0,,,16-8,,Offensive rebound by D. Saric
7:03.0,,,16-8,,J. Anderson misses 2-pt shot from 2 ft
7:01.0,Defensive rebound by B. Lopez,,16-8,,
6:56.0,J. Lin makes 2-pt shot from 20 ft,2,18-8,,
6:55.0,,,18-8,,Philadelphia full timeout
6:41.0,,,18-11,3,J. Anderson makes 3-pt shot from 23 ft (assist by D. Saric)
6:25.0,R. Foye misses 3-pt shot from 26 ft,,18-11,,
