time,Denver,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. N. Jokic (K. Faried gains possession),,,,Jump ball: C. Capela vs. N. Jokic (K. Faried gains possession)
11:36.0,G. Harris makes 3-pt shot from 26 ft (assist by J. Nelson),3,3-0,,
11:13.0,,,3-0,,T. Williams misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by J. Nelson,,3-0,,
11:01.0,J. Nelson misses 2-pt shot from 1 ft,,3-0,,
11:00.0,,,3-0,,Defensive rebound by J. Harden
10:52.0,,,3-3,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
10:38.0,N. Jokic makes 2-pt shot from 4 ft,2,5-3,,
10:32.0,,,5-3,,Offensive charge foul by T. Williams
10:32.0,,,5-3,,Turnover by T. Williams (offensive foul)
10:20.0,D. Gallinari makes 3-pt shot from 25 ft (assist by N. Jokic),3,8-3,,
10:02.0,,,8-3,,T. Williams misses 2-pt shot at rim
10:02.0,Defensive rebound by N. Jokic,,8-3,,
9:54.0,J. Nelson misses 3-pt shot from 22 ft,,8-3,,
9:54.0,,,8-3,,Defensive rebound by T. Ariza
9:50.0,,,8-5,2,T. Williams makes 2-pt shot at rim (assist by J. Harden)
9:32.0,N. Jokic misses 3-pt shot from 26 ft,,8-5,,
9:31.0,,,8-5,,Defensive rebound by T. Williams
9:18.0,,,8-5,,T. Williams misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by J. Nelson,,8-5,,
9:06.0,K. Faried misses 2-pt shot from 9 ft,,8-5,,
9:05.0,,,8-5,,Defensive rebound by C. Capela
8:55.0,,,8-5,,Turnover by J. Harden (bad pass; steal by N. Jokic)
8:46.0,,,8-5,,Personal foul by T. Williams (drawn by K. Faried)
8:46.0,,,8-5,,E. Gordon enters the game for T. Williams
8:32.0,N. Jokic makes 2-pt shot from 2 ft (assist by K. Faried),2,10-5,,
8:26.0,,,10-7,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
8:06.0,Turnover by J. Nelson (traveling),,10-7,,
7:43.0,,,10-7,,J. Harden misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by N. Jokic,,10-7,,
7:34.0,K. Faried makes 2-pt shot from 1 ft (assist by N. Jokic),2,12-7,,
7:15.0,,,12-10,3,T. Ariza makes 3-pt shot from 24 ft (assist by C. Capela)
7:03.0,N. Jokic misses 2-pt shot from 2 ft,,12-10,,
7:02.0,Offensive rebound by K. Faried,,12-10,,
7:01.0,K. Faried makes 2-pt shot from 4 ft,2,14-10,,
6:48.0,,,14-12,2,T. Ariza makes 2-pt shot from 3 ft
6:37.0,K. Faried misses 2-pt shot from 3 ft (block by J. Harden),,14-12,,
6:37.0,Offensive rebound by Team,,14-12,,
6:21.0,D. Gallinari misses 3-pt shot from 25 ft,,14-12,,
6:21.0,,,14-12,,Defensive rebound by C. Capela
6:08.0,Personal foul by G. Harris (drawn by J. Harden),,14-12,,
6:02.0,,,14-14,2,P. Beverley makes 2-pt shot from 5 ft
5:40.0,J. Nelson misses 3-pt shot from 23 ft,,14-14,,
5:39.0,,,14-14,,Defensive rebound by P. Beverley
5:26.0,,,14-16,2,J. Harden makes 2-pt shot from 4 ft
5:26.0,,,14-16,,Shooting foul by G. Harris (drawn by J. Harden)
5:26.0,,,14-16,,Houston full timeout
5:26.0,,,14-17,1,J. Harden makes free throw 1 of 1
5:26.0,W. Chandler enters the game for K. Faried,,14-16,,
5:26.0,J. Murray enters the game for G. Harris,,14-16,,
5:26.0,,,14-16,,L. Williams enters the game for C. Capela
5:26.0,,,14-16,,N. Hilario enters the game for P. Beverley
5:10.0,N. Jokic misses 2-pt shot from 10 ft,,14-17,,
5:10.0,,,14-17,,Defensive rebound by T. Ariza
5:03.0,,,14-17,,E. Gordon misses 3-pt shot from 26 ft
5:02.0,Defensive rebound by N. Jokic,,14-17,,
4:52.0,J. Nelson makes 2-pt shot from 2 ft,2,16-17,,
4:40.0,,,16-20,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden)
4:23.0,Turnover by N. Jokic (lost ball; steal by N. Hilario),,16-20,,
4:16.0,Personal foul by J. Nelson (drawn by J. Harden),,16-20,,
