time,Oklahoma City,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Jokic (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. N. Jokic (V. Oladipo gains possession)
11:37.0,V. Oladipo makes 2-pt shot from 14 ft,2,2-0,,
11:11.0,,,2-0,,G. Harris misses 2-pt shot from 12 ft
11:10.0,Defensive rebound by R. Westbrook,,2-0,,
11:04.0,R. Westbrook makes 2-pt shot from 19 ft,2,4-0,,
10:51.0,Personal foul by A. Roberson (drawn by D. Gallinari),,4-0,,
10:42.0,,,4-0,,D. Gallinari misses 2-pt shot from 3 ft
10:41.0,Defensive rebound by V. Oladipo,,4-0,,
10:36.0,V. Oladipo misses 2-pt shot from 5 ft,,4-0,,
10:34.0,Offensive rebound by S. Adams,,4-0,,
10:24.0,T. Gibson misses 2-pt shot from 17 ft,,4-0,,
10:23.0,,,4-0,,Defensive rebound by D. Gallinari
10:17.0,,,4-3,3,W. Chandler makes 3-pt shot from 24 ft (assist by G. Harris)
9:55.0,T. Gibson misses 2-pt shot from 4 ft,,4-3,,
9:53.0,Offensive rebound by S. Adams,,4-3,,
9:53.0,S. Adams makes 2-pt shot from 3 ft,2,6-3,,
9:39.0,,,6-3,,N. Jokic misses 2-pt shot from 1 ft
9:38.0,Defensive rebound by R. Westbrook,,6-3,,
9:32.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,8-3,,
9:08.0,,,8-5,2,D. Gallinari makes 2-pt shot from 2 ft
8:57.0,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook),2,10-5,,
8:31.0,,,10-5,,G. Harris misses 2-pt shot from 2 ft
8:30.0,Defensive rebound by A. Roberson,,10-5,,
8:22.0,Turnover by T. Gibson (lost ball; steal by D. Gallinari),,10-5,,
8:11.0,,,10-5,,D. Gallinari misses 3-pt shot from 23 ft
8:10.0,Defensive rebound by V. Oladipo,,10-5,,
7:58.0,S. Adams misses 2-pt shot from 13 ft,,10-5,,
7:56.0,Offensive rebound by R. Westbrook,,10-5,,
7:47.0,Turnover by T. Gibson (lost ball; steal by D. Gallinari),,10-5,,
7:35.0,,,10-7,2,N. Jokic makes 2-pt shot from 1 ft
7:04.0,R. Westbrook misses 3-pt shot from 27 ft,,10-7,,
7:03.0,,,10-7,,Defensive rebound by N. Jokic
6:50.0,,,10-7,,Shooting foul by T. Gibson (drawn by N. Jokic)
6:50.0,,,10-8,1,N. Jokic makes free throw 1 of 2
6:50.0,,,10-9,1,N. Jokic makes free throw 2 of 2
6:38.0,R. Westbrook misses 2-pt shot from 15 ft,,10-9,,
6:37.0,,,10-9,,Defensive rebound by W. Chandler
6:29.0,,,10-12,3,W. Chandler makes 3-pt shot from 24 ft
6:13.0,V. Oladipo misses 3-pt shot from 23 ft,,10-12,,
6:12.0,Offensive rebound by S. Adams,,10-12,,
6:04.0,R. Westbrook makes 2-pt shot from 16 ft (assist by V. Oladipo),2,12-12,,
5:51.0,Personal block foul by R. Westbrook (drawn by G. Harris),,12-12,,
5:51.0,,,12-12,,Denver full timeout
