time,Washington,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. H. Whiteside (B. Jennings gains possession),,,,Jump ball: M. Gortat vs. H. Whiteside (B. Jennings gains possession)
11:44.0,M. Gortat makes 2-pt shot from 5 ft,2,2-0,,
11:29.0,,,2-0,,Turnover by R. McGruder (lost ball; steal by T. Satoransky)
11:20.0,K. Oubre makes 2-pt shot at rim,2,4-0,,
10:56.0,,,4-2,2,H. Whiteside makes 2-pt shot at rim (assist by R. McGruder)
10:43.0,O. Porter misses 3-pt shot from 25 ft,,4-2,,
10:42.0,,,4-2,,Defensive rebound by H. Whiteside
10:23.0,,,4-2,,J. Richardson misses 3-pt shot from 23 ft
10:22.0,Defensive rebound by B. Jennings,,4-2,,
10:13.0,K. Oubre misses 2-pt shot from 1 ft (block by H. Whiteside),,4-2,,
10:12.0,Offensive rebound by Team,,4-2,,
10:01.0,,,4-2,,Violation by G. Dragic (kicked ball)
9:54.0,T. Satoransky misses 3-pt shot from 24 ft,,4-2,,
9:53.0,Offensive rebound by M. Gortat,,4-2,,
9:49.0,M. Gortat makes 2-pt shot from 11 ft,2,6-2,,
9:27.0,,,6-2,,Turnover by G. Dragic (lost ball; steal by K. Oubre)
9:18.0,B. Jennings misses 3-pt shot from 23 ft,,6-2,,
9:17.0,,,6-2,,Defensive rebound by H. Whiteside
9:07.0,,,6-5,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson)
8:40.0,O. Porter makes 2-pt shot from 18 ft (assist by T. Satoransky),2,8-5,,
8:16.0,,,8-5,,H. Whiteside misses 2-pt shot from 9 ft
8:15.0,Defensive rebound by O. Porter,,8-5,,
8:03.0,M. Gortat misses 2-pt shot from 8 ft,,8-5,,
8:02.0,,,8-5,,Defensive rebound by H. Whiteside
7:57.0,Personal foul by B. Jennings (drawn by G. Dragic),,8-5,,
7:45.0,,,8-5,,H. Whiteside misses 2-pt shot from 5 ft
7:44.0,Defensive rebound by O. Porter,,8-5,,
7:41.0,Turnover by M. Gortat (traveling),,8-5,,
7:29.0,,,8-7,2,G. Dragic makes 2-pt shot from 10 ft
7:19.0,T. Satoransky misses 2-pt shot from 3 ft (block by J. Richardson),,8-7,,
7:18.0,Offensive rebound by K. Oubre,,8-7,,
7:16.0,K. Oubre misses 2-pt shot from 1 ft (block by H. Whiteside),,8-7,,
7:15.0,,,8-7,,Defensive rebound by H. Whiteside
7:10.0,,,8-7,,J. Richardson misses 2-pt shot from 2 ft
7:09.0,,,8-7,,Offensive rebound by H. Whiteside
7:07.0,,,8-7,,H. Whiteside misses 2-pt shot at rim
7:06.0,Defensive rebound by O. Porter,,8-7,,
7:01.0,O. Porter makes 2-pt shot from 3 ft,2,10-7,,
6:49.0,Def 3 sec tech foul by T. Satoransky,,10-7,,
6:49.0,,,10-8,1,G. Dragic makes technical free throw
6:44.0,,,10-8,,Turnover by R. McGruder (lost ball; steal by K. Oubre)
6:38.0,K. Oubre misses 2-pt shot at rim,,10-8,,
6:37.0,,,10-8,,Defensive rebound by J. Johnson
6:31.0,,,10-10,2,H. Whiteside makes 2-pt shot at rim (assist by R. McGruder)
6:24.0,Washington full timeout,,10-10,,
6:11.0,M. Gortat makes 2-pt shot from 2 ft (assist by B. Jennings),2,12-10,,
5:54.0,,,12-10,,G. Dragic misses 2-pt shot from 9 ft
