time,Utah,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. D. Jordan (C. Paul gains possession),,,,Jump ball: D. Favors vs. D. Jordan (C. Paul gains possession)
11:40.0,,,0-2,2,C. Paul makes 2-pt shot from 18 ft
11:24.0,G. Hayward misses 2-pt shot from 13 ft (block by D. Jordan),,0-2,,
11:21.0,,,0-2,,Defensive rebound by L. Mbah a Moute
11:18.0,,,0-4,2,B. Griffin makes 2-pt shot from 2 ft (assist by L. Mbah a Moute)
11:05.0,G. Hayward makes 3-pt shot from 28 ft (assist by J. Ingles),3,3-4,,
10:39.0,,,3-7,3,C. Paul makes 3-pt shot from 27 ft
10:30.0,,,3-7,,Personal foul by L. Mbah a Moute (drawn by G. Hayward)
10:21.0,D. Favors misses 2-pt shot from 9 ft,,3-7,,
10:19.0,,,3-7,,Defensive rebound by D. Jordan
10:12.0,,,3-9,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:54.0,Turnover by G. Hayward (bad pass; steal by C. Paul),,3-9,,
9:53.0,Personal take foul by G. Hill (drawn by C. Paul),,3-9,,
9:39.0,,,3-9,,Shooting foul by G. Hayward (drawn by D. Jordan)
9:39.0,,,3-9,,D. Jordan misses free throw 1 of 2
9:39.0,,,3-9,,Offensive rebound by Team
9:39.0,,,3-9,,D. Jordan misses free throw 2 of 2
9:38.0,,,3-9,,Offensive rebound by L. Mbah a Moute
9:16.0,,,3-11,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:13.0,Utah full timeout,,3-11,,
8:54.0,Turnover by J. Ingles (bad pass; steal by C. Paul),,3-11,,
8:31.0,,,3-11,,B. Griffin misses 2-pt shot from 10 ft
8:29.0,Defensive rebound by D. Favors,,3-11,,
8:13.0,G. Hill makes 2-pt shot from 15 ft,2,5-11,,
8:02.0,,,5-11,,Offensive foul by C. Paul
8:02.0,,,5-11,,Turnover by C. Paul (offensive foul)
7:45.0,B. Diaw misses 2-pt shot from 3 ft,,5-11,,
7:43.0,,,5-11,,Defensive rebound by D. Jordan
7:28.0,,,5-11,,C. Paul misses 2-pt shot from 18 ft
7:26.0,Defensive rebound by D. Favors,,5-11,,
7:18.0,B. Diaw misses 3-pt shot from 27 ft,,5-11,,
7:17.0,,,5-11,,Defensive rebound by Team
7:17.0,J. Johnson enters the game for B. Diaw,,5-11,,
6:57.0,,,5-11,,L. Mbah a Moute misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by G. Hill,,5-11,,
6:40.0,J. Johnson misses 2-pt shot from 7 ft,,5-11,,
6:37.0,,,5-11,,Defensive rebound by D. Jordan
6:31.0,,,5-11,,C. Paul misses 2-pt shot from 12 ft
6:27.0,Defensive rebound by D. Favors,,5-11,,
6:25.0,,,5-11,,Personal foul by J. Redick
6:25.0,R. Hood enters the game for J. Ingles,,5-11,,
6:15.0,R. Hood makes 3-pt shot from 26 ft,3,8-11,,
6:00.0,Personal foul by J. Johnson (drawn by B. Griffin),,8-11,,
5:55.0,,,8-13,2,C. Paul makes 2-pt shot from 15 ft
5:39.0,Turnover by R. Hood (lost ball; steal by J. Redick),,8-13,,
5:29.0,,,8-15,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
5:10.0,D. Favors misses 2-pt shot from 2 ft (block by B. Griffin),,8-15,,
5:08.0,,,8-15,,Defensive rebound by L. Mbah a Moute
5:01.0,,,8-17,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
5:00.0,Utah full timeout,,8-17,,
