time,LA Clippers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Jordan (G. Hill gains possession),,,,Jump ball: R. Gobert vs. D. Jordan (G. Hill gains possession)
11:34.0,,,0-0,,G. Hayward misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by L. Mbah a Moute,,0-0,,
11:21.0,,,0-0,,Violation by J. Ingles (kicked ball)
11:06.0,D. Jordan makes 2-pt shot from 6 ft,2,2-0,,
10:42.0,,,2-0,,B. Diaw misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by M. Speights,,2-0,,
10:32.0,J. Redick misses 2-pt shot from 3 ft,,2-0,,
10:32.0,,,2-0,,Defensive rebound by R. Gobert
10:25.0,,,2-0,,B. Diaw misses 2-pt shot from 3 ft
10:24.0,Defensive rebound by L. Mbah a Moute,,2-0,,
10:21.0,Turnover by L. Mbah a Moute (lost ball; steal by B. Diaw),,2-0,,
10:20.0,,,2-0,,Turnover by B. Diaw (bad pass)
10:02.0,C. Paul misses 2-pt shot from 14 ft,,2-0,,
10:02.0,,,2-0,,Defensive rebound by R. Gobert
9:52.0,,,2-0,,G. Hill misses 2-pt shot from 19 ft
9:52.0,Defensive rebound by D. Jordan,,2-0,,
9:38.0,Turnover by J. Redick (lost ball; steal by J. Ingles),,2-0,,
9:34.0,,,2-2,2,J. Ingles makes 2-pt shot from 2 ft
9:26.0,J. Redick misses 2-pt shot from 19 ft,,2-2,,
9:26.0,,,2-2,,Defensive rebound by G. Hayward
9:17.0,,,2-2,,J. Ingles misses 3-pt shot from 24 ft
9:16.0,,,2-2,,Offensive rebound by R. Gobert
9:15.0,,,2-4,2,R. Gobert makes 2-pt shot at rim
8:57.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,5-4,,
8:44.0,,,5-4,,Shooting foul by M. Speights (drawn by G. Hill)
8:44.0,,,5-5,1,G. Hill makes free throw 1 of 2
8:44.0,,,5-6,1,G. Hill makes free throw 2 of 2
8:30.0,C. Paul misses 2-pt shot from 16 ft,,5-6,,
8:29.0,,,5-6,,Defensive rebound by R. Gobert
8:08.0,,,5-9,3,G. Hayward makes 3-pt shot from 23 ft (assist by J. Ingles)
7:53.0,M. Speights makes 2-pt shot from 20 ft (assist by C. Paul),2,7-9,,
7:36.0,,,7-9,,G. Hill misses 2-pt shot from 13 ft
7:35.0,Defensive rebound by L. Mbah a Moute,,7-9,,
7:25.0,Shooting foul by B. Diaw (drawn by D. Jordan),,7-9,,
7:25.0,D. Jordan misses free throw 1 of 2,,7-9,,
7:25.0,Offensive rebound by Team,,7-9,,
7:25.0,D. Jordan misses free throw 2 of 2,,7-9,,
7:25.0,,,7-9,,D. Favors enters the game for R. Gobert
7:25.0,,,7-9,,J. Johnson enters the game for B. Diaw
7:25.0,,,7-9,,R. Hood enters the game for G. Hayward
7:25.0,J. Crawford enters the game for M. Speights,,7-9,,
7:25.0,P. Pierce enters the game for L. Mbah a Moute,,7-9,,
7:24.0,,,7-9,,Defensive rebound by J. Ingles
7:12.0,,,7-11,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
6:45.0,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul),3,10-11,,
6:29.0,,,10-13,2,D. Favors makes 2-pt shot from 6 ft (assist by J. Ingles)
6:13.0,P. Pierce misses 3-pt shot from 25 ft,,10-13,,
6:13.0,,,10-13,,Defensive rebound by R. Hood
6:01.0,,,10-15,2,D. Favors makes 2-pt shot from 13 ft (assist by R. Hood)
5:44.0,J. Redick makes 2-pt shot from 2 ft (assist by D. Jordan),2,12-15,,
5:26.0,Violation by D. Jordan (def goaltending),,12-15,,
5:26.0,,,12-17,2,J. Johnson makes 2-pt shot from 4 ft
5:14.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,14-17,,
4:59.0,,,14-17,,R. Hood misses 2-pt shot from 13 ft
4:58.0,Defensive rebound by C. Paul,,14-17,,
4:43.0,Turnover by C. Paul (bad pass; steal by J. Johnson),,14-17,,
4:40.0,Personal foul by C. Paul (drawn by J. Ingles),,14-17,,
4:40.0,,,14-17,,Utah full timeout
4:20.0,,,14-19,2,J. Johnson makes 2-pt shot from 5 ft
3:59.0,J. Redick misses 2-pt shot from 13 ft,,14-19,,
3:59.0,,,14-19,,Defensive rebound by J. Ingles
3:47.0,Personal foul by J. Crawford (drawn by G. Hill),,14-19,,
3:35.0,,,14-19,,J. Johnson misses 2-pt shot from 4 ft
3:35.0,,,14-19,,Offensive rebound by J. Johnson
3:24.0,,,14-22,3,R. Hood makes 3-pt shot from 26 ft (assist by J. Johnson)
3:06.0,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul),3,17-22,,
2:50.0,,,17-22,,J. Ingles misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by D. Jordan,,17-22,,
2:40.0,C. Paul makes 2-pt shot from 2 ft,2,19-22,,
2:19.0,,,19-22,,D. Favors misses 2-pt shot from 5 ft
2:19.0,,,19-22,,Offensive rebound by D. Favors
2:10.0,,,19-24,2,D. Favors makes 2-pt shot from 3 ft (assist by J. Ingles)
1:55.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,21-24,,
1:32.0,,,21-24,,J. Johnson misses 2-pt shot from 13 ft
1:31.0,Defensive rebound by C. Paul,,21-24,,
1:19.0,Shooting foul by R. Hood,,21-24,,
1:19.0,LA Clippers full timeout,,21-24,,
1:19.0,J. Redick makes free throw 1 of 2,1,22-24,,
1:19.0,J. Redick makes free throw 2 of 2,1,23-24,,
1:19.0,,,21-24,,R. Neto enters the game for G. Hill
1:19.0,,,21-24,,G. Hayward enters the game for J. Ingles
1:19.0,,,21-24,,R. Gobert enters the game for D. Favors
0:59.0,,,23-24,,R. Hood misses 2-pt shot from 19 ft
0:58.0,Defensive rebound by C. Paul,,23-24,,
0:48.0,Shooting foul by R. Neto (drawn by J. Crawford),,23-24,,
0:48.0,J. Crawford makes free throw 1 of 2,1,24-24,,
0:48.0,J. Crawford makes free throw 2 of 2,1,25-24,,
0:48.0,L. Mbah a Moute enters the game for J. Redick,,24-24,,
0:30.0,,,25-24,,Turnover by G. Hayward (bad pass; steal by C. Paul)
0:29.0,,,25-24,,Personal foul by R. Neto (drawn by C. Paul)
0:29.0,C. Paul misses free throw 1 of 2,,25-24,,
0:29.0,Offensive rebound by Team,,25-24,,
0:29.0,C. Paul makes free throw 2 of 2,1,26-24,,
0:29.0,,,25-24,,G. Hill enters the game for R. Neto
0:04.0,,,26-24,,J. Johnson misses 2-pt shot from 18 ft
0:04.0,Defensive rebound by D. Jordan,,26-24,,
0:00.0,C. Paul misses 3-pt shot from 43 ft,,26-24,,
0:00.0,Offensive rebound by Team,,26-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Felton makes 3-pt shot from 23 ft (assist by M. Speights),3,29-24,,
11:23.0,,,29-24,,G. Hayward misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by R. Felton,,29-24,,
11:14.0,M. Speights misses 3-pt shot from 25 ft,,29-24,,
11:14.0,,,29-24,,Defensive rebound by R. Neto
11:04.0,,,29-24,,R. Hood misses 2-pt shot from 10 ft
11:03.0,Defensive rebound by M. Speights,,29-24,,
10:57.0,L. Mbah a Moute misses 2-pt shot from 3 ft,,29-24,,
10:56.0,,,29-24,,Defensive rebound by R. Neto
10:49.0,,,29-24,,Turnover by R. Neto (lost ball; steal by R. Felton)
10:29.0,M. Speights misses 2-pt shot from 6 ft,,29-24,,
10:29.0,,,29-24,,Defensive rebound by G. Hayward
10:27.0,Personal foul by P. Pierce (drawn by G. Hayward),,29-24,,
10:21.0,,,29-24,,R. Hood misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by P. Pierce,,29-24,,
10:08.0,W. Johnson enters the game for P. Pierce,,29-24,,
9:56.0,M. Speights misses 2-pt shot from 10 ft (block by R. Gobert),,29-24,,
9:55.0,,,29-24,,Defensive rebound by R. Neto
9:50.0,,,29-24,,Shooting foul by W. Johnson (drawn by R. Hood)
9:50.0,,,29-25,1,R. Hood makes free throw 1 of 2
9:50.0,,,29-26,1,R. Hood makes free throw 2 of 2
9:50.0,,,29-25,,G. Hill enters the game for R. Neto
9:28.0,R. Felton makes 2-pt shot from 3 ft,2,31-26,,
9:06.0,,,31-28,2,J. Johnson makes 2-pt shot from 3 ft
8:51.0,J. Crawford makes 2-pt shot from 14 ft,2,33-28,,
8:42.0,Personal foul by J. Crawford (drawn by R. Hood),,33-28,,
8:42.0,,,33-28,,Utah full timeout
8:42.0,,,33-28,,J. Ingles enters the game for G. Hayward
8:42.0,,,33-28,,B. Diaw enters the game for J. Johnson
8:42.0,,,33-28,,D. Exum enters the game for R. Hood
8:29.0,,,33-30,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
8:19.0,,,33-30,,Personal foul by D. Exum (drawn by J. Crawford)
8:19.0,J. Redick enters the game for W. Johnson,,33-30,,
8:13.0,J. Crawford makes 2-pt shot from 9 ft,2,35-30,,
7:51.0,,,35-30,,Shooting foul by R. Felton (drawn by G. Hill)
7:51.0,,,35-31,1,G. Hill makes free throw 1 of 3
7:51.0,,,35-31,,G. Hill misses free throw 2 of 3
7:51.0,,,35-31,,Offensive rebound by Team
7:51.0,,,35-32,1,G. Hill makes free throw 3 of 3
7:51.0,,,35-31,,D. Favors enters the game for R. Gobert
7:34.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,35-32,,
7:33.0,,,35-32,,Defensive rebound by B. Diaw
7:25.0,,,35-34,2,D. Favors makes 2-pt shot from 3 ft (assist by G. Hill)
7:10.0,M. Speights makes 3-pt shot from 25 ft (assist by J. Crawford),3,38-34,,
6:51.0,,,38-34,,G. Hill misses 2-pt shot from 11 ft
6:50.0,,,38-34,,Offensive rebound by B. Diaw
6:45.0,,,38-34,,Turnover by G. Hill (lost ball; steal by J. Crawford)
6:40.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,38-34,,
6:39.0,,,38-34,,Defensive rebound by G. Hill
6:35.0,,,38-34,,Turnover by B. Diaw (lost ball)
6:35.0,D. Jordan enters the game for L. Mbah a Moute,,38-34,,
6:25.0,Turnover by J. Crawford (lost ball; steal by D. Favors),,38-34,,
6:04.0,,,38-37,3,G. Hill makes 3-pt shot from 24 ft (assist by B. Diaw)
5:55.0,LA Clippers full timeout,,38-37,,
5:55.0,C. Paul enters the game for R. Felton,,38-37,,
5:55.0,,,38-37,,R. Hood enters the game for D. Exum
5:55.0,,,38-37,,J. Johnson enters the game for B. Diaw
5:46.0,Turnover by J. Redick (bad pass; steal by D. Favors),,38-37,,
5:39.0,,,38-37,,R. Hood misses 2-pt shot from 5 ft
5:39.0,Defensive rebound by Team,,38-37,,
5:24.0,J. Crawford makes 3-pt shot from 25 ft (assist by C. Paul),3,41-37,,
5:08.0,,,41-39,2,G. Hill makes 2-pt shot from 3 ft (assist by D. Favors)
4:46.0,J. Crawford misses 2-pt shot from 13 ft,,41-39,,
4:45.0,Offensive rebound by J. Crawford,,41-39,,
4:45.0,,,41-39,,Personal foul by J. Johnson (drawn by J. Crawford)
4:45.0,,,41-39,,Inbound foul by G. Hill
4:45.0,C. Paul misses free throw 1 of 1,,41-39,,
4:45.0,Offensive rebound by Team,,41-39,,
4:45.0,P. Pierce enters the game for M. Speights,,41-39,,
4:45.0,R. Felton enters the game for J. Crawford,,41-39,,
4:39.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,43-39,,
4:25.0,,,43-41,2,D. Favors makes 2-pt shot at rim (assist by J. Johnson)
4:04.0,C. Paul makes 2-pt shot from 9 ft,2,45-41,,
3:40.0,,,45-41,,G. Hill misses 2-pt shot from 14 ft
3:40.0,Defensive rebound by D. Jordan,,45-41,,
3:32.0,R. Felton misses 2-pt shot from 2 ft,,45-41,,
3:32.0,,,45-41,,Defensive rebound by D. Favors
3:31.0,Personal foul by D. Jordan (drawn by D. Favors),,45-41,,
3:31.0,,,45-41,,D. Favors misses free throw 1 of 2
3:31.0,,,45-41,,Offensive rebound by Team
3:31.0,,,45-42,1,D. Favors makes free throw 2 of 2
3:19.0,Shooting foul by J. Johnson (drawn by C. Paul),,45-42,,
3:19.0,C. Paul makes free throw 1 of 2,1,46-42,,
3:19.0,C. Paul makes free throw 2 of 2,1,47-42,,
2:59.0,,,47-44,2,J. Johnson makes 2-pt shot from 9 ft
2:39.0,Turnover by J. Redick (bad pass; steal by J. Ingles),,47-44,,
