time,Houston,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. C. Capela (S. Labissiere gains possession),,,,Jump ball: W. Cauley-Stein vs. C. Capela (S. Labissiere gains possession)
11:38.0,,,0-0,,W. Cauley-Stein misses 2-pt shot from 5 ft
11:34.0,Defensive rebound by R. Anderson,,0-0,,
11:28.0,Offensive charge foul by C. Capela (drawn by G. Hill),,0-0,,
11:28.0,Turnover by C. Capela (offensive foul),,0-0,,
11:13.0,,,0-0,,J. Jackson misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by R. Anderson,,0-0,,
11:06.0,E. Gordon misses 3-pt shot from 26 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by S. Labissiere
10:48.0,,,0-0,,W. Cauley-Stein misses 2-pt shot from 14 ft
10:44.0,Defensive rebound by C. Capela,,0-0,,
10:37.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,2-0,,
10:19.0,,,2-3,3,G. Hill makes 3-pt shot from 25 ft
10:04.0,R. Anderson misses 3-pt shot from 27 ft,,2-3,,
10:00.0,Offensive rebound by J. Harden,,2-3,,
9:57.0,E. Gordon misses 3-pt shot from 25 ft,,2-3,,
9:55.0,,,2-3,,Defensive rebound by B. Hield
9:50.0,,,2-3,,Offensive charge foul by W. Cauley-Stein (drawn by C. Capela)
9:50.0,,,2-3,,Turnover by W. Cauley-Stein (offensive foul)
9:44.0,J. Harden misses 3-pt shot from 25 ft,,2-3,,
9:40.0,,,2-3,,Defensive rebound by J. Jackson
9:27.0,,,2-3,,B. Hield misses 2-pt shot from 19 ft
9:20.0,,,2-3,,Offensive rebound by W. Cauley-Stein
9:19.0,,,2-5,2,W. Cauley-Stein makes 2-pt shot at rim
9:14.0,R. Anderson misses 3-pt shot from 25 ft,,2-5,,
9:14.0,,,2-5,,Defensive rebound by S. Labissiere
9:09.0,,,2-5,,Offensive charge foul by G. Hill (drawn by E. Gordon)
9:09.0,,,2-5,,Turnover by G. Hill (offensive foul)
8:59.0,J. Harden makes 3-pt shot from 24 ft,3,5-5,,
8:38.0,,,5-5,,B. Hield misses 2-pt shot from 2 ft (block by C. Capela)
8:34.0,,,5-5,,Offensive rebound by B. Hield
8:33.0,,,5-5,,B. Hield misses 3-pt shot from 23 ft
8:33.0,,,5-5,,Offensive rebound by W. Cauley-Stein
8:30.0,,,5-7,2,W. Cauley-Stein makes 2-pt shot from 1 ft
8:07.0,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden),3,8-7,,
7:47.0,,,8-7,,S. Labissiere misses 2-pt shot from 5 ft
7:43.0,,,8-7,,Offensive rebound by J. Jackson
7:42.0,,,8-7,,J. Jackson misses 2-pt shot from 5 ft
7:36.0,,,8-7,,Offensive rebound by W. Cauley-Stein
7:34.0,,,8-9,2,W. Cauley-Stein makes 2-pt shot from 2 ft
7:32.0,R. Anderson misses 3-pt shot from 24 ft,,8-9,,
7:32.0,,,8-9,,Defensive rebound by S. Labissiere
7:22.0,,,8-9,,W. Cauley-Stein misses 2-pt shot from 18 ft
7:17.0,Defensive rebound by R. Anderson,,8-9,,
7:14.0,T. Ariza misses 3-pt shot from 25 ft,,8-9,,
7:10.0,,,8-9,,Defensive rebound by B. Hield
6:53.0,,,8-9,,B. Hield misses 2-pt shot from 8 ft
6:51.0,Defensive rebound by C. Capela,,8-9,,
6:43.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,10-9,,
6:21.0,,,10-9,,G. Hill misses 2-pt shot from 5 ft
6:18.0,Defensive rebound by C. Capela,,10-9,,
6:13.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,13-9,,
6:05.0,,,13-9,,Sacramento full timeout
5:54.0,,,13-11,2,S. Labissiere makes 2-pt shot from 10 ft
5:41.0,C. Capela makes 2-pt shot from 2 ft (assist by E. Gordon),2,15-11,,
5:27.0,,,15-13,2,B. Hield makes 2-pt shot from 5 ft (assist by S. Labissiere)
5:07.0,Shooting foul by B. Hield (drawn by J. Harden),,15-13,,
5:07.0,J. Harden makes free throw 1 of 2,1,16-13,,
5:07.0,,,16-13,,G. Temple enters the game for J. Jackson
5:07.0,L. Mbah a Moute enters the game for R. Anderson,,16-13,,
5:07.0,P. Tucker enters the game for C. Capela,,16-13,,
5:07.0,N. Hilario enters the game for E. Gordon,,16-13,,
5:07.0,J. Harden makes free throw 2 of 2,1,17-13,,
4:51.0,,,17-16,3,G. Temple makes 3-pt shot from 24 ft (assist by B. Hield)
4:32.0,J. Harden makes 2-pt shot from 11 ft,2,19-16,,
4:14.0,,,19-16,,Turnover by S. Labissiere (traveling)
4:14.0,,,19-16,,D. Fox enters the game for B. Hield
3:56.0,N. Hilario makes 2-pt shot from 3 ft (assist by T. Ariza),2,21-16,,
3:30.0,,,21-16,,Turnover by Team (shot clock)
3:30.0,,,21-16,,K. Koufos enters the game for W. Cauley-Stein
3:29.0,,,21-16,,G. Temple misses 3-pt shot from 25 ft
3:29.0,,,21-16,,Offensive rebound by Team
3:14.0,T. Ariza misses 2-pt shot from 7 ft,,21-16,,
3:11.0,,,21-16,,Defensive rebound by S. Labissiere
3:05.0,,,21-16,,Shooting foul by P. Tucker (drawn by S. Labissiere)
3:05.0,,,21-17,1,S. Labissiere makes free throw 1 of 2
3:05.0,,,21-18,1,S. Labissiere makes free throw 2 of 2
2:50.0,N. Hilario misses 2-pt shot from 1 ft,,21-18,,
2:47.0,,,21-18,,Defensive rebound by K. Koufos
2:41.0,,,21-20,2,D. Fox makes 2-pt shot from 2 ft
2:23.0,T. Ariza misses 3-pt shot from 25 ft,,21-20,,
2:20.0,,,21-20,,Defensive rebound by G. Hill
2:15.0,,,21-20,,D. Fox misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by J. Harden,,21-20,,
2:03.0,Shooting foul by K. Koufos (drawn by N. Hilario),,21-20,,
2:03.0,Houston full timeout,,21-20,,
2:03.0,,,21-20,,V. Carter enters the game for S. Labissiere
2:03.0,N. Hilario makes free throw 1 of 2,1,22-20,,
2:03.0,N. Hilario makes free throw 2 of 2,1,23-20,,
1:48.0,,,23-23,3,V. Carter makes 3-pt shot from 26 ft (assist by D. Fox)
1:35.0,Turnover by L. Mbah a Moute (out of bounds lost ball),,23-23,,
1:20.0,,,23-23,,Turnover by D. Fox (bad pass)
1:10.0,J. Harden misses 2-pt shot from 5 ft,,23-23,,
1:09.0,Offensive rebound by Team,,23-23,,
1:02.0,Turnover by P. Tucker (traveling),,23-23,,
0:46.0,,,23-23,,G. Temple misses 2-pt shot from 22 ft
0:42.0,Defensive rebound by L. Mbah a Moute,,23-23,,
0:39.0,J. Harden misses 2-pt shot from 7 ft,,23-23,,
0:35.0,Offensive rebound by J. Harden,,23-23,,
0:34.0,J. Harden misses 2-pt shot from 3 ft,,23-23,,
0:34.0,,,23-23,,Defensive rebound by G. Hill
0:31.0,,,23-25,2,D. Fox makes 2-pt shot from 1 ft (assist by G. Hill)
0:18.0,P. Tucker makes 3-pt shot from 22 ft (assist by N. Hilario),3,26-25,,
0:02.0,Personal foul by T. Ariza (drawn by D. Fox),,26-25,,
0:00.0,,,26-25,,D. Fox misses 2-pt shot from 16 ft (block by P. Tucker)
0:00.0,,,26-25,,Offensive rebound by Team
0:00.0,,,26-25,,K. Koufos misses 2-pt shot from 14 ft
0:00.0,,,26-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,26-25,,Personal foul by M. Richardson (drawn by L. Mbah a Moute)
11:41.0,Houston full timeout,,26-25,,
11:35.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,26-25,,
11:30.0,Offensive rebound by P. Tucker,,26-25,,
11:26.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,26-25,,
11:24.0,Offensive rebound by P. Tucker,,26-25,,
11:22.0,E. Gordon misses 3-pt shot from 25 ft,,26-25,,
11:22.0,,,26-25,,Defensive rebound by K. Koufos
10:59.0,,,26-25,,K. Koufos misses 2-pt shot from 5 ft
10:57.0,Defensive rebound by N. Hilario,,26-25,,
10:49.0,E. Gordon misses 2-pt shot from 1 ft,,26-25,,
10:49.0,Offensive rebound by E. Gordon,,26-25,,
10:42.0,E. Gordon misses 2-pt shot at rim,,26-25,,
10:41.0,,,26-25,,Defensive rebound by K. Koufos
10:31.0,Personal foul by D. Jackson (drawn by K. Koufos),,26-25,,
10:21.0,,,26-27,2,K. Koufos makes 2-pt shot from 3 ft (assist by V. Carter)
10:13.0,Turnover by D. Jackson (bad pass),,26-27,,
10:01.0,,,26-30,3,V. Carter makes 3-pt shot from 24 ft (assist by D. Fox)
9:43.0,,,26-30,,Personal foul by G. Temple (drawn by E. Gordon)
9:34.0,Turnover by D. Jackson (bad pass; steal by G. Temple),,26-30,,
9:32.0,,,26-30,,Shooting foul by E. Gordon (drawn by G. Temple)
9:32.0,,,26-31,1,G. Temple makes free throw 1 of 2
9:32.0,,,26-32,1,G. Temple makes free throw 2 of 2
9:19.0,P. Tucker makes 3-pt shot from 22 ft (assist by E. Gordon),3,29-32,,
8:59.0,,,29-32,,V. Carter misses 3-pt shot from 25 ft
8:56.0,Defensive rebound by E. Gordon,,29-32,,
8:51.0,E. Gordon makes 2-pt shot from 2 ft,2,31-32,,
8:33.0,,,31-32,,D. Fox misses 2-pt shot from 21 ft
8:30.0,Defensive rebound by D. Jackson,,31-32,,
8:25.0,E. Gordon makes 3-pt shot from 27 ft (assist by D. Jackson),3,34-32,,
8:04.0,,,34-32,,G. Temple misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by L. Mbah a Moute,,34-32,,
7:51.0,Turnover by E. Gordon (bad pass; steal by G. Temple),,34-32,,
7:46.0,,,34-32,,M. Richardson misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by Team,,34-32,,
7:36.0,Offensive charge foul by P. Tucker (drawn by D. Fox),,34-32,,
7:36.0,Turnover by P. Tucker (offensive foul),,34-32,,
7:36.0,,,34-32,,Sacramento full timeout
7:36.0,C. Capela enters the game for P. Tucker,,34-32,,
7:36.0,R. Anderson enters the game for N. Hilario,,34-32,,
7:18.0,,,34-32,,M. Richardson misses 2-pt shot from 11 ft
7:14.0,Defensive rebound by L. Mbah a Moute,,34-32,,
7:00.0,E. Gordon misses 2-pt shot from 5 ft,,34-32,,
6:57.0,Offensive rebound by C. Capela,,34-32,,
6:57.0,C. Capela makes 2-pt shot from 2 ft,2,36-32,,
6:48.0,,,36-34,2,D. Fox makes 2-pt shot from 5 ft
6:33.0,E. Gordon misses 3-pt shot from 25 ft,,36-34,,
6:29.0,Offensive rebound by C. Capela,,36-34,,
6:28.0,Shooting foul by D. Fox (drawn by L. Mbah a Moute),,36-34,,
6:28.0,L. Mbah a Moute makes free throw 1 of 2,1,37-34,,
6:28.0,,,37-34,,S. Labissiere enters the game for M. Richardson
6:28.0,J. Harden enters the game for D. Jackson,,37-34,,
6:28.0,L. Mbah a Moute makes free throw 2 of 2,1,38-34,,
6:12.0,,,38-36,2,S. Labissiere makes 2-pt shot from 9 ft
5:59.0,J. Harden misses 3-pt shot from 25 ft,,38-36,,
5:56.0,,,38-36,,Defensive rebound by K. Koufos
5:54.0,Personal foul by J. Harden (drawn by D. Fox),,38-36,,
5:54.0,T. Ariza enters the game for L. Mbah a Moute,,38-36,,
5:54.0,,,38-36,,B. Hield enters the game for V. Carter
5:39.0,,,38-36,,S. Labissiere misses 2-pt shot from 22 ft
5:36.0,Defensive rebound by C. Capela,,38-36,,
5:31.0,R. Anderson misses 3-pt shot from 24 ft,,38-36,,
5:27.0,,,38-36,,Defensive rebound by B. Hield
5:21.0,,,38-36,,Turnover by B. Hield (bad pass; steal by J. Harden)
5:10.0,Shooting foul by S. Labissiere (drawn by J. Harden),,38-36,,
5:10.0,J. Harden makes free throw 1 of 2,1,39-36,,
5:10.0,,,39-36,,W. Cauley-Stein enters the game for K. Koufos
