time,Minnesota,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. K. Towns (J. Teague gains possession),,,,Jump ball: P. Gasol vs. K. Towns (J. Teague gains possession)
11:46.0,Turnover by T. Gibson (bad pass; steal by D. Green),,0-0,,
11:34.0,,,0-2,2,D. Murray makes 2-pt shot from 1 ft
11:14.0,K. Towns misses 2-pt shot from 20 ft,,0-2,,
11:11.0,Offensive rebound by T. Gibson,,0-2,,
11:09.0,J. Butler makes 3-pt shot from 25 ft (assist by T. Gibson),3,3-2,,
10:48.0,,,3-2,,L. Aldridge misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by K. Towns,,3-2,,
10:32.0,J. Butler misses 2-pt shot from 1 ft (block by L. Aldridge),,3-2,,
10:29.0,,,3-2,,Defensive rebound by D. Murray
10:26.0,,,3-2,,Turnover by D. Murray (lost ball; steal by J. Butler)
10:21.0,T. Gibson misses 3-pt shot from 22 ft,,3-2,,
10:18.0,,,3-2,,Defensive rebound by K. Anderson
10:04.0,,,3-2,,Turnover by L. Aldridge (lost ball; steal by K. Towns)
9:59.0,T. Gibson misses 2-pt shot from 1 ft (block by D. Green),,3-2,,
9:59.0,Offensive rebound by Team,,3-2,,
9:51.0,T. Gibson makes 2-pt shot from 15 ft (assist by J. Teague),2,5-2,,
9:28.0,,,5-4,2,D. Green makes 2-pt shot from 18 ft
9:13.0,K. Towns misses 2-pt shot from 16 ft,,5-4,,
9:13.0,,,5-4,,Defensive rebound by K. Anderson
9:02.0,,,5-7,3,P. Gasol makes 3-pt shot from 25 ft (assist by L. Aldridge)
8:42.0,Shooting foul by D. Murray (drawn by A. Wiggins),,5-7,,
8:42.0,A. Wiggins misses free throw 1 of 2,,5-7,,
8:42.0,Offensive rebound by Team,,5-7,,
8:42.0,A. Wiggins makes free throw 2 of 2,1,6-7,,
8:26.0,,,6-9,2,P. Gasol makes 2-pt shot from 7 ft
8:19.0,J. Butler makes 3-pt shot from 24 ft (assist by J. Teague),3,9-9,,
8:07.0,,,9-9,,Shooting foul by T. Gibson (drawn by L. Aldridge)
8:07.0,,,9-10,1,L. Aldridge makes free throw 1 of 2
8:07.0,,,9-10,,L. Aldridge misses free throw 2 of 2
8:04.0,Defensive rebound by K. Towns,,9-10,,
7:57.0,A. Wiggins makes 3-pt shot from 28 ft (assist by K. Towns),3,12-10,,
7:41.0,,,12-10,,K. Anderson misses 2-pt shot from 9 ft
7:39.0,Defensive rebound by K. Towns,,12-10,,
7:33.0,J. Teague misses 3-pt shot from 25 ft (block by D. Murray),,12-10,,
7:33.0,,,12-10,,Defensive rebound by P. Gasol
7:16.0,,,12-13,3,K. Anderson makes 3-pt shot from 22 ft (assist by L. Aldridge)
7:05.0,A. Wiggins misses 2-pt shot from 17 ft,,12-13,,
7:02.0,,,12-13,,Defensive rebound by D. Murray
6:52.0,,,12-13,,Shooting foul by K. Towns (drawn by L. Aldridge)
6:52.0,,,12-13,,San Antonio full timeout
