time,Orlando,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. N. Vucevic (D. Russell gains possession),,,,Jump ball: T. Mozgov vs. N. Vucevic (D. Russell gains possession)
11:52.0,,,0-0,,Turnover by D. Russell (traveling)
11:30.0,E. Fournier makes 2-pt shot from 10 ft,2,2-0,,
11:23.0,,,2-2,2,D. Carroll makes 2-pt shot from 1 ft
10:52.0,,,2-2,,T. Mozgov misses 3-pt shot from 22 ft
10:49.0,Defensive rebound by E. Payton,,2-2,,
10:45.0,Turnover by E. Payton (lost ball; steal by D. Russell),,2-2,,
10:40.0,,,2-2,,D. Russell misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by E. Fournier,,2-2,,
10:34.0,E. Payton makes 2-pt shot at rim,2,4-2,,
10:24.0,,,4-2,,Turnover by D. Russell (lost ball; steal by T. Ross)
10:17.0,N. Vucevic misses 2-pt shot from 20 ft,,4-2,,
10:15.0,,,4-2,,Defensive rebound by D. Russell
10:07.0,,,4-4,2,T. Mozgov makes 2-pt shot at rim (assist by A. Crabbe)
9:52.0,E. Payton misses 2-pt shot from 7 ft,,4-4,,
9:50.0,,,4-4,,Defensive rebound by T. Mozgov
9:44.0,,,4-4,,R. Hollis-Jefferson misses 2-pt shot from 17 ft
9:40.0,Defensive rebound by T. Ross,,4-4,,
9:34.0,E. Fournier makes 2-pt shot from 20 ft,2,6-4,,
9:24.0,,,6-4,,Shooting foul by T. Ross (drawn by A. Crabbe)
9:24.0,,,6-5,1,A. Crabbe makes free throw 1 of 2
9:24.0,,,6-6,1,A. Crabbe makes free throw 2 of 2
9:15.0,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Fournier),2,8-6,,
9:00.0,,,8-6,,D. Russell misses 2-pt shot from 8 ft (block by J. Isaac)
8:59.0,,,8-6,,Offensive rebound by D. Russell
8:59.0,Personal foul by J. Isaac (drawn by D. Russell),,8-6,,
8:47.0,,,8-6,,A. Crabbe misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by Team,,8-6,,
8:31.0,T. Ross makes 3-pt shot from 22 ft (assist by J. Isaac),3,11-6,,
8:13.0,,,11-9,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. Russell)
8:03.0,T. Ross misses 3-pt shot from 27 ft,,11-9,,
8:00.0,,,11-9,,Defensive rebound by D. Carroll
7:58.0,,,11-11,2,R. Hollis-Jefferson makes 2-pt shot from 7 ft (assist by D. Russell)
7:58.0,,,11-11,,Shooting foul by J. Isaac (drawn by R. Hollis-Jefferson)
7:58.0,M. Hezonja enters the game for J. Isaac,,11-11,,
7:58.0,,,11-12,1,R. Hollis-Jefferson makes free throw 1 of 1
7:37.0,N. Vucevic makes 2-pt shot from 21 ft (assist by M. Hezonja),2,13-12,,
7:20.0,,,13-12,,A. Crabbe misses 2-pt shot from 23 ft
7:17.0,Defensive rebound by M. Hezonja,,13-12,,
7:04.0,N. Vucevic makes 3-pt shot from 22 ft (assist by E. Fournier),3,16-12,,
6:47.0,,,16-12,,Turnover by D. Russell (bad pass; steal by M. Hezonja)
6:47.0,M. Hezonja misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson),,16-12,,
6:47.0,Offensive rebound by Team,,16-12,,
6:47.0,,,16-12,,Brooklyn full timeout
6:41.0,E. Fournier makes 2-pt shot from 13 ft (assist by E. Payton),2,18-12,,
6:24.0,,,18-12,,D. Russell misses 2-pt shot from 9 ft
6:20.0,,,18-12,,Offensive rebound by T. Mozgov
6:20.0,,,18-12,,T. Mozgov misses 2-pt shot at rim
6:19.0,Defensive rebound by E. Fournier,,18-12,,
6:16.0,Turnover by E. Fournier (bad pass; steal by D. Carroll),,18-12,,
6:15.0,,,18-14,2,D. Russell makes 2-pt shot at rim (assist by D. Carroll)
6:15.0,,,18-14,,Shooting foul by N. Vucevic (drawn by D. Russell)
6:15.0,,,18-14,,T. Booker enters the game for T. Mozgov
6:15.0,,,18-14,,C. LeVert enters the game for A. Crabbe
6:15.0,,,18-15,1,D. Russell makes free throw 1 of 1
6:02.0,N. Vucevic makes 3-pt shot from 24 ft (assist by E. Payton),3,21-15,,
5:42.0,,,21-15,,R. Hollis-Jefferson misses 3-pt shot from 25 ft
5:40.0,,,21-15,,Offensive rebound by T. Booker
5:34.0,,,21-15,,C. LeVert misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by M. Hezonja,,21-15,,
5:21.0,Shooting foul by C. LeVert (drawn by E. Fournier),,21-15,,
5:21.0,E. Fournier makes free throw 1 of 2,1,22-15,,
5:21.0,,,22-15,,Q. Acy enters the game for R. Hollis-Jefferson
5:21.0,J. Simmons enters the game for T. Ross,,22-15,,
5:21.0,E. Fournier makes free throw 2 of 2,1,23-15,,
5:15.0,,,23-15,,Turnover by C. LeVert (traveling)
4:55.0,E. Fournier misses 2-pt shot from 21 ft,,23-15,,
4:53.0,,,23-15,,Defensive rebound by D. Carroll
4:43.0,,,23-17,2,D. Russell makes 2-pt shot from 3 ft
4:24.0,E. Fournier misses 2-pt shot from 10 ft,,23-17,,
4:23.0,Offensive rebound by E. Fournier,,23-17,,
4:21.0,E. Fournier misses 2-pt shot from 1 ft,,23-17,,
4:21.0,,,23-17,,Defensive rebound by Q. Acy
4:16.0,,,23-17,,C. LeVert misses 3-pt shot from 22 ft
4:16.0,,,23-17,,Offensive rebound by T. Booker
4:11.0,,,23-17,,T. Booker misses 2-pt shot from 7 ft
4:11.0,Defensive rebound by N. Vucevic,,23-17,,
3:50.0,Turnover by M. Hezonja (traveling),,23-17,,
3:50.0,,,23-17,,S. Dinwiddie enters the game for D. Russell
3:41.0,,,23-17,,Offensive foul by C. LeVert (drawn by J. Simmons)
3:41.0,,,23-17,,Turnover by C. LeVert (offensive foul)
3:41.0,D. Augustin enters the game for E. Payton,,23-17,,
3:41.0,B. Biyombo enters the game for N. Vucevic,,23-17,,
3:31.0,E. Fournier misses 3-pt shot from 24 ft,,23-17,,
3:28.0,,,23-17,,Defensive rebound by D. Carroll
3:21.0,,,23-19,2,D. Carroll makes 2-pt shot from 2 ft
3:15.0,Orlando full timeout,,23-19,,
3:15.0,,,23-19,,J. Harris enters the game for D. Carroll
3:03.0,J. Simmons misses 2-pt shot from 9 ft,,23-19,,
3:00.0,Offensive rebound by J. Simmons,,23-19,,
2:59.0,Turnover by J. Simmons (bad pass; steal by S. Dinwiddie),,23-19,,
2:55.0,,,23-19,,S. Dinwiddie misses 2-pt shot at rim
2:52.0,,,23-19,,Offensive rebound by T. Booker
2:51.0,,,23-21,2,T. Booker makes 2-pt shot at rim
2:36.0,Offensive foul by B. Biyombo (drawn by J. Harris),,23-21,,
2:36.0,Turnover by B. Biyombo (offensive foul),,23-21,,
2:26.0,,,23-21,,Offensive foul by T. Booker (drawn by J. Simmons)
