time,Sacramento,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. W. Cauley-Stein (G. Hill gains possession),,,,Jump ball: N. Noel vs. W. Cauley-Stein (G. Hill gains possession)
11:37.0,Z. Randolph makes 2-pt shot from 17 ft (assist by B. Hield),2,2-0,,
11:24.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by J. Barea)
11:02.0,Turnover by B. Hield (bad pass; steal by W. Matthews),,2-2,,
10:58.0,,,2-2,,Turnover by W. Matthews (bad pass)
10:42.0,J. Jackson misses 2-pt shot from 15 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by D. Nowitzki
10:31.0,,,2-5,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea)
10:16.0,J. Jackson makes 2-pt shot from 13 ft (assist by B. Hield),2,4-5,,
10:00.0,,,4-5,,W. Matthews misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by W. Cauley-Stein,,4-5,,
9:38.0,G. Hill misses 2-pt shot from 3 ft,,4-5,,
9:35.0,,,4-5,,Defensive rebound by D. Nowitzki
9:32.0,,,4-5,,J. Barea misses 3-pt shot from 26 ft
9:32.0,Defensive rebound by W. Cauley-Stein,,4-5,,
9:20.0,Z. Randolph misses 2-pt shot from 1 ft,,4-5,,
9:20.0,,,4-5,,Defensive rebound by D. Nowitzki
9:07.0,Violation by G. Hill (kicked ball),,4-5,,
8:56.0,,,4-7,2,H. Barnes makes 2-pt shot from 16 ft (assist by J. Barea)
8:33.0,Shooting foul by D. Nowitzki (drawn by W. Cauley-Stein),,4-7,,
8:33.0,W. Cauley-Stein makes free throw 1 of 2,1,5-7,,
8:33.0,W. Cauley-Stein makes free throw 2 of 2,1,6-7,,
8:18.0,,,6-7,,Turnover by J. Barea (bad pass; steal by G. Hill)
8:14.0,G. Hill makes 2-pt shot from 2 ft,2,8-7,,
8:04.0,,,8-9,2,N. Noel makes 2-pt shot from 1 ft (assist by H. Barnes)
7:44.0,Turnover by G. Hill (bad pass),,8-9,,
7:30.0,,,8-11,2,N. Noel makes 2-pt shot from 1 ft (assist by J. Barea)
7:15.0,Z. Randolph misses 3-pt shot from 25 ft,,8-11,,
7:12.0,Offensive rebound by W. Cauley-Stein,,8-11,,
7:11.0,B. Hield misses 3-pt shot from 24 ft,,8-11,,
7:10.0,,,8-11,,Defensive rebound by Team
7:10.0,,,8-11,,Y. Ferrell enters the game for D. Nowitzki
7:10.0,,,8-11,,D. Powell enters the game for J. Barea
6:53.0,,,8-14,3,D. Powell makes 3-pt shot from 24 ft (assist by W. Matthews)
6:35.0,,,8-14,,Personal foul by W. Matthews (drawn by B. Hield)
6:35.0,,,8-14,,Dallas full timeout
6:28.0,Z. Randolph misses 2-pt shot from 4 ft (block by N. Noel),,8-14,,
6:24.0,,,8-14,,Defensive rebound by N. Noel
6:22.0,,,8-14,,Y. Ferrell misses 3-pt shot from 25 ft
6:22.0,,,8-14,,Offensive rebound by D. Powell
6:07.0,,,8-14,,D. Powell misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by B. Hield,,8-14,,
5:51.0,B. Hield makes 2-pt shot from 13 ft,2,10-14,,
5:28.0,,,10-16,2,H. Barnes makes 2-pt shot from 1 ft (assist by D. Powell)
5:01.0,Turnover by G. Hill (bad pass; steal by N. Noel),,10-16,,
4:52.0,,,10-16,,D. Powell misses 3-pt shot from 27 ft
4:48.0,Defensive rebound by J. Jackson,,10-16,,
4:36.0,Turnover by G. Hill (traveling),,10-16,,
4:36.0,G. Temple enters the game for J. Jackson,,10-16,,
4:26.0,,,10-16,,Turnover by Y. Ferrell (bad pass; steal by Z. Randolph)
4:19.0,Turnover by G. Hill (step out of bounds),,10-16,,
4:19.0,,,10-16,,S. Mejri enters the game for N. Noel
4:03.0,,,10-18,2,Y. Ferrell makes 2-pt shot from 2 ft
3:56.0,Sacramento full timeout,,10-18,,
3:56.0,D. Fox enters the game for W. Cauley-Stein,,10-18,,
3:56.0,K. Koufos enters the game for G. Hill,,10-18,,
3:50.0,G. Temple misses 2-pt shot from 17 ft,,10-18,,
3:46.0,,,10-18,,Defensive rebound by S. Mejri
3:26.0,,,10-18,,H. Barnes misses 2-pt shot from 3 ft (block by K. Koufos)
3:23.0,Defensive rebound by G. Temple,,10-18,,
3:21.0,D. Fox misses 2-pt shot from 20 ft,,10-18,,
3:16.0,Offensive rebound by Z. Randolph,,10-18,,
3:16.0,Z. Randolph misses 2-pt shot at rim,,10-18,,
3:15.0,,,10-18,,Defensive rebound by D. Powell
3:03.0,,,10-18,,Y. Ferrell misses 2-pt shot from 6 ft
3:01.0,Defensive rebound by D. Fox,,10-18,,
2:43.0,G. Temple makes 3-pt shot from 24 ft (assist by D. Fox),3,13-18,,
2:24.0,,,13-18,,Shooting foul by K. Koufos (drawn by Y. Ferrell)
2:24.0,,,13-19,1,Y. Ferrell makes free throw 1 of 2
2:24.0,,,13-20,1,Y. Ferrell makes free throw 2 of 2
2:24.0,,,13-20,,D. Finney-Smith enters the game for D. Powell
2:24.0,,,13-20,,J. Barea enters the game for W. Matthews
2:24.0,,,13-20,,D. Nowitzki enters the game for H. Barnes
2:24.0,S. Labissiere enters the game for Z. Randolph,,13-20,,
2:11.0,S. Labissiere makes 2-pt shot from 12 ft (assist by D. Fox),2,15-20,,
1:49.0,,,15-20,,D. Nowitzki misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by B. Hield,,15-20,,
1:38.0,D. Fox misses 2-pt shot from 6 ft (block by S. Mejri),,15-20,,
1:35.0,,,15-20,,Defensive rebound by S. Mejri
1:28.0,,,15-20,,Shooting foul by D. Fox (drawn by D. Finney-Smith)
1:28.0,,,15-21,1,D. Finney-Smith makes free throw 1 of 2
1:28.0,,,15-21,,D. Finney-Smith misses free throw 2 of 2
1:25.0,Defensive rebound by K. Koufos,,15-21,,
1:19.0,D. Fox misses 2-pt shot from 23 ft,,15-21,,
1:19.0,Offensive rebound by S. Labissiere,,15-21,,
1:09.0,S. Labissiere makes 2-pt shot from 3 ft (assist by D. Fox),2,17-21,,
0:44.0,,,17-21,,J. Barea misses 2-pt shot from 11 ft
0:42.0,,,17-21,,Offensive rebound by D. Finney-Smith
0:34.0,,,17-23,2,J. Barea makes 2-pt shot from 4 ft
0:29.0,S. Labissiere makes 2-pt shot from 13 ft (assist by D. Fox),2,19-23,,
0:06.0,,,19-23,,J. Barea misses 2-pt shot from 2 ft (block by S. Labissiere)
0:06.0,,,19-23,,Offensive rebound by Team
0:06.0,,,19-23,,W. Matthews enters the game for D. Finney-Smith
0:06.0,,,19-23,,D. Powell enters the game for D. Nowitzki
0:03.0,,,19-23,,D. Powell misses 2-pt shot from 22 ft
0:01.0,B. Hield misses 3-pt shot from 50 ft,,19-23,,
0:01.0,Offensive rebound by Team,,19-23,,
0:00.0,Offensive rebound by B. Hield,,19-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,19-25,2,S. Mejri makes 2-pt shot from 1 ft (assist by D. Finney-Smith)
11:35.0,,,19-25,,Personal block foul by D. Finney-Smith (drawn by V. Carter)
11:28.0,V. Carter misses 3-pt shot from 26 ft,,19-25,,
11:25.0,Offensive rebound by K. Koufos,,19-25,,
11:25.0,,,19-25,,Personal foul by J. Barea (drawn by K. Koufos)
11:12.0,S. Labissiere misses 2-pt shot from 12 ft,,19-25,,
