time,San Antonio,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. P. Gasol (J. Grant gains possession),,,,Jump ball: R. Lopez vs. P. Gasol (J. Grant gains possession)
11:45.0,,,0-2,2,R. Lopez makes 2-pt shot from 3 ft (assist by J. Grant)
11:23.0,L. Aldridge misses 2-pt shot from 12 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by L. Markkanen
11:06.0,,,0-2,,J. Holiday misses 3-pt shot from 26 ft
11:02.0,Defensive rebound by L. Aldridge,,0-2,,
10:48.0,P. Gasol makes 2-pt shot from 6 ft,2,2-2,,
10:28.0,,,2-2,,P. Zipser misses 2-pt shot from 20 ft
10:25.0,Defensive rebound by K. Anderson,,2-2,,
10:13.0,P. Gasol misses 2-pt shot from 2 ft,,2-2,,
10:11.0,,,2-2,,Defensive rebound by L. Markkanen
10:03.0,,,2-5,3,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Grant)
9:47.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Murray),2,4-5,,
9:32.0,,,4-5,,Turnover by R. Lopez (lost ball; steal by L. Aldridge)
9:26.0,K. Anderson makes 2-pt shot from 1 ft,2,6-5,,
9:13.0,,,6-5,,J. Grant misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by L. Aldridge,,6-5,,
9:04.0,L. Aldridge misses 2-pt shot from 19 ft,,6-5,,
9:00.0,,,6-5,,Defensive rebound by J. Grant
8:55.0,,,6-5,,L. Markkanen misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by D. Murray,,6-5,,
8:34.0,P. Gasol misses 3-pt shot from 25 ft,,6-5,,
8:30.0,,,6-5,,Defensive rebound by J. Grant
8:25.0,,,6-5,,R. Lopez misses 2-pt shot from 3 ft
8:22.0,Defensive rebound by P. Gasol,,6-5,,
8:14.0,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Gasol),2,8-5,,
8:05.0,,,8-5,,J. Holiday misses 2-pt shot from 14 ft
8:01.0,Defensive rebound by D. Murray,,8-5,,
7:50.0,Shooting foul by L. Markkanen (drawn by P. Gasol),,8-5,,
7:50.0,P. Gasol makes free throw 1 of 2,1,9-5,,
7:50.0,P. Gasol makes free throw 2 of 2,1,10-5,,
7:34.0,,,10-7,2,R. Lopez makes 2-pt shot from 21 ft
7:19.0,Turnover by K. Anderson (bad pass; steal by P. Zipser),,10-7,,
7:13.0,,,10-7,,J. Holiday misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by K. Anderson,,10-7,,
6:59.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Green),2,12-7,,
6:58.0,,,12-7,,Chicago full timeout
6:43.0,,,12-10,3,J. Holiday makes 3-pt shot from 25 ft (assist by J. Grant)
6:30.0,D. Murray misses 3-pt shot from 24 ft,,12-10,,
6:26.0,,,12-10,,Defensive rebound by J. Holiday
6:17.0,,,12-10,,Turnover by R. Lopez (lost ball; steal by D. Green)
6:03.0,Shooting foul by R. Lopez (drawn by L. Aldridge),,12-10,,
6:03.0,L. Aldridge makes free throw 1 of 2,1,13-10,,
6:03.0,,,13-10,,D. Valentine enters the game for P. Zipser
6:03.0,P. Mills enters the game for D. Murray,,13-10,,
6:03.0,M. Ginobili enters the game for D. Green,,13-10,,
6:03.0,L. Aldridge makes free throw 2 of 2,1,14-10,,
5:52.0,,,14-10,,J. Grant misses 2-pt shot from 6 ft
5:45.0,,,14-10,,Offensive rebound by R. Lopez
5:45.0,,,14-12,2,R. Lopez makes 2-pt shot at rim
5:34.0,L. Aldridge misses 2-pt shot from 15 ft,,14-12,,
5:30.0,,,14-12,,Defensive rebound by J. Holiday
5:25.0,,,14-14,2,J. Grant makes 2-pt shot from 1 ft (assist by J. Holiday)
5:06.0,M. Ginobili misses 2-pt shot from 19 ft,,14-14,,
5:06.0,Offensive rebound by L. Aldridge,,14-14,,
4:55.0,P. Gasol misses 2-pt shot from 10 ft,,14-14,,
4:55.0,Offensive rebound by L. Aldridge,,14-14,,
4:50.0,L. Aldridge misses 2-pt shot from 2 ft (block by R. Lopez),,14-14,,
4:48.0,,,14-14,,Defensive rebound by D. Valentine
4:45.0,,,14-14,,J. Holiday misses 2-pt shot from 5 ft
4:45.0,Defensive rebound by Team,,14-14,,
4:45.0,,,14-14,,Personal foul by L. Markkanen (drawn by L. Aldridge)
4:45.0,,,14-14,,P. Zipser enters the game for L. Markkanen
4:45.0,R. Gay enters the game for K. Anderson,,14-14,,
4:45.0,J. Lauvergne enters the game for P. Gasol,,14-14,,
4:24.0,R. Gay misses 2-pt shot from 3 ft,,14-14,,
4:24.0,,,14-14,,Defensive rebound by R. Lopez
4:13.0,,,14-14,,P. Zipser misses 2-pt shot from 11 ft
4:13.0,Defensive rebound by P. Mills,,14-14,,
3:53.0,Shooting foul by P. Zipser (drawn by J. Lauvergne),,14-14,,
3:53.0,J. Lauvergne makes free throw 1 of 2,1,15-14,,
3:53.0,J. Lauvergne misses free throw 2 of 2,,15-14,,
3:50.0,,,15-14,,Defensive rebound by P. Zipser
3:39.0,,,15-14,,Turnover by J. Holiday (bad pass)
3:18.0,R. Gay misses 2-pt shot from 6 ft,,15-14,,
3:15.0,,,15-14,,Defensive rebound by R. Lopez
3:09.0,,,15-14,,D. Valentine misses 3-pt shot from 26 ft
3:04.0,Defensive rebound by P. Mills,,15-14,,
2:44.0,P. Mills makes 2-pt shot from 4 ft (assist by L. Aldridge),2,17-14,,
2:29.0,,,17-17,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Lopez)
2:28.0,San Antonio full timeout,,17-17,,
2:28.0,,,17-17,,K. Felder enters the game for J. Grant
2:28.0,B. Forbes enters the game for L. Aldridge,,17-17,,
2:11.0,J. Lauvergne misses 2-pt shot from 1 ft (block by R. Lopez),,17-17,,
2:08.0,,,17-17,,Defensive rebound by P. Zipser
1:59.0,,,17-17,,R. Lopez misses 2-pt shot from 20 ft
1:55.0,Defensive rebound by J. Lauvergne,,17-17,,
1:45.0,M. Ginobili misses 3-pt shot from 24 ft,,17-17,,
1:45.0,,,17-17,,Defensive rebound by D. Valentine
1:29.0,,,17-19,2,J. Holiday makes 2-pt shot from 10 ft (assist by P. Zipser)
1:16.0,B. Forbes makes 2-pt shot from 15 ft (assist by P. Mills),2,19-19,,
0:57.0,,,19-19,,J. Holiday misses 2-pt shot from 10 ft
0:54.0,Defensive rebound by J. Lauvergne,,19-19,,
0:46.0,J. Lauvergne misses 2-pt shot from 1 ft (block by R. Lopez),,19-19,,
0:46.0,,,19-19,,Defensive rebound by P. Zipser
0:32.0,,,19-19,,J. Holiday misses 3-pt shot from 26 ft
0:28.0,,,19-19,,Offensive rebound by R. Lopez
0:28.0,,,19-21,2,R. Lopez makes 2-pt shot from 1 ft
0:11.0,Turnover by P. Mills (bad pass),,19-21,,
0:08.0,Personal take foul by P. Mills (drawn by K. Felder),,19-21,,
0:00.0,,,19-21,,K. Felder misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by R. Gay,,19-21,,
0:00.0,R. Gay misses 3-pt shot from 51 ft,,19-21,,
0:00.0,Offensive rebound by Team,,19-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by D. Nwaba (drawn by M. Ginobili),,19-21,,
11:47.0,M. Ginobili misses free throw 1 of 2,,19-21,,
11:47.0,Offensive rebound by Team,,19-21,,
11:47.0,M. Ginobili makes free throw 2 of 2,1,20-21,,
11:34.0,,,20-23,2,K. Felder makes 2-pt shot from 20 ft
11:18.0,Offensive foul by P. Mills (drawn by K. Felder),,20-23,,
11:18.0,Turnover by P. Mills (offensive foul),,20-23,,
11:18.0,D. Green enters the game for P. Mills,,20-23,,
11:18.0,D. Murray enters the game for M. Ginobili,,20-23,,
11:07.0,,,20-23,,Turnover by K. Felder (bad pass; steal by D. Murray)
11:01.0,D. Green makes 2-pt shot at rim (assist by D. Murray),2,22-23,,
10:44.0,,,22-23,,Turnover by D. Valentine (bad pass; steal by R. Gay)
10:38.0,B. Forbes misses 2-pt shot from 1 ft,,22-23,,
10:30.0,Offensive rebound by D. Murray,,22-23,,
10:30.0,R. Gay makes 2-pt shot at rim,2,24-23,,
10:21.0,,,24-23,,Turnover by P. Zipser (traveling)
10:21.0,K. Anderson enters the game for R. Gay,,24-23,,
