time,Oklahoma City,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. S. Adams (D. Favors gains possession),,,,Jump ball: R. Gobert vs. S. Adams (D. Favors gains possession)
11:39.0,,,0-0,,R. Rubio misses 3-pt shot from 25 ft
11:38.0,,,0-0,,Offensive rebound by D. Favors
11:36.0,,,0-0,,R. Rubio misses 3-pt shot from 23 ft
11:36.0,Defensive rebound by A. Roberson,,0-0,,
11:14.0,R. Westbrook makes 2-pt shot from 20 ft,2,2-0,,
10:59.0,,,2-0,,R. Gobert misses 2-pt shot from 2 ft
10:57.0,Defensive rebound by R. Westbrook,,2-0,,
10:54.0,C. Anthony misses 3-pt shot from 24 ft,,2-0,,
10:50.0,,,2-0,,Defensive rebound by J. Ingles
10:44.0,Personal foul by P. George (drawn by R. Gobert),,2-0,,
10:33.0,,,2-0,,Turnover by R. Rubio (bad pass; steal by P. George)
10:25.0,P. George makes 2-pt shot from 20 ft,2,4-0,,
10:06.0,,,4-0,,Turnover by D. Favors (lost ball; steal by P. George)
9:57.0,C. Anthony makes 2-pt shot from 22 ft,2,6-0,,
9:34.0,,,6-2,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Mitchell)
9:15.0,P. George misses 3-pt shot from 24 ft,,6-2,,
9:12.0,,,6-2,,Defensive rebound by R. Gobert
9:03.0,,,6-5,3,J. Ingles makes 3-pt shot from 23 ft
8:35.0,R. Westbrook misses 2-pt shot from 19 ft,,6-5,,
8:32.0,,,6-5,,Defensive rebound by R. Gobert
8:23.0,,,6-5,,D. Mitchell misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by R. Westbrook,,6-5,,
8:20.0,,,6-5,,Personal foul by J. Ingles (drawn by R. Westbrook)
8:10.0,C. Anthony misses 2-pt shot from 20 ft,,6-5,,
8:09.0,Offensive rebound by Team,,6-5,,
8:09.0,,,6-5,,Loose ball foul by R. Gobert (drawn by S. Adams)
8:07.0,,,6-5,,Personal foul by J. Ingles (drawn by C. Anthony)
8:01.0,P. George misses 3-pt shot from 25 ft,,6-5,,
7:58.0,,,6-5,,Defensive rebound by R. Gobert
7:53.0,,,6-5,,D. Mitchell misses 3-pt shot from 22 ft
7:50.0,Defensive rebound by A. Roberson,,6-5,,
7:44.0,R. Westbrook misses 2-pt shot from 9 ft,,6-5,,
7:41.0,Offensive rebound by S. Adams,,6-5,,
7:36.0,S. Adams makes 2-pt shot from 7 ft,2,8-5,,
7:11.0,,,8-8,3,J. Ingles makes 3-pt shot from 22 ft (assist by D. Mitchell)
6:56.0,Turnover by P. George (bad pass; steal by J. Ingles),,8-8,,
6:53.0,,,8-8,,Turnover by J. Ingles (bad pass)
6:53.0,,,8-8,,Utah full timeout
6:42.0,S. Adams makes 2-pt shot from 12 ft (assist by R. Westbrook),2,10-8,,
6:28.0,Def 3 sec tech foul by C. Anthony,,10-8,,
6:28.0,,,10-9,1,R. Rubio makes technical free throw
6:28.0,,,10-9,,J. Johnson enters the game for D. Favors
6:12.0,,,10-11,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell)
6:02.0,,,10-11,,Personal foul by D. Mitchell (drawn by P. George)
6:02.0,,,10-11,,T. Sefolosha enters the game for R. Rubio
6:02.0,J. Grant enters the game for C. Anthony,,10-11,,
6:02.0,A. Abrines enters the game for A. Roberson,,10-11,,
5:52.0,P. George makes 2-pt shot from 9 ft,2,12-11,,
5:47.0,,,12-11,,R. Rubio enters the game for J. Ingles
5:35.0,,,12-11,,T. Sefolosha misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by R. Westbrook,,12-11,,
5:19.0,Turnover by P. George (bad pass),,12-11,,
5:19.0,Loose ball foul by S. Adams (drawn by D. Mitchell),,12-11,,
5:04.0,,,12-11,,Turnover by R. Gobert (bad pass; steal by R. Westbrook)
4:57.0,J. Grant misses 3-pt shot from 23 ft,,12-11,,
4:53.0,,,12-11,,Defensive rebound by T. Sefolosha
4:34.0,,,12-11,,J. Johnson misses 2-pt shot from 9 ft
4:28.0,,,12-11,,Offensive rebound by R. Gobert
4:28.0,,,12-13,2,R. Gobert makes 2-pt shot at rim
4:20.0,Turnover by R. Westbrook (bad pass; steal by T. Sefolosha),,12-13,,
4:13.0,,,12-13,,J. Johnson misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by R. Westbrook,,12-13,,
4:06.0,S. Adams misses 2-pt shot from 7 ft,,12-13,,
4:02.0,,,12-13,,Defensive rebound by R. Gobert
3:54.0,,,12-13,,R. Rubio misses 2-pt shot from 19 ft
3:50.0,Defensive rebound by R. Westbrook,,12-13,,
3:47.0,R. Westbrook misses 2-pt shot from 2 ft,,12-13,,
3:45.0,,,12-13,,Defensive rebound by D. Mitchell
3:40.0,,,12-13,,T. Sefolosha misses 3-pt shot from 23 ft
3:37.0,Defensive rebound by S. Adams,,12-13,,
3:33.0,Oklahoma City full timeout,,12-13,,
3:33.0,,,12-13,,A. Burks enters the game for R. Gobert
3:33.0,,,12-13,,E. Udoh enters the game for D. Mitchell
3:16.0,R. Westbrook misses 2-pt shot from 3 ft,,12-13,,
3:14.0,,,12-13,,Defensive rebound by R. Rubio
3:09.0,,,12-16,3,A. Burks makes 3-pt shot from 25 ft (assist by R. Rubio)
2:47.0,S. Adams misses 2-pt shot from 12 ft,,12-16,,
2:44.0,,,12-16,,Defensive rebound by R. Rubio
2:28.0,,,12-18,2,E. Udoh makes 2-pt shot from 3 ft (assist by R. Rubio)
2:28.0,,,12-18,,Shooting foul by R. Westbrook (drawn by E. Udoh)
2:28.0,,,12-18,,R. Neto enters the game for R. Rubio
2:28.0,R. Felton enters the game for R. Westbrook,,12-18,,
2:28.0,C. Anthony enters the game for S. Adams,,12-18,,
2:28.0,,,12-18,,E. Udoh misses free throw 1 of 1
2:26.0,Defensive rebound by C. Anthony,,12-18,,
2:14.0,P. George misses 3-pt shot from 24 ft,,12-18,,
2:13.0,,,12-18,,Defensive rebound by A. Burks
2:13.0,Loose ball foul by A. Abrines (drawn by A. Burks),,12-18,,
2:13.0,A. Roberson enters the game for P. George,,12-18,,
1:58.0,,,12-20,2,J. Johnson makes 2-pt shot from 8 ft (assist by E. Udoh)
1:33.0,C. Anthony misses 2-pt shot from 2 ft (block by J. Johnson),,12-20,,
1:31.0,,,12-20,,Defensive rebound by R. Neto
1:25.0,,,12-20,,A. Burks misses 2-pt shot from 3 ft
1:23.0,,,12-20,,Offensive rebound by E. Udoh
1:17.0,,,12-20,,E. Udoh misses 2-pt shot from 3 ft (block by J. Grant)
1:17.0,Defensive rebound by J. Grant,,12-20,,
1:11.0,Turnover by R. Felton (bad pass; steal by R. Neto),,12-20,,
0:54.0,,,12-20,,Turnover by R. Neto (lost ball; steal by C. Anthony)
0:50.0,C. Anthony misses 2-pt shot from 4 ft,,12-20,,
0:49.0,Offensive rebound by A. Abrines,,12-20,,
0:49.0,,,12-20,,Loose ball foul by E. Udoh (drawn by A. Abrines)
0:49.0,A. Abrines makes free throw 1 of 2,1,13-20,,
0:49.0,A. Abrines makes free throw 2 of 2,1,14-20,,
0:31.0,,,14-20,,Shooting foul by J. Grant (drawn by A. Burks)
0:31.0,,,14-20,,A. Burks misses free throw 1 of 2
0:31.0,,,14-20,,Offensive rebound by Team
0:31.0,,,14-21,1,A. Burks makes free throw 2 of 2
0:12.0,A. Abrines misses 3-pt shot from 24 ft,,14-21,,
0:10.0,,,14-21,,Defensive rebound by J. Johnson
0:00.0,,,14-21,,Turnover by J. Johnson (lost ball; steal by R. Felton)
0:00.0,A. Abrines misses 3-pt shot from 35 ft,,14-21,,
0:00.0,Offensive rebound by Team,,14-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,C. Anthony makes 2-pt shot from 18 ft,2,16-21,,
11:21.0,,,16-23,2,A. Burks makes 2-pt shot from 14 ft (assist by R. Neto)
11:05.0,,,16-23,,Personal foul by D. Favors (drawn by C. Anthony)
10:54.0,C. Anthony misses 2-pt shot from 4 ft (block by E. Udoh),,16-23,,
10:51.0,,,16-23,,Defensive rebound by D. Favors
10:48.0,Personal foul by P. Patterson (drawn by A. Burks),,16-23,,
10:40.0,,,16-25,2,D. Favors makes 2-pt shot from 17 ft (assist by A. Burks)
10:21.0,R. Felton misses 2-pt shot from 6 ft,,16-25,,
10:21.0,Offensive rebound by Team,,16-25,,
10:21.0,,,16-25,,Personal foul by E. Udoh (drawn by A. Abrines)
10:21.0,P. George enters the game for A. Abrines,,16-25,,
10:03.0,P. George misses 2-pt shot from 7 ft,,16-25,,
9:59.0,,,16-25,,Defensive rebound by E. Udoh
9:54.0,Personal foul by T. Ferguson (drawn by D. Favors),,16-25,,
9:49.0,,,16-27,2,R. Neto makes 2-pt shot from 3 ft
9:24.0,C. Anthony misses 2-pt shot from 17 ft,,16-27,,
9:21.0,,,16-27,,Defensive rebound by A. Burks
9:16.0,,,16-27,,Turnover by R. Neto (bad pass; steal by P. Patterson)
9:12.0,C. Anthony misses 2-pt shot from 22 ft,,16-27,,
9:08.0,Offensive rebound by T. Ferguson,,16-27,,
8:59.0,Turnover by P. Patterson (bad pass; steal by T. Sefolosha),,16-27,,
8:55.0,,,16-27,,T. Sefolosha misses 2-pt shot from 2 ft
8:54.0,,,16-27,,Offensive rebound by D. Favors
8:54.0,,,16-29,2,D. Favors makes 2-pt shot at rim
8:54.0,Oklahoma City full timeout,,16-29,,
8:54.0,,,16-29,,R. Rubio enters the game for R. Neto
8:54.0,R. Westbrook enters the game for T. Ferguson,,16-29,,
8:44.0,,,16-29,,Personal foul by R. Rubio (drawn by P. Patterson)
8:35.0,P. George misses 2-pt shot from 16 ft,,16-29,,
8:30.0,,,16-29,,Defensive rebound by T. Sefolosha
8:14.0,,,16-29,,Turnover by T. Sefolosha (lost ball; steal by P. George)
8:10.0,Turnover by P. George (lost ball; steal by A. Burks),,16-29,,
7:53.0,,,16-29,,Shooting foul by P. George (drawn by D. Favors)
7:53.0,,,16-30,1,D. Favors makes free throw 1 of 2
7:53.0,,,16-30,,R. Gobert enters the game for E. Udoh
7:53.0,S. Adams enters the game for C. Anthony,,16-30,,
7:53.0,,,16-31,1,D. Favors makes free throw 2 of 2
7:42.0,Turnover by R. Westbrook (out of bounds lost ball),,16-31,,
7:22.0,,,16-31,,R. Gobert misses 2-pt shot from 2 ft (block by P. Patterson)
7:19.0,Defensive rebound by P. Patterson,,16-31,,
7:17.0,Turnover by R. Westbrook (bad pass; steal by D. Favors),,16-31,,
7:10.0,,,16-31,,Utah full timeout
7:10.0,,,16-31,,D. Mitchell enters the game for A. Burks
7:10.0,,,16-31,,J. Ingles enters the game for T. Sefolosha
7:01.0,,,16-31,,D. Favors misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by R. Westbrook,,16-31,,
6:47.0,R. Felton makes 3-pt shot from 23 ft (assist by R. Westbrook),3,19-31,,
6:24.0,,,19-31,,D. Mitchell misses 3-pt shot from 24 ft
