time,Chicago,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. R. Lopez (L. Markkanen gains possession),,,,Jump ball: T. Thompson vs. R. Lopez (L. Markkanen gains possession)
11:39.0,P. Zipser makes 2-pt shot from 4 ft,2,2-0,,
11:24.0,,,2-0,,Turnover by L. James (bad pass; steal by J. Grant)
11:18.0,P. Zipser misses 2-pt shot from 16 ft,,2-0,,
11:18.0,Offensive rebound by Team,,2-0,,
11:05.0,P. Zipser makes 2-pt shot from 1 ft (assist by J. Grant),2,4-0,,
10:48.0,,,4-0,,K. Love misses 2-pt shot from 14 ft
10:44.0,Defensive rebound by J. Grant,,4-0,,
10:38.0,L. Markkanen makes 3-pt shot from 27 ft (assist by J. Grant),3,7-0,,
10:11.0,,,7-2,2,L. James makes 2-pt shot from 20 ft
9:57.0,J. Holiday misses 2-pt shot from 2 ft (block by T. Thompson),,7-2,,
9:50.0,,,7-2,,Defensive rebound by T. Thompson
9:50.0,Personal foul by P. Zipser (drawn by T. Thompson),,7-2,,
9:43.0,,,7-2,,J. Smith misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by L. Markkanen,,7-2,,
9:36.0,J. Grant makes 2-pt shot at rim,2,9-2,,
9:21.0,,,9-2,,J. Crowder misses 2-pt shot from 17 ft
9:17.0,Defensive rebound by L. Markkanen,,9-2,,
9:13.0,J. Holiday misses 3-pt shot from 25 ft,,9-2,,
9:11.0,,,9-2,,Defensive rebound by K. Love
9:11.0,Personal foul by J. Grant (drawn by J. Crowder),,9-2,,
9:03.0,,,9-2,,K. Love misses 2-pt shot from 15 ft
8:59.0,Defensive rebound by R. Lopez,,9-2,,
8:53.0,L. Markkanen makes 3-pt shot from 29 ft (assist by J. Grant),3,12-2,,
8:51.0,,,12-2,,Cleveland full timeout
8:34.0,,,12-4,2,J. Crowder makes 2-pt shot from 1 ft (assist by L. James)
8:13.0,R. Lopez makes 2-pt shot from 19 ft,2,14-4,,
8:00.0,,,14-7,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
7:32.0,R. Lopez makes 3-pt shot from 26 ft (assist by J. Grant),3,17-7,,
7:14.0,,,17-9,2,K. Love makes 2-pt shot from 14 ft (assist by L. James)
7:06.0,L. Markkanen makes 3-pt shot from 28 ft (assist by J. Grant),3,20-9,,
6:47.0,,,20-9,,J. Crowder misses 2-pt shot from 1 ft (block by L. Markkanen)
6:41.0,Defensive rebound by L. Markkanen,,20-9,,
6:35.0,J. Holiday makes 2-pt shot from 14 ft (assist by R. Lopez),2,22-9,,
6:18.0,,,22-12,3,L. James makes 3-pt shot from 27 ft (assist by K. Love)
5:52.0,J. Grant misses 3-pt shot from 25 ft,,22-12,,
5:48.0,Offensive rebound by R. Lopez,,22-12,,
5:48.0,R. Lopez misses 2-pt shot at rim,,22-12,,
5:48.0,,,22-12,,Defensive rebound by K. Love
5:48.0,,,22-12,,Offensive foul by K. Love (drawn by R. Lopez)
5:48.0,,,22-12,,Turnover by K. Love (offensive foul)
5:48.0,,,22-12,,J. Green enters the game for K. Love
5:40.0,L. Markkanen makes 2-pt shot at rim (assist by P. Zipser),2,24-12,,
5:26.0,,,24-12,,L. James misses 2-pt shot from 18 ft
5:22.0,Defensive rebound by P. Zipser,,24-12,,
5:16.0,J. Grant makes 2-pt shot at rim,2,26-12,,
5:00.0,,,26-15,3,L. James makes 3-pt shot from 22 ft (assist by J. Green)
4:37.0,L. Markkanen misses 3-pt shot from 28 ft,,26-15,,
4:33.0,,,26-15,,Defensive rebound by L. James
4:28.0,,,26-17,2,L. James makes 2-pt shot from 1 ft
4:08.0,J. Grant misses 3-pt shot from 26 ft,,26-17,,
4:04.0,Offensive rebound by P. Zipser,,26-17,,
3:56.0,Shooting foul by J. Smith (drawn by J. Holiday),,26-17,,
3:56.0,J. Holiday makes free throw 1 of 2,1,27-17,,
3:56.0,,,27-17,,C. Frye enters the game for T. Thompson
3:56.0,C. Felicio enters the game for P. Zipser,,27-17,,
3:56.0,D. Nwaba enters the game for R. Lopez,,27-17,,
3:56.0,J. Holiday makes free throw 2 of 2,1,28-17,,
3:43.0,,,28-17,,J. Smith misses 3-pt shot from 26 ft
3:39.0,Defensive rebound by L. Markkanen,,28-17,,
