time,Washington,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. M. Gortat (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. M. Gortat (D. Green gains possession)
11:43.0,,,0-2,2,K. Durant makes 2-pt shot from 17 ft (assist by S. Curry)
11:29.0,B. Beal makes 2-pt shot from 6 ft,2,2-2,,
11:13.0,,,2-4,2,K. Thompson makes 2-pt shot from 4 ft (assist by D. Green)
10:54.0,M. Gortat makes 2-pt shot from 15 ft,2,4-4,,
10:49.0,,,4-4,,Z. Pachulia misses 2-pt shot from 16 ft
10:43.0,Defensive rebound by O. Porter,,4-4,,
10:41.0,O. Porter misses 3-pt shot from 26 ft (block by D. Green),,4-4,,
10:32.0,Offensive rebound by O. Porter,,4-4,,
10:31.0,O. Porter makes 2-pt shot from 13 ft,2,6-4,,
10:23.0,,,6-4,,Turnover by D. Green (bad pass; steal by K. Oubre)
10:16.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,8-4,,
10:08.0,,,8-4,,Turnover by K. Durant (bad pass; steal by O. Porter)
10:02.0,B. Beal misses 3-pt shot from 23 ft,,8-4,,
9:58.0,,,8-4,,Defensive rebound by K. Durant
9:49.0,,,8-6,2,K. Thompson makes 2-pt shot from 12 ft (assist by K. Durant)
9:34.0,M. Gortat misses 2-pt shot from 2 ft,,8-6,,
9:30.0,,,8-6,,Defensive rebound by Z. Pachulia
9:30.0,,,8-8,2,D. Green makes 2-pt shot from 1 ft
9:30.0,,,8-8,,Shooting foul by O. Porter (drawn by D. Green)
9:30.0,,,8-9,1,D. Green makes free throw 1 of 1
9:18.0,B. Beal misses 2-pt shot from 11 ft,,8-9,,
9:14.0,,,8-9,,Defensive rebound by Z. Pachulia
9:10.0,,,8-9,,D. Green misses 3-pt shot from 27 ft
9:04.0,Defensive rebound by M. Gortat,,8-9,,
8:56.0,M. Gortat misses 2-pt shot from 3 ft (block by D. Green),,8-9,,
8:51.0,,,8-9,,Defensive rebound by Z. Pachulia
8:48.0,,,8-9,,Turnover by K. Durant (lost ball; steal by K. Oubre)
8:43.0,O. Porter makes 3-pt shot from 26 ft (assist by M. Gortat),3,11-9,,
8:27.0,,,11-11,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
8:19.0,K. Oubre makes 3-pt shot from 24 ft (assist by J. Wall),3,14-11,,
7:55.0,,,14-11,,S. Curry misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by K. Oubre,,14-11,,
7:41.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,16-11,,
7:31.0,,,16-11,,Turnover by D. Green (bad pass)
7:18.0,J. Wall misses 2-pt shot from 3 ft,,16-11,,
7:13.0,,,16-11,,Defensive rebound by S. Curry
7:13.0,,,16-11,,Z. Pachulia misses 2-pt shot from 17 ft
7:08.0,Defensive rebound by O. Porter,,16-11,,
6:56.0,B. Beal makes 2-pt shot from 4 ft (assist by J. Wall),2,18-11,,
6:46.0,,,18-13,2,S. Curry makes 2-pt shot from 12 ft (assist by D. Green)
6:46.0,,,18-13,,Shooting foul by K. Oubre (drawn by S. Curry)
6:46.0,,,18-13,,Golden State full timeout
6:46.0,,,18-14,1,S. Curry makes free throw 1 of 1
6:26.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,20-14,,
6:02.0,,,20-14,,Z. Pachulia misses 2-pt shot from 2 ft (block by M. Gortat)
6:00.0,Defensive rebound by Team,,20-14,,
5:51.0,Offensive charge foul by J. Wall (drawn by S. Curry),,20-14,,
5:51.0,Turnover by J. Wall (offensive foul),,20-14,,
5:51.0,,,20-14,,A. Iguodala enters the game for D. Green
5:33.0,,,20-14,,K. Durant misses 2-pt shot from 12 ft
5:31.0,,,20-14,,Offensive rebound by Z. Pachulia
5:28.0,,,20-14,,Z. Pachulia misses 2-pt shot from 1 ft (block by O. Porter)
5:21.0,Defensive rebound by O. Porter,,20-14,,
5:20.0,J. Wall misses 3-pt shot from 26 ft,,20-14,,
5:20.0,,,20-14,,Turnover by Z. Pachulia (bad pass; steal by J. Wall)
5:16.0,,,20-14,,Offensive rebound by Z. Pachulia
5:15.0,B. Beal misses 3-pt shot from 25 ft,,20-14,,
5:06.0,,,20-14,,Defensive rebound by Z. Pachulia
5:02.0,,,20-16,2,S. Curry makes 2-pt shot from 2 ft
4:43.0,K. Oubre misses 2-pt shot from 11 ft,,20-16,,
4:40.0,,,20-16,,Defensive rebound by Z. Pachulia
4:38.0,,,20-16,,S. Curry misses 3-pt shot from 25 ft
4:31.0,Defensive rebound by O. Porter,,20-16,,
4:28.0,O. Porter makes 3-pt shot from 25 ft,3,23-16,,
4:19.0,,,23-16,,Golden State full timeout
4:19.0,,,23-16,,J. McGee enters the game for K. Thompson
4:19.0,,,23-16,,P. McCaw enters the game for Z. Pachulia
4:19.0,J. Meeks enters the game for K. Oubre,,23-16,,
4:08.0,,,23-16,,P. McCaw misses 3-pt shot from 23 ft
4:04.0,Defensive rebound by M. Gortat,,23-16,,
4:02.0,J. Wall misses 2-pt shot from 2 ft (block by K. Durant),,23-16,,
4:02.0,Offensive rebound by Team,,23-16,,
3:53.0,J. Wall makes 2-pt shot at rim (assist by M. Gortat),2,25-16,,
3:40.0,,,25-16,,K. Durant misses 3-pt shot from 27 ft
3:36.0,,,25-16,,Offensive rebound by J. McGee
3:31.0,,,25-18,2,S. Curry makes 2-pt shot from 2 ft (assist by J. McGee)
3:14.0,O. Porter makes 3-pt shot from 22 ft (assist by M. Gortat),3,28-18,,
3:02.0,,,28-20,2,S. Curry makes 2-pt shot from 14 ft
2:50.0,J. Meeks misses 2-pt shot from 18 ft,,28-20,,
2:45.0,,,28-20,,Defensive rebound by K. Durant
2:41.0,,,28-22,2,K. Durant makes 2-pt shot from 1 ft
2:22.0,Shooting foul by S. Curry (drawn by J. Wall),,28-22,,
2:22.0,J. Wall misses free throw 1 of 2,,28-22,,
2:22.0,Offensive rebound by Team,,28-22,,
2:22.0,,,28-22,,D. Green enters the game for K. Durant
2:22.0,I. Mahinmi enters the game for M. Gortat,,28-22,,
2:22.0,M. Scott enters the game for B. Beal,,28-22,,
2:22.0,T. Frazier enters the game for O. Porter,,28-22,,
2:22.0,J. Wall makes free throw 2 of 2,1,29-22,,
2:19.0,,,29-22,,Turnover by D. Green (bad pass)
2:05.0,Turnover by I. Mahinmi (bad pass; steal by J. McGee),,29-22,,
2:00.0,,,29-22,,S. Curry misses 3-pt shot from 26 ft
1:59.0,,,29-22,,J. McGee misses 2-pt shot from 2 ft
1:59.0,,,29-22,,Offensive rebound by J. McGee
1:55.0,Defensive rebound by Team,,29-22,,
1:43.0,Turnover by T. Frazier (bad pass),,29-22,,
1:34.0,,,29-24,2,P. McCaw makes 2-pt shot from 1 ft (assist by D. Green)
1:20.0,Offensive charge foul by T. Frazier (drawn by P. McCaw),,29-24,,
1:20.0,Turnover by T. Frazier (offensive foul),,29-24,,
1:03.0,,,29-27,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
0:49.0,J. Wall misses 2-pt shot from 6 ft,,29-27,,
0:45.0,,,29-27,,Defensive rebound by J. McGee
0:40.0,,,29-27,,Offensive charge foul by J. McGee (drawn by T. Frazier)
