time,Denver,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. P. Millsap (D. Russell gains possession),,,,Jump ball: T. Mozgov vs. P. Millsap (D. Russell gains possession)
11:43.0,,,0-0,,D. Russell misses 2-pt shot from 11 ft
11:40.0,Defensive rebound by N. Jokic,,0-0,,
11:29.0,N. Jokic makes 2-pt shot from 14 ft,2,2-0,,
11:22.0,,,2-0,,C. LeVert misses 2-pt shot from 4 ft
11:21.0,,,2-0,,Offensive rebound by T. Mozgov
11:21.0,Personal foul by N. Jokic (drawn by T. Mozgov),,2-0,,
11:15.0,,,2-0,,D. Russell misses 3-pt shot from 26 ft
11:13.0,Defensive rebound by P. Millsap,,2-0,,
11:01.0,W. Chandler misses 2-pt shot from 10 ft,,2-0,,
10:58.0,,,2-0,,Defensive rebound by T. Mozgov
10:49.0,,,2-0,,T. Mozgov misses 2-pt shot from 14 ft
10:46.0,Defensive rebound by P. Millsap,,2-0,,
10:35.0,J. Murray makes 2-pt shot from 3 ft,2,4-0,,
10:14.0,,,4-0,,C. LeVert misses 2-pt shot from 12 ft
10:08.0,,,4-0,,Offensive rebound by R. Hollis-Jefferson
10:08.0,,,4-2,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft
9:51.0,N. Jokic misses 2-pt shot from 5 ft,,4-2,,
9:51.0,,,4-2,,Defensive rebound by C. LeVert
9:43.0,,,4-2,,C. LeVert misses 2-pt shot from 21 ft
9:40.0,Defensive rebound by P. Millsap,,4-2,,
9:28.0,P. Millsap misses 2-pt shot from 5 ft (block by C. LeVert),,4-2,,
9:26.0,,,4-2,,Defensive rebound by T. Mozgov
9:23.0,,,4-4,2,C. LeVert makes 2-pt shot from 3 ft (assist by D. Russell)
9:04.0,J. Murray misses 2-pt shot from 1 ft,,4-4,,
9:01.0,,,4-4,,Defensive rebound by D. Russell
8:56.0,,,4-6,2,T. Mozgov makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
8:54.0,N. Jokic makes 2-pt shot from 2 ft,2,6-6,,
8:54.0,,,6-6,,Turnover by D. Russell (bad pass; steal by W. Chandler)
8:52.0,J. Murray makes 3-pt shot from 22 ft (assist by W. Chandler),3,9-6,,
8:37.0,,,9-9,3,C. LeVert makes 3-pt shot from 27 ft (assist by A. Crabbe)
8:25.0,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,11-9,,
8:10.0,,,11-9,,Turnover by D. Russell (traveling)
7:59.0,J. Murray misses 2-pt shot from 15 ft,,11-9,,
7:56.0,,,11-9,,Defensive rebound by T. Mozgov
7:51.0,,,11-9,,A. Crabbe misses 3-pt shot from 30 ft
7:47.0,Defensive rebound by N. Jokic,,11-9,,
7:34.0,N. Jokic makes 2-pt shot from 10 ft (assist by J. Murray),2,13-9,,
7:18.0,,,13-11,2,R. Hollis-Jefferson makes 2-pt shot from 8 ft (assist by T. Mozgov)
6:59.0,P. Millsap makes 2-pt shot from 3 ft,2,15-11,,
6:58.0,,,15-11,,Brooklyn full timeout
6:38.0,,,15-11,,Turnover by T. Mozgov (lost ball; steal by G. Harris)
6:30.0,G. Harris makes 2-pt shot from 8 ft,2,17-11,,
6:21.0,,,17-11,,Turnover by D. Russell (bad pass; steal by W. Chandler)
6:16.0,J. Murray misses 2-pt shot from 5 ft,,17-11,,
6:13.0,,,17-11,,Defensive rebound by T. Mozgov
6:10.0,,,17-11,,D. Russell misses 2-pt shot from 5 ft (block by P. Millsap)
6:10.0,,,17-11,,Offensive rebound by R. Hollis-Jefferson
6:03.0,,,17-13,2,R. Hollis-Jefferson makes 2-pt shot at rim
5:48.0,G. Harris misses 2-pt shot from 7 ft,,17-13,,
5:48.0,,,17-13,,Defensive rebound by D. Russell
5:48.0,Personal foul by G. Harris (drawn by D. Russell),,17-13,,
5:48.0,W. Barton enters the game for N. Jokic,,17-13,,
5:48.0,M. Plumlee enters the game for W. Chandler,,17-13,,
5:48.0,,,17-13,,J. Allen enters the game for T. Mozgov
5:48.0,,,17-13,,S. Dinwiddie enters the game for A. Crabbe
5:33.0,,,17-15,2,R. Hollis-Jefferson makes 2-pt shot from 17 ft (assist by D. Russell)
5:15.0,P. Millsap misses 2-pt shot from 14 ft,,17-15,,
5:15.0,Offensive rebound by Team,,17-15,,
5:15.0,,,17-15,,Loose ball foul by J. Allen (drawn by M. Plumlee)
5:05.0,J. Murray makes 3-pt shot from 25 ft (assist by P. Millsap),3,20-15,,
4:52.0,Personal foul by W. Barton (drawn by C. LeVert),,20-15,,
4:52.0,,,20-15,,T. Booker enters the game for R. Hollis-Jefferson
4:44.0,,,20-17,2,D. Russell makes 2-pt shot from 12 ft
4:32.0,G. Harris makes 2-pt shot from 1 ft (assist by P. Millsap),2,22-17,,
4:18.0,,,22-20,3,S. Dinwiddie makes 3-pt shot from 22 ft (assist by D. Russell)
3:59.0,M. Plumlee makes 2-pt shot from 5 ft,2,24-20,,
3:37.0,,,24-20,,Shooting foul by J. Murray (drawn by D. Russell)
3:37.0,,,24-20,,D. Russell misses free throw 1 of 3
3:37.0,,,24-20,,Offensive rebound by Team
3:37.0,E. Mudiay enters the game for J. Murray,,24-20,,
3:37.0,,,24-21,1,D. Russell makes free throw 2 of 3
3:37.0,,,24-21,,D. Russell misses free throw 3 of 3
3:35.0,Defensive rebound by M. Plumlee,,24-21,,
3:20.0,W. Barton misses 2-pt shot from 14 ft,,24-21,,
3:20.0,Offensive rebound by W. Barton,,24-21,,
3:20.0,Shooting foul by J. Allen (drawn by W. Barton),,24-21,,
3:20.0,W. Barton makes free throw 1 of 2,1,25-21,,
3:20.0,,,25-21,,J. Harris enters the game for D. Russell
3:20.0,W. Barton misses free throw 2 of 2,,25-21,,
3:20.0,N. Jokic enters the game for P. Millsap,,25-21,,
3:20.0,W. Chandler enters the game for G. Harris,,25-21,,
3:14.0,,,25-21,,Defensive rebound by S. Dinwiddie
3:09.0,,,25-24,3,J. Harris makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
2:48.0,N. Jokic misses 2-pt shot from 8 ft (block by T. Booker),,25-24,,
2:43.0,,,25-24,,Defensive rebound by S. Dinwiddie
