time,San Antonio,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Sabonis vs. P. Gasol (D. Green gains possession),,,,Jump ball: D. Sabonis vs. P. Gasol (D. Green gains possession)
11:44.0,D. Murray misses 2-pt shot at rim (block by D. Sabonis),,0-0,,
11:40.0,,,0-0,,Defensive rebound by D. Sabonis
11:23.0,,,0-0,,B. Bogdanovic misses 2-pt shot from 2 ft (block by K. Anderson)
11:22.0,,,0-0,,Offensive rebound by Team
11:14.0,,,0-0,,V. Oladipo misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by D. Murray,,0-0,,
11:01.0,L. Aldridge makes 2-pt shot from 14 ft,2,2-0,,
10:50.0,,,2-3,3,T. Young makes 3-pt shot from 26 ft (assist by D. Collison)
10:29.0,D. Green makes 3-pt shot from 27 ft (assist by P. Gasol),3,5-3,,
10:12.0,,,5-5,2,V. Oladipo makes 2-pt shot from 3 ft
9:55.0,D. Murray misses 2-pt shot from 10 ft,,5-5,,
9:52.0,,,5-5,,Defensive rebound by D. Collison
9:45.0,,,5-7,2,D. Sabonis makes 2-pt shot from 2 ft
9:25.0,L. Aldridge misses 2-pt shot from 16 ft,,5-7,,
9:22.0,,,5-7,,Defensive rebound by Team
9:05.0,,,5-9,2,D. Sabonis makes 2-pt shot from 1 ft (assist by D. Collison)
8:53.0,,,5-9,,Personal foul by D. Sabonis (drawn by P. Gasol)
8:40.0,D. Green misses 2-pt shot from 17 ft,,5-9,,
8:36.0,,,5-9,,Defensive rebound by D. Sabonis
8:31.0,,,5-12,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by V. Oladipo)
8:30.0,San Antonio full timeout,,5-12,,
8:30.0,B. Paul enters the game for K. Anderson,,5-12,,
8:30.0,P. Mills enters the game for D. Murray,,5-12,,
8:30.0,M. Ginobili enters the game for D. Green,,5-12,,
8:30.0,R. Gay enters the game for P. Gasol,,5-12,,
8:11.0,Turnover by B. Paul (out of bounds lost ball),,5-12,,
7:58.0,,,5-14,2,V. Oladipo makes 2-pt shot from 13 ft (assist by D. Sabonis)
7:38.0,R. Gay misses 2-pt shot from 18 ft,,5-14,,
7:35.0,,,5-14,,Defensive rebound by D. Sabonis
7:26.0,,,5-14,,T. Young misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by L. Aldridge,,5-14,,
7:15.0,L. Aldridge makes 2-pt shot from 16 ft (assist by M. Ginobili),2,7-14,,
7:07.0,,,7-14,,Shooting foul by L. Aldridge (drawn by V. Oladipo)
7:07.0,,,7-15,1,V. Oladipo makes free throw 1 of 2
7:07.0,,,7-15,,V. Oladipo misses free throw 2 of 2
7:05.0,Defensive rebound by B. Paul,,7-15,,
6:55.0,M. Ginobili misses 2-pt shot from 1 ft,,7-15,,
6:54.0,Offensive rebound by L. Aldridge,,7-15,,
6:52.0,L. Aldridge makes 2-pt shot at rim,2,9-15,,
6:43.0,,,9-17,2,D. Sabonis makes 2-pt shot from 1 ft (assist by T. Young)
6:23.0,P. Mills misses 3-pt shot from 25 ft,,9-17,,
6:20.0,,,9-17,,Defensive rebound by B. Bogdanovic
6:15.0,,,9-17,,Personal foul by V. Oladipo (drawn by B. Paul)
6:14.0,,,9-17,,Turnover by V. Oladipo (bad pass; steal by B. Paul)
5:58.0,Turnover by M. Ginobili (bad pass; steal by D. Sabonis),,9-17,,
5:54.0,,,9-20,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by V. Oladipo)
5:38.0,,,9-20,,Personal foul by V. Oladipo (drawn by M. Ginobili)
5:38.0,,,9-20,,C. Joseph enters the game for V. Oladipo
5:27.0,B. Paul makes 3-pt shot from 26 ft (assist by M. Ginobili),3,12-20,,
5:06.0,,,12-20,,Shooting foul by B. Paul (drawn by B. Bogdanovic)
5:06.0,,,12-20,,B. Bogdanovic misses free throw 1 of 2
5:06.0,,,12-20,,Offensive rebound by Team
5:06.0,,,12-21,1,B. Bogdanovic makes free throw 2 of 2
4:52.0,,,12-21,,Personal foul by D. Sabonis (drawn by L. Aldridge)
4:52.0,,,12-21,,A. Jefferson enters the game for D. Sabonis
4:45.0,L. Aldridge misses 2-pt shot from 17 ft,,12-21,,
4:43.0,,,12-21,,Defensive rebound by C. Joseph
4:26.0,,,12-21,,T. Young misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by L. Aldridge,,12-21,,
4:10.0,,,12-21,,Personal foul by D. Collison (drawn by M. Ginobili)
4:10.0,M. Ginobili makes free throw 1 of 2,1,13-21,,
4:10.0,,,13-21,,L. Stephenson enters the game for B. Bogdanovic
4:10.0,M. Ginobili makes free throw 2 of 2,1,14-21,,
3:52.0,,,14-21,,Turnover by A. Jefferson (bad pass; steal by R. Gay)
3:48.0,P. Mills makes 2-pt shot from 1 ft (assist by R. Gay),2,16-21,,
3:48.0,,,16-21,,Indiana full timeout
3:48.0,,,16-21,,T. Leaf enters the game for T. Young
3:30.0,,,16-21,,Turnover by C. Joseph (lost ball; steal by B. Paul)
3:20.0,L. Aldridge makes 2-pt shot from 3 ft,2,18-21,,
3:02.0,,,18-21,,Turnover by A. Jefferson (lost ball; steal by B. Paul)
2:57.0,Turnover by P. Mills (bad pass),,18-21,,
2:57.0,,,18-21,,J. Young enters the game for D. Collison
2:43.0,,,18-23,2,A. Jefferson makes 2-pt shot from 8 ft
2:29.0,Shooting foul by T. Leaf (drawn by R. Gay),,18-23,,
2:29.0,R. Gay makes free throw 1 of 2,1,19-23,,
2:29.0,K. Anderson enters the game for L. Aldridge,,19-23,,
2:29.0,P. Gasol enters the game for M. Ginobili,,19-23,,
2:29.0,R. Gay misses free throw 2 of 2,,19-23,,
2:29.0,,,19-23,,Defensive rebound by A. Jefferson
