time,Indiana,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. D. Sabonis (B. Simmons gains possession),,,,Jump ball: J. Embiid vs. D. Sabonis (B. Simmons gains possession)
11:39.0,,,0-0,,J. Embiid misses 2-pt shot from 1 ft
11:35.0,Defensive rebound by D. Sabonis,,0-0,,
11:20.0,T. Young makes 2-pt shot from 3 ft (assist by V. Oladipo),2,2-0,,
11:10.0,Personal foul by D. Collison (drawn by B. Simmons),,2-0,,
10:58.0,,,2-2,2,J. Redick makes 2-pt shot from 18 ft (assist by J. Embiid)
10:40.0,Turnover by V. Oladipo (bad pass; steal by B. Simmons),,2-2,,
10:36.0,,,2-4,2,R. Covington makes 2-pt shot at rim (assist by B. Simmons)
10:29.0,B. Bogdanovic makes 2-pt shot from 9 ft (assist by D. Collison),2,4-4,,
10:20.0,,,4-6,2,D. Saric makes 2-pt shot from 16 ft (assist by B. Simmons)
10:06.0,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo),2,6-6,,
9:52.0,,,6-8,2,B. Simmons makes 2-pt shot at rim (assist by J. Embiid)
9:34.0,Turnover by V. Oladipo (lost ball; steal by J. Embiid),,6-8,,
9:29.0,,,6-8,,J. Embiid misses 2-pt shot from 3 ft
9:27.0,,,6-8,,Offensive rebound by B. Simmons
9:26.0,,,6-8,,B. Simmons misses 2-pt shot from 1 ft
9:26.0,,,6-8,,Offensive rebound by D. Saric
9:20.0,,,6-10,2,D. Saric makes 2-pt shot at rim
9:10.0,D. Collison misses 2-pt shot from 1 ft (block by B. Simmons),,6-10,,
9:10.0,Offensive rebound by Team,,6-10,,
9:08.0,B. Bogdanovic makes 2-pt shot from 10 ft (assist by V. Oladipo),2,8-10,,
8:55.0,,,8-10,,J. Redick misses 3-pt shot from 25 ft
8:51.0,,,8-10,,Offensive rebound by J. Embiid
8:51.0,,,8-12,2,J. Embiid makes 2-pt shot from 14 ft
8:37.0,V. Oladipo misses 2-pt shot from 18 ft,,8-12,,
8:33.0,,,8-12,,Defensive rebound by R. Covington
8:27.0,,,8-12,,R. Covington misses 3-pt shot from 26 ft
8:22.0,Defensive rebound by D. Collison,,8-12,,
8:20.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,10-12,,
8:20.0,Shooting foul by D. Saric (drawn by B. Bogdanovic),,10-12,,
8:20.0,B. Bogdanovic makes free throw 1 of 1,1,11-12,,
8:09.0,,,11-15,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
7:49.0,D. Sabonis misses 2-pt shot from 17 ft,,11-15,,
7:46.0,,,11-15,,Defensive rebound by B. Simmons
7:29.0,,,11-15,,J. Redick misses 2-pt shot from 1 ft
7:27.0,Defensive rebound by V. Oladipo,,11-15,,
7:22.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by R. Covington),,11-15,,
7:18.0,,,11-15,,Defensive rebound by J. Embiid
7:14.0,,,11-17,2,R. Covington makes 2-pt shot from 2 ft (assist by J. Redick)
6:52.0,T. Young makes 2-pt shot from 7 ft,2,13-17,,
6:39.0,,,13-17,,B. Simmons misses 2-pt shot from 7 ft
6:35.0,,,13-17,,Offensive rebound by B. Simmons
6:35.0,,,13-17,,B. Simmons misses 2-pt shot at rim
6:34.0,Defensive rebound by D. Sabonis,,13-17,,
6:31.0,D. Collison misses 3-pt shot from 25 ft,,13-17,,
6:31.0,,,13-17,,Defensive rebound by B. Simmons
6:25.0,,,13-20,3,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons)
6:17.0,Indiana full timeout,,13-20,,
6:17.0,,,13-20,,T. McConnell enters the game for J. Embiid
6:17.0,,,13-20,,A. Johnson enters the game for D. Saric
6:17.0,,,13-20,,J. Bayless enters the game for J. Redick
6:04.0,B. Bogdanovic misses 2-pt shot from 6 ft (block by A. Johnson),,13-20,,
6:01.0,Offensive rebound by D. Sabonis,,13-20,,
6:00.0,D. Sabonis makes 2-pt shot from 1 ft,2,15-20,,
5:55.0,,,15-20,,R. Covington misses 3-pt shot from 24 ft
5:45.0,,,15-20,,Offensive rebound by A. Johnson
5:45.0,,,15-22,2,A. Johnson makes 2-pt shot at rim
5:42.0,T. Young misses 3-pt shot from 22 ft,,15-22,,
5:39.0,,,15-22,,Defensive rebound by J. Bayless
5:23.0,,,15-24,2,J. Bayless makes 2-pt shot from 3 ft (assist by B. Simmons)
5:07.0,D. Sabonis makes 2-pt shot from 1 ft (assist by D. Collison),2,17-24,,
4:54.0,,,17-24,,B. Simmons misses 2-pt shot from 13 ft
4:50.0,Defensive rebound by D. Sabonis,,17-24,,
4:41.0,V. Oladipo misses 3-pt shot from 27 ft,,17-24,,
4:38.0,,,17-24,,Defensive rebound by B. Simmons
4:28.0,,,17-24,,Turnover by B. Simmons (lost ball; steal by B. Bogdanovic)
4:24.0,B. Bogdanovic makes 2-pt shot from 3 ft,2,19-24,,
4:17.0,,,19-24,,Turnover by R. Covington (turnover)
4:17.0,,,19-24,,D. Saric enters the game for B. Simmons
4:17.0,,,19-24,,J. Redick enters the game for R. Covington
4:17.0,L. Stephenson enters the game for D. Sabonis,,19-24,,
4:17.0,M. Turner enters the game for B. Bogdanovic,,19-24,,
4:09.0,T. Young misses 2-pt shot from 8 ft,,19-24,,
4:07.0,,,19-24,,Defensive rebound by D. Saric
4:01.0,,,19-24,,J. Bayless misses 3-pt shot from 25 ft
3:56.0,,,19-24,,Offensive rebound by A. Johnson
3:55.0,,,19-27,3,J. Redick makes 3-pt shot from 25 ft (assist by A. Johnson)
3:47.0,V. Oladipo misses 2-pt shot from 2 ft,,19-27,,
3:45.0,,,19-27,,Defensive rebound by J. Redick
3:41.0,,,19-27,,J. Redick misses 3-pt shot from 26 ft
3:39.0,Defensive rebound by Team,,19-27,,
3:39.0,,,19-27,,Loose ball foul by A. Johnson (drawn by M. Turner)
3:39.0,C. Joseph enters the game for D. Collison,,19-27,,
3:39.0,T. Leaf enters the game for T. Young,,19-27,,
3:18.0,C. Joseph misses 2-pt shot from 1 ft,,19-27,,
3:15.0,Offensive rebound by M. Turner,,19-27,,
3:14.0,M. Turner misses 2-pt shot from 2 ft,,19-27,,
3:14.0,,,19-27,,Defensive rebound by D. Saric
3:09.0,,,19-27,,D. Saric misses 3-pt shot from 26 ft
3:09.0,Defensive rebound by M. Turner,,19-27,,
3:00.0,L. Stephenson misses 2-pt shot from 20 ft,,19-27,,
2:57.0,,,19-27,,Defensive rebound by D. Saric
2:53.0,,,19-27,,T. McConnell misses 2-pt shot from 11 ft
2:50.0,Defensive rebound by C. Joseph,,19-27,,
2:40.0,Turnover by C. Joseph (bad pass; steal by T. McConnell),,19-27,,
2:34.0,,,19-27,,J. Bayless misses 3-pt shot from 26 ft (block by M. Turner)
2:30.0,Defensive rebound by T. Leaf,,19-27,,
2:28.0,M. Turner misses 2-pt shot from 3 ft (block by A. Johnson),,19-27,,
2:28.0,Offensive rebound by Team,,19-27,,
2:28.0,,,19-27,,Philadelphia full timeout
2:28.0,,,19-27,,J. Embiid enters the game for A. Johnson
2:28.0,J. Young enters the game for V. Oladipo,,19-27,,
2:17.0,M. Turner misses 2-pt shot from 19 ft,,19-27,,
2:13.0,,,19-27,,Defensive rebound by J. Embiid
1:59.0,,,19-27,,J. Embiid misses 2-pt shot from 10 ft
1:56.0,Defensive rebound by M. Turner,,19-27,,
1:47.0,L. Stephenson makes 2-pt shot from 16 ft,2,21-27,,
1:35.0,,,21-27,,Turnover by J. Redick (bad pass; steal by T. Leaf)
1:31.0,Turnover by T. Leaf (bad pass; steal by J. Bayless),,21-27,,
1:26.0,,,21-27,,J. Redick misses 3-pt shot from 25 ft
