time,Charlotte,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Howard (M. Williams gains possession),,,,Jump ball: P. Gasol vs. D. Howard (M. Williams gains possession)
11:42.0,D. Bacon makes 3-pt shot from 24 ft (assist by K. Walker),3,3-0,,
11:26.0,,,3-0,,L. Aldridge misses 2-pt shot from 17 ft
11:22.0,Defensive rebound by D. Howard,,3-0,,
11:14.0,M. Williams misses 2-pt shot from 14 ft,,3-0,,
11:12.0,,,3-0,,Defensive rebound by L. Aldridge
10:59.0,,,3-0,,P. Gasol misses 3-pt shot from 22 ft
10:56.0,Defensive rebound by D. Bacon,,3-0,,
10:50.0,D. Howard misses 2-pt shot from 16 ft,,3-0,,
10:46.0,,,3-0,,Defensive rebound by D. Green
10:37.0,,,3-2,2,P. Mills makes 2-pt shot from 20 ft (assist by P. Gasol)
10:12.0,J. Lamb misses 2-pt shot from 14 ft,,3-2,,
10:10.0,,,3-2,,Defensive rebound by D. Green
10:06.0,,,3-4,2,D. Green makes 2-pt shot from 17 ft
9:49.0,K. Walker misses 3-pt shot from 25 ft,,3-4,,
9:47.0,,,3-4,,Defensive rebound by K. Anderson
9:42.0,,,3-7,3,L. Aldridge makes 3-pt shot from 25 ft (assist by K. Anderson)
9:21.0,K. Walker makes 2-pt shot from 9 ft,2,5-7,,
9:01.0,,,5-7,,P. Mills misses 3-pt shot from 22 ft
8:59.0,Defensive rebound by D. Howard,,5-7,,
8:52.0,M. Williams makes 3-pt shot from 25 ft (assist by J. Lamb),3,8-7,,
8:31.0,,,8-9,2,K. Anderson makes 2-pt shot from 7 ft (assist by P. Mills)
8:11.0,Turnover by D. Howard (bad pass),,8-9,,
7:49.0,,,8-9,,D. Green misses 2-pt shot from 14 ft
7:49.0,,,8-9,,Offensive rebound by L. Aldridge
7:49.0,,,8-11,2,L. Aldridge makes 2-pt shot at rim
7:49.0,Violation by D. Howard (def goaltending),,8-11,,
7:35.0,D. Bacon misses 2-pt shot from 19 ft,,8-11,,
7:30.0,Offensive rebound by D. Howard,,8-11,,
7:28.0,D. Howard misses 2-pt shot from 2 ft (block by P. Gasol),,8-11,,
7:28.0,Offensive rebound by D. Howard,,8-11,,
7:20.0,J. Lamb misses 2-pt shot at rim,,8-11,,
7:20.0,Offensive rebound by J. Lamb,,8-11,,
7:19.0,J. Lamb misses 2-pt shot at rim,,8-11,,
7:19.0,,,8-11,,Defensive rebound by D. Green
7:13.0,,,8-11,,Turnover by D. Green (bad pass)
6:59.0,D. Howard misses 2-pt shot from 1 ft (block by K. Anderson),,8-11,,
6:55.0,,,8-11,,Defensive rebound by P. Mills
6:52.0,,,8-11,,D. Green misses 3-pt shot from 24 ft
6:45.0,,,8-11,,Offensive rebound by L. Aldridge
6:45.0,,,8-11,,L. Aldridge misses 2-pt shot at rim
6:44.0,,,8-11,,Offensive rebound by L. Aldridge
6:41.0,,,8-11,,L. Aldridge misses 2-pt shot from 13 ft
6:39.0,Defensive rebound by J. Lamb,,8-11,,
6:27.0,Shooting foul by P. Gasol (drawn by D. Howard),,8-11,,
6:27.0,,,8-11,,San Antonio full timeout
6:27.0,,,8-11,,M. Ginobili enters the game for K. Anderson
6:27.0,,,8-11,,R. Gay enters the game for P. Gasol
6:27.0,D. Howard misses free throw 1 of 2,,8-11,,
6:27.0,Offensive rebound by Team,,8-11,,
6:27.0,D. Howard misses free throw 2 of 2,,8-11,,
6:25.0,,,8-11,,Defensive rebound by L. Aldridge
6:03.0,,,8-11,,Turnover by Team (shot clock)
6:03.0,,,8-11,,D. Murray enters the game for P. Mills
5:47.0,K. Walker makes 3-pt shot from 23 ft (assist by J. Lamb),3,11-11,,
5:32.0,,,11-11,,R. Gay misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by J. Lamb,,11-11,,
5:20.0,J. Lamb makes 2-pt shot from 9 ft,2,13-11,,
5:00.0,,,13-13,2,M. Ginobili makes 2-pt shot at rim (assist by R. Gay)
4:41.0,Shooting foul by L. Aldridge (drawn by D. Howard),,13-13,,
4:41.0,D. Howard makes free throw 1 of 2,1,14-13,,
4:41.0,,,14-13,,P. Gasol enters the game for L. Aldridge
4:41.0,,,14-13,,B. Paul enters the game for D. Green
4:41.0,T. Graham enters the game for M. Williams,,14-13,,
4:41.0,F. Kaminsky enters the game for J. Lamb,,14-13,,
4:41.0,D. Howard misses free throw 2 of 2,,14-13,,
4:39.0,,,14-13,,Defensive rebound by R. Gay
4:25.0,,,14-15,2,D. Murray makes 2-pt shot from 1 ft (assist by B. Paul)
4:10.0,Shooting foul by R. Gay (drawn by D. Howard),,14-15,,
4:10.0,D. Howard misses free throw 1 of 2,,14-15,,
4:10.0,Offensive rebound by Team,,14-15,,
4:10.0,D. Howard makes free throw 2 of 2,1,15-15,,
3:52.0,,,15-15,,Shooting foul by F. Kaminsky (drawn by M. Ginobili)
3:52.0,,,15-16,1,M. Ginobili makes free throw 1 of 2
3:52.0,C. Zeller enters the game for D. Howard,,15-16,,
3:52.0,,,15-16,,M. Ginobili misses free throw 2 of 2
3:50.0,,,15-16,,Offensive rebound by Team
3:50.0,M. Monk enters the game for K. Walker,,15-16,,
3:39.0,,,15-16,,R. Gay misses 2-pt shot from 2 ft (block by C. Zeller)
3:39.0,,,15-16,,Offensive rebound by Team
3:25.0,,,15-16,,M. Ginobili misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by F. Kaminsky,,15-16,,
3:13.0,C. Zeller misses 2-pt shot from 19 ft,,15-16,,
3:09.0,,,15-16,,Defensive rebound by M. Ginobili
3:02.0,,,15-16,,M. Ginobili misses 2-pt shot from 2 ft
2:58.0,Defensive rebound by D. Bacon,,15-16,,
2:52.0,M. Monk misses 2-pt shot from 21 ft,,15-16,,
2:50.0,,,15-16,,Defensive rebound by P. Gasol
2:42.0,,,15-18,2,B. Paul makes 2-pt shot from 1 ft (assist by P. Gasol)
2:31.0,Charlotte full timeout,,15-18,,
2:25.0,M. Monk misses 2-pt shot from 15 ft,,15-18,,
2:23.0,,,15-18,,Defensive rebound by P. Gasol
2:11.0,,,15-18,,Turnover by M. Ginobili (bad pass; steal by F. Kaminsky)
2:04.0,D. Bacon makes 2-pt shot from 18 ft,2,17-18,,
1:42.0,,,17-20,2,R. Gay makes 2-pt shot from 1 ft (assist by D. Murray)
1:42.0,,,17-20,,Shooting foul by M. Monk (drawn by R. Gay)
1:42.0,J. Lamb enters the game for D. Bacon,,17-20,,
1:42.0,,,17-21,1,R. Gay makes free throw 1 of 1
1:24.0,F. Kaminsky misses 2-pt shot from 7 ft,,17-21,,
1:22.0,,,17-21,,Defensive rebound by P. Gasol
1:11.0,,,17-21,,Turnover by R. Gay (traveling)
0:55.0,F. Kaminsky misses 2-pt shot from 14 ft,,17-21,,
0:53.0,,,17-21,,Defensive rebound by M. Ginobili
0:46.0,,,17-23,2,D. Murray makes 2-pt shot from 8 ft (assist by P. Gasol)
0:37.0,,,17-23,,Personal foul by B. Paul (drawn by J. Lamb)
0:33.0,M. Monk makes 2-pt shot from 5 ft (assist by J. Lamb),2,19-23,,
0:24.0,,,19-25,2,M. Ginobili makes 2-pt shot at rim (assist by P. Gasol)
0:00.0,F. Kaminsky misses 3-pt shot from 24 ft,,19-25,,
0:00.0,Offensive rebound by Team,,19-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,19-25,,R. Gay misses 2-pt shot from 20 ft
11:42.0,Defensive rebound by J. Lamb,,19-25,,
11:30.0,Turnover by T. Graham (step out of bounds),,19-25,,
11:30.0,,,19-25,,D. Green enters the game for R. Gay
11:07.0,,,19-25,,B. Paul misses 2-pt shot from 21 ft
11:03.0,Defensive rebound by J. Lamb,,19-25,,
10:58.0,J. Lamb makes 2-pt shot from 19 ft,2,21-25,,
10:46.0,,,21-25,,Turnover by B. Paul (traveling)
10:46.0,,,21-25,,P. Mills enters the game for D. Murray
10:32.0,F. Kaminsky makes 2-pt shot from 6 ft,2,23-25,,
10:15.0,,,23-25,,Turnover by D. Green (bad pass; steal by T. Graham)
10:13.0,Shooting foul by D. Green (drawn by C. Zeller),,23-25,,
10:13.0,C. Zeller misses free throw 1 of 2,,23-25,,
10:13.0,Offensive rebound by Team,,23-25,,
10:13.0,,,23-25,,B. Forbes enters the game for B. Paul
10:13.0,C. Zeller makes free throw 2 of 2,1,24-25,,
9:57.0,,,24-27,2,L. Aldridge makes 2-pt shot from 8 ft
9:57.0,,,24-27,,Shooting foul by C. Zeller (drawn by L. Aldridge)
9:57.0,,,24-28,1,L. Aldridge makes free throw 1 of 1
9:47.0,C. Zeller misses 2-pt shot from 1 ft,,24-28,,
9:44.0,,,24-28,,Defensive rebound by K. Anderson
9:30.0,,,24-28,,D. Green misses 3-pt shot from 22 ft
9:26.0,Defensive rebound by C. Zeller,,24-28,,
9:19.0,Shooting foul by K. Anderson (drawn by J. Lamb),,24-28,,
9:19.0,J. Lamb makes free throw 1 of 2,1,25-28,,
9:19.0,J. Lamb makes free throw 2 of 2,1,26-28,,
9:04.0,,,26-28,,L. Aldridge misses 2-pt shot from 15 ft
9:02.0,Defensive rebound by J. Lamb,,26-28,,
8:57.0,J. Lamb misses 2-pt shot from 19 ft,,26-28,,
8:53.0,,,26-28,,Defensive rebound by D. Green
8:36.0,,,26-28,,Shooting foul by J. Lamb (drawn by B. Forbes)
8:36.0,,,26-29,1,B. Forbes makes free throw 1 of 3
8:36.0,,,26-30,1,B. Forbes makes free throw 2 of 3
8:36.0,,,26-30,,B. Forbes misses free throw 3 of 3
8:33.0,Defensive rebound by F. Kaminsky,,26-30,,
8:20.0,Turnover by T. Graham (traveling),,26-30,,
8:12.0,Personal foul by M. Monk (drawn by P. Mills),,26-30,,
8:10.0,,,26-30,,P. Mills misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by C. Zeller,,26-30,,
7:57.0,J. Lamb makes 2-pt shot from 10 ft,2,28-30,,
7:43.0,Personal foul by C. Zeller (drawn by L. Aldridge),,28-30,,
7:43.0,K. Walker enters the game for T. Graham,,28-30,,
7:43.0,D. Howard enters the game for C. Zeller,,28-30,,
7:32.0,,,28-32,2,B. Forbes makes 2-pt shot from 15 ft (assist by P. Mills)
7:16.0,J. Lamb makes 2-pt shot from 8 ft,2,30-32,,
7:03.0,,,30-32,,L. Aldridge misses 2-pt shot from 18 ft
7:00.0,Defensive rebound by J. Lamb,,30-32,,
6:47.0,K. Walker misses 2-pt shot from 5 ft (block by L. Aldridge),,30-32,,
6:43.0,,,30-32,,Defensive rebound by K. Anderson
6:38.0,,,30-32,,Shooting foul by D. Howard (drawn by L. Aldridge)
6:38.0,,,30-32,,San Antonio full timeout
6:38.0,,,30-33,1,L. Aldridge makes free throw 1 of 2
6:38.0,,,30-34,1,L. Aldridge makes free throw 2 of 2
6:28.0,Turnover by F. Kaminsky (lost ball; steal by B. Forbes),,30-34,,
6:25.0,,,30-36,2,B. Forbes makes 2-pt shot at rim
6:07.0,Shooting foul by B. Forbes (drawn by D. Howard),,30-36,,
6:07.0,D. Howard makes free throw 1 of 2,1,31-36,,
6:07.0,,,31-36,,M. Ginobili enters the game for K. Anderson
6:07.0,,,31-36,,R. Gay enters the game for D. Green
6:07.0,M. Williams enters the game for J. Lamb,,31-36,,
6:07.0,D. Howard misses free throw 2 of 2,,31-36,,
6:04.0,,,31-36,,Defensive rebound by R. Gay
5:42.0,,,31-36,,Turnover by M. Ginobili (bad pass; steal by M. Monk)
5:37.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by M. Monk),2,33-36,,
5:20.0,,,33-38,2,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills)
5:07.0,K. Walker makes 2-pt shot from 11 ft,2,35-38,,
4:53.0,,,35-41,3,B. Forbes makes 3-pt shot from 23 ft (assist by L. Aldridge)
4:44.0,Charlotte full timeout,,35-41,,
4:44.0,,,35-41,,P. Gasol enters the game for L. Aldridge
4:44.0,J. Lamb enters the game for M. Monk,,35-41,,
4:28.0,Turnover by F. Kaminsky (bad pass),,35-41,,
4:28.0,,,35-41,,D. Murray enters the game for P. Mills
4:18.0,Personal foul by J. Lamb (drawn by M. Ginobili),,35-41,,
4:18.0,,,35-42,1,M. Ginobili makes free throw 1 of 2
4:18.0,D. Bacon enters the game for F. Kaminsky,,35-42,,
4:18.0,,,35-42,,M. Ginobili misses free throw 2 of 2
4:16.0,Defensive rebound by D. Bacon,,35-42,,
4:00.0,D. Bacon misses 2-pt shot from 20 ft,,35-42,,
3:58.0,,,35-42,,Defensive rebound by R. Gay
3:46.0,,,35-42,,B. Forbes misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by D. Bacon,,35-42,,
3:30.0,D. Bacon makes 2-pt shot from 9 ft (assist by K. Walker),2,37-42,,
3:12.0,,,37-44,2,R. Gay makes 2-pt shot from 9 ft (assist by M. Ginobili)
3:00.0,K. Walker makes 2-pt shot from 12 ft,2,39-44,,
3:00.0,Shooting foul by D. Murray (drawn by K. Walker),,39-44,,
3:00.0,T. Graham enters the game for J. Lamb,,39-44,,
3:00.0,K. Walker makes free throw 1 of 1,1,40-44,,
2:55.0,,,40-44,,San Antonio full timeout
2:55.0,,,40-44,,D. Green enters the game for B. Forbes
2:46.0,,,40-44,,Turnover by M. Ginobili (lost ball; steal by T. Graham)
2:40.0,Turnover by K. Walker (bad pass; steal by M. Ginobili),,40-44,,
2:35.0,,,40-44,,D. Green misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by M. Williams,,40-44,,
2:19.0,M. Williams misses 2-pt shot from 7 ft,,40-44,,
2:17.0,,,40-44,,Defensive rebound by P. Gasol
2:12.0,,,40-44,,Shooting foul by K. Walker (drawn by D. Murray)
2:12.0,,,40-45,1,D. Murray makes free throw 1 of 2
2:12.0,,,40-46,1,D. Murray makes free throw 2 of 2
1:57.0,,,40-46,,Personal foul by M. Ginobili (drawn by D. Howard)
1:57.0,D. Howard makes free throw 1 of 2,1,41-46,,
1:57.0,D. Howard misses free throw 2 of 2,,41-46,,
1:55.0,,,41-46,,Defensive rebound by P. Gasol
1:39.0,,,41-46,,M. Ginobili misses 3-pt shot from 25 ft
1:35.0,,,41-46,,Offensive rebound by P. Gasol
1:20.0,,,41-46,,D. Murray misses 2-pt shot from 13 ft
1:17.0,Defensive rebound by M. Williams,,41-46,,
1:10.0,Offensive foul by D. Howard (drawn by P. Gasol),,41-46,,
1:10.0,Turnover by D. Howard (offensive foul),,41-46,,
1:10.0,,,41-46,,P. Mills enters the game for D. Murray
1:10.0,,,41-46,,B. Forbes enters the game for M. Ginobili
1:10.0,C. Zeller enters the game for D. Howard,,41-46,,
1:01.0,,,41-46,,P. Mills misses 2-pt shot from 1 ft
1:01.0,Defensive rebound by Team,,41-46,,
1:01.0,,,41-46,,Loose ball foul by P. Gasol (drawn by C. Zeller)
