time,Boston,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. A. Horford (K. Irving gains possession),,,,Jump ball: N. Vucevic vs. A. Horford (K. Irving gains possession)
11:45.0,J. Brown misses 2-pt shot from 5 ft,,0-0,,
11:42.0,Offensive rebound by J. Brown,,0-0,,
11:41.0,J. Brown misses 2-pt shot from 2 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by N. Vucevic
11:24.0,,,0-0,,N. Vucevic misses 2-pt shot from 11 ft
11:21.0,Defensive rebound by M. Morris,,0-0,,
11:13.0,J. Brown misses 3-pt shot from 25 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by A. Gordon
11:00.0,,,0-0,,N. Vucevic misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by J. Brown,,0-0,,
10:45.0,A. Horford makes 2-pt shot from 1 ft (assist by K. Irving),2,2-0,,
10:32.0,,,2-0,,E. Fournier misses 2-pt shot from 15 ft
10:29.0,Defensive rebound by A. Horford,,2-0,,
10:21.0,M. Morris misses 2-pt shot from 13 ft,,2-0,,
10:20.0,,,2-0,,Defensive rebound by Team
10:20.0,Loose ball foul by J. Tatum (drawn by T. Ross),,2-0,,
10:09.0,,,2-2,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Fournier)
9:50.0,,,2-2,,Personal block foul by J. Simmons (drawn by M. Morris)
9:38.0,Turnover by A. Horford (bad pass; steal by A. Gordon),,2-2,,
9:32.0,,,2-4,2,J. Simmons makes 2-pt shot from 1 ft (assist by N. Vucevic)
9:03.0,J. Tatum misses 3-pt shot from 24 ft,,2-4,,
9:01.0,,,2-4,,Defensive rebound by A. Gordon
8:50.0,,,2-6,2,N. Vucevic makes 2-pt shot from 7 ft
8:33.0,Turnover by A. Horford (bad pass; steal by T. Ross),,2-6,,
8:28.0,,,2-6,,E. Fournier misses 3-pt shot from 24 ft
8:24.0,,,2-6,,Offensive rebound by J. Simmons
8:16.0,,,2-6,,J. Simmons misses 2-pt shot from 17 ft
8:13.0,Defensive rebound by M. Morris,,2-6,,
8:02.0,Shooting foul by A. Gordon (drawn by A. Horford),,2-6,,
8:02.0,A. Horford misses free throw 1 of 2,,2-6,,
8:02.0,Offensive rebound by Team,,2-6,,
8:02.0,A. Horford makes free throw 2 of 2,1,3-6,,
7:49.0,,,3-6,,N. Vucevic misses 2-pt shot from 6 ft
7:46.0,Defensive rebound by J. Tatum,,3-6,,
7:35.0,,,3-6,,Personal foul by J. Simmons (drawn by J. Tatum)
7:35.0,,,3-6,,S. Mack enters the game for J. Simmons
7:35.0,A. Baynes enters the game for A. Horford,,3-6,,
