time,Charlotte,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. D. Howard (K. Irving gains possession),,,,Jump ball: A. Baynes vs. D. Howard (K. Irving gains possession)
11:38.0,,,0-0,,K. Irving misses 2-pt shot from 5 ft
11:35.0,Defensive rebound by D. Howard,,0-0,,
11:24.0,J. Lamb makes 2-pt shot from 9 ft,2,2-0,,
11:06.0,,,2-0,,J. Brown misses 2-pt shot from 18 ft
11:03.0,Defensive rebound by D. Howard,,2-0,,
10:54.0,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by K. Walker),2,4-0,,
10:23.0,,,4-0,,M. Morris misses 2-pt shot from 21 ft
10:21.0,Defensive rebound by D. Howard,,4-0,,
10:15.0,D. Howard misses 2-pt shot from 4 ft (block by A. Baynes),,4-0,,
10:15.0,Offensive rebound by Team,,4-0,,
10:10.0,Shooting foul by A. Baynes (drawn by K. Walker),,4-0,,
10:10.0,,,4-0,,Boston full timeout
10:10.0,,,4-0,,M. Smart enters the game for K. Irving
10:10.0,K. Walker makes free throw 1 of 2,1,5-0,,
10:10.0,K. Walker makes free throw 2 of 2,1,6-0,,
9:52.0,,,6-0,,J. Tatum misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by D. Howard,,6-0,,
9:43.0,Shooting foul by J. Tatum (drawn by D. Howard),,6-0,,
9:43.0,D. Howard misses free throw 1 of 2,,6-0,,
9:43.0,Offensive rebound by Team,,6-0,,
9:43.0,D. Howard makes free throw 2 of 2,1,7-0,,
9:34.0,,,7-0,,J. Tatum misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by M. Kidd-Gilchrist,,7-0,,
9:20.0,D. Howard makes 2-pt shot from 1 ft,2,9-0,,
8:58.0,Violation by D. Howard (def goaltending),,9-0,,
8:54.0,,,9-2,2,J. Brown makes 2-pt shot from 9 ft
8:37.0,J. Lamb misses 2-pt shot from 16 ft,,9-2,,
8:37.0,,,9-2,,Defensive rebound by J. Brown
8:26.0,,,9-2,,A. Baynes misses 2-pt shot from 8 ft
8:24.0,Defensive rebound by J. Lamb,,9-2,,
8:20.0,K. Walker misses 3-pt shot from 28 ft,,9-2,,
8:17.0,,,9-2,,Defensive rebound by J. Brown
8:07.0,,,9-2,,J. Brown misses 3-pt shot from 23 ft
8:04.0,Defensive rebound by M. Williams,,9-2,,
7:47.0,Turnover by D. Howard (step out of bounds),,9-2,,
7:29.0,,,9-2,,M. Smart misses 2-pt shot from 6 ft
7:26.0,Defensive rebound by D. Howard,,9-2,,
7:13.0,D. Howard misses 2-pt shot from 7 ft,,9-2,,
7:10.0,,,9-2,,Defensive rebound by A. Baynes
7:03.0,Personal foul by J. Lamb (drawn by M. Morris),,9-2,,
7:03.0,F. Kaminsky enters the game for M. Williams,,9-2,,
6:49.0,,,9-2,,M. Smart misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by D. Howard,,9-2,,
6:32.0,M. Kidd-Gilchrist makes 2-pt shot from 20 ft (assist by K. Walker),2,11-2,,
6:20.0,,,11-2,,Shooting foul by K. Walker (drawn by M. Smart)
6:20.0,,,11-3,1,M. Smart makes free throw 1 of 2
6:20.0,,,11-3,,M. Smart misses free throw 2 of 2
6:18.0,Defensive rebound by F. Kaminsky,,11-3,,
6:02.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,11-3,,
5:59.0,,,11-3,,Defensive rebound by M. Morris
5:47.0,,,11-3,,M. Smart misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by M. Kidd-Gilchrist,,11-3,,
5:25.0,D. Howard misses 2-pt shot from 10 ft,,11-3,,
5:22.0,,,11-3,,Defensive rebound by J. Brown
5:13.0,,,11-5,2,M. Morris makes 2-pt shot from 12 ft (assist by A. Baynes)
5:06.0,Charlotte full timeout,,11-5,,
5:06.0,,,11-5,,T. Rozier enters the game for J. Tatum
5:06.0,,,11-5,,S. Ojeleye enters the game for M. Morris
5:06.0,,,11-5,,D. Theis enters the game for A. Baynes
5:06.0,C. Zeller enters the game for D. Howard,,11-5,,
4:56.0,,,11-5,,Def 3 sec tech foul by J. Brown
4:56.0,K. Walker makes technical free throw,1,12-5,,
4:48.0,J. Lamb misses 2-pt shot from 7 ft (block by J. Brown),,12-5,,
4:47.0,Offensive rebound by Team,,12-5,,
4:43.0,F. Kaminsky misses 3-pt shot from 27 ft,,12-5,,
4:41.0,,,12-5,,Defensive rebound by J. Brown
4:27.0,,,12-5,,Turnover by M. Smart (bad pass; steal by K. Walker)
4:25.0,Turnover by K. Walker (traveling),,12-5,,
4:09.0,,,12-7,2,D. Theis makes 2-pt shot from 1 ft (assist by M. Smart)
3:57.0,F. Kaminsky makes 3-pt shot from 27 ft (assist by K. Walker),3,15-7,,
3:41.0,,,15-7,,Offensive foul by J. Brown (drawn by C. Zeller)
3:41.0,,,15-7,,Turnover by J. Brown (offensive foul)
3:41.0,D. Bacon enters the game for M. Kidd-Gilchrist,,15-7,,
3:27.0,J. Lamb makes 2-pt shot from 10 ft (assist by K. Walker),2,17-7,,
3:07.0,,,17-7,,Turnover by J. Brown (lost ball; steal by J. Lamb)
3:03.0,J. Lamb misses 2-pt shot from 3 ft,,17-7,,
2:59.0,,,17-7,,Defensive rebound by M. Smart
2:52.0,,,17-7,,M. Smart misses 2-pt shot from 2 ft
2:46.0,,,17-7,,Offensive rebound by D. Theis
2:46.0,,,17-9,2,D. Theis makes 2-pt shot at rim
2:38.0,Shooting foul by M. Smart (drawn by C. Zeller),,17-9,,
2:38.0,C. Zeller misses free throw 1 of 2,,17-9,,
2:38.0,Offensive rebound by Team,,17-9,,
2:38.0,M. Monk enters the game for J. Lamb,,17-9,,
2:38.0,C. Zeller misses free throw 2 of 2,,17-9,,
2:36.0,,,17-9,,Defensive rebound by J. Brown
2:18.0,,,17-9,,M. Smart misses 2-pt shot from 9 ft
2:16.0,Defensive rebound by D. Bacon,,17-9,,
2:06.0,Shooting foul by S. Ojeleye (drawn by F. Kaminsky),,17-9,,
2:06.0,F. Kaminsky makes free throw 1 of 2,1,18-9,,
2:06.0,,,18-9,,A. Nader enters the game for J. Brown
2:06.0,M. Carter-Williams enters the game for K. Walker,,18-9,,
2:06.0,F. Kaminsky misses free throw 2 of 2,,18-9,,
2:03.0,,,18-9,,Defensive rebound by S. Ojeleye
1:44.0,,,18-9,,Turnover by T. Rozier (lost ball; steal by M. Carter-Williams)
1:41.0,Shooting foul by D. Theis (drawn by C. Zeller),,18-9,,
1:41.0,C. Zeller misses free throw 1 of 2,,18-9,,
1:41.0,Offensive rebound by Team,,18-9,,
1:41.0,C. Zeller makes free throw 2 of 2,1,19-9,,
1:29.0,,,19-9,,M. Smart misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by C. Zeller,,19-9,,
1:13.0,D. Bacon makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,21-9,,
0:54.0,,,21-9,,Offensive foul by D. Theis (drawn by M. Monk)
0:54.0,,,21-9,,Turnover by D. Theis (offensive foul)
0:39.0,F. Kaminsky makes 2-pt shot from 2 ft,2,23-9,,
0:29.0,,,23-9,,S. Ojeleye misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by M. Monk,,23-9,,
0:20.0,M. Monk makes 3-pt shot from 26 ft,3,26-9,,
0:01.0,,,26-11,2,M. Smart makes 2-pt shot from 17 ft
0:00.0,M. Monk misses 3-pt shot from 51 ft,,26-11,,
0:00.0,Offensive rebound by Team,,26-11,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Offensive foul by D. Howard (drawn by T. Rozier),,26-11,,
11:50.0,Turnover by D. Howard (offensive foul),,26-11,,
11:26.0,,,26-13,2,S. Larkin makes 2-pt shot from 1 ft
11:01.0,M. Monk misses 3-pt shot from 28 ft,,26-13,,
10:57.0,Offensive rebound by C. Zeller,,26-13,,
10:51.0,D. Howard makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,28-13,,
10:33.0,,,28-13,,Shooting foul by M. Carter-Williams (drawn by T. Rozier)
10:33.0,,,28-14,1,T. Rozier makes free throw 1 of 3
10:33.0,,,28-15,1,T. Rozier makes free throw 2 of 3
10:33.0,,,28-15,,A. Baynes enters the game for D. Theis
10:33.0,,,28-16,1,T. Rozier makes free throw 3 of 3
10:23.0,,,28-16,,Personal foul by T. Rozier (drawn by M. Carter-Williams)
10:17.0,M. Carter-Williams misses 2-pt shot from 10 ft,,28-16,,
10:15.0,,,28-16,,Defensive rebound by A. Nader
10:04.0,,,28-18,2,J. Tatum makes 2-pt shot from 6 ft
9:47.0,M. Monk misses 3-pt shot from 28 ft,,28-18,,
9:44.0,,,28-18,,Defensive rebound by T. Rozier
9:38.0,,,28-21,3,S. Larkin makes 3-pt shot from 26 ft (assist by T. Rozier)
9:15.0,D. Howard misses 2-pt shot from 5 ft,,28-21,,
9:12.0,Offensive rebound by C. Zeller,,28-21,,
9:12.0,C. Zeller makes 2-pt shot from 1 ft (assist by D. Howard),2,30-21,,
9:12.0,Shooting foul by T. Rozier (drawn by C. Zeller),,30-21,,
9:12.0,C. Zeller misses free throw 1 of 1,,30-21,,
9:10.0,,,30-21,,Defensive rebound by A. Nader
8:59.0,,,30-21,,S. Larkin misses 2-pt shot from 9 ft
8:56.0,Defensive rebound by M. Carter-Williams,,30-21,,
8:50.0,M. Carter-Williams misses 2-pt shot from 1 ft,,30-21,,
