time,Orlando,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: A. Len vs. N. Vucevic (E. Payton gains possession)
11:48.0,E. Payton makes 2-pt shot from 1 ft (assist by N. Vucevic),2,2-0,,
11:24.0,Personal foul by E. Payton (drawn by M. Chriss),,2-0,,
11:17.0,,,2-2,2,M. Chriss makes 2-pt shot from 1 ft
11:04.0,T. Ross makes 3-pt shot from 23 ft (assist by E. Fournier),3,5-2,,
10:51.0,,,5-2,,Turnover by A. Len (bad pass; steal by T. Ross)
10:47.0,N. Vucevic makes 2-pt shot at rim (assist by T. Ross),2,7-2,,
10:46.0,,,7-2,,Phoenix full timeout
10:37.0,,,7-2,,Turnover by A. Len (bad pass)
10:25.0,N. Vucevic misses 2-pt shot from 12 ft,,7-2,,
10:25.0,,,7-2,,Defensive rebound by Team
10:25.0,Loose ball foul by A. Gordon (drawn by M. Chriss),,7-2,,
10:19.0,,,7-2,,D. Booker misses 2-pt shot from 19 ft
10:14.0,,,7-2,,Offensive rebound by M. Chriss
10:14.0,,,7-4,2,M. Chriss makes 2-pt shot at rim
10:01.0,T. Ross makes 2-pt shot at rim (assist by E. Payton),2,9-4,,
9:46.0,,,9-4,,M. James misses 3-pt shot from 27 ft
9:43.0,Defensive rebound by T. Ross,,9-4,,
9:34.0,T. Ross misses 3-pt shot from 25 ft,,9-4,,
9:31.0,,,9-4,,Defensive rebound by A. Len
9:11.0,,,9-6,2,T. Warren makes 2-pt shot from 11 ft
9:04.0,E. Payton makes 2-pt shot at rim,2,11-6,,
8:47.0,,,11-9,3,M. Chriss makes 3-pt shot from 25 ft (assist by M. James)
8:31.0,E. Fournier makes 2-pt shot from 4 ft (assist by E. Payton),2,13-9,,
8:15.0,,,13-11,2,M. James makes 2-pt shot at rim
8:08.0,E. Fournier misses 3-pt shot from 22 ft,,13-11,,
8:05.0,Offensive rebound by E. Payton,,13-11,,
8:04.0,,,13-11,,T. Ulis enters the game for A. Len
8:04.0,,,13-11,,D. Bender enters the game for M. James
8:00.0,Jump ball: D. Booker vs. E. Payton (T. Warren gains possession),,,,Jump ball: D. Booker vs. E. Payton (T. Warren gains possession)
8:00.0,Turnover by E. Payton (turnover; steal by D. Booker),,13-11,,
7:49.0,,,13-11,,M. Chriss misses 2-pt shot from 3 ft (block by A. Gordon)
7:45.0,Defensive rebound by E. Payton,,13-11,,
7:43.0,T. Ross makes 3-pt shot from 22 ft (assist by E. Payton),3,16-11,,
7:38.0,Personal block foul by E. Fournier (drawn by D. Booker),,16-11,,
7:31.0,,,16-13,2,D. Booker makes 2-pt shot from 9 ft (assist by T. Ulis)
7:17.0,E. Fournier makes 2-pt shot at rim,2,18-13,,
7:09.0,,,18-15,2,D. Booker makes 2-pt shot from 12 ft
6:58.0,,,18-15,,Personal foul by D. Booker (drawn by E. Fournier)
6:55.0,E. Payton makes 2-pt shot at rim (assist by E. Fournier),2,20-15,,
6:46.0,,,20-15,,Shooting foul by E. Payton (drawn by T. Warren)
6:46.0,,,20-15,,T. Warren misses free throw 1 of 2
6:46.0,,,20-15,,Offensive rebound by Team
6:46.0,S. Mack enters the game for E. Payton,,20-15,,
6:46.0,,,20-16,1,T. Warren makes free throw 2 of 2
6:37.0,N. Vucevic misses 3-pt shot from 25 ft,,20-16,,
6:34.0,,,20-16,,Defensive rebound by M. Chriss
6:31.0,,,20-18,2,T. Warren makes 2-pt shot from 2 ft
6:31.0,,,20-18,,Shooting foul by N. Vucevic (drawn by T. Warren)
6:31.0,,,20-19,1,T. Warren makes free throw 1 of 1
6:16.0,,,20-19,,Personal foul by M. Chriss (drawn by E. Fournier)
6:10.0,E. Fournier misses 3-pt shot from 24 ft,,20-19,,
6:08.0,,,20-19,,Defensive rebound by Team
5:55.0,,,20-19,,M. Chriss misses 3-pt shot from 24 ft
5:52.0,,,20-19,,Offensive rebound by T. Warren
5:51.0,,,20-21,2,T. Warren makes 2-pt shot at rim
5:46.0,Orlando full timeout,,20-21,,
5:46.0,J. Simmons enters the game for T. Ross,,20-21,,
5:31.0,N. Vucevic makes 2-pt shot from 8 ft,2,22-21,,
5:15.0,,,22-21,,T. Warren misses 2-pt shot from 10 ft
5:12.0,Defensive rebound by N. Vucevic,,22-21,,
5:02.0,J. Simmons misses 2-pt shot from 2 ft,,22-21,,
5:00.0,Shooting foul by D. Bender (drawn by N. Vucevic),,22-21,,
5:00.0,N. Vucevic makes free throw 1 of 2,1,23-21,,
5:00.0,N. Vucevic makes free throw 2 of 2,1,24-21,,
4:59.0,Offensive rebound by J. Simmons,,24-21,,
4:56.0,,,24-21,,Offensive charge foul by M. Chriss (drawn by A. Gordon)
4:56.0,,,24-21,,Turnover by M. Chriss (offensive foul)
4:39.0,Turnover by S. Mack (lost ball; steal by T. Ulis),,24-21,,
4:33.0,,,24-23,2,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker)
4:20.0,E. Fournier makes 2-pt shot from 1 ft (assist by S. Mack),2,26-23,,
4:12.0,,,26-26,3,D. Bender makes 3-pt shot from 26 ft (assist by D. Booker)
3:58.0,N. Vucevic misses 2-pt shot from 10 ft,,26-26,,
3:58.0,,,26-26,,Defensive rebound by M. Chriss
3:44.0,,,26-26,,T. Warren misses 2-pt shot from 5 ft
3:41.0,Defensive rebound by A. Gordon,,26-26,,
3:39.0,Shooting foul by D. Bender (drawn by A. Gordon),,26-26,,
3:39.0,A. Gordon makes free throw 1 of 2,1,27-26,,
3:39.0,,,27-26,,A. Len enters the game for D. Bender
3:39.0,,,27-26,,J. Dudley enters the game for M. Chriss
3:39.0,A. Gordon makes free throw 2 of 2,1,28-26,,
3:28.0,,,28-26,,D. Booker misses 2-pt shot from 3 ft
3:28.0,,,28-26,,A. Len misses 2-pt shot from 1 ft
3:28.0,Defensive rebound by N. Vucevic,,28-26,,
3:23.0,,,28-26,,Defensive rebound by A. Len
3:23.0,Shooting foul by T. Warren (drawn by A. Gordon),,28-26,,
3:23.0,,,28-26,,J. Jackson enters the game for T. Warren
3:23.0,A. Gordon misses free throw 1 of 2,,28-26,,
3:23.0,Offensive rebound by Team,,28-26,,
3:23.0,A. Gordon misses free throw 2 of 2,,28-26,,
3:23.0,,,28-26,,Defensive rebound by J. Jackson
3:14.0,,,28-26,,J. Jackson misses 2-pt shot from 9 ft
3:11.0,,,28-26,,Offensive rebound by A. Len
3:08.0,,,28-26,,J. Jackson misses 3-pt shot from 22 ft
3:06.0,Defensive rebound by S. Mack,,28-26,,
2:51.0,J. Simmons makes 2-pt shot from 17 ft (assist by S. Mack),2,30-26,,
2:40.0,,,30-26,,T. Ulis misses 2-pt shot from 12 ft
2:37.0,Defensive rebound by A. Gordon,,30-26,,
2:32.0,A. Gordon makes 2-pt shot from 16 ft,2,32-26,,
2:09.0,,,32-28,2,J. Jackson makes 2-pt shot from 10 ft
1:51.0,N. Vucevic misses 3-pt shot from 25 ft,,32-28,,
1:49.0,,,32-28,,Defensive rebound by Team
1:49.0,J. Isaac enters the game for N. Vucevic,,32-28,,
1:49.0,B. Biyombo enters the game for E. Fournier,,32-28,,
1:29.0,,,32-28,,J. Jackson misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by A. Gordon,,32-28,,
1:19.0,Turnover by J. Simmons (lost ball; steal by J. Jackson),,32-28,,
1:15.0,,,32-30,2,J. Jackson makes 2-pt shot at rim
1:02.0,S. Mack misses 2-pt shot from 4 ft (block by A. Len),,32-30,,
1:00.0,,,32-30,,Defensive rebound by J. Jackson
0:49.0,,,32-32,2,J. Dudley makes 2-pt shot at rim (assist by T. Ulis)
0:30.0,A. Gordon makes 2-pt shot from 16 ft,2,34-32,,
0:09.0,,,34-32,,Turnover by J. Jackson (traveling)
