time,Orlando,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. N. Vucevic (T. Ross gains possession),,,,Jump ball: Z. Pachulia vs. N. Vucevic (T. Ross gains possession)
11:43.0,A. Gordon misses 3-pt shot from 24 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by Z. Pachulia
11:22.0,,,0-0,,K. Durant misses 2-pt shot from 14 ft
11:17.0,Defensive rebound by N. Vucevic,,0-0,,
11:15.0,E. Payton misses 2-pt shot from 1 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by Z. Pachulia
11:01.0,,,0-3,3,D. Green makes 3-pt shot from 25 ft (assist by K. Durant)
10:47.0,E. Fournier misses 3-pt shot from 24 ft,,0-3,,
10:43.0,,,0-3,,Defensive rebound by D. Green
10:37.0,,,0-3,,Turnover by K. Durant (bad pass; steal by T. Ross)
10:29.0,A. Gordon makes 3-pt shot from 24 ft (assist by N. Vucevic),3,3-3,,
10:12.0,,,3-6,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Livingston)
10:05.0,E. Fournier makes 2-pt shot at rim (assist by E. Payton),2,5-6,,
9:49.0,,,5-6,,D. Green misses 3-pt shot from 26 ft
9:45.0,Defensive rebound by A. Gordon,,5-6,,
9:36.0,T. Ross misses 3-pt shot from 24 ft,,5-6,,
9:33.0,Offensive rebound by A. Gordon,,5-6,,
9:33.0,Turnover by A. Gordon (offensive goaltending),,5-6,,
9:16.0,,,5-8,2,S. Livingston makes 2-pt shot from 16 ft (assist by K. Durant)
9:03.0,T. Ross makes 2-pt shot from 19 ft (assist by N. Vucevic),2,7-8,,
8:53.0,,,7-8,,Turnover by S. Livingston (bad pass; steal by T. Ross)
8:50.0,Turnover by T. Ross (bad pass),,7-8,,
8:35.0,,,7-8,,S. Livingston misses 2-pt shot from 12 ft
8:31.0,Defensive rebound by A. Gordon,,7-8,,
8:29.0,A. Gordon makes 3-pt shot from 25 ft,3,10-8,,
8:08.0,,,10-8,,Turnover by D. Green (bad pass; steal by A. Gordon)
8:01.0,A. Gordon misses 2-pt shot from 16 ft,,10-8,,
7:57.0,,,10-8,,Defensive rebound by Z. Pachulia
7:53.0,,,10-8,,K. Thompson misses 3-pt shot from 25 ft
7:47.0,Defensive rebound by E. Payton,,10-8,,
7:36.0,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton),2,12-8,,
7:23.0,,,12-10,2,K. Durant makes 2-pt shot from 2 ft
7:15.0,E. Payton makes 2-pt shot from 10 ft,2,14-10,,
7:05.0,,,14-10,,Turnover by Z. Pachulia (bad pass; steal by E. Fournier)
7:04.0,,,14-10,,Personal foul by S. Livingston (drawn by E. Fournier)
6:46.0,E. Payton misses 2-pt shot from 11 ft,,14-10,,
6:41.0,,,14-10,,Defensive rebound by Z. Pachulia
6:36.0,,,14-10,,Shooting foul by T. Ross (drawn by S. Livingston)
6:35.0,,,14-10,,Golden State full timeout
6:35.0,,,14-11,1,S. Livingston makes free throw 2 of 2
6:35.0,,,14-12,1,S. Livingston makes free throw 1 of 2
6:16.0,T. Ross misses 3-pt shot from 24 ft,,14-12,,
6:11.0,,,14-12,,Defensive rebound by K. Thompson
5:57.0,,,14-12,,K. Durant misses 3-pt shot from 25 ft
5:53.0,,,14-12,,Offensive rebound by Z. Pachulia
5:50.0,,,14-14,2,Z. Pachulia makes 2-pt shot from 4 ft
5:39.0,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton),3,17-14,,
5:25.0,,,17-16,2,K. Durant makes 2-pt shot from 1 ft (assist by K. Thompson)
5:07.0,E. Fournier misses 2-pt shot from 3 ft (block by Z. Pachulia),,17-16,,
5:05.0,,,17-16,,Defensive rebound by D. Green
5:00.0,,,17-16,,S. Livingston misses 2-pt shot from 2 ft
5:00.0,,,17-16,,Offensive rebound by D. Green
5:00.0,,,17-18,2,D. Green makes 2-pt shot at rim
5:00.0,Orlando full timeout,,17-18,,
5:00.0,,,17-18,,A. Iguodala enters the game for D. Green
5:00.0,,,17-18,,N. Young enters the game for Z. Pachulia
5:00.0,,,17-18,,J. McGee enters the game for S. Livingston
5:00.0,J. Simmons enters the game for T. Ross,,17-18,,
4:48.0,Offensive charge foul by A. Gordon (drawn by K. Durant),,17-18,,
4:48.0,Turnover by A. Gordon (offensive foul),,17-18,,
4:43.0,,,17-18,,Turnover by A. Iguodala (bad pass)
4:13.0,N. Vucevic makes 2-pt shot from 2 ft (assist by J. Simmons),2,19-18,,
3:57.0,,,19-18,,K. Durant misses 2-pt shot from 1 ft
3:52.0,Defensive rebound by N. Vucevic,,19-18,,
3:50.0,,,19-18,,Personal foul by N. Young (drawn by E. Payton)
3:50.0,,,19-18,,O. Casspi enters the game for K. Thompson
3:50.0,S. Mack enters the game for E. Payton,,19-18,,
3:46.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Fournier),2,21-18,,
3:23.0,,,21-18,,N. Young misses 3-pt shot from 23 ft
3:19.0,Defensive rebound by J. Simmons,,21-18,,
3:12.0,E. Fournier makes 2-pt shot from 1 ft (assist by S. Mack),2,23-18,,
3:12.0,,,23-18,,Golden State full timeout
2:59.0,Personal foul by E. Fournier (drawn by A. Iguodala),,23-18,,
2:52.0,,,23-20,2,J. McGee makes 2-pt shot at rim (assist by O. Casspi)
2:39.0,N. Vucevic misses 3-pt shot from 24 ft,,23-20,,
2:36.0,,,23-20,,Defensive rebound by K. Durant
2:30.0,,,23-20,,K. Durant misses 2-pt shot from 13 ft
2:23.0,Defensive rebound by J. Simmons,,23-20,,
