time,Miami,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. H. Whiteside (J. Wall gains possession),,,,Jump ball: M. Gortat vs. H. Whiteside (J. Wall gains possession)
11:43.0,,,0-2,2,M. Morris makes 2-pt shot from 13 ft
11:22.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,2-2,,
11:01.0,,,2-4,2,M. Morris makes 2-pt shot from 11 ft
10:45.0,G. Dragic misses 3-pt shot from 27 ft,,2-4,,
10:45.0,,,2-4,,Defensive rebound by Team
10:44.0,J. Johnson enters the game for J. Winslow,,2-4,,
10:26.0,,,2-4,,O. Porter misses 3-pt shot from 23 ft
10:23.0,,,2-4,,Offensive rebound by O. Porter
10:22.0,,,2-4,,Shooting foul by G. Dragic (drawn by O. Porter)
10:22.0,,,2-5,1,O. Porter makes free throw 1 of 2
10:22.0,,,2-6,1,O. Porter makes free throw 2 of 2
10:04.0,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Waiters),2,4-6,,
10:04.0,Shooting foul by M. Morris (drawn by H. Whiteside),,4-6,,
10:04.0,H. Whiteside makes free throw 1 of 1,1,5-6,,
9:47.0,,,5-6,,O. Porter misses 2-pt shot from 13 ft (block by J. Richardson)
9:44.0,Defensive rebound by H. Whiteside,,5-6,,
9:33.0,J. Richardson misses 3-pt shot from 25 ft,,5-6,,
9:30.0,Offensive rebound by J. Johnson,,5-6,,
9:28.0,D. Waiters misses 3-pt shot from 26 ft,,5-6,,
9:24.0,Offensive rebound by J. Richardson,,5-6,,
9:03.0,G. Dragic misses 2-pt shot from 6 ft,,5-6,,
9:00.0,,,5-6,,Defensive rebound by M. Morris
8:56.0,,,5-6,,J. Wall misses 3-pt shot from 25 ft
8:55.0,,,5-6,,Offensive rebound by Team
8:55.0,Loose ball foul by H. Whiteside (drawn by M. Gortat),,5-6,,
8:49.0,,,5-6,,M. Gortat misses 2-pt shot from 10 ft
8:46.0,Defensive rebound by H. Whiteside,,5-6,,
8:36.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic),3,8-6,,
8:22.0,,,8-6,,B. Beal misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by H. Whiteside,,8-6,,
8:05.0,D. Waiters misses 2-pt shot from 18 ft,,8-6,,
8:01.0,,,8-6,,Defensive rebound by O. Porter
7:55.0,,,8-6,,Shooting foul by J. Richardson (drawn by M. Gortat)
7:55.0,,,8-7,1,M. Gortat makes free throw 1 of 2
7:55.0,,,8-7,,M. Gortat misses free throw 2 of 2
7:53.0,Defensive rebound by J. Richardson,,8-7,,
7:29.0,D. Waiters makes 3-pt shot from 25 ft (assist by H. Whiteside),3,11-7,,
7:09.0,,,11-7,,M. Morris misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by H. Whiteside,,11-7,,
7:02.0,Shooting foul by B. Beal (drawn by D. Waiters),,11-7,,
7:02.0,D. Waiters makes free throw 1 of 2,1,12-7,,
7:02.0,D. Waiters makes free throw 2 of 2,1,13-7,,
6:50.0,,,13-7,,B. Beal misses 2-pt shot from 1 ft
6:48.0,Defensive rebound by H. Whiteside,,13-7,,
6:44.0,J. Richardson misses 2-pt shot at rim (block by M. Morris),,13-7,,
6:44.0,,,13-7,,Defensive rebound by J. Wall
6:29.0,,,13-9,2,M. Gortat makes 2-pt shot from 10 ft
6:11.0,J. Johnson misses 3-pt shot from 26 ft,,13-9,,
6:08.0,,,13-9,,Defensive rebound by M. Gortat
5:59.0,,,13-9,,B. Beal misses 2-pt shot from 18 ft
5:55.0,Defensive rebound by J. Johnson,,13-9,,
5:47.0,J. Johnson makes 2-pt shot at rim (assist by D. Waiters),2,15-9,,
5:47.0,,,15-9,,Washington full timeout
5:47.0,T. Johnson enters the game for J. Richardson,,15-9,,
5:31.0,,,15-9,,O. Porter misses 2-pt shot from 12 ft
5:28.0,Defensive rebound by J. Johnson,,15-9,,
5:18.0,G. Dragic makes 2-pt shot from 1 ft,2,17-9,,
5:03.0,,,17-9,,Turnover by M. Gortat (out of bounds lost ball)
4:51.0,,,17-9,,Personal foul by M. Gortat (drawn by G. Dragic)
4:51.0,,,17-9,,K. Oubre enters the game for M. Morris
4:43.0,J. Johnson misses 3-pt shot from 24 ft,,17-9,,
4:39.0,,,17-9,,Defensive rebound by B. Beal
4:29.0,,,17-11,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:22.0,Offensive foul by H. Whiteside (drawn by K. Oubre),,17-11,,
4:22.0,Turnover by H. Whiteside (offensive foul),,17-11,,
4:22.0,K. Olynyk enters the game for H. Whiteside,,17-11,,
4:07.0,,,17-11,,J. Wall misses 2-pt shot from 5 ft
4:05.0,Defensive rebound by G. Dragic,,17-11,,
4:02.0,G. Dragic makes 2-pt shot from 1 ft,2,19-11,,
3:38.0,,,19-11,,K. Oubre misses 2-pt shot from 8 ft
3:38.0,,,19-11,,M. Gortat misses 2-pt shot from 2 ft
3:38.0,Defensive rebound by T. Johnson,,19-11,,
3:37.0,,,19-11,,Defensive rebound by M. Gortat
3:30.0,J. Johnson makes 2-pt shot from 1 ft (assist by T. Johnson),2,21-11,,
3:10.0,,,21-11,,Turnover by M. Gortat (bad pass; steal by G. Dragic)
3:06.0,T. Johnson makes 2-pt shot from 2 ft (assist by G. Dragic),2,23-11,,
3:06.0,,,23-11,,Washington full timeout
3:06.0,,,23-11,,I. Mahinmi enters the game for M. Gortat
3:06.0,W. Ellington enters the game for G. Dragic,,23-11,,
2:54.0,Personal foul by K. Olynyk (drawn by B. Beal),,23-11,,
2:41.0,,,23-13,2,K. Oubre makes 2-pt shot from 16 ft
2:16.0,D. Waiters misses 2-pt shot from 1 ft,,23-13,,
2:16.0,,,23-13,,Defensive rebound by B. Beal
2:06.0,,,23-13,,K. Oubre misses 3-pt shot from 22 ft
2:03.0,Defensive rebound by K. Olynyk,,23-13,,
1:58.0,T. Johnson makes 3-pt shot from 26 ft (assist by J. Johnson),3,26-13,,
1:44.0,,,26-13,,Offensive foul by K. Oubre (drawn by D. Waiters)
1:44.0,,,26-13,,Turnover by K. Oubre (offensive foul)
1:44.0,,,26-13,,T. Frazier enters the game for J. Wall
1:44.0,,,26-13,,M. Scott enters the game for O. Porter
1:27.0,D. Waiters misses 2-pt shot from 18 ft,,26-13,,
1:24.0,,,26-13,,Defensive rebound by I. Mahinmi
1:16.0,,,26-13,,M. Scott misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by D. Waiters,,26-13,,
1:04.0,W. Ellington misses 3-pt shot from 25 ft,,26-13,,
1:03.0,,,26-13,,Defensive rebound by K. Oubre
1:03.0,Personal foul by T. Johnson (drawn by K. Oubre),,26-13,,
1:03.0,,,26-14,1,K. Oubre makes free throw 1 of 2
1:03.0,J. Richardson enters the game for D. Waiters,,26-14,,
1:03.0,,,26-15,1,K. Oubre makes free throw 2 of 2
0:46.0,J. Johnson misses 2-pt shot from 1 ft (block by I. Mahinmi),,26-15,,
0:43.0,,,26-15,,Defensive rebound by K. Oubre
0:27.0,,,26-15,,I. Mahinmi misses 2-pt shot from 4 ft (block by K. Olynyk)
0:25.0,Defensive rebound by J. Johnson,,26-15,,
0:07.0,Turnover by T. Johnson (out of bounds lost ball),,26-15,,
0:00.0,,,26-17,2,M. Scott makes 2-pt shot from 17 ft (assist by K. Oubre)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,J. Richardson misses 3-pt shot from 31 ft,,26-17,,
11:33.0,Offensive rebound by K. Olynyk,,26-17,,
11:32.0,T. Johnson misses 3-pt shot from 27 ft,,26-17,,
11:29.0,,,26-17,,Defensive rebound by T. Frazier
11:13.0,,,26-17,,Turnover by K. Oubre (bad pass; steal by J. Winslow)
10:54.0,J. Richardson misses 2-pt shot from 3 ft,,26-17,,
10:54.0,Offensive rebound by Team,,26-17,,
10:53.0,K. Olynyk misses 2-pt shot from 13 ft,,26-17,,
10:49.0,,,26-17,,Defensive rebound by K. Oubre
10:38.0,,,26-17,,T. Frazier misses 3-pt shot from 26 ft (block by T. Johnson)
10:34.0,,,26-17,,Offensive rebound by I. Mahinmi
10:33.0,,,26-19,2,I. Mahinmi makes 2-pt shot from 9 ft
10:21.0,J. Winslow makes 2-pt shot from 2 ft (assist by T. Johnson),2,28-19,,
10:04.0,,,28-19,,Offensive foul by M. Scott (drawn by J. Winslow)
10:04.0,,,28-19,,Turnover by M. Scott (offensive foul)
9:51.0,W. Ellington makes 3-pt shot from 25 ft,3,31-19,,
9:51.0,Shooting foul by J. Meeks (drawn by W. Ellington),,31-19,,
9:51.0,W. Ellington makes free throw 1 of 1,1,32-19,,
9:39.0,,,32-19,,K. Oubre misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by T. Johnson,,32-19,,
9:27.0,T. Johnson misses 3-pt shot from 26 ft,,32-19,,
9:22.0,Offensive rebound by K. Olynyk,,32-19,,
9:21.0,,,32-19,,Personal foul by T. Frazier (drawn by J. Winslow)
9:08.0,J. Winslow misses 3-pt shot from 24 ft,,32-19,,
9:04.0,,,32-19,,Defensive rebound by T. Frazier
8:57.0,,,32-19,,J. Meeks misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by Team,,32-19,,
8:46.0,Turnover by K. Olynyk (turnover),,32-19,,
8:46.0,Loose ball foul by K. Olynyk (drawn by T. Frazier),,32-19,,
8:33.0,,,32-19,,K. Oubre misses 2-pt shot from 11 ft
8:31.0,Defensive rebound by J. Winslow,,32-19,,
8:26.0,K. Olynyk makes 2-pt shot from 2 ft (assist by J. Winslow),2,34-19,,
8:26.0,,,34-19,,Washington full timeout
8:04.0,,,34-19,,K. Oubre misses 3-pt shot from 23 ft
8:00.0,Defensive rebound by W. Ellington,,34-19,,
7:49.0,K. Olynyk makes 3-pt shot from 23 ft (assist by T. Johnson),3,37-19,,
7:34.0,,,37-21,2,M. Scott makes 2-pt shot from 5 ft (assist by T. Frazier)
