time,Houston,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. C. Capela (J. Green gains possession),,,,Jump ball: M. Gasol vs. C. Capela (J. Green gains possession)
11:43.0,,,0-0,,M. Gasol misses 2-pt shot from 10 ft
11:39.0,Defensive rebound by C. Paul,,0-0,,
11:33.0,R. Anderson makes 3-pt shot from 23 ft (assist by C. Paul),3,3-0,,
11:22.0,,,3-2,2,D. Brooks makes 2-pt shot at rim (assist by M. Gasol)
11:04.0,C. Paul makes 3-pt shot from 25 ft (assist by J. Harden),3,6-2,,
10:41.0,,,6-4,2,C. Parsons makes 2-pt shot from 1 ft (assist by M. Chalmers)
10:17.0,C. Capela misses 2-pt shot from 15 ft,,6-4,,
10:14.0,,,6-4,,Defensive rebound by C. Parsons
10:02.0,,,6-6,2,J. Green makes 2-pt shot from 1 ft (assist by M. Chalmers)
9:44.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,8-6,,
9:44.0,Shooting foul by D. Brooks (drawn by C. Capela),,8-6,,
9:44.0,C. Capela makes free throw 1 of 1,1,9-6,,
9:31.0,,,9-8,2,C. Parsons makes 2-pt shot from 1 ft
9:20.0,R. Anderson misses 3-pt shot from 27 ft,,9-8,,
9:19.0,,,9-8,,Defensive rebound by J. Green
9:11.0,,,9-8,,M. Chalmers misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by C. Capela,,9-8,,
8:59.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,11-8,,
8:42.0,,,11-8,,J. Green misses 2-pt shot from 23 ft
8:40.0,Defensive rebound by J. Harden,,11-8,,
8:34.0,C. Capela misses 2-pt shot from 1 ft (block by M. Gasol),,11-8,,
8:34.0,,,11-8,,Defensive rebound by M. Chalmers
8:28.0,,,11-10,2,D. Brooks makes 2-pt shot from 1 ft (assist by M. Chalmers)
8:12.0,J. Harden makes 3-pt shot from 22 ft (assist by C. Paul),3,14-10,,
8:06.0,,,14-10,,Memphis full timeout
