time,Denver,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. P. Millsap (L. Ball gains possession),,,,Jump ball: B. Lopez vs. P. Millsap (L. Ball gains possession)
11:45.0,,,0-3,3,K. Kuzma makes 3-pt shot from 27 ft (assist by L. Ball)
11:34.0,Turnover by W. Chandler (traveling),,0-3,,
11:20.0,,,0-3,,L. Ball misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by P. Millsap,,0-3,,
11:07.0,J. Murray misses 3-pt shot from 26 ft,,0-3,,
11:02.0,,,0-3,,Defensive rebound by B. Ingram
11:00.0,Personal foul by N. Jokic (drawn by B. Lopez),,0-3,,
10:52.0,,,0-3,,K. Kuzma misses 2-pt shot from 21 ft
10:49.0,Defensive rebound by W. Chandler,,0-3,,
10:40.0,N. Jokic misses 2-pt shot from 9 ft,,0-3,,
10:31.0,Offensive rebound by P. Millsap,,0-3,,
10:31.0,P. Millsap makes 2-pt shot at rim,2,2-3,,
10:19.0,,,2-3,,B. Lopez misses 2-pt shot from 2 ft
10:17.0,Defensive rebound by N. Jokic,,2-3,,
10:07.0,Shooting foul by L. Ball (drawn by W. Chandler),,2-3,,
10:07.0,W. Chandler makes free throw 1 of 2,1,3-3,,
10:07.0,W. Chandler makes free throw 2 of 2,1,4-3,,
10:01.0,,,4-3,,K. Caldwell-Pope misses 3-pt shot from 25 ft
9:56.0,,,4-3,,Offensive rebound by K. Kuzma
9:54.0,,,4-5,2,K. Kuzma makes 2-pt shot from 17 ft
9:40.0,G. Harris misses 2-pt shot from 2 ft,,4-5,,
9:37.0,Offensive rebound by G. Harris,,4-5,,
9:35.0,Shooting foul by B. Lopez (drawn by J. Murray),,4-5,,
9:35.0,J. Murray makes free throw 1 of 2,1,5-5,,
9:35.0,J. Murray makes free throw 2 of 2,1,6-5,,
9:11.0,,,6-8,3,B. Lopez makes 3-pt shot from 24 ft (assist by L. Ball)
9:00.0,W. Chandler misses 3-pt shot from 25 ft,,6-8,,
8:58.0,,,6-8,,Defensive rebound by K. Kuzma
8:53.0,,,6-8,,K. Kuzma misses 2-pt shot from 1 ft
8:50.0,Defensive rebound by J. Murray,,6-8,,
8:46.0,Turnover by J. Murray (bad pass; steal by K. Caldwell-Pope),,6-8,,
8:38.0,,,6-8,,Turnover by B. Ingram (bad pass; steal by J. Murray)
8:23.0,W. Chandler makes 3-pt shot from 26 ft (assist by N. Jokic),3,9-8,,
8:16.0,,,9-8,,K. Kuzma misses 3-pt shot from 23 ft
8:11.0,Defensive rebound by J. Murray,,9-8,,
8:01.0,G. Harris makes 2-pt shot from 2 ft (assist by P. Millsap),2,11-8,,
8:00.0,,,11-8,,LA Lakers full timeout
8:00.0,,,11-8,,J. Randle enters the game for K. Kuzma
7:50.0,,,11-11,3,B. Lopez makes 3-pt shot from 26 ft (assist by L. Ball)
7:27.0,W. Chandler misses 3-pt shot from 27 ft,,11-11,,
7:24.0,,,11-11,,Defensive rebound by L. Ball
7:19.0,,,11-11,,L. Ball misses 2-pt shot from 7 ft
7:14.0,Defensive rebound by P. Millsap,,11-11,,
7:04.0,P. Millsap misses 2-pt shot from 5 ft (block by B. Lopez),,11-11,,
6:58.0,Offensive rebound by N. Jokic,,11-11,,
6:56.0,N. Jokic makes 2-pt shot from 1 ft,2,13-11,,
6:45.0,,,13-14,3,B. Ingram makes 3-pt shot from 25 ft (assist by B. Lopez)
6:20.0,Shooting foul by B. Ingram (drawn by N. Jokic),,13-14,,
6:20.0,N. Jokic makes free throw 1 of 2,1,14-14,,
6:20.0,N. Jokic makes free throw 2 of 2,1,15-14,,
6:19.0,N. Jokic misses 2-pt shot from 5 ft (block by K. Caldwell-Pope),,15-14,,
6:19.0,Offensive rebound by N. Jokic,,15-14,,
6:05.0,,,15-16,2,J. Randle makes 2-pt shot from 3 ft (assist by B. Lopez)
6:05.0,,,15-16,,Shooting foul by N. Jokic (drawn by J. Randle)
6:05.0,M. Plumlee enters the game for N. Jokic,,15-16,,
6:05.0,W. Barton enters the game for W. Chandler,,15-16,,
6:05.0,,,15-17,1,J. Randle makes free throw 1 of 1
5:48.0,,,15-17,,Personal foul by J. Randle (drawn by P. Millsap)
5:43.0,G. Harris makes 2-pt shot from 13 ft (assist by W. Barton),2,17-17,,
5:27.0,,,17-19,2,B. Lopez makes 2-pt shot from 4 ft (assist by B. Ingram)
5:11.0,W. Barton misses 3-pt shot from 25 ft,,17-19,,
5:11.0,Offensive rebound by P. Millsap,,17-19,,
5:04.0,P. Millsap makes 3-pt shot from 25 ft,3,20-19,,
4:51.0,,,20-21,2,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram)
4:33.0,P. Millsap misses 2-pt shot from 2 ft,,20-21,,
4:31.0,Offensive rebound by J. Murray,,20-21,,
4:25.0,Turnover by M. Plumlee (bad pass; steal by K. Caldwell-Pope),,20-21,,
4:21.0,,,20-21,,Turnover by K. Caldwell-Pope (bad pass)
4:21.0,,,20-21,,J. Clarkson enters the game for L. Ball
4:21.0,E. Mudiay enters the game for J. Murray,,20-21,,
4:09.0,Turnover by G. Harris (lost ball; steal by K. Caldwell-Pope),,20-21,,
4:05.0,,,20-21,,B. Ingram misses 2-pt shot from 2 ft
4:05.0,,,20-21,,Offensive rebound by J. Clarkson
4:01.0,,,20-21,,J. Clarkson misses 2-pt shot at rim
4:01.0,,,20-21,,Offensive rebound by J. Clarkson
4:01.0,,,20-23,2,J. Clarkson makes 2-pt shot at rim
