time,Chicago,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. R. Lopez (L. Markkanen gains possession),,,,Jump ball: G. Monroe vs. R. Lopez (L. Markkanen gains possession)
11:45.0,J. Holiday misses 2-pt shot from 1 ft (block by G. Monroe),,0-0,,
11:42.0,,,0-0,,Defensive rebound by T. Ulis
11:40.0,,,0-2,2,M. Chriss makes 2-pt shot from 1 ft (assist by T. Warren)
11:28.0,D. Valentine misses 2-pt shot from 8 ft (block by T. Warren),,0-2,,
11:27.0,,,0-2,,Defensive rebound by G. Monroe
11:26.0,Loose ball foul by D. Valentine (drawn by G. Monroe),,0-2,,
11:11.0,,,0-4,2,D. Booker makes 2-pt shot from 19 ft (assist by M. Chriss)
10:52.0,R. Lopez misses 2-pt shot from 20 ft,,0-4,,
10:51.0,Offensive rebound by Team,,0-4,,
10:51.0,,,0-4,,Personal foul by T. Ulis (drawn by L. Markkanen)
10:46.0,J. Holiday misses 2-pt shot from 16 ft,,0-4,,
10:41.0,,,0-4,,Defensive rebound by M. Chriss
10:38.0,,,0-4,,D. Booker misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by D. Valentine,,0-4,,
10:29.0,L. Markkanen makes 3-pt shot from 24 ft (assist by J. Grant),3,3-4,,
10:09.0,,,3-4,,T. Warren misses 3-pt shot from 22 ft
10:06.0,Defensive rebound by L. Markkanen,,3-4,,
9:56.0,L. Markkanen makes 2-pt shot at rim,2,5-4,,
9:38.0,,,5-6,2,M. Chriss makes 2-pt shot at rim (assist by G. Monroe)
9:25.0,R. Lopez makes 2-pt shot from 7 ft (assist by J. Grant),2,7-6,,
9:17.0,,,7-6,,T. Warren misses 2-pt shot from 1 ft
9:15.0,Defensive rebound by R. Lopez,,7-6,,
9:01.0,Turnover by J. Grant (bad pass),,7-6,,
8:39.0,,,7-8,2,G. Monroe makes 2-pt shot from 12 ft (assist by D. Booker)
8:21.0,J. Holiday misses 2-pt shot from 12 ft,,7-8,,
8:18.0,,,7-8,,Defensive rebound by T. Ulis
8:12.0,,,7-10,2,G. Monroe makes 2-pt shot at rim (assist by T. Ulis)
7:54.0,J. Holiday makes 2-pt shot from 18 ft,2,9-10,,
7:37.0,,,9-12,2,T. Warren makes 2-pt shot at rim
7:24.0,D. Valentine makes 3-pt shot from 24 ft (assist by L. Markkanen),3,12-12,,
7:06.0,Personal foul by J. Holiday (drawn by D. Booker),,12-12,,
6:57.0,,,12-14,2,T. Warren makes 2-pt shot at rim (assist by G. Monroe)
6:39.0,J. Holiday misses 2-pt shot from 7 ft,,12-14,,
6:39.0,,,12-14,,Defensive rebound by Team
6:39.0,,,12-14,,Phoenix full timeout
6:27.0,,,12-14,,Turnover by M. Chriss (bad pass)
6:11.0,L. Markkanen misses 3-pt shot from 25 ft,,12-14,,
6:10.0,R. Lopez misses 2-pt shot at rim,,12-14,,
6:10.0,Offensive rebound by R. Lopez,,12-14,,
6:09.0,Offensive rebound by R. Lopez,,12-14,,
6:05.0,R. Lopez makes 2-pt shot at rim,2,14-14,,
5:47.0,,,14-17,3,D. Booker makes 3-pt shot from 23 ft (assist by T. Ulis)
5:32.0,L. Markkanen makes 2-pt shot from 14 ft,2,16-17,,
5:13.0,,,16-17,,T. Ulis misses 2-pt shot from 10 ft
5:11.0,Defensive rebound by D. Valentine,,16-17,,
5:04.0,L. Markkanen misses 3-pt shot from 25 ft,,16-17,,
5:01.0,,,16-17,,Defensive rebound by G. Monroe
4:54.0,,,16-17,,Turnover by D. Booker (bad pass)
4:54.0,,,16-17,,A. Len enters the game for G. Monroe
4:54.0,K. Dunn enters the game for J. Grant,,16-17,,
4:42.0,Shooting foul by M. Chriss (drawn by R. Lopez),,16-17,,
