time,Phoenix,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Chandler (D. Bender gains possession),,,,Jump ball: R. Lopez vs. T. Chandler (D. Bender gains possession)
11:42.0,T. Warren misses 2-pt shot from 19 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by K. Dunn
11:29.0,,,0-2,2,K. Dunn makes 2-pt shot from 1 ft (assist by R. Lopez)
11:10.0,Turnover by D. Booker (bad pass; steal by J. Holiday),,0-2,,
11:06.0,,,0-4,2,K. Dunn makes 2-pt shot at rim
10:53.0,,,0-4,,Personal foul by K. Dunn (drawn by T. Ulis)
10:47.0,D. Booker misses 3-pt shot from 25 ft (block by J. Holiday),,0-4,,
10:42.0,,,0-4,,Defensive rebound by R. Lopez
10:29.0,,,0-4,,R. Lopez misses 2-pt shot from 19 ft
10:24.0,Defensive rebound by T. Ulis,,0-4,,
10:07.0,T. Ulis makes 2-pt shot from 4 ft (assist by T. Chandler),2,2-4,,
9:43.0,,,2-7,3,J. Holiday makes 3-pt shot from 25 ft (assist by K. Dunn)
9:31.0,T. Warren makes 2-pt shot from 11 ft (assist by D. Bender),2,4-7,,
9:20.0,,,4-7,,Offensive foul by R. Lopez (drawn by T. Chandler)
9:20.0,,,4-7,,Turnover by R. Lopez (offensive foul)
9:08.0,T. Ulis makes 2-pt shot from 12 ft (assist by D. Bender),2,6-7,,
8:51.0,,,6-9,2,K. Dunn makes 2-pt shot from 5 ft
8:44.0,D. Booker misses 2-pt shot from 7 ft,,6-9,,
8:41.0,,,6-9,,Defensive rebound by L. Markkanen
8:33.0,,,6-9,,R. Lopez misses 2-pt shot from 5 ft
8:28.0,,,6-9,,Offensive rebound by R. Lopez
8:28.0,,,6-9,,R. Lopez misses 2-pt shot at rim
8:24.0,,,6-9,,Offensive rebound by R. Lopez
8:21.0,,,6-9,,J. Holiday misses 3-pt shot from 25 ft
8:21.0,,,6-9,,Offensive rebound by R. Lopez
8:21.0,,,6-9,,R. Lopez misses 2-pt shot at rim
8:21.0,Defensive rebound by T. Chandler,,6-9,,
8:21.0,Shooting foul by J. Holiday (drawn by D. Booker),,6-9,,
8:21.0,D. Booker makes free throw 1 of 2,1,7-9,,
8:21.0,D. Booker makes free throw 2 of 2,1,8-9,,
8:10.0,Personal foul by D. Bender (drawn by R. Lopez),,8-9,,
7:54.0,,,8-12,3,K. Dunn makes 3-pt shot from 25 ft
7:43.0,T. Ulis misses 2-pt shot from 15 ft,,8-12,,
7:40.0,,,8-12,,Defensive rebound by L. Markkanen
7:35.0,,,8-12,,Turnover by D. Valentine (lost ball; steal by T. Warren)
7:29.0,T. Warren makes 2-pt shot at rim,2,10-12,,
7:12.0,,,10-15,3,J. Holiday makes 3-pt shot from 23 ft (assist by K. Dunn)
6:57.0,Turnover by D. Booker (bad pass; steal by K. Dunn),,10-15,,
6:56.0,,,10-15,,Shooting foul by D. Bender (drawn by L. Markkanen)
6:56.0,,,10-15,,Chicago full timeout
6:56.0,M. Chriss enters the game for D. Bender,,10-15,,
6:56.0,,,10-15,,L. Markkanen misses free throw 1 of 2
6:56.0,,,10-15,,Offensive rebound by Team
6:56.0,,,10-16,1,L. Markkanen makes free throw 2 of 2
6:42.0,D. Booker misses 2-pt shot from 20 ft,,10-16,,
6:39.0,,,10-16,,Defensive rebound by K. Dunn
6:16.0,,,10-16,,J. Holiday misses 2-pt shot from 20 ft
6:13.0,Defensive rebound by M. Chriss,,10-16,,
6:11.0,Turnover by M. Chriss (traveling),,10-16,,
6:00.0,,,10-18,2,R. Lopez makes 2-pt shot from 1 ft (assist by L. Markkanen)
5:44.0,T. Warren makes 3-pt shot from 25 ft (assist by D. Booker),3,13-18,,
5:25.0,,,13-18,,R. Lopez misses 2-pt shot from 13 ft
5:25.0,Defensive rebound by D. Booker,,13-18,,
5:16.0,D. Booker makes 2-pt shot at rim,2,15-18,,
5:16.0,Shooting foul by K. Dunn (drawn by D. Booker),,15-18,,
5:16.0,,,15-18,,J. Grant enters the game for K. Dunn
5:16.0,A. Len enters the game for T. Chandler,,15-18,,
5:16.0,D. Booker makes free throw 1 of 1,1,16-18,,
4:55.0,,,16-18,,L. Markkanen misses 2-pt shot from 23 ft
4:51.0,Defensive rebound by D. Booker,,16-18,,
4:34.0,D. Booker makes 3-pt shot from 23 ft (assist by T. Ulis),2,19-18,,
4:16.0,,,19-18,,L. Markkanen misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by T. Ulis,,19-18,,
4:01.0,A. Len makes 2-pt shot from 2 ft (assist by T. Ulis),2,21-18,,
3:50.0,,,21-18,,R. Lopez misses 2-pt shot from 22 ft
3:46.0,Defensive rebound by A. Len,,21-18,,
3:31.0,Turnover by M. Chriss (bad pass; steal by J. Holiday),,21-18,,
3:27.0,,,21-20,2,J. Holiday makes 2-pt shot from 1 ft (assist by D. Valentine)
3:14.0,M. Chriss misses 3-pt shot from 26 ft,,21-20,,
3:11.0,,,21-20,,Defensive rebound by J. Holiday
3:03.0,,,21-20,,J. Grant misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by T. Warren,,21-20,,
2:56.0,T. Warren misses 2-pt shot from 1 ft,,21-20,,
2:56.0,Offensive rebound by A. Len,,21-20,,
2:50.0,D. Booker makes 3-pt shot from 24 ft (assist by T. Ulis),3,24-20,,
2:27.0,,,24-20,,L. Markkanen misses 3-pt shot from 23 ft
2:26.0,,,24-20,,Offensive rebound by R. Lopez
2:16.0,,,24-22,2,R. Lopez makes 2-pt shot from 1 ft
1:53.0,T. Warren makes 2-pt shot from 9 ft,2,26-22,,
1:35.0,,,26-25,3,L. Markkanen makes 3-pt shot from 25 ft (assist by D. Valentine)
1:33.0,Phoenix full timeout,,26-25,,
1:33.0,,,26-25,,A. Blakeney enters the game for L. Markkanen
1:33.0,,,26-25,,B. Portis enters the game for D. Valentine
1:33.0,J. Jackson enters the game for D. Booker,,26-25,,
1:33.0,T. Daniels enters the game for T. Ulis,,26-25,,
1:33.0,M. James enters the game for T. Warren,,26-25,,
1:11.0,M. James misses 3-pt shot from 25 ft,,26-25,,
1:07.0,Offensive rebound by M. Chriss,,26-25,,
1:02.0,M. Chriss makes 2-pt shot from 2 ft,2,28-25,,
0:50.0,,,28-27,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Holiday)
0:50.0,Violation by M. Chriss (def goaltending),,28-27,,
0:34.0,T. Daniels misses 3-pt shot from 25 ft,,28-27,,
0:31.0,,,28-27,,Defensive rebound by A. Blakeney
0:28.0,Personal foul by J. Jackson (drawn by A. Blakeney),,28-27,,
0:13.0,,,28-29,2,A. Blakeney makes 2-pt shot from 15 ft
0:02.0,M. James misses 2-pt shot from 22 ft,,28-29,,
0:02.0,,,28-29,,Defensive rebound by B. Portis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:56.0,Personal foul by M. James (drawn by J. Grant),,28-29,,
11:47.0,,,28-29,,A. Blakeney misses 3-pt shot from 22 ft
11:44.0,Defensive rebound by A. Len,,28-29,,
11:32.0,T. Daniels makes 3-pt shot from 23 ft (assist by M. James),3,31-29,,
11:15.0,,,31-29,,P. Zipser misses 2-pt shot from 19 ft
11:10.0,,,31-29,,Offensive rebound by B. Portis
11:08.0,,,31-31,2,B. Portis makes 2-pt shot from 1 ft
10:47.0,A. Len makes 2-pt shot at rim (assist by M. James),2,33-31,,
10:34.0,,,33-31,,P. Zipser misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by A. Len,,33-31,,
10:14.0,M. James misses 3-pt shot from 24 ft,,33-31,,
10:14.0,Offensive rebound by A. Len,,33-31,,
9:59.0,J. Jackson misses 2-pt shot from 1 ft (block by P. Zipser),,33-31,,
9:58.0,,,33-31,,Defensive rebound by B. Portis
9:55.0,,,33-31,,A. Blakeney misses 2-pt shot from 1 ft
9:55.0,,,33-31,,Offensive rebound by Team
9:46.0,,,33-31,,P. Zipser misses 3-pt shot from 23 ft
9:42.0,Defensive rebound by M. Chriss,,33-31,,
9:32.0,T. Daniels misses 3-pt shot from 25 ft,,33-31,,
9:28.0,,,33-31,,Defensive rebound by P. Zipser
9:25.0,Personal foul by J. Jackson (drawn by P. Zipser),,33-31,,
9:25.0,T. Warren enters the game for J. Jackson,,33-31,,
9:16.0,,,33-31,,J. Grant misses 2-pt shot from 19 ft
9:12.0,Defensive rebound by M. Chriss,,33-31,,
9:06.0,M. James makes 2-pt shot from 6 ft,2,35-31,,
9:06.0,,,35-31,,Chicago full timeout
9:06.0,,,35-31,,D. Valentine enters the game for A. Blakeney
8:56.0,,,35-31,,J. Grant misses 2-pt shot from 21 ft
8:51.0,Defensive rebound by A. Len,,35-31,,
8:39.0,A. Len misses 2-pt shot from 1 ft,,35-31,,
8:38.0,Offensive rebound by A. Len,,35-31,,
8:38.0,A. Len misses 2-pt shot from 1 ft (block by P. Zipser),,35-31,,
8:37.0,,,35-31,,Defensive rebound by P. Zipser
8:23.0,,,35-31,,D. Valentine misses 3-pt shot from 23 ft
8:23.0,Defensive rebound by M. Chriss,,35-31,,
8:17.0,Turnover by M. James (bad pass),,35-31,,
8:17.0,,,35-31,,K. Dunn enters the game for J. Grant
8:07.0,,,35-34,3,B. Portis makes 3-pt shot from 25 ft (assist by K. Dunn)
7:45.0,,,35-34,,Personal foul by C. Felicio (drawn by M. James)
7:37.0,T. Daniels misses 2-pt shot from 19 ft,,35-34,,
7:33.0,,,35-34,,Defensive rebound by B. Portis
7:26.0,,,35-34,,B. Portis misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by A. Len,,35-34,,
7:12.0,M. Chriss makes 2-pt shot at rim (assist by M. James),2,37-34,,
6:58.0,,,37-34,,P. Zipser misses 3-pt shot from 26 ft
6:55.0,Defensive rebound by A. Len,,37-34,,
6:47.0,,,37-34,,R. Lopez enters the game for B. Portis
6:47.0,,,37-34,,J. Holiday enters the game for C. Felicio
6:47.0,,,37-34,,L. Markkanen enters the game for P. Zipser
6:47.0,D. Booker enters the game for M. Chriss,,37-34,,
6:47.0,D. Bender enters the game for T. Daniels,,37-34,,
6:47.0,T. Ulis enters the game for M. James,,37-34,,
6:34.0,Turnover by D. Booker (bad pass; steal by K. Dunn),,37-34,,
6:29.0,,,37-34,,K. Dunn misses 2-pt shot from 8 ft
6:24.0,Defensive rebound by T. Ulis,,37-34,,
6:17.0,T. Warren misses 3-pt shot from 23 ft,,37-34,,
6:13.0,,,37-34,,Defensive rebound by L. Markkanen
6:00.0,,,37-36,2,K. Dunn makes 2-pt shot from 2 ft
5:44.0,T. Warren misses 3-pt shot from 24 ft,,37-36,,
5:40.0,,,37-36,,Defensive rebound by K. Dunn
5:34.0,,,37-36,,L. Markkanen misses 3-pt shot from 26 ft
5:30.0,Defensive rebound by D. Bender,,37-36,,
5:22.0,D. Booker misses 2-pt shot from 13 ft,,37-36,,
5:19.0,,,37-36,,Defensive rebound by L. Markkanen
5:11.0,,,37-36,,L. Markkanen misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by A. Len,,37-36,,
5:05.0,Shooting foul by J. Holiday (drawn by D. Booker),,37-36,,
5:05.0,D. Booker misses free throw 1 of 2,,37-36,,
5:05.0,Offensive rebound by Team,,37-36,,
5:05.0,T. Chandler enters the game for A. Len,,37-36,,
5:05.0,D. Booker makes free throw 2 of 2,1,38-36,,
4:53.0,,,38-39,3,J. Holiday makes 3-pt shot from 25 ft (assist by D. Valentine)
4:38.0,Shooting foul by J. Holiday (drawn by T. Chandler),,38-39,,
4:38.0,T. Chandler misses free throw 1 of 2,,38-39,,
4:38.0,Offensive rebound by Team,,38-39,,
4:38.0,,,38-39,,J. Grant enters the game for J. Holiday
4:38.0,T. Chandler makes free throw 2 of 2,1,39-39,,
4:18.0,,,39-39,,L. Markkanen misses 2-pt shot from 10 ft
4:16.0,Defensive rebound by D. Bender,,39-39,,
4:10.0,T. Ulis misses 2-pt shot from 12 ft,,39-39,,
4:03.0,Offensive rebound by T. Warren,,39-39,,
3:56.0,T. Warren makes 2-pt shot from 8 ft,2,41-39,,
3:40.0,,,41-39,,K. Dunn misses 2-pt shot from 11 ft
3:37.0,Defensive rebound by T. Ulis,,41-39,,
3:19.0,Turnover by T. Ulis (bad pass; steal by D. Valentine),,41-39,,
3:01.0,,,41-39,,L. Markkanen misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by T. Warren,,41-39,,
