time,Charlotte,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Adebayo vs. D. Howard (M. Carter-Williams gains possession),,,,Jump ball: B. Adebayo vs. D. Howard (M. Carter-Williams gains possession)
11:40.0,Turnover by N. Batum (bad pass; steal by B. Adebayo),,0-0,,
11:35.0,,,0-0,,D. Waiters misses 3-pt shot from 25 ft
11:32.0,,,0-0,,Offensive rebound by B. Adebayo
11:20.0,,,0-0,,G. Dragic misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by M. Kidd-Gilchrist,,0-0,,
11:08.0,Turnover by N. Batum (bad pass),,0-0,,
10:53.0,,,0-0,,D. Waiters misses 2-pt shot from 4 ft (block by D. Howard)
10:47.0,Defensive rebound by M. Carter-Williams,,0-0,,
10:44.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,2-0,,
10:24.0,,,2-0,,B. Adebayo misses 2-pt shot from 1 ft
10:21.0,Defensive rebound by D. Howard,,2-0,,
10:18.0,M. Williams makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,5-0,,
9:54.0,,,5-0,,G. Dragic misses 2-pt shot from 1 ft
9:52.0,Defensive rebound by D. Howard,,5-0,,
9:47.0,M. Kidd-Gilchrist misses 2-pt shot at rim (block by B. Adebayo),,5-0,,
9:43.0,,,5-0,,Defensive rebound by J. Winslow
9:40.0,,,5-0,,G. Dragic misses 3-pt shot from 22 ft
9:36.0,Defensive rebound by N. Batum,,5-0,,
9:28.0,M. Carter-Williams makes 2-pt shot at rim,2,7-0,,
9:22.0,,,7-0,,Shooting foul by N. Batum (drawn by D. Waiters)
9:22.0,,,7-0,,D. Waiters misses free throw 1 of 2
9:22.0,,,7-0,,Offensive rebound by Team
9:22.0,,,7-1,1,D. Waiters makes free throw 2 of 2
9:12.0,,,7-1,,Personal foul by D. Waiters (drawn by M. Kidd-Gilchrist)
9:06.0,N. Batum misses 3-pt shot from 25 ft,,7-1,,
9:04.0,,,7-1,,Defensive rebound by B. Adebayo
8:58.0,,,7-1,,G. Dragic misses 2-pt shot at rim
8:55.0,,,7-1,,Offensive rebound by B. Adebayo
8:55.0,,,7-1,,B. Adebayo misses 2-pt shot at rim
8:55.0,Defensive rebound by M. Williams,,7-1,,
8:55.0,Technical foul by Team,,7-1,,
8:55.0,N. Batum makes technical free throw,1,8-1,,
8:48.0,,,8-1,,Personal foul by G. Dragic (drawn by M. Carter-Williams)
8:36.0,D. Howard makes 2-pt shot from 21 ft (assist by N. Batum),2,10-1,,
8:23.0,,,10-1,,Turnover by D. Waiters (bad pass; steal by M. Williams)
8:17.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,12-1,,
8:11.0,,,12-1,,Miami full timeout
7:55.0,,,12-1,,D. Waiters misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by M. Williams,,12-1,,
7:40.0,Turnover by D. Howard (turnover),,12-1,,
7:27.0,,,12-1,,J. Winslow misses 2-pt shot from 1 ft (block by M. Williams)
7:27.0,Defensive rebound by M. Williams,,12-1,,
7:26.0,,,12-1,,Personal foul by J. Winslow (drawn by M. Williams)
7:11.0,Turnover by M. Williams (bad pass; steal by B. Adebayo),,12-1,,
7:07.0,,,12-1,,G. Dragic misses 2-pt shot at rim
7:07.0,Defensive rebound by Team,,12-1,,
7:07.0,,,12-1,,Loose ball foul by B. Adebayo (drawn by M. Kidd-Gilchrist)
6:47.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,14-1,,
6:34.0,,,14-1,,Turnover by J. Richardson (bad pass; steal by M. Kidd-Gilchrist)
6:29.0,N. Batum makes 2-pt shot at rim (assist by M. Kidd-Gilchrist),2,16-1,,
6:16.0,Personal foul by M. Carter-Williams (drawn by B. Adebayo),,16-1,,
6:16.0,,,16-1,,J. Johnson enters the game for J. Winslow
6:16.0,,,16-1,,T. Johnson enters the game for G. Dragic
6:11.0,,,16-1,,Offensive foul by J. Johnson (drawn by M. Kidd-Gilchrist)
6:11.0,,,16-1,,Turnover by J. Johnson (offensive foul)
5:52.0,N. Batum misses 2-pt shot from 1 ft,,16-1,,
5:50.0,,,16-1,,Defensive rebound by B. Adebayo
5:45.0,,,16-3,2,J. Richardson makes 2-pt shot at rim (assist by D. Waiters)
5:29.0,D. Howard misses 2-pt shot at rim (block by B. Adebayo),,16-3,,
5:29.0,,,16-3,,Defensive rebound by Team
5:21.0,,,16-3,,Offensive foul by B. Adebayo (drawn by M. Carter-Williams)
5:21.0,,,16-3,,Turnover by B. Adebayo (offensive foul)
5:21.0,,,16-3,,K. Olynyk enters the game for B. Adebayo
5:07.0,Offensive foul by D. Howard (drawn by J. Richardson),,16-3,,
5:07.0,Turnover by D. Howard (offensive foul),,16-3,,
4:57.0,,,16-6,3,T. Johnson makes 3-pt shot from 23 ft (assist by J. Johnson)
4:44.0,,,16-6,,Personal foul by K. Olynyk (drawn by D. Howard)
4:44.0,D. Howard makes free throw 1 of 2,1,17-6,,
4:44.0,D. Howard makes free throw 2 of 2,1,18-6,,
4:27.0,,,18-6,,D. Waiters misses 3-pt shot from 22 ft
4:24.0,Defensive rebound by D. Howard,,18-6,,
4:11.0,Shooting foul by J. Johnson (drawn by M. Williams),,18-6,,
4:11.0,M. Williams misses free throw 1 of 2,,18-6,,
4:11.0,Offensive rebound by Team,,18-6,,
4:11.0,,,18-6,,J. Winslow enters the game for J. Johnson
4:11.0,M. Williams makes free throw 2 of 2,1,19-6,,
3:58.0,,,19-9,3,J. Richardson makes 3-pt shot from 25 ft (assist by K. Olynyk)
3:44.0,N. Batum misses 3-pt shot from 25 ft,,19-9,,
3:36.0,Offensive rebound by D. Howard,,19-9,,
3:36.0,D. Howard misses 2-pt shot at rim,,19-9,,
3:36.0,Offensive rebound by M. Kidd-Gilchrist,,19-9,,
3:24.0,D. Howard makes 2-pt shot from 5 ft,2,21-9,,
3:08.0,,,21-9,,T. Johnson misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by D. Howard,,21-9,,
2:47.0,D. Howard makes 2-pt shot from 5 ft (assist by N. Batum),2,23-9,,
2:35.0,,,23-12,3,K. Olynyk makes 3-pt shot from 24 ft
2:19.0,Turnover by N. Batum (bad pass),,23-12,,
2:19.0,Charlotte full timeout,,23-12,,
2:19.0,,,23-12,,W. Ellington enters the game for D. Waiters
2:19.0,F. Kaminsky enters the game for M. Williams,,23-12,,
2:19.0,C. Zeller enters the game for M. Carter-Williams,,23-12,,
2:19.0,M. Monk enters the game for D. Howard,,23-12,,
2:19.0,J. Lamb enters the game for M. Kidd-Gilchrist,,23-12,,
2:07.0,,,23-12,,Shooting foul by M. Monk (drawn by K. Olynyk)
2:07.0,,,23-13,1,K. Olynyk makes free throw 1 of 2
2:07.0,,,23-14,1,K. Olynyk makes free throw 2 of 2
1:45.0,N. Batum misses 2-pt shot from 12 ft,,23-14,,
1:40.0,,,23-14,,Defensive rebound by J. Winslow
1:38.0,,,23-14,,Turnover by K. Olynyk (bad pass)
1:25.0,N. Batum makes 2-pt shot from 12 ft,2,25-14,,
1:07.0,,,25-17,3,J. Richardson makes 3-pt shot from 24 ft (assist by T. Johnson)
0:54.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Monk),3,28-17,,
0:47.0,Personal foul by N. Batum (drawn by J. Richardson),,28-17,,
0:36.0,M. Kidd-Gilchrist enters the game for N. Batum,,28-17,,
0:34.0,,,28-19,2,T. Johnson makes 2-pt shot from 1 ft (assist by J. Winslow)
0:18.0,Turnover by M. Monk (bad pass; steal by W. Ellington),,28-19,,
0:15.0,,,28-22,3,W. Ellington makes 3-pt shot from 23 ft (assist by J. Winslow)
0:05.0,Shooting foul by T. Johnson (drawn by M. Monk),,28-22,,
0:05.0,M. Monk makes free throw 1 of 2,1,29-22,,
0:05.0,M. Monk makes free throw 2 of 2,1,30-22,,
0:00.0,,,30-22,,J. Richardson misses 2-pt shot from 3 ft (block by C. Zeller)
0:00.0,,,30-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,30-25,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson)
11:24.0,Turnover by C. Zeller (lost ball; steal by J. Johnson),,30-25,,
11:20.0,,,30-25,,J. Winslow misses 2-pt shot from 7 ft (block by C. Zeller)
11:20.0,,,30-25,,Offensive rebound by Team
11:08.0,,,30-25,,T. Johnson misses 3-pt shot from 22 ft
11:05.0,Defensive rebound by M. Monk,,30-25,,
11:02.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by M. Monk),2,32-25,,
10:43.0,,,32-25,,K. Olynyk misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by F. Kaminsky,,32-25,,
10:25.0,F. Kaminsky misses 2-pt shot from 12 ft,,32-25,,
10:22.0,,,32-25,,Defensive rebound by W. Ellington
10:08.0,,,32-28,3,W. Ellington makes 3-pt shot from 23 ft (assist by K. Olynyk)
9:49.0,F. Kaminsky makes 2-pt shot from 4 ft (assist by J. Lamb),2,34-28,,
9:34.0,,,34-30,2,J. Winslow makes 2-pt shot at rim (assist by K. Olynyk)
9:22.0,M. Monk misses 3-pt shot from 26 ft,,34-30,,
9:19.0,,,34-30,,Defensive rebound by J. Winslow
9:15.0,,,34-30,,Shooting foul by F. Kaminsky (drawn by J. Winslow)
9:15.0,,,34-31,1,J. Winslow makes free throw 1 of 2
9:15.0,,,34-31,,G. Dragic enters the game for T. Johnson
9:15.0,,,34-31,,J. Winslow misses free throw 2 of 2
9:10.0,Defensive rebound by M. Kidd-Gilchrist,,34-31,,
8:55.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,34-31,,
8:51.0,,,34-31,,Defensive rebound by K. Olynyk
8:35.0,,,34-31,,Turnover by J. Johnson (bad pass)
8:21.0,F. Kaminsky misses 2-pt shot from 7 ft,,34-31,,
8:18.0,,,34-31,,Defensive rebound by J. Johnson
8:18.0,Personal foul by F. Kaminsky (drawn by J. Winslow),,34-31,,
8:10.0,,,34-31,,Turnover by G. Dragic (bad pass; steal by M. Kidd-Gilchrist)
8:01.0,M. Monk misses 2-pt shot from 10 ft,,34-31,,
7:56.0,,,34-31,,Defensive rebound by J. Winslow
7:51.0,,,34-31,,Turnover by J. Johnson (traveling)
7:41.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by J. Lamb),3,37-31,,
7:22.0,,,37-31,,W. Ellington misses 3-pt shot from 25 ft
7:10.0,,,37-31,,Offensive rebound by J. Winslow
7:09.0,,,37-33,2,J. Winslow makes 2-pt shot at rim
6:55.0,J. Lamb misses 2-pt shot from 8 ft,,37-33,,
6:52.0,,,37-33,,Defensive rebound by J. Johnson
6:41.0,,,37-36,3,W. Ellington makes 3-pt shot from 26 ft (assist by J. Winslow)
6:33.0,Charlotte full timeout,,37-36,,
6:33.0,M. Williams enters the game for M. Monk,,37-36,,
6:33.0,M. Carter-Williams enters the game for F. Kaminsky,,37-36,,
6:33.0,Charlotte full timeout,,37-36,,
