time,Minnesota,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Towns (C. Anthony gains possession),,,,Jump ball: S. Adams vs. K. Towns (C. Anthony gains possession)
11:51.0,,,0-2,2,R. Westbrook makes 2-pt shot at rim
11:27.0,K. Towns misses 2-pt shot from 5 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by C. Anthony
11:13.0,,,0-4,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
10:57.0,Turnover by T. Gibson (lost ball; steal by A. Roberson),,0-4,,
10:40.0,,,0-4,,R. Westbrook misses 2-pt shot from 17 ft
10:37.0,Defensive rebound by T. Gibson,,0-4,,
10:24.0,T. Gibson misses 2-pt shot from 10 ft,,0-4,,
10:21.0,,,0-4,,Defensive rebound by R. Westbrook
10:17.0,,,0-7,3,P. George makes 3-pt shot from 24 ft (assist by R. Westbrook)
9:54.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler),2,2-7,,
9:40.0,,,2-7,,C. Anthony misses 3-pt shot from 24 ft
9:37.0,,,2-7,,Offensive rebound by S. Adams
9:32.0,,,2-7,,Shooting foul by K. Towns (drawn by S. Adams)
9:32.0,,,2-8,1,S. Adams makes free throw 1 of 2
9:32.0,,,2-9,1,S. Adams makes free throw 2 of 2
9:20.0,K. Towns misses 2-pt shot from 1 ft,,2-9,,
9:17.0,,,2-9,,Defensive rebound by C. Anthony
9:14.0,,,2-9,,R. Westbrook misses 2-pt shot at rim
9:11.0,Defensive rebound by T. Gibson,,2-9,,
9:09.0,Shooting foul by C. Anthony (drawn by A. Wiggins),,2-9,,
9:09.0,A. Wiggins makes free throw 1 of 2,1,3-9,,
9:09.0,A. Wiggins misses free throw 2 of 2,,3-9,,
9:07.0,,,3-9,,Defensive rebound by C. Anthony
8:56.0,,,3-9,,P. George misses 3-pt shot from 22 ft
8:52.0,Defensive rebound by J. Butler,,3-9,,
8:38.0,K. Towns makes 2-pt shot from 4 ft,2,5-9,,
8:28.0,,,5-9,,P. George misses 3-pt shot from 25 ft
8:24.0,,,5-9,,Offensive rebound by S. Adams
8:24.0,,,5-11,2,S. Adams makes 2-pt shot from 1 ft
8:24.0,,,5-11,,J. Grant enters the game for A. Roberson
8:24.0,G. Dieng enters the game for K. Towns,,5-11,,
8:12.0,Shooting foul by S. Adams (drawn by A. Wiggins),,5-11,,
8:12.0,A. Wiggins misses free throw 1 of 2,,5-11,,
8:12.0,Offensive rebound by Team,,5-11,,
8:12.0,A. Wiggins misses free throw 2 of 2,,5-11,,
8:10.0,,,5-11,,Defensive rebound by J. Grant
8:01.0,,,5-13,2,S. Adams makes 2-pt shot at rim (assist by P. George)
8:01.0,,,5-13,,Shooting foul by J. Teague (drawn by S. Adams)
8:01.0,,,5-14,1,S. Adams makes free throw 1 of 1
7:51.0,A. Wiggins makes 2-pt shot from 23 ft (assist by T. Gibson),2,7-14,,
7:40.0,,,7-14,,Turnover by C. Anthony (traveling)
7:27.0,J. Butler makes 2-pt shot from 1 ft,2,9-14,,
7:14.0,,,9-16,2,P. George makes 2-pt shot from 4 ft (assist by R. Westbrook)
7:08.0,Turnover by J. Teague (bad pass; steal by R. Westbrook),,9-16,,
7:06.0,,,9-18,2,P. George makes 2-pt shot from 5 ft
7:06.0,,,9-18,,Shooting foul by G. Dieng (drawn by P. George)
7:06.0,,,9-19,1,P. George makes free throw 1 of 1
6:56.0,J. Teague makes 2-pt shot from 1 ft,2,11-19,,
6:37.0,,,11-19,,P. George misses 3-pt shot from 23 ft
6:34.0,,,11-19,,Offensive rebound by J. Grant
6:33.0,,,11-22,3,C. Anthony makes 3-pt shot from 24 ft (assist by J. Grant)
6:16.0,A. Wiggins makes 2-pt shot from 5 ft,2,13-22,,
6:06.0,,,13-22,,R. Westbrook misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by T. Gibson,,13-22,,
5:48.0,T. Gibson misses 2-pt shot from 4 ft (block by J. Grant),,13-22,,
5:46.0,Offensive rebound by Team,,13-22,,
5:46.0,,,13-22,,Oklahoma City full timeout
5:43.0,Shooting foul by C. Anthony (drawn by J. Butler),,13-22,,
5:43.0,J. Butler makes free throw 1 of 3,1,14-22,,
5:43.0,J. Butler makes free throw 2 of 3,1,15-22,,
5:43.0,J. Butler makes free throw 3 of 3,1,16-22,,
5:34.0,,,16-22,,Shooting foul by G. Dieng (drawn by P. George)
5:34.0,,,16-23,1,P. George makes free throw 1 of 2
5:34.0,,,16-24,1,P. George makes free throw 2 of 2
5:19.0,A. Wiggins makes 3-pt shot from 25 ft (assist by G. Dieng),3,19-24,,
5:02.0,,,19-26,2,P. George makes 2-pt shot at rim (assist by R. Westbrook)
4:43.0,G. Dieng makes 2-pt shot from 16 ft (assist by J. Teague),2,21-26,,
4:31.0,,,21-29,3,J. Grant makes 3-pt shot from 22 ft (assist by R. Westbrook)
4:17.0,G. Dieng makes 2-pt shot from 20 ft (assist by J. Butler),2,23-29,,
4:01.0,,,23-31,2,J. Grant makes 2-pt shot at rim (assist by P. George)
