time,Sacramento,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. K. Koufos (D. Fox gains possession),,,,Jump ball: J. Henson vs. K. Koufos (D. Fox gains possession)
11:43.0,Turnover by W. Cauley-Stein (bad pass),,0-0,,
11:25.0,,,0-0,,Turnover by J. Henson (traveling)
11:05.0,K. Koufos misses 2-pt shot from 9 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:00.0,,,0-0,,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo)
11:00.0,,,0-1,1,G. Antetokounmpo makes free throw 1 of 2
11:00.0,,,0-1,,G. Antetokounmpo misses free throw 2 of 2
10:57.0,Defensive rebound by K. Koufos,,0-1,,
10:48.0,Turnover by D. Fox (bad pass; steal by K. Middleton),,0-1,,
10:44.0,,,0-1,,Turnover by E. Bledsoe (bad pass; steal by G. Hill)
10:25.0,G. Temple misses 3-pt shot from 28 ft,,0-1,,
10:19.0,,,0-1,,Defensive rebound by G. Antetokounmpo
10:14.0,,,0-4,3,K. Middleton makes 3-pt shot from 28 ft (assist by G. Antetokounmpo)
9:56.0,Turnover by K. Koufos (bad pass; steal by G. Antetokounmpo),,0-4,,
9:53.0,,,0-6,2,T. Snell makes 2-pt shot at rim
9:41.0,Turnover by G. Hill (bad pass; steal by G. Antetokounmpo),,0-6,,
9:39.0,,,0-8,2,G. Antetokounmpo makes 2-pt shot at rim
9:39.0,Sacramento full timeout,,0-8,,
9:24.0,D. Fox misses 2-pt shot from 19 ft,,0-8,,
9:24.0,,,0-8,,Defensive rebound by Team
9:12.0,,,0-10,2,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe)
8:53.0,Turnover by K. Koufos (bad pass; steal by G. Antetokounmpo),,0-10,,
8:50.0,,,0-10,,Shooting foul by D. Fox (drawn by G. Antetokounmpo)
8:50.0,,,0-11,1,G. Antetokounmpo makes free throw 1 of 2
8:50.0,S. Labissiere enters the game for G. Temple,,0-11,,
8:50.0,B. Bogdanovic enters the game for W. Cauley-Stein,,0-11,,
8:50.0,Z. Randolph enters the game for K. Koufos,,0-11,,
8:50.0,B. Hield enters the game for G. Hill,,0-11,,
8:50.0,F. Mason enters the game for D. Fox,,0-11,,
8:50.0,,,0-12,1,G. Antetokounmpo makes free throw 2 of 2
8:26.0,S. Labissiere misses 2-pt shot from 5 ft,,0-12,,
8:24.0,,,0-12,,Defensive rebound by G. Antetokounmpo
8:20.0,,,0-12,,Shooting foul by S. Labissiere (drawn by G. Antetokounmpo)
8:20.0,,,0-13,1,G. Antetokounmpo makes free throw 1 of 2
8:20.0,,,0-13,,G. Antetokounmpo misses free throw 2 of 2
8:18.0,Defensive rebound by B. Bogdanovic,,0-13,,
8:04.0,B. Bogdanovic misses 2-pt shot from 5 ft,,0-13,,
8:02.0,,,0-13,,Defensive rebound by G. Antetokounmpo
8:00.0,,,0-13,,Shooting foul by B. Hield (drawn by G. Antetokounmpo)
8:00.0,,,0-14,1,G. Antetokounmpo makes free throw 1 of 2
8:00.0,,,0-14,,G. Antetokounmpo misses free throw 2 of 2
7:58.0,Defensive rebound by Z. Randolph,,0-14,,
7:44.0,Z. Randolph makes 2-pt shot from 18 ft (assist by B. Hield),2,2-14,,
7:21.0,,,2-16,2,G. Antetokounmpo makes 2-pt shot from 20 ft
7:13.0,Offensive charge foul by S. Labissiere (drawn by G. Antetokounmpo),,2-16,,
7:13.0,Turnover by S. Labissiere (offensive foul),,2-16,,
7:13.0,Technical foul by Team,,2-16,,
7:13.0,,,2-16,,K. Middleton misses technical free throw
7:13.0,,,2-16,,Offensive rebound by Team
7:03.0,,,2-16,,T. Snell misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by B. Bogdanovic,,2-16,,
6:56.0,F. Mason misses 2-pt shot from 14 ft,,2-16,,
6:56.0,Offensive rebound by S. Labissiere,,2-16,,
6:50.0,S. Labissiere makes 2-pt shot at rim,2,4-16,,
6:37.0,,,4-16,,Offensive foul by K. Middleton (drawn by B. Hield)
6:37.0,,,4-16,,Turnover by K. Middleton (offensive foul)
6:22.0,Shooting foul by J. Henson (drawn by F. Mason),,4-16,,
6:22.0,F. Mason makes free throw 1 of 2,1,5-16,,
6:22.0,F. Mason makes free throw 2 of 2,1,6-16,,
6:09.0,Personal foul by F. Mason (drawn by G. Antetokounmpo),,6-16,,
6:09.0,,,6-17,1,G. Antetokounmpo makes free throw 1 of 2
6:09.0,,,6-17,,T. Maker enters the game for K. Middleton
6:09.0,,,6-17,,J. Terry enters the game for J. Henson
6:09.0,,,6-18,1,G. Antetokounmpo makes free throw 2 of 2
6:00.0,Turnover by B. Bogdanovic (bad pass),,6-18,,
5:39.0,,,6-18,,E. Bledsoe misses 2-pt shot from 9 ft
5:37.0,Defensive rebound by B. Hield,,6-18,,
5:29.0,Turnover by B. Hield (bad pass; steal by E. Bledsoe),,6-18,,
5:27.0,,,6-18,,Shooting foul by F. Mason (drawn by E. Bledsoe)
5:27.0,,,6-19,1,E. Bledsoe makes free throw 1 of 2
5:27.0,,,6-20,1,E. Bledsoe makes free throw 2 of 2
5:20.0,,,6-20,,Personal foul by J. Terry (drawn by B. Bogdanovic)
