time,Oklahoma City,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. S. Adams (A. Abrines gains possession),,,,Jump ball: M. Gasol vs. S. Adams (A. Abrines gains possession)
11:50.0,Shooting foul by T. Evans (drawn by S. Adams),,0-0,,
11:50.0,S. Adams makes free throw 1 of 2,1,1-0,,
11:50.0,S. Adams makes free throw 2 of 2,1,2-0,,
11:35.0,,,2-0,,Turnover by J. Green (bad pass; steal by A. Roberson)
11:28.0,Turnover by R. Westbrook (bad pass; steal by A. Harrison),,2-0,,
11:22.0,,,2-2,2,T. Evans makes 2-pt shot at rim (assist by A. Harrison)
11:06.0,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook),3,5-2,,
10:49.0,,,5-4,2,D. Brooks makes 2-pt shot from 1 ft (assist by A. Harrison)
10:39.0,A. Abrines misses 3-pt shot from 26 ft,,5-4,,
10:37.0,,,5-4,,Defensive rebound by J. Green
10:27.0,,,5-6,2,T. Evans makes 2-pt shot from 11 ft
10:09.0,Shooting foul by J. Green (drawn by C. Anthony),,5-6,,
10:09.0,C. Anthony misses free throw 1 of 2,,5-6,,
10:09.0,Offensive rebound by Team,,5-6,,
10:09.0,C. Anthony makes free throw 2 of 2,1,6-6,,
9:58.0,,,6-6,,Turnover by A. Harrison (bad pass)
9:45.0,A. Abrines misses 3-pt shot from 24 ft,,6-6,,
9:42.0,Offensive rebound by R. Westbrook,,6-6,,
9:41.0,R. Westbrook misses 2-pt shot from 1 ft (block by T. Evans),,6-6,,
9:41.0,,,6-6,,Defensive rebound by T. Evans
9:22.0,,,6-6,,A. Harrison misses 3-pt shot from 24 ft
9:19.0,,,6-6,,Offensive rebound by M. Gasol
9:19.0,Personal foul by R. Westbrook (drawn by M. Gasol),,6-6,,
9:13.0,Personal foul by A. Roberson (drawn by T. Evans),,6-6,,
9:02.0,,,6-8,2,M. Gasol makes 2-pt shot from 22 ft (assist by J. Green)
8:51.0,R. Westbrook misses 2-pt shot from 1 ft,,6-8,,
8:49.0,Offensive rebound by S. Adams,,6-8,,
8:46.0,S. Adams misses 2-pt shot from 1 ft (block by M. Gasol),,6-8,,
8:46.0,,,6-8,,Defensive rebound by T. Evans
