time,Portland,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Olynyk vs. Z. Collins (D. Lillard gains possession),,,,Jump ball: K. Olynyk vs. Z. Collins (D. Lillard gains possession)
11:37.0,A. Aminu misses 3-pt shot from 23 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by J. Johnson
11:24.0,,,0-0,,J. Johnson misses 2-pt shot from 2 ft (block by E. Turner)
11:21.0,,,0-0,,Offensive rebound by Team
11:13.0,,,0-0,,J. Richardson misses 2-pt shot from 19 ft
11:09.0,,,0-0,,Offensive rebound by K. Olynyk
11:09.0,,,0-0,,Turnover by K. Olynyk (out of bounds lost ball)
10:51.0,Z. Collins makes 2-pt shot at rim (assist by E. Turner),2,2-0,,
10:31.0,,,2-2,2,J. Johnson makes 2-pt shot at rim
10:21.0,Turnover by A. Aminu (out of bounds lost ball),,2-2,,
10:07.0,,,2-4,2,G. Dragic makes 2-pt shot at rim (assist by J. Johnson)
9:51.0,Turnover by Z. Collins (bad pass; steal by K. Olynyk),,2-4,,
9:34.0,,,2-4,,D. Waiters misses 2-pt shot from 15 ft
9:30.0,Defensive rebound by A. Aminu,,2-4,,
9:25.0,Shooting foul by G. Dragic (drawn by C. McCollum),,2-4,,
9:25.0,C. McCollum makes free throw 1 of 2,1,3-4,,
9:25.0,C. McCollum makes free throw 2 of 2,1,4-4,,
9:17.0,,,4-7,3,J. Richardson makes 3-pt shot from 23 ft (assist by G. Dragic)
8:59.0,Z. Collins misses 2-pt shot from 12 ft,,4-7,,
8:56.0,,,4-7,,Defensive rebound by J. Johnson
8:40.0,,,4-7,,G. Dragic misses 2-pt shot from 7 ft
8:38.0,Defensive rebound by Z. Collins,,4-7,,
8:37.0,,,4-7,,Violation by J. Johnson (kicked ball)
8:32.0,,,4-7,,Shooting block foul by G. Dragic (drawn by Z. Collins)
8:32.0,Z. Collins misses free throw 1 of 2,,4-7,,
8:32.0,Offensive rebound by Team,,4-7,,
8:32.0,,,4-7,,W. Ellington enters the game for G. Dragic
8:32.0,Z. Collins makes free throw 2 of 2,1,5-7,,
8:21.0,,,5-9,2,J. Johnson makes 2-pt shot at rim
8:07.0,Offensive charge foul by D. Lillard (drawn by K. Olynyk),,5-9,,
8:07.0,Turnover by D. Lillard (offensive foul),,5-9,,
7:53.0,,,5-9,,D. Waiters misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by E. Turner,,5-9,,
7:42.0,Turnover by E. Turner (lost ball; steal by W. Ellington),,5-9,,
7:36.0,,,5-12,3,J. Richardson makes 3-pt shot from 26 ft (assist by J. Johnson)
7:15.0,D. Lillard misses 3-pt shot from 24 ft,,5-12,,
7:10.0,,,5-12,,Defensive rebound by J. Johnson
7:05.0,,,5-12,,J. Richardson misses 3-pt shot from 25 ft
7:04.0,,,5-12,,Offensive rebound by K. Olynyk
7:04.0,,,5-12,,Shooting foul by A. Aminu (drawn by K. Olynyk)
7:04.0,,,5-13,1,K. Olynyk makes free throw 1 of 2
7:04.0,,,5-13,,K. Olynyk misses free throw 2 of 2
7:01.0,Defensive rebound by A. Aminu,,5-13,,
6:48.0,C. McCollum makes 3-pt shot from 23 ft,3,8-13,,
6:31.0,,,8-13,,D. Waiters misses 3-pt shot from 25 ft
6:29.0,,,8-13,,Offensive rebound by K. Olynyk
6:29.0,Personal foul by Z. Collins (drawn by K. Olynyk),,8-13,,
6:29.0,,,8-13,,Miami full timeout
6:20.0,,,8-16,3,W. Ellington makes 3-pt shot from 25 ft (assist by D. Waiters)
6:04.0,Z. Collins makes 2-pt shot from 16 ft (assist by C. McCollum),2,10-16,,
5:44.0,,,10-18,2,J. Richardson makes 2-pt shot from 1 ft
5:30.0,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard),3,13-18,,
5:11.0,,,13-21,3,J. Richardson makes 3-pt shot from 25 ft (assist by J. Johnson)
4:45.0,E. Turner makes 2-pt shot from 9 ft,2,15-21,,
4:32.0,,,15-21,,K. Olynyk misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by D. Lillard,,15-21,,
4:23.0,C. McCollum misses 3-pt shot from 24 ft,,15-21,,
4:20.0,,,15-21,,Defensive rebound by J. Johnson
4:09.0,,,15-21,,D. Waiters misses 2-pt shot from 1 ft (block by Z. Collins)
4:08.0,,,15-21,,Offensive rebound by Team
4:07.0,Personal foul by Z. Collins (drawn by D. Waiters),,15-21,,
4:07.0,,,15-21,,B. Adebayo enters the game for K. Olynyk
4:07.0,E. Davis enters the game for E. Turner,,15-21,,
4:07.0,P. Connaughton enters the game for C. McCollum,,15-21,,
4:07.0,M. Harkless enters the game for Z. Collins,,15-21,,
4:00.0,,,15-21,,J. Richardson misses 3-pt shot from 23 ft
3:55.0,Defensive rebound by A. Aminu,,15-21,,
3:51.0,D. Lillard makes 3-pt shot from 26 ft,3,18-21,,
3:35.0,,,18-21,,J. Winslow enters the game for J. Johnson
3:28.0,,,18-24,3,W. Ellington makes 3-pt shot from 23 ft (assist by B. Adebayo)
3:11.0,Turnover by E. Davis (bad pass; steal by J. Richardson),,18-24,,
3:05.0,,,18-27,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Winslow)
3:05.0,Portland full timeout,,18-27,,
3:02.0,Turnover by P. Connaughton (bad pass; steal by J. Richardson),,18-27,,
2:54.0,,,18-30,3,W. Ellington makes 3-pt shot from 23 ft (assist by J. Winslow)
2:34.0,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard),3,21-30,,
2:09.0,,,21-30,,D. Waiters misses 2-pt shot from 12 ft
2:05.0,Defensive rebound by A. Aminu,,21-30,,
1:47.0,A. Aminu misses 2-pt shot from 18 ft,,21-30,,
1:47.0,,,21-30,,Defensive rebound by Team
1:47.0,,,21-30,,J. Johnson enters the game for D. Waiters
1:47.0,S. Napier enters the game for A. Aminu,,21-30,,
1:34.0,,,21-30,,Turnover by B. Adebayo (bad pass; steal by S. Napier)
1:11.0,S. Napier misses 2-pt shot from 6 ft,,21-30,,
1:08.0,,,21-30,,Defensive rebound by J. Johnson
1:01.0,,,21-33,3,W. Ellington makes 3-pt shot from 28 ft (assist by J. Johnson)
0:46.0,P. Connaughton misses 3-pt shot from 24 ft,,21-33,,
0:44.0,Offensive rebound by M. Harkless,,21-33,,
0:41.0,D. Lillard misses 3-pt shot from 23 ft,,21-33,,
0:38.0,,,21-33,,Defensive rebound by W. Ellington
0:25.0,,,21-33,,Turnover by W. Ellington (lost ball; steal by M. Harkless)
0:02.0,S. Napier misses 3-pt shot from 25 ft,,21-33,,
0:02.0,,,21-33,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,21-33,,Turnover by J. Winslow (discontinued dribble)
11:38.0,E. Davis misses 2-pt shot from 3 ft,,21-33,,
11:35.0,,,21-33,,Defensive rebound by G. Dragic
11:30.0,,,21-33,,J. Johnson misses 2-pt shot from 2 ft
11:28.0,Defensive rebound by E. Davis,,21-33,,
