time,LA Clippers,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. D. Jordan (M. Hezonja gains possession),,,,Jump ball: N. Vucevic vs. D. Jordan (M. Hezonja gains possession)
11:33.0,,,0-0,,E. Payton misses 2-pt shot from 2 ft
11:31.0,Defensive rebound by D. Jordan,,0-0,,
11:18.0,J. Wilson makes 2-pt shot from 1 ft (assist by W. Johnson),2,2-0,,
11:04.0,,,2-0,,J. Simmons misses 2-pt shot from 12 ft
11:01.0,Defensive rebound by D. Jordan,,2-0,,
10:56.0,Turnover by M. Teodosic (bad pass; steal by J. Simmons),,2-0,,
10:51.0,,,2-2,2,J. Simmons makes 2-pt shot at rim
10:36.0,,,2-2,,Personal foul by J. Simmons (drawn by W. Johnson)
10:28.0,M. Teodosic misses 3-pt shot from 23 ft,,2-2,,
10:24.0,,,2-2,,Defensive rebound by N. Vucevic
10:06.0,,,2-2,,N. Vucevic misses 2-pt shot from 13 ft
10:04.0,Defensive rebound by J. Wilson,,2-2,,
9:43.0,Turnover by J. Wilson (bad pass; steal by N. Vucevic),,2-2,,
9:36.0,,,2-2,,J. Simmons misses 2-pt shot from 1 ft
9:33.0,Defensive rebound by W. Johnson,,2-2,,
9:18.0,W. Johnson misses 2-pt shot from 19 ft,,2-2,,
9:16.0,,,2-2,,Defensive rebound by M. Hezonja
9:08.0,,,2-2,,Turnover by M. Hezonja (lost ball; steal by W. Johnson)
9:02.0,W. Johnson makes 2-pt shot from 2 ft,2,4-2,,
8:52.0,,,4-2,,N. Vucevic misses 2-pt shot from 20 ft
8:50.0,,,4-2,,Offensive rebound by E. Payton
8:44.0,,,4-2,,E. Payton misses 2-pt shot from 9 ft
8:44.0,Defensive rebound by Team,,4-2,,
8:33.0,M. Teodosic misses 2-pt shot from 21 ft,,4-2,,
8:30.0,,,4-2,,Defensive rebound by M. Hezonja
8:23.0,,,4-2,,W. Iwundu misses 2-pt shot from 23 ft
8:21.0,,,4-2,,Offensive rebound by N. Vucevic
8:18.0,,,4-2,,N. Vucevic misses 2-pt shot from 12 ft
8:16.0,Defensive rebound by D. Jordan,,4-2,,
8:09.0,M. Teodosic misses 3-pt shot from 25 ft,,4-2,,
8:06.0,,,4-2,,Defensive rebound by M. Hezonja
7:57.0,,,4-4,2,M. Hezonja makes 2-pt shot from 2 ft (assist by J. Simmons)
7:57.0,,,4-4,,Shooting foul by W. Johnson (drawn by M. Hezonja)
7:57.0,,,4-5,1,M. Hezonja makes free throw 1 of 1
7:43.0,A. Rivers misses 3-pt shot from 26 ft,,4-5,,
7:39.0,,,4-5,,Defensive rebound by J. Simmons
7:37.0,,,4-5,,Shooting foul by J. Wilson (drawn by J. Simmons)
7:37.0,,,4-6,1,J. Simmons makes free throw 1 of 2
7:37.0,,,4-6,,J. Simmons misses free throw 2 of 2
7:34.0,Defensive rebound by D. Jordan,,4-6,,
7:13.0,A. Rivers makes 2-pt shot from 5 ft,2,6-6,,
7:03.0,,,6-9,3,M. Hezonja makes 3-pt shot from 26 ft
6:48.0,A. Rivers misses 3-pt shot from 25 ft,,6-9,,
6:45.0,,,6-9,,Defensive rebound by N. Vucevic
6:27.0,,,6-9,,J. Simmons misses 3-pt shot from 27 ft
6:24.0,Defensive rebound by D. Jordan,,6-9,,
6:16.0,A. Rivers misses 2-pt shot from 4 ft,,6-9,,
6:14.0,,,6-9,,Defensive rebound by N. Vucevic
6:10.0,,,6-9,,Turnover by E. Payton (bad pass; steal by D. Jordan)
5:57.0,M. Teodosic misses 2-pt shot from 2 ft (block by N. Vucevic),,6-9,,
5:57.0,Offensive rebound by Team,,6-9,,
5:57.0,,,6-9,,Orlando full timeout
5:57.0,S. Dekker enters the game for J. Wilson,,6-9,,
5:57.0,L. Williams enters the game for M. Teodosic,,6-9,,
5:54.0,D. Jordan makes 2-pt shot from 3 ft (assist by W. Johnson),2,8-9,,
5:34.0,,,8-9,,J. Simmons misses 2-pt shot from 4 ft (block by D. Jordan)
5:34.0,,,8-9,,Offensive rebound by Team
5:34.0,L. Williams makes technical free throw,1,9-9,,
5:26.0,,,9-11,2,N. Vucevic makes 2-pt shot from 3 ft (assist by W. Iwundu)
5:07.0,Turnover by L. Williams (bad pass; steal by N. Vucevic),,9-11,,
5:02.0,,,9-13,2,E. Payton makes 2-pt shot from 2 ft (assist by M. Hezonja)
4:47.0,A. Rivers makes 2-pt shot from 3 ft (assist by D. Jordan),2,11-13,,
4:27.0,,,11-13,,N. Vucevic misses 2-pt shot from 12 ft
4:24.0,Defensive rebound by D. Jordan,,11-13,,
4:19.0,Turnover by A. Rivers (bad pass; steal by M. Hezonja),,11-13,,
4:03.0,,,11-13,,Turnover by J. Simmons (bad pass; steal by L. Williams)
3:59.0,L. Williams misses 2-pt shot from 3 ft,,11-13,,
3:56.0,,,11-13,,Defensive rebound by W. Iwundu
3:52.0,,,11-15,2,N. Vucevic makes 2-pt shot from 13 ft (assist by J. Simmons)
3:27.0,D. Jordan misses 2-pt shot from 8 ft,,11-15,,
3:24.0,,,11-15,,Defensive rebound by M. Hezonja
3:20.0,,,11-15,,N. Vucevic misses 3-pt shot from 25 ft
3:15.0,,,11-15,,Offensive rebound by E. Payton
3:15.0,,,11-17,2,E. Payton makes 2-pt shot from 1 ft
3:03.0,A. Rivers misses 3-pt shot from 25 ft,,11-17,,
2:59.0,,,11-17,,Defensive rebound by J. Simmons
2:50.0,,,11-19,2,N. Vucevic makes 2-pt shot from 2 ft (assist by M. Hezonja)
2:50.0,LA Clippers full timeout,,11-19,,
2:50.0,,,11-19,,B. Biyombo enters the game for N. Vucevic
2:50.0,,,11-19,,D. Augustin enters the game for W. Iwundu
2:50.0,J. Evans enters the game for A. Rivers,,11-19,,
2:50.0,S. Thornwell enters the game for W. Johnson,,11-19,,
2:34.0,S. Thornwell misses 2-pt shot from 3 ft,,11-19,,
2:30.0,,,11-19,,Defensive rebound by B. Biyombo
2:27.0,,,11-19,,E. Payton misses 2-pt shot from 2 ft
2:24.0,Defensive rebound by D. Jordan,,11-19,,
2:21.0,S. Dekker misses 2-pt shot from 3 ft,,11-19,,
2:18.0,,,11-19,,Defensive rebound by J. Simmons
2:14.0,Personal foul by J. Evans (drawn by D. Augustin),,11-19,,
2:03.0,,,11-19,,M. Hezonja misses 3-pt shot from 22 ft
1:59.0,Defensive rebound by D. Jordan,,11-19,,
1:53.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,13-19,,
1:29.0,,,13-21,2,M. Hezonja makes 2-pt shot from 8 ft
1:10.0,S. Dekker misses 2-pt shot from 2 ft (block by M. Hezonja),,13-21,,
1:06.0,,,13-21,,Defensive rebound by M. Hezonja
1:00.0,,,13-24,3,D. Augustin makes 3-pt shot from 24 ft (assist by J. Simmons)
0:48.0,L. Williams misses 2-pt shot from 11 ft,,13-24,,
0:45.0,Offensive rebound by Team,,13-24,,
0:45.0,,,13-24,,S. Mack enters the game for E. Payton
0:45.0,,,13-24,,M. Speights enters the game for M. Hezonja
0:45.0,M. Harrell enters the game for D. Jordan,,13-24,,
0:40.0,L. Williams misses 2-pt shot from 17 ft,,13-24,,
0:37.0,Offensive rebound by M. Harrell,,13-24,,
0:29.0,M. Harrell misses 2-pt shot from 9 ft,,13-24,,
0:25.0,,,13-24,,Defensive rebound by J. Simmons
