time,Boston,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Horford (A. Baynes gains possession),,,,Jump ball: M. Gasol vs. A. Horford (A. Baynes gains possession)
11:37.0,A. Horford makes 2-pt shot from 10 ft,2,2-0,,
11:18.0,,,2-0,,T. Evans misses 2-pt shot from 2 ft
11:18.0,Defensive rebound by A. Horford,,2-0,,
11:01.0,A. Baynes makes 2-pt shot from 13 ft (assist by K. Irving),2,4-0,,
10:45.0,,,4-2,2,M. Gasol makes 2-pt shot from 18 ft (assist by A. Harrison)
10:29.0,A. Horford misses 2-pt shot from 8 ft,,4-2,,
10:26.0,,,4-2,,Defensive rebound by J. Green
10:17.0,,,4-5,3,D. Brooks makes 3-pt shot from 26 ft (assist by A. Harrison)
9:58.0,K. Irving misses 3-pt shot from 25 ft,,4-5,,
9:54.0,,,4-5,,Defensive rebound by M. Gasol
9:47.0,Personal foul by J. Brown (drawn by T. Evans),,4-5,,
9:36.0,,,4-5,,T. Evans misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by J. Tatum,,4-5,,
9:24.0,A. Baynes misses 2-pt shot from 18 ft,,4-5,,
9:22.0,,,4-5,,Defensive rebound by T. Evans
9:16.0,,,4-5,,T. Evans misses 2-pt shot at rim (block by J. Brown)
9:13.0,Defensive rebound by A. Horford,,4-5,,
9:05.0,A. Baynes makes 2-pt shot from 14 ft (assist by K. Irving),2,6-5,,
8:50.0,,,6-5,,Turnover by A. Harrison (bad pass; steal by J. Tatum)
8:49.0,Turnover by K. Irving (bad pass),,6-5,,
8:29.0,,,6-5,,D. Brooks misses 2-pt shot from 2 ft (block by J. Tatum)
8:29.0,Defensive rebound by Team,,6-5,,
8:21.0,K. Irving misses 2-pt shot from 19 ft,,6-5,,
8:21.0,,,6-5,,Defensive rebound by D. Brooks
8:13.0,,,6-5,,Turnover by J. Green (bad pass)
8:03.0,K. Irving makes 3-pt shot from 23 ft (assist by A. Horford),3,9-5,,
7:38.0,,,9-5,,A. Harrison misses 2-pt shot from 14 ft
7:38.0,Defensive rebound by A. Horford,,9-5,,
7:19.0,Turnover by K. Irving (bad pass; steal by M. Gasol),,9-5,,
7:08.0,,,9-5,,M. Gasol misses 3-pt shot from 26 ft
7:06.0,Defensive rebound by J. Tatum,,9-5,,
6:58.0,J. Tatum makes 3-pt shot from 25 ft,3,12-5,,
6:56.0,,,12-5,,Memphis full timeout
6:56.0,,,12-5,,M. Chalmers enters the game for T. Evans
6:33.0,,,12-5,,Turnover by M. Gasol (turnover)
6:15.0,A. Baynes makes 2-pt shot at rim (assist by J. Tatum),2,14-5,,
5:48.0,,,14-5,,M. Gasol misses 2-pt shot from 11 ft
5:44.0,,,14-5,,Offensive rebound by J. Green
5:43.0,,,14-7,2,J. Green makes 2-pt shot from 1 ft
5:29.0,,,14-7,,Personal foul by A. Harrison (drawn by K. Irving)
5:29.0,,,14-7,,J. Ennis enters the game for D. Brooks
5:29.0,M. Smart enters the game for A. Horford,,14-7,,
5:19.0,,,14-7,,Personal foul by A. Harrison (drawn by K. Irving)
5:19.0,,,14-7,,B. McLemore enters the game for A. Harrison
5:12.0,J. Brown makes 2-pt shot from 22 ft,2,16-7,,
5:01.0,Personal foul by J. Brown (drawn by M. Chalmers),,16-7,,
4:57.0,,,16-7,,Turnover by J. Green (bad pass)
4:46.0,J. Brown makes 3-pt shot from 22 ft (assist by M. Smart),3,19-7,,
4:46.0,Shooting foul by J. Green (drawn by J. Brown),,19-7,,
4:46.0,,,19-7,,J. Martin enters the game for J. Green
4:46.0,J. Brown makes free throw 1 of 1,1,20-7,,
4:34.0,,,20-7,,Shooting foul by M. Smart (drawn by M. Gasol)
4:34.0,,,20-8,1,M. Gasol makes free throw 1 of 2
4:34.0,,,20-8,,M. Gasol misses free throw 2 of 2
4:31.0,Defensive rebound by A. Baynes,,20-8,,
4:17.0,K. Irving misses 2-pt shot from 3 ft,,20-8,,
4:14.0,,,20-8,,Defensive rebound by M. Gasol
4:02.0,,,20-8,,M. Gasol misses 2-pt shot from 10 ft
3:58.0,Defensive rebound by K. Irving,,20-8,,
3:56.0,Shooting foul by B. McLemore (drawn by K. Irving),,20-8,,
3:56.0,K. Irving makes free throw 1 of 2,1,21-8,,
3:56.0,T. Rozier enters the game for J. Brown,,21-8,,
3:56.0,K. Irving makes free throw 2 of 2,1,22-8,,
3:39.0,,,22-8,,M. Chalmers misses 2-pt shot from 10 ft
3:37.0,Defensive rebound by Team,,22-8,,
3:25.0,K. Irving makes 2-pt shot from 13 ft,2,24-8,,
3:00.0,,,24-8,,J. Ennis misses 2-pt shot from 21 ft
2:55.0,Defensive rebound by A. Baynes,,24-8,,
2:38.0,J. Tatum makes 3-pt shot from 25 ft (assist by K. Irving),3,27-8,,
2:30.0,,,27-8,,Memphis full timeout
2:30.0,,,27-8,,T. Evans enters the game for M. Gasol
2:30.0,D. Theis enters the game for K. Irving,,27-8,,
2:30.0,A. Horford enters the game for A. Baynes,,27-8,,
2:16.0,,,27-8,,Turnover by T. Evans (bad pass; steal by J. Tatum)
2:16.0,,,27-8,,Personal foul by B. McLemore (drawn by J. Tatum)
2:16.0,J. Tatum makes free throw 1 of 2,1,28-8,,
2:16.0,J. Tatum makes free throw 2 of 2,1,29-8,,
2:04.0,,,29-8,,B. McLemore misses 3-pt shot from 26 ft
2:01.0,,,29-8,,Offensive rebound by J. Martin
2:00.0,,,29-8,,J. Ennis misses 3-pt shot from 26 ft
2:00.0,Defensive rebound by T. Rozier,,29-8,,
1:34.0,M. Smart misses 3-pt shot from 26 ft,,29-8,,
1:29.0,,,29-8,,Defensive rebound by J. Martin
1:26.0,,,29-8,,Shooting foul by D. Theis (drawn by J. Martin)
1:26.0,,,29-9,1,J. Martin makes free throw 1 of 2
1:26.0,S. Larkin enters the game for J. Tatum,,29-9,,
1:26.0,,,29-10,1,J. Martin makes free throw 2 of 2
1:09.0,D. Theis makes 2-pt shot from 7 ft,2,31-10,,
0:50.0,,,31-12,2,B. McLemore makes 2-pt shot at rim (assist by T. Evans)
0:37.0,T. Rozier misses 2-pt shot from 15 ft,,31-12,,
0:35.0,,,31-12,,Defensive rebound by J. Ennis
0:28.0,,,31-12,,J. Martin misses 3-pt shot from 23 ft
0:25.0,Defensive rebound by T. Rozier,,31-12,,
0:04.0,A. Horford misses 2-pt shot from 7 ft,,31-12,,
0:04.0,Offensive rebound by Team,,31-12,,
0:04.0,,,31-12,,Loose ball foul by B. McLemore (drawn by D. Theis)
0:04.0,D. Theis misses free throw 1 of 2,,31-12,,
0:04.0,Offensive rebound by Team,,31-12,,
0:04.0,,,31-12,,D. Brooks enters the game for B. McLemore
0:04.0,J. Tatum enters the game for A. Horford,,31-12,,
0:04.0,D. Theis misses free throw 2 of 2,,31-12,,
0:02.0,,,31-12,,Defensive rebound by J. Ennis
0:00.0,,,31-12,,T. Evans misses 3-pt shot from 44 ft
0:00.0,,,31-12,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,31-12,,D. Davis misses 2-pt shot from 17 ft
11:45.0,Defensive rebound by Team,,31-12,,
11:31.0,Turnover by A. Horford (lost ball; steal by D. Davis),,31-12,,
11:22.0,,,31-15,3,T. Evans makes 3-pt shot from 24 ft (assist by D. Davis)
11:07.0,T. Rozier makes 3-pt shot from 26 ft (assist by D. Theis),3,34-15,,
10:49.0,,,34-15,,J. Martin misses 2-pt shot from 13 ft
10:47.0,Defensive rebound by D. Theis,,34-15,,
10:38.0,,,34-15,,Violation by D. Davis (kicked ball)
10:30.0,T. Rozier misses 2-pt shot from 11 ft,,34-15,,
10:26.0,,,34-15,,Defensive rebound by K. Simmons
10:23.0,,,34-15,,D. Brooks misses 2-pt shot from 1 ft (block by A. Horford)
10:20.0,,,34-15,,Offensive rebound by J. Martin
10:20.0,,,34-15,,Shooting foul by D. Theis (drawn by J. Martin)
10:20.0,,,34-16,1,J. Martin makes free throw 1 of 2
10:20.0,,,34-17,1,J. Martin makes free throw 2 of 2
9:57.0,T. Rozier misses 3-pt shot from 27 ft,,34-17,,
9:54.0,,,34-17,,Defensive rebound by T. Evans
9:51.0,,,34-17,,Shooting foul by A. Horford (drawn by T. Evans)
9:51.0,,,34-17,,T. Evans misses free throw 1 of 2
9:51.0,,,34-17,,Offensive rebound by Team
9:51.0,,,34-18,1,T. Evans makes free throw 2 of 2
9:36.0,D. Theis misses 3-pt shot from 23 ft,,34-18,,
9:34.0,,,34-18,,Defensive rebound by D. Davis
9:30.0,,,34-18,,K. Simmons misses 2-pt shot from 1 ft (block by D. Theis)
9:30.0,,,34-18,,Offensive rebound by Team
9:18.0,,,34-18,,D. Brooks misses 2-pt shot from 14 ft
9:15.0,Defensive rebound by S. Larkin,,34-18,,
9:09.0,S. Larkin misses 2-pt shot from 11 ft (block by K. Simmons),,34-18,,
9:06.0,,,34-18,,Defensive rebound by J. Martin
9:04.0,,,34-20,2,J. Martin makes 2-pt shot from 1 ft
8:44.0,M. Smart misses 2-pt shot from 13 ft (block by J. Martin),,34-20,,
8:42.0,,,34-20,,Defensive rebound by D. Davis
8:40.0,,,34-20,,K. Simmons misses 2-pt shot from 1 ft
8:40.0,,,34-20,,Offensive rebound by D. Davis
8:39.0,,,34-22,2,D. Davis makes 2-pt shot at rim
8:39.0,Boston full timeout,,34-22,,
8:39.0,S. Ojeleye enters the game for D. Theis,,34-22,,
8:39.0,J. Brown enters the game for M. Smart,,34-22,,
8:15.0,A. Horford makes 2-pt shot from 14 ft,2,36-22,,
7:54.0,,,36-24,2,T. Evans makes 2-pt shot at rim
7:27.0,T. Rozier misses 2-pt shot at rim,,36-24,,
7:25.0,,,36-24,,Defensive rebound by D. Davis
7:12.0,,,36-24,,Shooting foul by T. Rozier (drawn by T. Evans)
7:12.0,,,36-25,1,T. Evans makes free throw 1 of 3
7:12.0,,,36-26,1,T. Evans makes free throw 2 of 3
7:12.0,,,36-26,,J. Green enters the game for J. Martin
7:12.0,A. Baynes enters the game for A. Horford,,36-26,,
7:12.0,,,36-27,1,T. Evans makes free throw 3 of 3
6:57.0,S. Larkin misses 3-pt shot from 26 ft,,36-27,,
6:54.0,,,36-27,,Defensive rebound by K. Simmons
6:46.0,,,36-30,3,T. Evans makes 3-pt shot from 26 ft
6:25.0,S. Larkin misses 3-pt shot from 25 ft,,36-30,,
6:22.0,Offensive rebound by A. Baynes,,36-30,,
6:13.0,,,36-30,,Personal foul by K. Simmons (drawn by J. Brown)
6:13.0,K. Irving enters the game for S. Larkin,,36-30,,
6:13.0,M. Smart enters the game for T. Rozier,,36-30,,
6:06.0,K. Irving misses 3-pt shot from 26 ft,,36-30,,
6:03.0,,,36-30,,Defensive rebound by J. Green
5:53.0,,,36-30,,K. Simmons misses 3-pt shot from 22 ft
5:50.0,Defensive rebound by J. Brown,,36-30,,
5:43.0,K. Irving makes 2-pt shot from 1 ft (assist by M. Smart),2,38-30,,
5:28.0,,,38-30,,Offensive foul by J. Green (drawn by J. Brown)
5:28.0,,,38-30,,Turnover by J. Green (offensive foul)
5:14.0,Shooting foul by K. Simmons (drawn by M. Smart),,38-30,,
5:14.0,M. Smart misses free throw 1 of 2,,38-30,,
5:14.0,Offensive rebound by Team,,38-30,,
5:14.0,M. Smart makes free throw 2 of 2,1,39-30,,
4:58.0,,,39-30,,T. Evans misses 2-pt shot from 22 ft
4:52.0,Defensive rebound by K. Irving,,39-30,,
4:48.0,J. Brown misses 3-pt shot from 26 ft,,39-30,,
4:44.0,Offensive rebound by M. Smart,,39-30,,
4:37.0,Offensive charge foul by M. Smart (drawn by K. Simmons),,39-30,,
4:37.0,Turnover by M. Smart (offensive foul),,39-30,,
4:37.0,J. Tatum enters the game for S. Ojeleye,,39-30,,
4:27.0,,,39-30,,T. Evans misses 2-pt shot at rim
4:24.0,,,39-30,,Offensive rebound by J. Green
4:18.0,,,39-30,,Turnover by J. Green (bad pass; steal by M. Smart)
4:00.0,J. Brown makes 3-pt shot from 24 ft (assist by M. Smart),3,42-30,,
3:34.0,,,42-33,3,T. Evans makes 3-pt shot from 26 ft
3:15.0,M. Smart misses 3-pt shot from 25 ft,,42-33,,
3:11.0,,,42-33,,Defensive rebound by J. Green
3:06.0,,,42-33,,J. Green misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by J. Brown,,42-33,,
2:48.0,J. Tatum misses 2-pt shot at rim,,42-33,,
2:45.0,,,42-33,,Defensive rebound by T. Evans
2:39.0,Personal foul by J. Tatum (drawn by D. Davis),,42-33,,
2:39.0,,,42-33,,Memphis full timeout
2:39.0,,,42-33,,J. Martin enters the game for J. Green
2:39.0,,,42-33,,M. Gasol enters the game for T. Evans
2:39.0,,,42-33,,M. Chalmers enters the game for D. Davis
2:39.0,A. Horford enters the game for A. Baynes,,42-33,,
