time,Phoenix,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. T. Chandler (A. Wiggins gains possession),,,,Jump ball: K. Towns vs. T. Chandler (A. Wiggins gains possession)
11:43.0,,,0-0,,K. Towns misses 2-pt shot from 15 ft
11:41.0,Defensive rebound by T. Ulis,,0-0,,
11:26.0,Turnover by T. Chandler (bad pass; steal by A. Wiggins),,0-0,,
11:22.0,,,0-2,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
11:07.0,M. Chriss misses 2-pt shot from 23 ft,,0-2,,
11:04.0,,,0-2,,Defensive rebound by K. Towns
10:55.0,,,0-2,,Shooting foul by T. Chandler (drawn by K. Towns)
10:55.0,,,0-3,1,K. Towns makes free throw 1 of 2
10:55.0,,,0-4,1,K. Towns makes free throw 2 of 2
10:42.0,Turnover by T. Ulis (bad pass; steal by A. Wiggins),,0-4,,
10:37.0,,,0-4,,K. Towns misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by J. Jackson,,0-4,,
10:21.0,J. Jackson makes 2-pt shot from 14 ft,2,2-4,,
10:04.0,,,2-4,,J. Butler misses 2-pt shot from 6 ft
10:02.0,,,2-4,,Offensive rebound by K. Towns
9:57.0,,,2-7,3,A. Wiggins makes 3-pt shot from 25 ft (assist by T. Gibson)
9:42.0,M. Chriss misses 3-pt shot from 24 ft,,2-7,,
9:38.0,Offensive rebound by T. Chandler,,2-7,,
9:36.0,T. Ulis makes 2-pt shot from 11 ft (assist by M. Chriss),2,4-7,,
9:10.0,,,4-9,2,T. Gibson makes 2-pt shot from 7 ft (assist by K. Towns)
8:51.0,Turnover by T. Ulis (bad pass; steal by A. Wiggins),,4-9,,
8:45.0,,,4-9,,Turnover by A. Wiggins (bad pass; steal by T. Warren)
8:26.0,Shooting foul by T. Gibson (drawn by T. Chandler),,4-9,,
8:26.0,T. Chandler makes free throw 1 of 2,1,5-9,,
8:26.0,T. Chandler makes free throw 2 of 2,1,6-9,,
8:20.0,,,6-9,,Shooting foul by T. Warren (drawn by A. Wiggins)
8:20.0,,,6-10,1,A. Wiggins makes free throw 1 of 2
8:20.0,,,6-11,1,A. Wiggins makes free throw 2 of 2
8:08.0,Turnover by T. Chandler (bad pass; steal by J. Butler),,6-11,,
7:57.0,,,6-13,2,T. Gibson makes 2-pt shot from 5 ft (assist by J. Butler)
