time,New Orleans,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Davis (R. Rondo gains possession),,,,Jump ball: M. Gortat vs. A. Davis (R. Rondo gains possession)
11:34.0,A. Davis makes 2-pt shot from 17 ft,2,2-0,,
11:21.0,,,2-0,,J. Wall misses 2-pt shot from 18 ft
11:17.0,,,2-0,,Offensive rebound by J. Wall
11:16.0,,,2-0,,B. Beal misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by A. Davis,,2-0,,
11:05.0,Turnover by A. Davis (lost ball; steal by K. Oubre),,2-0,,
11:01.0,,,2-2,2,K. Oubre makes 2-pt shot from 1 ft
10:55.0,Turnover by R. Rondo (bad pass),,2-2,,
10:41.0,,,2-4,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
10:26.0,D. Cousins misses 2-pt shot from 21 ft,,2-4,,
10:26.0,,,2-4,,Defensive rebound by B. Beal
10:11.0,,,2-6,2,M. Morris makes 2-pt shot from 2 ft
9:53.0,D. Cousins misses 2-pt shot from 2 ft (block by M. Gortat),,2-6,,
9:51.0,,,2-6,,Defensive rebound by K. Oubre
9:44.0,,,2-6,,K. Oubre misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by R. Rondo,,2-6,,
9:39.0,,,2-6,,Personal block foul by K. Oubre (drawn by R. Rondo)
9:28.0,D. Cousins misses 2-pt shot from 19 ft,,2-6,,
9:26.0,Offensive rebound by J. Holiday,,2-6,,
9:22.0,D. Cousins makes 2-pt shot from 1 ft (assist by J. Holiday),2,4-6,,
9:12.0,,,4-6,,B. Beal misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by E. Moore,,4-6,,
9:02.0,A. Davis misses 2-pt shot from 6 ft,,4-6,,
9:00.0,,,4-6,,Defensive rebound by M. Gortat
8:54.0,,,4-8,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
8:47.0,J. Holiday misses 2-pt shot from 1 ft,,4-8,,
8:47.0,Offensive rebound by J. Holiday,,4-8,,
8:46.0,J. Holiday misses 2-pt shot from 1 ft,,4-8,,
8:44.0,,,4-8,,Defensive rebound by M. Morris
8:26.0,,,4-10,2,M. Morris makes 2-pt shot from 13 ft
8:14.0,Shooting foul by M. Morris (drawn by A. Davis),,4-10,,
8:14.0,A. Davis makes free throw 1 of 2,1,5-10,,
8:14.0,A. Davis makes free throw 2 of 2,1,6-10,,
8:03.0,,,6-10,,B. Beal misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by D. Cousins,,6-10,,
7:58.0,,,6-10,,Personal foul by B. Beal (drawn by E. Moore)
