time,Dallas,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. M. Kleber (D. Nowitzki gains possession),,,,Jump ball: M. Turner vs. M. Kleber (D. Nowitzki gains possession)
11:46.0,M. Kleber misses 3-pt shot from 23 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by M. Turner
11:25.0,,,0-2,2,M. Turner makes 2-pt shot from 11 ft
10:59.0,D. Nowitzki misses 3-pt shot from 28 ft,,0-2,,
10:57.0,,,0-2,,Defensive rebound by L. Stephenson
10:53.0,,,0-4,2,B. Bogdanovic makes 2-pt shot at rim (assist by L. Stephenson)
10:33.0,Turnover by M. Kleber (bad pass; steal by M. Turner),,0-4,,
10:30.0,,,0-4,,Shooting foul by D. Nowitzki (drawn by B. Bogdanovic)
10:30.0,,,0-4,,B. Bogdanovic misses free throw 1 of 2
10:30.0,,,0-4,,Offensive rebound by Team
10:30.0,,,0-5,1,B. Bogdanovic makes free throw 2 of 2
10:11.0,W. Matthews makes 2-pt shot from 18 ft (assist by D. Nowitzki),2,2-5,,
9:54.0,,,2-8,3,L. Stephenson makes 3-pt shot from 26 ft
9:31.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by M. Kleber),2,4-8,,
9:16.0,,,4-10,2,B. Bogdanovic makes 2-pt shot from 9 ft
9:02.0,D. Nowitzki makes 2-pt shot from 14 ft,2,6-10,,
8:45.0,,,6-10,,T. Young misses 2-pt shot from 13 ft
8:42.0,Defensive rebound by W. Matthews,,6-10,,
8:37.0,H. Barnes misses 2-pt shot from 2 ft,,6-10,,
8:34.0,,,6-10,,Defensive rebound by B. Bogdanovic
8:23.0,,,6-10,,B. Bogdanovic misses 2-pt shot at rim
8:22.0,Defensive rebound by M. Kleber,,6-10,,
8:16.0,D. Smith misses 2-pt shot from 18 ft,,6-10,,
8:13.0,,,6-10,,Defensive rebound by L. Stephenson
8:06.0,,,6-10,,T. Young misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by M. Kleber,,6-10,,
8:04.0,,,6-10,,Personal foul by L. Stephenson (drawn by D. Smith)
8:04.0,Y. Ferrell enters the game for D. Nowitzki,,6-10,,
7:46.0,H. Barnes makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,9-10,,
7:29.0,,,9-12,2,M. Turner makes 2-pt shot from 19 ft (assist by D. Collison)
7:09.0,W. Matthews misses 2-pt shot at rim,,9-12,,
7:07.0,,,9-12,,Defensive rebound by L. Stephenson
6:52.0,,,9-14,2,M. Turner makes 2-pt shot from 18 ft (assist by L. Stephenson)
6:50.0,Dallas full timeout,,9-14,,
6:33.0,W. Matthews misses 3-pt shot from 25 ft,,9-14,,
6:30.0,,,9-14,,Defensive rebound by L. Stephenson
6:11.0,,,9-14,,B. Bogdanovic misses 3-pt shot from 30 ft
6:08.0,,,9-14,,Offensive rebound by D. Collison
6:07.0,,,9-14,,D. Collison misses 2-pt shot from 8 ft
6:04.0,Defensive rebound by Y. Ferrell,,9-14,,
5:50.0,H. Barnes makes 2-pt shot at rim (assist by Y. Ferrell),2,11-14,,
5:29.0,,,11-14,,Shooting foul by W. Matthews (drawn by M. Turner)
5:29.0,,,11-15,1,M. Turner makes free throw 1 of 2
5:29.0,,,11-16,1,M. Turner makes free throw 2 of 2
5:12.0,H. Barnes makes 2-pt shot from 9 ft,2,13-16,,
4:53.0,,,13-19,3,L. Stephenson makes 3-pt shot from 29 ft (assist by D. Collison)
4:33.0,H. Barnes misses 3-pt shot from 27 ft,,13-19,,
4:30.0,,,13-19,,Defensive rebound by B. Bogdanovic
4:22.0,,,13-21,2,T. Young makes 2-pt shot from 6 ft (assist by B. Bogdanovic)
3:59.0,W. Matthews makes 2-pt shot from 11 ft (assist by H. Barnes),2,15-21,,
3:45.0,,,15-21,,D. Collison misses 2-pt shot from 17 ft
3:43.0,Defensive rebound by W. Matthews,,15-21,,
3:27.0,D. Smith misses 2-pt shot from 18 ft,,15-21,,
3:25.0,,,15-21,,Defensive rebound by L. Stephenson
3:21.0,,,15-21,,Indiana full timeout
3:21.0,,,15-21,,C. Joseph enters the game for T. Young
3:21.0,,,15-21,,D. Sabonis enters the game for B. Bogdanovic
3:21.0,D. Harris enters the game for D. Smith,,15-21,,
3:21.0,D. Powell enters the game for W. Matthews,,15-21,,
3:21.0,D. Nowitzki enters the game for H. Barnes,,15-21,,
3:21.0,J. Barea enters the game for M. Kleber,,15-21,,
3:10.0,,,15-23,2,C. Joseph makes 2-pt shot from 12 ft (assist by L. Stephenson)
2:46.0,D. Powell makes 2-pt shot from 20 ft (assist by Y. Ferrell),2,17-23,,
2:28.0,,,17-26,3,D. Collison makes 3-pt shot from 27 ft (assist by D. Sabonis)
2:17.0,Shooting foul by M. Turner (drawn by D. Powell),,17-26,,
2:17.0,D. Powell misses free throw 2 of 2,,17-26,,
2:17.0,,,17-26,,Defensive rebound by D. Sabonis
2:17.0,,,17-26,,J. Young enters the game for D. Collison
2:17.0,D. Powell makes free throw 1 of 2,1,18-26,,
2:04.0,,,18-26,,Turnover by L. Stephenson (bad pass; steal by D. Nowitzki)
1:46.0,J. Barea makes 2-pt shot at rim,2,20-26,,
