time,Houston,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Hilario (R. Anderson gains possession),,,,Jump ball: A. Horford vs. N. Hilario (R. Anderson gains possession)
11:46.0,R. Anderson misses 3-pt shot from 22 ft,,0-0,,
11:42.0,Offensive rebound by T. Ariza,,0-0,,
11:38.0,E. Gordon makes 3-pt shot from 27 ft,3,3-0,,
11:19.0,,,3-0,,A. Horford misses 2-pt shot from 11 ft
11:16.0,Defensive rebound by J. Harden,,3-0,,
11:10.0,Turnover by J. Harden (bad pass; steal by A. Horford),,3-0,,
11:08.0,,,3-0,,Offensive charge foul by A. Horford (drawn by R. Anderson)
11:08.0,,,3-0,,Turnover by A. Horford (offensive foul)
10:55.0,N. Hilario makes 2-pt shot from 1 ft (assist by E. Gordon),2,5-0,,
10:39.0,,,5-0,,J. Tatum misses 2-pt shot from 19 ft
10:35.0,Defensive rebound by T. Ariza,,5-0,,
10:31.0,R. Anderson makes 3-pt shot from 26 ft (assist by E. Gordon),3,8-0,,
10:21.0,,,8-0,,Turnover by M. Smart (bad pass; steal by N. Hilario)
10:14.0,J. Harden misses 3-pt shot from 22 ft,,8-0,,
10:12.0,,,8-0,,Defensive rebound by A. Horford
10:04.0,,,8-0,,M. Smart misses 2-pt shot from 18 ft
10:00.0,Defensive rebound by N. Hilario,,8-0,,
9:45.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,10-0,,
9:20.0,,,10-0,,Turnover by M. Smart (lost ball; steal by N. Hilario)
9:02.0,J. Harden makes 2-pt shot from 1 ft,2,12-0,,
9:00.0,,,12-0,,Boston full timeout
9:00.0,,,12-0,,A. Nader enters the game for A. Baynes
8:46.0,,,12-0,,K. Irving misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by R. Anderson,,12-0,,
8:36.0,N. Hilario misses 2-pt shot from 1 ft,,12-0,,
8:33.0,,,12-0,,Defensive rebound by A. Horford
8:29.0,,,12-0,,K. Irving misses 2-pt shot from 1 ft
8:26.0,Defensive rebound by J. Harden,,12-0,,
8:22.0,R. Anderson misses 3-pt shot from 28 ft,,12-0,,
8:19.0,,,12-0,,Defensive rebound by A. Horford
8:12.0,,,12-3,3,A. Horford makes 3-pt shot from 25 ft (assist by A. Nader)
7:51.0,E. Gordon makes 2-pt shot from 1 ft (assist by J. Harden),2,14-3,,
7:36.0,,,14-6,3,M. Smart makes 3-pt shot from 24 ft (assist by A. Horford)
7:19.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,16-6,,
7:02.0,,,16-6,,J. Tatum misses 2-pt shot from 8 ft
7:00.0,Defensive rebound by N. Hilario,,16-6,,
6:41.0,J. Harden makes 2-pt shot from 1 ft,2,18-6,,
6:27.0,,,18-8,2,J. Tatum makes 2-pt shot at rim (assist by M. Smart)
6:09.0,T. Ariza misses 2-pt shot from 8 ft,,18-8,,
6:09.0,,,18-8,,Defensive rebound by Team
6:09.0,Loose ball foul by N. Hilario (drawn by M. Smart),,18-8,,
5:50.0,,,18-10,2,K. Irving makes 2-pt shot from 7 ft
5:38.0,R. Anderson makes 3-pt shot from 32 ft (assist by J. Harden),3,21-10,,
5:25.0,,,21-10,,M. Smart misses 3-pt shot from 22 ft
5:22.0,Defensive rebound by T. Ariza,,21-10,,
5:18.0,E. Gordon misses 2-pt shot from 2 ft,,21-10,,
5:15.0,,,21-10,,Defensive rebound by A. Horford
5:12.0,,,21-10,,T. Rozier enters the game for J. Tatum
5:12.0,,,21-10,,D. Theis enters the game for A. Horford
5:12.0,B. Weber enters the game for E. Gordon,,21-10,,
5:12.0,T. Black enters the game for R. Anderson,,21-10,,
5:12.0,P. Tucker enters the game for N. Hilario,,21-10,,
5:06.0,,,21-10,,Turnover by D. Theis (bad pass)
5:00.0,J. Harden misses 2-pt shot from 3 ft (block by K. Irving),,21-10,,
5:00.0,,,21-10,,Defensive rebound by Team
4:48.0,,,21-10,,Turnover by K. Irving (bad pass)
4:48.0,,,21-10,,M. Morris enters the game for M. Smart
