time,Philadelphia,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. A. Johnson (B. Simmons gains possession),,,,Jump ball: M. Plumlee vs. A. Johnson (B. Simmons gains possession)
11:46.0,J. Redick makes 2-pt shot from 21 ft (assist by B. Simmons),2,2-0,,
11:17.0,,,2-0,,Turnover by G. Harris (bad pass; steal by R. Covington)
11:04.0,J. Redick makes 2-pt shot from 17 ft,2,4-0,,
10:46.0,,,4-0,,M. Plumlee misses 2-pt shot from 17 ft
10:43.0,Defensive rebound by R. Covington,,4-0,,
10:38.0,D. Saric makes 2-pt shot from 3 ft,2,6-0,,
10:38.0,,,6-0,,Denver full timeout
10:17.0,,,6-3,3,J. Murray makes 3-pt shot from 25 ft (assist by N. Jokic)
9:57.0,A. Johnson makes 2-pt shot at rim (assist by J. Redick),2,8-3,,
9:40.0,,,8-5,2,J. Murray makes 2-pt shot from 7 ft (assist by N. Jokic)
9:24.0,Turnover by B. Simmons (bad pass),,8-5,,
9:22.0,Personal foul by J. Redick (drawn by G. Harris),,8-5,,
9:06.0,,,8-5,,J. Murray misses 2-pt shot from 17 ft
9:03.0,Defensive rebound by D. Saric,,8-5,,
8:57.0,R. Covington makes 2-pt shot from 2 ft (assist by D. Saric),2,10-5,,
8:46.0,,,10-7,2,G. Harris makes 2-pt shot from 12 ft
8:46.0,,,10-7,,Shooting foul by J. Redick (drawn by G. Harris)
8:46.0,T. McConnell enters the game for J. Redick,,10-7,,
8:46.0,,,10-8,1,G. Harris makes free throw 1 of 1
8:29.0,B. Simmons misses 2-pt shot from 13 ft,,10-8,,
8:26.0,,,10-8,,Defensive rebound by W. Chandler
8:11.0,,,10-10,2,J. Murray makes 2-pt shot from 7 ft
8:10.0,Philadelphia full timeout,,10-10,,
8:10.0,J. Bayless enters the game for D. Saric,,10-10,,
8:01.0,R. Covington misses 3-pt shot from 25 ft,,10-10,,
7:59.0,Offensive rebound by A. Johnson,,10-10,,
7:56.0,T. McConnell makes 2-pt shot from 12 ft (assist by A. Johnson),2,12-10,,
7:32.0,,,12-10,,M. Plumlee misses 2-pt shot from 7 ft
7:32.0,Defensive rebound by Team,,12-10,,
7:15.0,Turnover by J. Bayless (lost ball; steal by G. Harris),,12-10,,
7:12.0,,,12-12,2,G. Harris makes 2-pt shot at rim (assist by J. Murray)
6:48.0,A. Johnson makes 2-pt shot from 5 ft (assist by B. Simmons),2,14-12,,
6:26.0,,,14-12,,M. Plumlee misses 2-pt shot from 4 ft
6:23.0,Defensive rebound by B. Simmons,,14-12,,
6:16.0,A. Johnson makes 2-pt shot from 6 ft (assist by R. Covington),2,16-12,,
5:59.0,,,16-14,2,J. Murray makes 2-pt shot from 14 ft
5:59.0,,,16-14,,Shooting foul by T. McConnell (drawn by J. Murray)
5:59.0,,,16-14,,W. Barton enters the game for M. Plumlee
5:59.0,D. Saric enters the game for A. Johnson,,16-14,,
5:59.0,R. Holmes enters the game for B. Simmons,,16-14,,
5:59.0,,,16-15,1,J. Murray makes free throw 1 of 1
5:43.0,R. Covington makes 2-pt shot from 3 ft,2,18-15,,
5:35.0,,,18-15,,G. Harris misses 2-pt shot from 16 ft
5:35.0,Defensive rebound by Team,,18-15,,
5:12.0,Shooting foul by W. Chandler (drawn by D. Saric),,18-15,,
5:12.0,D. Saric makes free throw 1 of 3,1,19-15,,
5:12.0,D. Saric makes free throw 2 of 3,1,20-15,,
5:12.0,,,20-15,,T. Lyles enters the game for W. Chandler
5:12.0,D. Saric makes free throw 3 of 3,1,21-15,,
4:58.0,,,21-15,,T. Lyles misses 3-pt shot from 23 ft
4:54.0,Defensive rebound by R. Holmes,,21-15,,
4:49.0,R. Holmes misses 2-pt shot from 5 ft (block by N. Jokic),,21-15,,
4:49.0,Offensive rebound by Team,,21-15,,
4:47.0,J. Bayless misses 2-pt shot from 14 ft,,21-15,,
4:44.0,,,21-15,,Defensive rebound by N. Jokic
4:40.0,,,21-17,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
4:20.0,R. Holmes misses 2-pt shot from 4 ft (block by J. Murray),,21-17,,
4:16.0,,,21-17,,Defensive rebound by W. Barton
4:04.0,,,21-17,,Shooting foul by R. Holmes (drawn by W. Barton)
4:04.0,,,21-18,1,W. Barton makes free throw 1 of 2
4:04.0,T. Luwawu-Cabarrot enters the game for J. Bayless,,21-18,,
4:04.0,J. Redick enters the game for R. Covington,,21-18,,
4:04.0,,,21-19,1,W. Barton makes free throw 2 of 2
3:44.0,T. McConnell makes 2-pt shot from 10 ft (assist by D. Saric),2,23-19,,
3:30.0,,,23-19,,W. Barton misses 3-pt shot from 26 ft
3:28.0,,,23-19,,Offensive rebound by N. Jokic
3:26.0,,,23-21,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
3:26.0,,,23-21,,Shooting foul by D. Saric (drawn by G. Harris)
3:26.0,,,23-21,,T. Craig enters the game for J. Murray
3:26.0,B. Simmons enters the game for D. Saric,,23-21,,
3:26.0,T. Booker enters the game for T. McConnell,,23-21,,
3:26.0,,,23-22,1,G. Harris makes free throw 1 of 1
3:08.0,J. Redick misses 2-pt shot from 15 ft,,23-22,,
3:05.0,,,23-22,,Defensive rebound by T. Craig
2:52.0,,,23-22,,W. Barton misses 2-pt shot from 4 ft
2:50.0,,,23-22,,Offensive rebound by W. Barton
2:50.0,,,23-24,2,W. Barton makes 2-pt shot from 2 ft
2:41.0,Shooting foul by T. Craig (drawn by R. Holmes),,23-24,,
2:41.0,R. Holmes makes free throw 1 of 2,1,24-24,,
2:41.0,,,24-24,,M. Plumlee enters the game for N. Jokic
2:41.0,R. Holmes makes free throw 2 of 2,1,25-24,,
2:31.0,,,25-26,2,T. Lyles makes 2-pt shot from 16 ft
2:19.0,Turnover by T. Booker (lost ball; steal by G. Harris),,25-26,,
2:14.0,,,25-26,,W. Barton misses 3-pt shot from 26 ft (block by B. Simmons)
2:14.0,,,25-26,,Offensive rebound by Team
1:53.0,,,25-26,,W. Barton misses 3-pt shot from 28 ft
1:53.0,,,25-26,,Offensive rebound by Team
1:49.0,Jump ball: M. Plumlee vs. R. Holmes (T. Lyles gains possession),,,,Jump ball: M. Plumlee vs. R. Holmes (T. Lyles gains possession)
1:38.0,,,25-26,,G. Harris misses 2-pt shot from 21 ft
1:35.0,Defensive rebound by B. Simmons,,25-26,,
1:26.0,B. Simmons makes 2-pt shot from 4 ft,2,27-26,,
1:11.0,,,27-26,,Turnover by M. Plumlee (lost ball; steal by T. Booker)
1:01.0,R. Holmes misses 3-pt shot from 24 ft,,27-26,,
0:57.0,Offensive rebound by B. Simmons,,27-26,,
0:52.0,J. Redick misses 2-pt shot from 8 ft,,27-26,,
0:48.0,,,27-26,,Defensive rebound by M. Plumlee
0:44.0,,,27-26,,W. Barton misses 2-pt shot from 5 ft
0:41.0,Defensive rebound by R. Holmes,,27-26,,
0:30.0,R. Holmes makes 2-pt shot from 12 ft (assist by B. Simmons),2,29-26,,
0:09.0,,,29-29,3,W. Barton makes 3-pt shot from 25 ft
0:02.0,R. Holmes makes 2-pt shot from 3 ft (assist by T. Booker),2,31-29,,
0:00.0,,,31-29,,W. Barton misses 3-pt shot from 29 ft
0:00.0,,,31-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,31-29,,N. Jokic misses 2-pt shot from 4 ft
11:42.0,Defensive rebound by T. Booker,,31-29,,
11:36.0,D. Saric misses 2-pt shot from 14 ft,,31-29,,
11:32.0,,,31-29,,Defensive rebound by J. Murray
11:27.0,,,31-32,3,T. Lyles makes 3-pt shot from 25 ft (assist by J. Murray)
