time,Charlotte,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. D. Howard (M. Williams gains possession),,,,Jump ball: S. Labissiere vs. D. Howard (M. Williams gains possession)
11:41.0,D. Howard misses 2-pt shot from 5 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by Z. Randolph
11:24.0,,,0-0,,Turnover by D. Fox (bad pass; steal by K. Walker)
11:19.0,M. Williams makes 2-pt shot at rim,2,2-0,,
11:08.0,,,2-3,3,G. Temple makes 3-pt shot from 25 ft (assist by G. Hill)
10:48.0,M. Kidd-Gilchrist makes 2-pt shot from 8 ft (assist by N. Batum),2,4-3,,
10:42.0,,,4-3,,Turnover by D. Fox (out of bounds lost ball)
10:32.0,D. Howard makes 2-pt shot at rim (assist by K. Walker),2,6-3,,
10:05.0,,,6-3,,G. Hill misses 2-pt shot from 14 ft
10:00.0,,,6-3,,Offensive rebound by S. Labissiere
9:59.0,,,6-5,2,S. Labissiere makes 2-pt shot at rim
9:48.0,K. Walker makes 3-pt shot from 25 ft,3,9-5,,
9:36.0,,,9-5,,G. Temple misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by K. Walker,,9-5,,
9:27.0,K. Walker makes 2-pt shot at rim,2,11-5,,
9:10.0,,,11-7,2,Z. Randolph makes 2-pt shot from 17 ft (assist by G. Temple)
8:54.0,D. Howard makes 2-pt shot from 7 ft,2,13-7,,
8:36.0,,,13-9,2,Z. Randolph makes 2-pt shot from 18 ft
8:19.0,N. Batum misses 3-pt shot from 24 ft,,13-9,,
8:16.0,,,13-9,,Defensive rebound by Z. Randolph
8:04.0,,,13-9,,Turnover by Z. Randolph (out of bounds lost ball)
7:51.0,K. Walker misses 3-pt shot from 25 ft,,13-9,,
7:47.0,,,13-9,,Defensive rebound by S. Labissiere
7:43.0,,,13-9,,D. Fox misses 2-pt shot from 2 ft
7:36.0,,,13-9,,Offensive rebound by S. Labissiere
7:36.0,,,13-11,2,S. Labissiere makes 2-pt shot at rim
7:23.0,D. Howard makes 2-pt shot from 6 ft,2,15-11,,
7:03.0,,,15-13,2,D. Fox makes 2-pt shot from 2 ft
6:44.0,N. Batum makes 2-pt shot from 9 ft,2,17-13,,
6:44.0,Shooting foul by G. Temple (drawn by N. Batum),,17-13,,
6:44.0,,,17-13,,Sacramento full timeout
6:44.0,N. Batum misses free throw 1 of 1,,17-13,,
6:41.0,,,17-13,,Defensive rebound by Z. Randolph
6:25.0,,,17-15,2,Z. Randolph makes 2-pt shot from 6 ft
6:09.0,M. Williams misses 3-pt shot from 22 ft,,17-15,,
6:05.0,,,17-15,,Defensive rebound by D. Fox
5:56.0,,,17-17,2,S. Labissiere makes 2-pt shot from 7 ft
5:42.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,20-17,,
5:33.0,,,20-17,,Z. Randolph misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by N. Batum,,20-17,,
5:23.0,K. Walker misses 2-pt shot from 1 ft,,20-17,,
5:21.0,,,20-17,,Defensive rebound by S. Labissiere
5:08.0,,,20-17,,G. Temple misses 2-pt shot from 11 ft
5:02.0,Defensive rebound by M. Kidd-Gilchrist,,20-17,,
4:53.0,Shooting foul by G. Temple (drawn by N. Batum),,20-17,,
4:53.0,N. Batum makes free throw 1 of 2,1,21-17,,
4:53.0,,,21-17,,W. Cauley-Stein enters the game for S. Labissiere
4:53.0,,,21-17,,B. Bogdanovic enters the game for G. Hill
4:53.0,J. Lamb enters the game for M. Kidd-Gilchrist,,21-17,,
4:53.0,F. Kaminsky enters the game for M. Williams,,21-17,,
4:53.0,N. Batum makes free throw 2 of 2,1,22-17,,
4:43.0,,,22-17,,D. Fox misses 2-pt shot from 17 ft
4:38.0,Defensive rebound by N. Batum,,22-17,,
4:32.0,Turnover by N. Batum (bad pass),,22-17,,
4:20.0,,,22-17,,W. Cauley-Stein misses 2-pt shot from 7 ft
4:16.0,Defensive rebound by N. Batum,,22-17,,
4:12.0,J. Lamb makes 3-pt shot from 24 ft (assist by N. Batum),3,25-17,,
3:58.0,,,25-19,2,D. Fox makes 2-pt shot from 1 ft
3:41.0,F. Kaminsky misses 2-pt shot from 4 ft,,25-19,,
3:38.0,,,25-19,,Defensive rebound by Z. Randolph
3:29.0,,,25-21,2,Z. Randolph makes 2-pt shot from 20 ft (assist by G. Temple)
3:12.0,D. Howard makes 2-pt shot from 5 ft (assist by K. Walker),2,27-21,,
2:57.0,,,27-23,2,Z. Randolph makes 2-pt shot from 22 ft (assist by B. Bogdanovic)
2:47.0,Charlotte full timeout,,27-23,,
2:47.0,,,27-23,,B. Hield enters the game for D. Fox
2:47.0,M. Carter-Williams enters the game for K. Walker,,27-23,,
2:36.0,D. Howard misses 2-pt shot from 2 ft,,27-23,,
2:32.0,,,27-23,,Defensive rebound by B. Hield
2:18.0,,,27-23,,Shooting foul by J. Lamb (drawn by W. Cauley-Stein)
2:18.0,,,27-23,,W. Cauley-Stein misses free throw 1 of 2
2:18.0,,,27-23,,Offensive rebound by Team
2:18.0,,,27-23,,W. Cauley-Stein misses free throw 2 of 2
2:16.0,Defensive rebound by D. Howard,,27-23,,
1:55.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,29-23,,
1:34.0,,,29-25,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Temple)
1:15.0,Shooting foul by W. Cauley-Stein (drawn by D. Howard),,29-25,,
1:15.0,D. Howard misses free throw 1 of 2,,29-25,,
1:15.0,Offensive rebound by Team,,29-25,,
1:15.0,,,29-25,,K. Koufos enters the game for Z. Randolph
1:15.0,T. Graham enters the game for N. Batum,,29-25,,
1:15.0,D. Howard makes free throw 2 of 2,1,30-25,,
0:52.0,,,30-25,,B. Bogdanovic misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by D. Howard,,30-25,,
0:44.0,,,30-25,,G. Hill enters the game for G. Temple
0:44.0,J. O'Bryant enters the game for D. Howard,,30-25,,
0:34.0,J. Lamb misses 3-pt shot from 25 ft,,30-25,,
0:31.0,,,30-25,,Defensive rebound by W. Cauley-Stein
0:14.0,,,30-25,,Turnover by B. Bogdanovic (bad pass; steal by J. Lamb)
0:12.0,J. Lamb makes 2-pt shot from 1 ft,2,32-25,,
0:02.0,,,32-25,,K. Koufos misses 2-pt shot from 3 ft (block by M. Carter-Williams)
0:02.0,Defensive rebound by T. Graham,,32-25,,
0:00.0,T. Graham misses 3-pt shot from 39 ft,,32-25,,
0:00.0,Offensive rebound by Team,,32-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,32-27,2,K. Koufos makes 2-pt shot at rim (assist by W. Cauley-Stein)
11:15.0,T. Graham makes 3-pt shot from 25 ft (assist by J. Lamb),3,35-27,,
11:03.0,,,35-27,,G. Hill misses 2-pt shot from 20 ft
11:00.0,Defensive rebound by F. Kaminsky,,35-27,,
10:44.0,J. Lamb misses 2-pt shot from 19 ft,,35-27,,
10:41.0,,,35-27,,Defensive rebound by W. Cauley-Stein
10:28.0,,,35-29,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Hield)
10:09.0,J. O'Bryant makes 2-pt shot from 14 ft,2,37-29,,
9:48.0,,,37-31,2,B. Bogdanovic makes 2-pt shot from 10 ft
9:27.0,F. Kaminsky misses 2-pt shot from 16 ft (block by W. Cauley-Stein),,37-31,,
9:23.0,,,37-31,,Defensive rebound by B. Bogdanovic
9:20.0,,,37-34,3,G. Hill makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
8:53.0,M. Carter-Williams misses 3-pt shot from 28 ft,,37-34,,
8:50.0,,,37-34,,Defensive rebound by W. Cauley-Stein
8:45.0,Violation by J. Lamb (kicked ball),,37-34,,
8:35.0,,,37-36,2,B. Bogdanovic makes 2-pt shot from 18 ft
8:20.0,Shooting foul by B. Hield (drawn by M. Carter-Williams),,37-36,,
8:20.0,M. Carter-Williams makes free throw 1 of 2,1,38-36,,
8:20.0,M. Carter-Williams makes free throw 2 of 2,1,39-36,,
8:04.0,,,39-36,,Shooting foul by F. Kaminsky (drawn by W. Cauley-Stein)
8:04.0,,,39-37,1,W. Cauley-Stein makes free throw 1 of 2
8:04.0,K. Walker enters the game for M. Carter-Williams,,39-37,,
8:04.0,,,39-38,1,W. Cauley-Stein makes free throw 2 of 2
7:53.0,J. O'Bryant makes 3-pt shot from 25 ft (assist by J. Lamb),3,42-38,,
7:39.0,,,42-38,,Turnover by G. Hill (bad pass; steal by J. Lamb)
7:36.0,J. Lamb misses 2-pt shot from 1 ft (block by G. Hill),,42-38,,
7:36.0,Offensive rebound by Team,,42-38,,
7:22.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker),3,45-38,,
7:07.0,,,45-40,2,W. Cauley-Stein makes 2-pt shot from 2 ft
7:00.0,,,45-40,,Personal foul by B. Bogdanovic (drawn by T. Graham)
7:00.0,,,45-40,,S. Labissiere enters the game for K. Koufos
6:52.0,T. Graham misses 3-pt shot from 23 ft,,45-40,,
6:48.0,,,45-40,,Defensive rebound by G. Hill
6:45.0,,,45-40,,B. Bogdanovic misses 3-pt shot from 25 ft
6:43.0,,,45-40,,Offensive rebound by S. Labissiere
6:34.0,,,45-40,,Turnover by W. Cauley-Stein (bad pass; steal by T. Graham)
6:30.0,T. Graham makes 2-pt shot at rim,2,47-40,,
6:25.0,,,47-40,,Sacramento full timeout
6:25.0,,,47-40,,D. Fox enters the game for B. Bogdanovic
6:15.0,,,47-40,,W. Cauley-Stein misses 2-pt shot from 8 ft
6:12.0,Defensive rebound by J. Lamb,,47-40,,
5:59.0,T. Graham misses 2-pt shot from 2 ft,,47-40,,
5:57.0,,,47-40,,Defensive rebound by W. Cauley-Stein
5:51.0,,,47-40,,Turnover by B. Hield (step out of bounds)
