time,Oklahoma City,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Randle vs. S. Adams (T. Ennis gains possession),,,,Jump ball: J. Randle vs. S. Adams (T. Ennis gains possession)
11:49.0,,,0-0,,K. Kuzma misses 3-pt shot from 27 ft
11:44.0,Defensive rebound by S. Adams,,0-0,,
11:32.0,Turnover by P. George (bad pass; steal by J. Randle),,0-0,,
11:28.0,,,0-0,,Turnover by J. Randle (out of bounds lost ball)
11:12.0,Turnover by P. George (turnover),,0-0,,
11:02.0,,,0-2,2,K. Kuzma makes 2-pt shot from 3 ft (assist by T. Ennis)
10:47.0,T. Ferguson misses 3-pt shot from 22 ft,,0-2,,
10:44.0,,,0-2,,Defensive rebound by K. Caldwell-Pope
10:41.0,,,0-4,2,J. Randle makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
10:19.0,R. Westbrook misses 2-pt shot from 17 ft,,0-4,,
10:16.0,,,0-4,,Defensive rebound by K. Kuzma
10:01.0,,,0-6,2,J. Randle makes 2-pt shot from 20 ft (assist by T. Ennis)
9:39.0,C. Anthony misses 2-pt shot from 16 ft (block by B. Ingram),,0-6,,
9:36.0,,,0-6,,Defensive rebound by K. Kuzma
9:32.0,,,0-8,2,K. Kuzma makes 2-pt shot from 2 ft
9:24.0,R. Westbrook misses 2-pt shot from 13 ft,,0-8,,
9:20.0,,,0-8,,Defensive rebound by J. Randle
9:19.0,,,0-8,,Shooting foul by T. Ferguson (drawn by J. Randle)
9:19.0,,,0-9,1,J. Randle makes free throw 1 of 2
9:19.0,,,0-10,1,J. Randle makes free throw 2 of 2
9:04.0,R. Westbrook makes 2-pt shot at rim,2,2-10,,
8:49.0,,,2-10,,J. Randle misses 2-pt shot from 6 ft
8:47.0,Defensive rebound by R. Westbrook,,2-10,,
8:42.0,C. Anthony makes 3-pt shot from 26 ft (assist by R. Westbrook),3,5-10,,
8:25.0,,,5-12,2,T. Ennis makes 2-pt shot from 1 ft (assist by J. Randle)
8:20.0,Oklahoma City full timeout,,5-12,,
8:07.0,P. George makes 2-pt shot from 14 ft,2,7-12,,
7:51.0,Jump ball: T. Ennis vs. R. Westbrook (C. Anthony gains possession),,,,Jump ball: T. Ennis vs. R. Westbrook (C. Anthony gains possession)
7:51.0,,,7-12,,Turnover by T. Ennis (turnover; steal by R. Westbrook)
7:44.0,S. Adams misses 2-pt shot from 4 ft (block by K. Kuzma),,7-12,,
