time,San Antonio,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. P. Gasol (L. Aldridge gains possession),,,,Jump ball: J. Embiid vs. P. Gasol (L. Aldridge gains possession)
11:40.0,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol),2,2-0,,
11:29.0,,,2-0,,J. Redick misses 3-pt shot from 27 ft
11:20.0,Defensive rebound by P. Gasol,,2-0,,
11:11.0,B. Forbes makes 2-pt shot from 19 ft,2,4-0,,
10:51.0,,,4-0,,B. Simmons misses 2-pt shot from 7 ft
10:51.0,,,4-0,,Offensive rebound by D. Saric
10:50.0,,,4-0,,D. Saric misses 2-pt shot from 2 ft
10:50.0,,,4-0,,Offensive rebound by J. Embiid
10:45.0,,,4-2,2,J. Embiid makes 2-pt shot from 14 ft
10:29.0,D. Murray misses 2-pt shot from 14 ft,,4-2,,
10:26.0,,,4-2,,Defensive rebound by R. Covington
10:17.0,,,4-5,3,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons)
10:09.0,Turnover by B. Forbes (bad pass; steal by B. Simmons),,4-5,,
9:58.0,,,4-7,2,B. Simmons makes 2-pt shot from 4 ft
9:52.0,L. Aldridge misses 2-pt shot from 7 ft (block by B. Simmons),,4-7,,
9:52.0,Offensive rebound by Team,,4-7,,
9:52.0,,,4-7,,Loose ball foul by R. Covington (drawn by D. Murray)
9:38.0,Turnover by Team (shot clock),,4-7,,
9:37.0,D. Murray misses 2-pt shot from 13 ft,,4-7,,
9:37.0,Offensive rebound by Team,,4-7,,
9:27.0,,,4-9,2,B. Simmons makes 2-pt shot from 2 ft (assist by J. Embiid)
9:25.0,San Antonio full timeout,,4-9,,
9:10.0,D. Murray makes 2-pt shot at rim (assist by P. Gasol),2,6-9,,
8:53.0,,,6-9,,J. Redick misses 2-pt shot from 18 ft
8:47.0,,,6-9,,Offensive rebound by B. Simmons
8:46.0,,,6-11,2,J. Redick makes 2-pt shot from 14 ft
8:27.0,P. Gasol misses 2-pt shot from 21 ft,,6-11,,
8:21.0,,,6-11,,Defensive rebound by R. Covington
8:21.0,,,6-11,,Offensive charge foul by B. Simmons (drawn by K. Anderson)
8:21.0,,,6-11,,Turnover by B. Simmons (offensive foul)
8:07.0,L. Aldridge misses 2-pt shot from 4 ft (block by J. Embiid),,6-11,,
8:02.0,,,6-11,,Defensive rebound by J. Embiid
7:56.0,,,6-11,,Turnover by J. Embiid (bad pass)
7:56.0,,,6-11,,T. McConnell enters the game for J. Redick
7:41.0,L. Aldridge misses 2-pt shot from 8 ft,,6-11,,
7:37.0,,,6-11,,Defensive rebound by J. Embiid
7:31.0,,,6-13,2,J. Embiid makes 2-pt shot from 16 ft
7:17.0,D. Murray misses 2-pt shot from 15 ft (block by J. Embiid),,6-13,,
7:17.0,,,6-13,,Defensive rebound by R. Covington
7:09.0,,,6-15,2,D. Saric makes 2-pt shot from 5 ft (assist by B. Simmons)
6:50.0,P. Gasol misses 2-pt shot from 9 ft,,6-15,,
6:50.0,,,6-15,,Defensive rebound by J. Embiid
6:41.0,,,6-15,,B. Simmons misses 2-pt shot from 2 ft (block by K. Anderson)
6:41.0,Defensive rebound by P. Gasol,,6-15,,
6:18.0,B. Forbes makes 2-pt shot from 9 ft (assist by P. Gasol),2,8-15,,
6:00.0,,,8-17,2,R. Covington makes 2-pt shot from 1 ft (assist by J. Embiid)
5:40.0,K. Anderson makes 2-pt shot from 2 ft,2,10-17,,
5:40.0,,,10-17,,Philadelphia full timeout
5:40.0,,,10-17,,A. Johnson enters the game for D. Saric
5:40.0,,,10-17,,J. Bayless enters the game for J. Embiid
5:40.0,D. Bertans enters the game for P. Gasol,,10-17,,
5:40.0,P. Mills enters the game for D. Murray,,10-17,,
5:18.0,,,10-17,,R. Covington misses 2-pt shot from 16 ft
5:18.0,Defensive rebound by D. Bertans,,10-17,,
5:18.0,Turnover by D. Bertans (out of bounds lost ball),,10-17,,
5:09.0,,,10-17,,Turnover by B. Simmons (bad pass)
5:00.0,Turnover by D. Bertans (bad pass; steal by A. Johnson),,10-17,,
4:55.0,,,10-19,2,B. Simmons makes 2-pt shot from 2 ft (assist by T. McConnell)
4:55.0,San Antonio full timeout,,10-19,,
4:40.0,P. Mills makes 3-pt shot from 26 ft (assist by B. Forbes),3,13-19,,
4:24.0,,,13-19,,Shooting foul by K. Anderson (drawn by A. Johnson)
4:24.0,,,13-20,1,A. Johnson makes free throw 1 of 2
4:24.0,J. Lauvergne enters the game for L. Aldridge,,13-20,,
4:24.0,,,13-20,,A. Johnson misses free throw 2 of 2
4:22.0,Defensive rebound by K. Anderson,,13-20,,
4:09.0,D. Bertans makes 2-pt shot from 10 ft,2,15-20,,
3:57.0,,,15-20,,B. Simmons misses 2-pt shot from 7 ft
3:56.0,Defensive rebound by Team,,15-20,,
3:56.0,,,15-20,,T. Booker enters the game for B. Simmons
3:56.0,,,15-20,,J. Redick enters the game for R. Covington
3:43.0,D. Bertans misses 3-pt shot from 25 ft,,15-20,,
3:40.0,,,15-20,,Defensive rebound by A. Johnson
3:30.0,,,15-20,,J. Redick misses 2-pt shot from 2 ft
3:29.0,Defensive rebound by D. Bertans,,15-20,,
3:21.0,,,15-20,,Personal foul by J. Bayless (drawn by B. Forbes)
3:21.0,,,15-20,,J. Embiid enters the game for A. Johnson
3:12.0,J. Lauvergne misses 2-pt shot from 7 ft (block by J. Embiid),,15-20,,
3:05.0,,,15-20,,Defensive rebound by J. Bayless
2:56.0,,,15-20,,T. Booker misses 2-pt shot from 4 ft
2:54.0,Defensive rebound by D. Bertans,,15-20,,
2:43.0,K. Anderson makes 2-pt shot from 11 ft,2,17-20,,
2:31.0,,,17-20,,Turnover by J. Embiid (bad pass; steal by P. Mills)
2:21.0,D. Bertans makes 3-pt shot from 25 ft (assist by K. Anderson),3,20-20,,
1:54.0,,,20-20,,J. Redick misses 2-pt shot from 20 ft
1:51.0,Defensive rebound by D. Bertans,,20-20,,
1:44.0,J. Lauvergne misses 2-pt shot from 6 ft,,20-20,,
1:41.0,Offensive rebound by J. Lauvergne,,20-20,,
1:39.0,J. Lauvergne misses 2-pt shot from 4 ft,,20-20,,
1:39.0,Offensive rebound by J. Lauvergne,,20-20,,
1:35.0,P. Mills misses 3-pt shot from 26 ft,,20-20,,
1:32.0,,,20-20,,Defensive rebound by J. Embiid
1:29.0,,,20-22,2,T. McConnell makes 2-pt shot from 6 ft
1:09.0,J. Lauvergne misses 2-pt shot from 4 ft (block by J. Embiid),,20-22,,
1:05.0,,,20-22,,Defensive rebound by T. McConnell
0:59.0,,,20-22,,T. McConnell misses 2-pt shot from 4 ft
0:57.0,Defensive rebound by K. Anderson,,20-22,,
0:52.0,Shooting foul by J. Embiid (drawn by K. Anderson),,20-22,,
0:51.0,D. Hilliard enters the game for K. Anderson,,20-22,,
0:51.0,B. Paul enters the game for B. Forbes,,20-22,,
0:51.0,,,20-22,,Personal foul by T. Booker (drawn by D. Bertans)
0:51.0,D. Bertans makes free throw 1 of 2,1,21-22,,
